element_type,osmid,amenity,amperage,authentication:short_message,capacity,operator,ref,socket:type2,source,source:delivery_date,voltage,geometry,brand,brand:wikidata,brand:wikipedia,name,opening_hours,operator:wikidata,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,description,access,authentication:app,authentication:nfc,contact:phone,contact:website,fee,motorcar,parking:fee,socket:type2:output,addr:suburb,wheelchair,socket:type2:current,socket:type2:voltage,survey:date,payment:mastercard,payment:paypal,payment:visa,location,authentication:phone_call,layer,level,socket:schuko,short_name,website,charge,payment:american_express,payment:sepa,payment:vpay,comment,addr:city,addr:housenumber,addr:postcode,addr:street,phone,bicycle,authentication:none,socket:chademo,socket:type2_combo,scooter,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,man_made,surveillance,surveillance:type,surveillance:zone,socket:type1_combo,note,covered,ref:EU:EVSE,payment:credit_cards,addr:country,hgv,maxstay,noname,output,charging_station:output,network,description:de,socket:usb,socket:tesla_supercharger_ccs,start_date,socket:type2_cable,fixme,lit,support,payment:maestro,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,mapillary,bus,payment:bank_transfer,amenity:wikipedia,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:Giro-e,payment:Ladekarte,payment:app,payment:qr_code,lamp_mount,lamp_type,payment:cards,payment:contactless,check_date,small_electric_vehicle,motor_vehicle,manufacturer,payment:nfc,authentication:contactless,contact:email,maxstay:conditional,name:en,payment:cash,payment:membership_card,socket:type2_combo:current,socket:type2_combo:voltage,socket:device:USB-A,socket:device:USB-C,parking:lane:charge:conditional,socket:type1:output,email,image,image:0,image:1,nodes,parking,parking:orientation,surface,capacity:disabled,parking_space,orientation
node,425089052,charging_station,32,yes,2,RWE-Effizienz,BA-0602-4 / BA-0603-0,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3227028 52.5136302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,429740871,charging_station,32,yes,2,Innogy,BA-0500-2 / BA-0501-9,2,,,400,POINT (13.3808678 52.5236617),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,429951629,charging_station,32,yes,2,Innogy,BA-0798-1 / BA-0707-5,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3289688 52.4993965),Innogy,Q2124721,de:Innogy,RWE Stromtankstelle E-Mobillity,,Q2124721,de:Innogy,Vor Schaperstraße 17 neben Eckhaus Meinekestraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,520518082,charging_station,32,,2,Vattenfall,,2,,,,POINT (13.3254003 52.5028106),,,,Vattenfall InCharge Ladesäule,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,610981736,charging_station,32,yes,2,RWE-Effizienz,BA-0489-6 / BA-0487-3,2,,,,POINT (13.2737032 52.5358323),,,,Stromtankstelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,611624094,charging_station,32;16,,,Vattenfall,,,,,,POINT (13.3216578 52.5134349),,,,,,,,,,,zur Zeit gesperrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,667211393,charging_station,32,yes,2,RWE-Effizienz,BA-0711-5 / BA-0712-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.2613337 52.5164617),,,,,,,,Steubenplatz vor Häusern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,694566615,charging_station,32,yes,2,RWE-Effizienz,BA-0499-4 / BA-0502-5,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3168897 52.5009144),,,,,24/7,,,Kurfürstendamm / Schlüterstraße Mittelstreifen vor Kurfürstendamm,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,704002935,charging_station,32,yes,2,RWE-Effizienz,BA-0622-0 / BA-0623-7,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3304647 52.4909124),,,,Ladesäule für Elektroautos,,,,Güntzel Straße vor ADAC neben Haus Nr. Bundesallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,718678233,charging_station,32,yes,2,Innogy,BA-0709-8 / BA-0710-9,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.2726609 52.5085627),Innogy,Q2124721,,Innogy,,Q2124721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
