element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,phone,toilets:wheelchair,website,wheelchair,geometry,brand,brand:wikidata,brand:wikipedia,opening_hours,description,short_name,wikidata,contact:website,screen,check_date,contact:phone,drink:club-mate,wheelchair:description,check_date:opening_hours,alt_name,operator,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,opening_hours:signed,level,fee,contact:email,operator:type,contact:facebook,wikipedia,image,addr:place,email,facebook,instagram,twitter,barrier,wheelchair:description:de,wheelchair:description:en,shop,payment:cash,mapillary,note,deaf:description:de,deaf:description:en,drive_in,open_air,cinema:type,official_name,nodes,old_name,dog,architect,building,cinema:3D,heritage,heritage:operator,ref:lda,roof:shape,start_date,source,building:colour,building:levels,building:material,roof:colour,operator:wikidata,contact:fax,roof:levels,air_conditioning,contact:google_plus,fax,lda:criteria,name:de,name:en
node,29040741,Berlin,DE,35,10557,Lehrter Straße,Moabit,cinema,Filmrauschpalast in der Kulturfabrik,+49 30 3844344,no,http://www.filmrausch.de,no,POINT (13.3596231 52.5343784),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,79615774,,,,,,,cinema,CineStar,,yes,,yes,POINT (13.2860048 52.5839192),CineStar,Q321889,de:Cinestar,Mo-Su 13:30-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,101186634,Berlin,DE,176-178,12681,Märkische Allee,,cinema,UCI Am Eastgate,+49 30 93030260,yes,https://www.uci-kinowelt.de/kinoprogramm/berlin-am-eastgate/44,yes,POINT (13.5420275 52.5417516),UCI Kinowelt,Q521922,,,"Im UCI Am Eastgate können Sie neben dem Kino auch weitere Freizeitangebote nutzen: Bowling, Sonnenstudio, Fitnessstudio und Restaurants. Im gegenüber liegenden EKZ Eastgate lädt weitere Gastronomie zum Verweilen ein.",UCI,Q47117136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,251559871,Berlin,DE,107,10245,Boxhagener Straße,Friedrichshain,cinema,Kino Intimes,,no,,yes,POINT (13.4581955 52.5129109),,,,"Mo-Fr 13:30-18:00+, Sa,Su 12:00-18:00+",,,Q47155856,https://www.kino-zeit.de/kinoprogramm/berlin/kino-intimes-berlin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256754256,Berlin,DE,30,10178,Rosa-Luxemburg-Straße,Mitte,cinema,Kino Babylon,,,,limited,POINT (13.4114358 52.5258984),,,,"Mo-Fr 17:00+; Sa,Su ""eine halbe Stunde vor der ersten Vorstellung""",,Babylon,Q1742238,http://www.babylonberlin.de,,2023-05-12,+49 30 2425969,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,272004025,,,,,,,cinema,Cineplex,,,,limited,POINT (13.2063427 52.5385009),Cineplex,Q1092476,de:Cineplex,,,,Q47079139,http://www.cineplex.de,,,+49 180 5050211,,Eingang nur durch den Hintereingang !!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,273477667,Berlin,DE,89,12459,Wilhelminenhofstraße,Oberschöneweide,cinema,Kino Spreehöfe,+49 30 538 95 90,,https://www.kino-spreehoefe.de,limited,POINT (13.5121795 52.4620593),,,,"""Unterschiedlich, je nach Spielplan.""",,,Q34991764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,281887442,Berlin,DE,1,13086,Antonplatz,Weißensee,cinema,Kino Toni & Tonino,+49 30 92791200,yes,http://www.kino-toni.de,yes,POINT (13.4509296 52.5488199),,,,Mo-Su 09:00-22:00,,,Q40289735,,,,,,,2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,297512119,Berlin,DE,111,12161,Bundesallee,Friedenau,cinema,Cinema,+49 30 852 30 04,,,limited,POINT (13.3286196 52.4669397),,,,,,,Q47012912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,299288097,,,,,,,cinema,Kino im Kulturhaus Spandau,,,,yes,POINT (13.2024584 52.5354615),,,,,,,Q47079217,http://www.kinoimkulturhaus.de/,,,+4930333402122,,"Eingang meist offen, keine automatische Tüt, Fahrstühle vorhanden, viel Platz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312618622,Berlin,DE,54,10627,Kantstraße,Charlottenburg,cinema,Kant Kino,,,,limited,POINT (13.3084282 52.5067663),,,,,5 Säle (349 / 81 / 61 / 59 / 22 Plätze),,Q42297621,https://yorck.de/kinos/kant-kino,5,2023-02-19,+49 30 319 98 66,,Leider sind nicht alle Säle rollstuhlgerecht. Besser vorher erkundigen.,,Neue Kant Kinos,Yorck Kinogruppe,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313942258,,,,,,,cinema,CineStar,,,,yes,POINT (13.6041151 52.5377975),CineStar,Q321889,de:Cinestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,331345531,Berlin,DE,54,10967,Hasenheide,Kreuzberg,cinema,Sputnik Kino,+49 30 6941147,,https://www.sputnik-kino.com/,limited,POINT (13.4101466 52.4899914),,,,,,,Q47155393,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,333351711,,,,,,,cinema,Cineplex,,no,https://www.cineplex.de/berlin-neukoelln/,yes,POINT (13.4316965 52.4819661),Cineplex,Q1092476,de:Cineplex,"Mo-We 14:00-23:00, Th,Fr 14:00-01:00, Sa 11:30-01:00, Su 11:30-23:00",,,Q47089242,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,339825650,Berlin,DE,77,10435,Kastanienallee,Prenzlauer Berg,cinema,Lichtblick,,,,no,POINT (13.4077602 52.5364987),,,,,,,,http://www.lichtblick-kino.org/,,,+49 30 44058179,,Stufen am Eingang,,,Stattkino Berlin e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343650200,Berlin,DE,40-41,10178,Rosenthaler Straße,Mitte,cinema,Hackesche Höfe Kino,,,,no,POINT (13.4019658 52.5240474),,,,,,,Q47164843,http://www.hoefekino.de,,,+49302834603,,,,,Timebandits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343650283,Berlin,DE,39,10178,Rosenthaler Straße,Mitte,cinema,Kino Central,,,,limited,POINT (13.4018422 52.5245664),,,,,,,Q47168214,http://www.kino-central.de,,,+49 30 28599973,yes,Es gibt einen Fahrstuhl in Kinosaal1 (Toiletten von dort leider nicht erreichbar). Kinosaal 2 ist nicht rollstuhlgerecht - ist aber über 5 Stufen mit Hilfe der Kinomitarbeiter_innen erreichbar. Dafür einfach an der Kinokasse bescheid geben: 030/28599973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,350460866,Berlin,DE,2,10969,Segitzdamm,Kreuzberg,cinema,fsk - Kino am Oranienplatz,,yes,,yes,POINT (13.4146103 52.5015918),,,,,"Vorbestellen kann man unter Tel. 030 6142464 (So – Fr 12–24 Uhr, Sa 14–24 Uhr) und an post@fsk-kino.de",,Q47126528,https://fsk-kino.peripherfilm.de/,,,+49 30 6142464,,,2023-02-27,,fsk Kino & Peripher Filmverleih GmbH,,,,,,,no,,,post@fsk-kino.de,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,350460874,Berlin,DE,126,10999,Dresdener Straße,Kreuzberg,cinema,Babylon Kreuzberg,,,,limited,POINT (13.4169229 52.5006568),,,,,,,,https://yorck.de/kinos/babylon-kreuzberg,2,,+49 30 61609693,,An der Kasse jemanden um Hilfe holen (lassen). Dann wird Seiteneingang aufgemacht.,,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,352907002,Berlin,DE,5,10827,Kolonnenstraße,Schöneberg,cinema,Xenon,,,,yes,POINT (13.3593976 52.4863303),,,,,,,Q47036615,http://www.xenon-kino.de/,,,+49 30 78001530,,,,,Xenon Kino Wieske FTB Filmtheaterbetriebe,,,,,,,no,,,,,https://www.facebook.com/xenonkino,de:Xenon Kino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,355946428,Berlin,DE,86,10965,Yorckstraße,Kreuzberg,cinema,Yorck,,,,no,POINT (13.3853593 52.4930489),,,,,,,Q47126371,https://yorck.de/kinos/yorck,2,,+49 30 78913240,,,,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,388325296,Berlin,DE,11,13156,Hermann-Hesse-Straße,Niederschönhausen,cinema,Blauer Stern,,,,yes,POINT (13.401489 52.5803587),,,,,,,Q47086121,https://yorck.de/kinos/blauer-stern,2,,,,,2022-11-01,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,391462594,Berlin,,295,12351,Johannisthaler Chaussee,,cinema,UCI Kinowelt,,,https://www.uci-kinowelt.de/kinoinformation/berlin-gropius-passagen/43,yes,POINT (13.4554457 52.4295254),UCI Kinowelt,Q521922,de:United Cinemas International,,,UCI,Q47089227,,,,,,,,UCI Kinowelt Gropius Passagen;UCI Luxe Gropius Passagen,,,,,,,,,1;2,,,,,,https://www.kinokompendium.de/foto_kino_berlin/uciluxe_gropiuspassage_f02.jpg;https://ewa.co.uk/wp-content/uploads/2019/04/UCI-Gropiuspassagen_04_1417-x-1028.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,437291301,Berlin,DE,1,10178,Rathausstraße,Mitte,cinema,Cinestar Cubix am Alexanderplatz,,,,yes,POINT (13.412224 52.5202013),CineStar,Q321889,de:Cinestar,"Mo,Tu 13:15-21:00; We-Fr 13:15-23:30; Sa 10:45-23:30; Su 10:45-21:00",,,Q47164876,http://www.cinestar.de/de/kino/berlin-cinestar-cubix-am-alexanderplatz,,,+49 30 257610,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,447078290,Berlin,DE,1,13086,,Weißensee,cinema,Brotfabrik,+49 30 4714002,yes,https://www.brotfabrik-berlin.de,yes,POINT (13.4305846 52.5525596),,,,"Mo-Fr 18:00+, Sa,Su 16:00-18:00+; PH 16:00-18:00+",,,Q990769,,,,,,,,,,,,,,,,,,,,,,,,Caligariplatz,joerg.fuegmann@brotfabrik-berlin.de,https://www.facebook.com/BrotfabrikBerlin/,https://www.instagram.com/brotfabrikberlin/,https://twitter.com/BrotfabrikBln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,448811295,Berlin,DE,22,10967,Kottbusser Damm,Kreuzberg,cinema,Kino Moviemento,+49 30 6924785,,https://www.moviemento.de/,no,POINT (13.4234006 52.4903342),,,,,,,Q1657924,,,,,,Baulich gibt es leider keine Möglichkeit die Treppe zu umgehen. Die MItarbeiter_innen des Kinos sind aber jederzeit sehr gerne bereit beim Hochtragen zu helfen! Die Nummer der Kinokassse: 6924785,,,,,,,,,,,,,,,,de:Moviemento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,474801031,Berlin,DE,131,12043,Karl-Marx-Straße,Neukölln,cinema,Passage,,,,limited,POINT (13.439406 52.4774811),,,,,,,Q47089203,https://yorck.de/kinos/passage,4,,+49 30 68237018,,,,,Yorck Kinogruppe,,,,,,,,,,,,,,https://www.kinokompendium.de/foto_kino_berlin/passage_kino_f01.jpg;https://images.ctfassets.net/4mws6uyas4ta/24L29Y5ZcXR3738hxh2KP0/00d122dc9b053a2dcfb8bfd337dc2059/Passage1_Saal_Vorhang-Copyright_Daniel_Horn.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
