element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,wheelchair,access,source,contact:website,name,addr:housename,amenity,note,opening_hours,check_date,height,min_height,tourism,capacity,nodes,building,building:levels,roof:levels,building:shape,leisure,postal_code,roof:colour,roof:shape,sport,website,wikidata,wikimedia_commons,wikipedia,operator,roof:material,short_name,wheelchair:description,community_centre,phone,contact:phone,heritage,heritage:operator,internet_access,internet_access:fee,lda:criteria,ref:isil,ref:lda,toilets:wheelchair,building:colour,addr:inclusion,contact:email,contact:fax,fee,name:en,name:nl,alt_name,building:material,brand,brand:wikidata,office,social_facility,social_facility:for,name:de,source:addr,start_date,government,alt_name:es,construction:tourism,name:fr,name:ru,old_name,community_centre:for,roof:height,year_of_construction,building:facade:material,email,image,opening_hours:signed,architect,architect:wikidata,operator:wikidata,operator:wikipedia,ref,building:use,building:name,theatre:genre,description,smoking,nohousenumber,check_date:opening_hours,noname,building:min_level,denomination,religion,healthcare,facebook,fax,max_age,min_age,museum,name:fa,operator:type,fixme,layer,source:height,disused:building,contact:facebook,disused:information,disused:name,disused:tourism,disused:amenity,disused:community_centre:for,instagram,changing_table,drinking_water,noaddress,unisex,wheelchair:step_height,building:architecture,castle_type,heritage:website,historic,roof:orientation,emergency,name:es,name:he,name:it,description:de,ways,type,official_name,not:historic,not:name,blind:description:de,name:prefix,townhall:type
way,5083117,"POLYGON ((13.2013421 52.5360177, 13.2014224 52.5360319, 13.2014017 52.5360721, 13.2015519 52.5361029, 13.2015445 52.5361161, 13.2015713 52.5361223, 13.2015734 52.5361229, 13.2015758 52.5361239, 13.2015777 52.5361251, 13.2015796 52.5361264, 13.2015813 52.536128, 13.2015827 52.5361299, 13.2015834 52.5361315, 13.2015837 52.5361329, 13.2015838 52.5361351, 13.2015833 52.5361369, 13.2015826 52.5361386, 13.2015591 52.5361768, 13.201558 52.5361782, 13.2015564 52.5361796, 13.2015542 52.536181, 13.2015513 52.5361822, 13.2015487 52.536183, 13.2015454 52.5361834, 13.2015426 52.5361835, 13.2015399 52.5361834, 13.2015371 52.536183, 13.2015055 52.5361764, 13.2014752 52.536225, 13.2014699 52.5362297, 13.2014655 52.5362325, 13.2014618 52.5362347, 13.2014577 52.5362367, 13.2014533 52.5362385, 13.2014489 52.53624, 13.2014449 52.5362411, 13.2014401 52.5362421, 13.2014349 52.536243, 13.2014295 52.5362436, 13.2014236 52.536244, 13.2014179 52.5362439, 13.2014129 52.5362437, 13.2014079 52.5362432, 13.2014028 52.5362424, 13.2013979 52.5362413, 13.2013946 52.5362477, 13.201383 52.5362465, 13.2013052 52.5364636, 13.2013452 52.5364695, 13.2013491 52.5364702, 13.2013518 52.5364709, 13.2013552 52.5364721, 13.201358 52.5364737, 13.2013603 52.5364753, 13.2013625 52.5364772, 13.2013643 52.5364799, 13.2013655 52.5364822, 13.2013659 52.5364842, 13.2013659 52.5364868, 13.2013653 52.5364887, 13.2013643 52.5364911, 13.2013626 52.5364932, 13.2013607 52.5364952, 13.2013586 52.5364967, 13.2013559 52.5364983, 13.2013528 52.5364996, 13.2013491 52.5365007, 13.2013453 52.5365015, 13.2013412 52.536502, 13.2013311 52.5365014, 13.2013038 52.5365862, 13.201275 52.5366644, 13.2012684 52.5366706, 13.2010639 52.5366414, 13.2012184 52.5362397, 13.2013421 52.5360177))",,,,,,,,,Geoportal Berlin / Hausumringe,,,,,,,,,,,,"[34585247, 34585981, 2882809001, 1222138895, 34585248, 2882809101, 2882808902, 2882809102, 2882809002, 2882809003, 2882808903, 2882809004, 2882809005, 2882809006, 2882809007, 2882809008, 2882809009, 34585249, 2882809103, 2882809104, 2882809105, 2882809106, 2882809107, 2882809301, 2882808905, 2882809108, 2882808904, 34585250, 1222138894, 2882809402, 2882809303, 2882809304, 2882809403, 2882809110, 2882809111, 2882809112, 2882809113, 2882809010, 2882809012, 2882809116, 2882809115, 2882809013, 2882809011, 2882809114, 1215461053, 2882809305, 1215461038, 1215461041, 1215461050, 2882809503, 2882809607, 2882809608, 2882809701, 2882809609, 2882809610, 2882809312, 2882809702, 2882809504, 2882809505, 2882808907, 2882808908, 2882808909, 2882809506, 2882809703, 2882809507, 2882809509, 2882809510, 2882809512, 2882808910, 2882809511, 34585251, 34585252, 2882809519, 34585253, 1222138890, 34585247]",civic,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,7997184,"POLYGON ((13.4516513 52.5302012, 13.4515309 52.5301635, 13.4514671 52.5301482, 13.4514058 52.5301352, 13.4513363 52.5301252, 13.4512748 52.5301175, 13.4512022 52.5301124, 13.4511353 52.5301101, 13.4510651 52.5301104, 13.4509962 52.5301135, 13.4508733 52.5301251, 13.4507438 52.5301501, 13.4506779 52.5301676, 13.4506208 52.5301852, 13.4505551 52.5302068, 13.4505005 52.5302308, 13.4504496 52.5302567, 13.4503975 52.5302838, 13.4503081 52.5303442, 13.4502231 52.5304126, 13.4501654 52.5304866, 13.4501217 52.5305641, 13.4501027 52.5306038, 13.4500917 52.5306436, 13.4500842 52.5306864, 13.4500806 52.5307278, 13.4500813 52.5307716, 13.4500886 52.5308134, 13.4500989 52.5308534, 13.4501147 52.5308929, 13.4501338 52.5309322, 13.4501585 52.530969, 13.4501851 52.5310069, 13.4502168 52.5310437, 13.4502907 52.531113, 13.4503789 52.5311759, 13.4504798 52.5312312, 13.4505918 52.531278, 13.4506874 52.5313086, 13.4507848 52.531335, 13.4508908 52.5313531, 13.4509985 52.5313645, 13.4511067 52.5313694, 13.4512133 52.5313659, 13.4512703 52.5313619, 13.4513198 52.5313576, 13.4513742 52.5313514, 13.4514296 52.5313411, 13.4515281 52.5313187, 13.4516238 52.531287, 13.4517153 52.5312522, 13.4518004 52.5312117, 13.451878 52.531166, 13.4519474 52.5311157, 13.4520079 52.5310612, 13.4520569 52.5310022, 13.4520971 52.5309418, 13.4521249 52.5308784, 13.4521429 52.5308127, 13.4521494 52.5307485, 13.4521438 52.5306828, 13.4521316 52.53062, 13.4521049 52.530555, 13.4520671 52.5304934, 13.4520205 52.5304355, 13.4519641 52.530381, 13.4518976 52.5303293, 13.4518217 52.5302815, 13.4517372 52.5302365, 13.4516513 52.5302012))",,,,,,,yes,,,,Velodrom,,,,,,,,attraction,,"[59849641, 533929871, 5316435818, 262720668, 5316435817, 533929872, 5316435816, 59849652, 5316435815, 533929873, 262720667, 533929874, 5316435813, 59849651, 5316435814, 533930714, 5316435812, 262720756, 533930716, 59849650, 533930718, 262720755, 5316435811, 533930720, 5316435810, 59849649, 5316435809, 533930722, 5316435808, 262720754, 5316435807, 533930724, 5316435806, 59849648, 533930756, 262720753, 533930758, 59849647, 533930759, 262720752, 533929093, 59849646, 5316436628, 533929094, 5316435820, 5316436627, 5316435819, 262720751, 5316436626, 533929375, 59849645, 5316436625, 533929381, 262720750, 533929387, 59849644, 533929388, 262720749, 5316436624, 533929392, 5316436623, 59849643, 533929875, 262720748, 533929876, 59849642, 533929877, 262720747, 533929878, 59849641]",civic,2,0,cylinder,stadium,10407,grey,flat,cycling,https://www.velodrom.de/,Q464179,Category:Velodrom (Berlin),de:Velodrom (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,7997192,"POLYGON ((13.4536306 52.5289278, 13.4525808 52.5285394, 13.4521342 52.5289889, 13.4516704 52.5294533, 13.452716 52.5298417, 13.4531708 52.5293871, 13.4536306 52.5289278))",Berlin,DE,26,10407,Paul-Heyse-Straße,Prenzlauer Berg,yes,,,https://www.berlinerbaeder.de/baeder/schwimm-und-sprunghalle-europasportpark-sse/,Schwimm- und Sprunghalle im Europasportpark,,,,,,,,,,"[59849675, 59849678, 314588059, 59849677, 59849676, 314587964, 59849675]",civic,1,,,sports_hall,,grey,flat,swimming,,Q2257518,Category:Schwimm- und Sprunghalle im Europasportpark,de:Schwimm- und Sprunghalle im Europasportpark,Berliner Bäder-Betriebe,glass,SSE,"Behinderten-WC am Eingang, 4 Kabinen mit je 5 Schränken, ohne Bank, 2 Duschen, 4 Toiletten mit je 1 Schrank, 2 Wasserrollstühle, 1 Lift am 50m Becken, 1 Lift am Therapiebecken (50cm hoher Beckenrand) 3 Behindertenparkplätze gegenüber vom Eingang, S-Bahn-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11687794,"POLYGON ((13.3477875 52.5011217, 13.3479725 52.5014381, 13.3480372 52.5014239, 13.3481684 52.501646, 13.3483144 52.5016506, 13.3483224 52.5014864, 13.3482609 52.5013755, 13.3483393 52.5013585, 13.3481499 52.5010442, 13.3477875 52.5011217))",Berlin,,17,10787,An der Urania,,yes,,,,Urania,,community_centre,,,,,,,,"[104549019, 104549020, 104549021, 104549022, 104549023, 104549025, 104549026, 104549028, 104549030, 104549019]",civic,,,,,,,,,https://www.urania.de,Q896211,,de:Urania (Berlin),,,,,cultural_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,12089675,"POLYGON ((13.3154669 52.5797816, 13.3164055 52.5794848, 13.3165756 52.5796774, 13.316903 52.580057, 13.3170615 52.5802407, 13.3172504 52.5804597, 13.3170063 52.5805381, 13.3165987 52.5806706, 13.3163224 52.5807547, 13.3154669 52.5797816))",Berlin,,115-121,13403,Eichborndamm,Borsigwalde,,,,,Landesarchiv Berlin,,archive,,,,,,,,"[109446526, 109442347, 109446086, 2798010735, 2798010737, 109446092, 2298651359, 2298651361, 109446531, 109446526]",civic,2,,,,,,flat,,http://www.landesarchiv-berlin.de,Q1610731,,de:Landesarchiv Berlin,,,,,,+49 30 902640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,16112544,"POLYGON ((13.3925348 52.4967515, 13.3926776 52.4967715, 13.3930885 52.4968381, 13.3931363 52.4967398, 13.3931488 52.4967126, 13.3932616 52.4967313, 13.3933725 52.4964832, 13.3933418 52.4964781, 13.3933039 52.4964718, 13.3932866 52.4964692, 13.3930291 52.496426, 13.3930123 52.4964635, 13.3929819 52.4964594, 13.3925033 52.4963942, 13.3921566 52.4963633, 13.391802 52.4963459, 13.3917851 52.4965287, 13.3916565 52.4965234, 13.3916484 52.4966057, 13.3920899 52.4966324, 13.3923332 52.4966549, 13.3924169 52.4966642, 13.3924579 52.4966687, 13.3924364 52.4967363, 13.3924348 52.4967415, 13.3925348 52.4967515))",Berlin,DE,1,10961,Blücherplatz,Kreuzberg,yes,,,http://zlb.de/,Amerika-Gedenkbibliothek,,library,,Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 11:00-17:00; PH off,,,,,,"[825188323, 6469647471, 162435080, 6770112284, 599527269, 599527265, 162435085, 9782141629, 2144331933, 9782141658, 599527267, 599527266, 10678950900, 162435096, 4530637739, 162435102, 162435059, 825188251, 162435061, 825188350, 6469647480, 10913906619, 162435068, 10913849343, 162435074, 825188323]",civic,6,0,,,,,,,,Q467903,,de:Amerika-Gedenkbibliothek,Stiftung Zentral- und Landesbibliothek Berlin,,,,,,+49 30 90226 0,4,lda,wlan,no,Baudenkmal,DE-109,09031119,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,18504880,"POLYGON ((13.4928017 52.6362413, 13.4927195 52.636301, 13.4928432 52.6363669, 13.4929271 52.6363097, 13.4930761 52.6362045, 13.4929539 52.6361416, 13.4930497 52.6360674, 13.4928432 52.6359581, 13.4927797 52.6360052, 13.4926431 52.6359371, 13.492494 52.6360397, 13.4926596 52.6361269, 13.4926204 52.6361544, 13.4928017 52.6362413))",,,,,,,,,,,,,,,,,,,,,"[190921250, 190921251, 330454599, 3080631834, 330454600, 330454602, 190921255, 190921257, 190921259, 190921260, 3762998064, 3762998065, 190921261, 190921250]",civic,2,2,,,,maroon,hipped,,,,,,,,,,,,,,,,,,,,,#FFFBE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,18676381,"POLYGON ((13.4308173 52.5376517, 13.4309128 52.5376204, 13.4308998 52.5376057, 13.4311211 52.5375331, 13.4311319 52.5375454, 13.4312212 52.5375161, 13.4311665 52.5374542, 13.4311847 52.5374482, 13.4311728 52.5374348, 13.4311578 52.5374178, 13.4311405 52.5374235, 13.4310981 52.5373755, 13.4310851 52.5373798, 13.4310695 52.5373622, 13.4309927 52.5373874, 13.4310045 52.5374009, 13.4309909 52.5374054, 13.4310041 52.5374203, 13.4308926 52.5374569, 13.4307889 52.537491, 13.4307791 52.5374799, 13.4307651 52.5374845, 13.43075 52.5374673, 13.4307183 52.5374777, 13.4306812 52.5374899, 13.4306945 52.537505, 13.430684 52.5375084, 13.4307337 52.5375647, 13.4307192 52.5375694, 13.4307349 52.5375872, 13.4307498 52.537604, 13.4307695 52.5375976, 13.4308173 52.5376517))",Berlin,DE,103,10405,Danziger Straße,Prenzlauer Berg,no,,Geoportal Berlin / Hauskoordinaten,,Theater unterm Dach,,theatre,,,,,,,,"[192785871, 1396037724, 1396037722, 1396037712, 1396037713, 192785873, 1396037708, 1396037706, 1334978399, 1396037704, 1396037705, 192785875, 3764297573, 3764297572, 3764297574, 3764297575, 1396037702, 1396037703, 1334978375, 1396037709, 1396037707, 3764297577, 3764297576, 9916995236, 3764297578, 3764297580, 192785876, 1396037716, 1396037717, 249267761, 1396037721, 1396037720, 192785871]",civic,3,0,,,,,hipped,,https://www.theateruntermdach-berlin.de/,Q2416153,,de:Theater unterm Dach (Berlin),,,,,,+49 30 902953817,+49 30 902953817,,,,,,,,,,actual,theateruntermdach@gmx.de,+49 30 9029538-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,22990151,"POLYGON ((13.3711258 52.5104391, 13.3711327 52.5104317, 13.3711388 52.5104234, 13.3712024 52.5104382, 13.3712283 52.5104549, 13.3712635 52.5103185, 13.3712443 52.5103184, 13.3712577 52.5102576, 13.371188 52.5102514, 13.3712378 52.5101798, 13.3711623 52.5101598, 13.371137 52.5101568, 13.3711287 52.5101922, 13.3710238 52.5101829, 13.3709612 52.5101763, 13.3706891 52.510149, 13.3706252 52.5101434, 13.3706208 52.5101504, 13.3704919 52.5101654, 13.3704234 52.5101726, 13.3704227 52.5102241, 13.3704222 52.5102331, 13.3704175 52.5102396, 13.3706465 52.5106703, 13.370643 52.5106818, 13.3706121 52.5107821, 13.3706551 52.5107879, 13.3706486 52.5108117, 13.3708116 52.5108279, 13.3708128 52.5108191, 13.3709918 52.5107998, 13.3709988 52.5107989, 13.3709936 52.5107774, 13.3709811 52.5107257, 13.3709924 52.5107249, 13.3710117 52.5106982, 13.3710177 52.5106892, 13.3710531 52.5106393, 13.3710587 52.5106315, 13.3710411 52.510627, 13.3710266 52.5106232, 13.3710415 52.5106042, 13.371048 52.5105951, 13.3710848 52.5105464, 13.371091 52.5105385, 13.3710592 52.5105294, 13.3710735 52.5105101, 13.3710799 52.5105014, 13.3711153 52.5104533, 13.3711258 52.5104391))",,,1,10785,Tiergartenstraße,,yes,,,,Musikinstrumenten-Museum,,,,"Tu,We,Fr 09:00-17:00; Th 09:00-22:00; Sa,Su 10:00-17:00",,0,,museum,,"[2766488264, 3101032055, 247855254, 3101032056, 247855371, 2766488253, 2766488254, 3102960291, 2766488248, 247855370, 247855369, 3102960288, 3101030924, 3101030923, 247855256, 3101030921, 247855257, 10696750421, 3101030922, 247854391, 3100521910, 3100521917, 247854390, 247855248, 3101032089, 2766488268, 3101032105, 247855249, 247855250, 2766488270, 3101032109, 247855251, 3101032103, 247855252, 2766488269, 3102960316, 3101032094, 3101032082, 247855253, 3101032079, 2766488267, 3102960311, 3101032075, 3101032070, 2766488266, 2766488265, 3102960308, 3101032064, 3101032058, 2766488264]",civic,3,1,,,,,,,http://www.sim.spk-berlin.de/mim_3.html,Q567069,Category:Musikinstrumentenmuseum (Berlin),de:Musikinstrumenten-Museum Berlin,,,,,,,,,,,,,,,yes,,,,,yes,Berlin Musical Instrument Museum,Muziekinstrumentenmuseum Berlijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23129534,"POLYGON ((13.3817117 52.5244604, 13.3817 52.5244587, 13.3817022 52.5244532, 13.3816521 52.5244457, 13.3816499 52.5244511, 13.381638 52.5244493, 13.3816241 52.5244821, 13.3814259 52.5244509, 13.3814399 52.5244181, 13.3813913 52.5244103, 13.3813938 52.5244045, 13.3813485 52.5243972, 13.3813459 52.5244029, 13.3813328 52.5244008, 13.3813237 52.5244213, 13.3811213 52.5243883, 13.3811304 52.5243678, 13.3811326 52.524362, 13.3810877 52.5243555, 13.3810855 52.5243613, 13.3808853 52.5243287, 13.38087 52.5243595, 13.3806629 52.5243267, 13.3806767 52.5242955, 13.3806699 52.5242944, 13.3806726 52.5242879, 13.3806285 52.5242811, 13.3806258 52.5242876, 13.3804849 52.5242659, 13.3804884 52.524259, 13.380445 52.5242509, 13.3804415 52.5242578, 13.3804242 52.5242546, 13.3804899 52.5240513, 13.3805011 52.5240206, 13.3805745 52.5240331, 13.3807014 52.5240505, 13.3806941 52.5240661, 13.3807717 52.5240793, 13.3808565 52.5240925, 13.3808931 52.524099, 13.3810143 52.5241179, 13.3810781 52.5241279, 13.3811155 52.5241337, 13.3813354 52.5241698, 13.381472 52.5241913, 13.3815497 52.5242047, 13.3815515 52.5241979, 13.3815627 52.5241999, 13.3816337 52.5242111, 13.3817053 52.5242225, 13.3817126 52.5242236, 13.3817098 52.5242309, 13.3818053 52.5242454, 13.3817117 52.5244604))",Berlin,,14a,10117,Schumannstraße,,,,,,Kammerspiele,,theatre,,,,,,,,"[1207291154, 9887288677, 9887288676, 9887288675, 9887288678, 1419863886, 1419863917, 9887288686, 9887288683, 9887288682, 9887288680, 9887288679, 9887288681, 9887288684, 9887288685, 1419863881, 1419863852, 9887288673, 9887288672, 9887288674, 1419863833, 1419863848, 1419863826, 1419863818, 9887288667, 9887288665, 9887288664, 9887288666, 9887288671, 9887288669, 9887288668, 9887288670, 1207291024, 9834150135, 1444365544, 1207291042, 9834150136, 9834150137, 345806645, 345806646, 1376206461, 345806649, 1207291062, 1376206462, 1207291087, 345806629, 9887288662, 9887288661, 1444365556, 9887579729, 1444365558, 9887288657, 9887288658, 9887288659, 1207291154]",civic,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
