element_type,osmid,amenity,brand,brand:wikidata,brand:wikipedia,opening_hours,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,name,man_made,surveillance,operator,railway,access,parking,atm,wheelchair:description,capacity,fee,source,barrier,note,tourism,check_date,material,operator:wikidata,operator:wikipedia,postal_code,ref,name:signed,check_date:opening_hours,cuisine,diet:vegan,diet:vegetarian,takeaway,contact:website,office,addr:inclusion,description,survey:date,disused:shop,dispensing,phone,shop,website,internet_access,disused:amenity,outdoor_seating,smoking,addr:housename,craft,note:de,opening_hours:signed,url,toilets:wheelchair,contact:phone,ref:vatin,social_facility,contact:mobile,wikidata,wikipedia,leisure,source:addr,air_conditioning,indoor_seating,opening_hours:kitchen,toilets,drive_through,contact:email,contact:fax,healthcare,healthcare:speciality,historic,fixme,wikimedia_commons,start_date,operator:type,park_ride,short_name,building,height,layer,min_height,roof:colour,roof:height,roof:material,roof:shape,nodes,building:levels,brothel:saunaclub,email,roof:levels,building:material,building:colour,heritage,heritage:operator,lda:criteria,ref:lda,alt_name,architect,architect:wikidata,architect:wikipedia,building:architecture,name:en,name:fr,nohousenumber,old_name,image,heritage:website,branch,kids_area,internet_access:fee,building:min_level,construction_date,internet_access:operator,fax,sport,post_office:brand,post_office:brand:wikidata,post_office:type,compressed_air,fuel:GTL_diesel,fuel:HGV_diesel,fuel:biogas,fuel:cng,fuel:diesel,fuel:octane_100,fuel:octane_91,fuel:octane_95,building:cladding,automated,opening_hours:self_service,self_service,official_name,railway:ref,railway:signal_box,club,religion,cafe,service:bicycle:pump,service:bicycle:repair,service:bicycle:retail,research_institution,atm:operator,payment:bancomat,payment:coins,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:visa,heritage:operator:short,mapillary,source:name,source:url,denomination,payment:credit_cards,payment:debit_cards,heritage:ref,year_of_construction,opening_hours:covid19,building:use,building:levels:underground,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:oil_change,facebook,ele,asb,telecom,noaddress,internet_access:ssid,payment:cash,website2,disused:brand,disused:contact:website,service,contact:facebook,contact:instagram,contact:twitter,drink:club-mate,owner,pumping_station,onkz,opening_hours:url,climbing:boulder,indoor,political_party:abbreviation,political_party:name,government,ref:bufa,addr:place,access:covid19,delivery:covid19,drive_through:covid19,car_wash,fuel:adblue,fuel:e10,fuel:lpg,fuel:octane_102,fuel:octane_98,fuel:e85,name:de,repair,gambling,note:noaddress,source:geometry,source:noaddress,opening_hours:office,was:office,roof:orientation,culture,payment:dkv,payment:uta,mobile,fuel:charcoal,fuel:e5,fuel:heating_oil,fuel:wood,diet:halal,diet:kosher,payment:american_express,was:building,frequency,power,substation,voltage,microbrewery,product,building:roof,roof:direction,drink:beer,drink:liquor,drink:wine,studio,fascade:colour,second_hand,disused:name,service_times,origin,payment:cards,computer:parts,computer:repair,computer:sales,wholesale,construction,crematorium,protection_title,source:shape,subject:wikidata,subject:wikipedia,truck_wash,community_centre,name:ja,elevator,elevator:access,service:vehicle:body_repair,service:vehicle:painting,name_alt,int_name,member_of,delivery,substance,building:part,climbing:bolted,climbing:length,climbing:sport,outdoor,waterway,not:name,building:facade:material,max_level,min_level,socket,socket:schuko,toilets:access,payment:others,sausage,noname,source:toilets:wheelchair,heritage:since,roof,trade,type,ways,building:roof:shape,building:parts,loc_name,construction:office
node,10539765825,,,,,,,POINT (13.4134993 52.5385561),,,,,,,Sudhaus Kulturbrauerei,,,,,,,,,,,https://www.kulturbrauerei.de/gelaende/lageplan/,,,,,,,,,,,,,,,,https://www.kulturbrauerei.de,,,"Sonnenklar.TV (Reisebüro), Ch. Links Verlag, be.bra Verlag, New York University, TLG Immobilien, TIC Tourist Information, ORT Medienverbund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10539796071,,,,,,,POINT (13.414198 52.5388849),,,,,,,Lagerhalle / Gärhaus - Kulturbrauerei,,,,,,,,,,,https://www.kulturbrauerei.de/gelaende/lageplan/,,,,,,,,,,,,,,,,https://www.kulturbrauerei.de/,,,"Kino in der KulturBrauerei,  Cihans Tapas Bar,  Green Living",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10723725005,,,,,,,POINT (13.3849613 52.4711713),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,3.4,1,3,9AA19A,0.4,eternit,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857234,,,,,,,"POLYGON ((13.2981361 52.5796515, 13.2973742 52.5791966, 13.2977758 52.578947, 13.2980226 52.5790947, 13.2980644 52.5791208, 13.2986014 52.5787868, 13.2988199 52.5789175, 13.2986139 52.5790464, 13.2988665 52.5791971, 13.2981361 52.5796515))",Berlin,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.brillux.de/unternehmen/niederlassungen/deutschland/niederlassung/details/111/,,,,,,,,paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[3332244053, 3332243850, 3332243692, 1068974565, 3332243841, 3332243624, 3332243688, 3332243817, 3332243851, 3332244053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857259,parking,,,,,,"POLYGON ((13.2949323 52.5796698, 13.2952761 52.5792435, 13.2951906 52.5792159, 13.2943501 52.5789651, 13.2945505 52.5792081, 13.2945509 52.5792086, 13.2946882 52.5793728, 13.2949323 52.5796698))",,,,,,,Haus S,,,,,,multi-storey,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[79349732, 79349733, 735308295, 79349734, 2166923586, 8007985507, 8007985508, 79349732]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857298,,,,,,,"POLYGON ((13.2947854 52.5798361, 13.2945189 52.5795112, 13.2944358 52.5794098, 13.2943921 52.5793566, 13.294354 52.5793101, 13.2942701 52.5792079, 13.2940968 52.5789965, 13.293444 52.5792026, 13.2935721 52.579357, 13.2937865 52.5792905, 13.2937833 52.5792868, 13.2938104 52.5792784, 13.2938135 52.5792821, 13.2939666 52.5792346, 13.2941165 52.5794164, 13.2942021 52.5795201, 13.2942126 52.5795167, 13.2942512 52.5795607, 13.2942407 52.5795641, 13.2943591 52.5797082, 13.2944302 52.5797947, 13.2945286 52.5799144, 13.2947854 52.5798361))",,,,,,,Haus K - L - M,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[79350716, 8007985501, 8007985502, 2166771244, 8007985504, 8007985505, 79350717, 79350718, 79350719, 2163842926, 8007985535, 8007985534, 8007985536, 79350720, 2166771251, 8007985533, 8007985531, 8007985530, 8007985532, 8007985524, 8007985517, 79350722, 79350716]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857318,,,,,,,"POLYGON ((13.2941655 52.5802006, 13.2944283 52.5801216, 13.2941817 52.5798236, 13.2940613 52.5798006, 13.2940733 52.5797772, 13.2939433 52.5797523, 13.2939313 52.5797757, 13.2937956 52.5797497, 13.2939616 52.5799494, 13.2941655 52.5802006))",,,,,,,Haus N,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,1,,,,,flat,"[79351158, 79351159, 79351160, 8007985539, 8007985538, 8007985537, 8007985540, 79351162, 2163842942, 79351158]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857351,,,,,,,"POLYGON ((13.2927664 52.5801744, 13.2931341 52.5802837, 13.2934232 52.5803696, 13.2934285 52.580365, 13.2933236 52.5802385, 13.2932595 52.5801612, 13.2932398 52.5801374, 13.2931573 52.5800379, 13.2930727 52.5799358, 13.2930223 52.579875, 13.2930135 52.5798718, 13.2927664 52.5801744))",,,,,,,Haus F,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[79352144, 2167006057, 79352142, 8007985558, 8007985543, 2167006056, 8007985549, 8007985546, 8007985545, 79352143, 8007985557, 79352144]",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857445,,,,,,,"POLYGON ((13.2957031 52.5792391, 13.2953096 52.5791201, 13.2957614 52.5785648, 13.2961574 52.5786845, 13.2957031 52.5792391))",,,,,,,,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,flat,"[3332243863, 3332243840, 79354171, 79354170, 3332243863]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10268203,,,,,,,"POLYGON ((13.2938147 52.5796562, 13.2938905 52.5795178, 13.2939125 52.5794777, 13.2937204 52.5794389, 13.2936204 52.5794186, 13.2935226 52.5795972, 13.2936218 52.5796172, 13.2938147 52.5796562))",,,,,,,Haus J,,,,,,,,,,,Geoportal Berlin / ALKIS Berlin - Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[85768015, 2166771252, 85768014, 2163842928, 85768013, 85768016, 2163842931, 85768015]",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
