element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,description,name,opening_hours,ref:isil,toilets:wheelchair,website,wheelchair,wheelchair:description,wikidata,geometry,contact:phone,check_date:opening_hours,contact:website,internet_access,internet_access:fee,internet_access:operator,wikipedia,addr:housename,contact:email,note,operator,wheelchair:description:de,phone,name:en,ref,email,changing_table,kids_area:indoor,toilets,toilets:access,level,alt_name,opening_hours:covid19,access,entrance,source,fax,service:copy,addr:place,layer,name:etymology:wikidata,contact:fax,air_conditioning,operator:type,operator:wikidata,operator:wikipedia,check_date,fixme,old_name,books:language:de,books:language:en,books:language:es,books:language:fr,books:language:ru,dog,indoor,language:de,language:en,language:others,name:it,smoking,wheelchair:description:en,wheelchair:description:eo,facebook,loc_name,min_age,name:fr,fee,tourism,books,name:de,description:de,short_name,image,start_date,nodes,building,roof:shape,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,building:colour,building:material,roof:colour,survey:date,construction,wikimedia_commons,postal_code,heritage:website,short_name:en,roof:material,building:architecture,height,architect,building:min_level,min_height,name:ru,building:part,blind:description:de,alt_name_1,official_name,room,research_institution,addr:district,ways,architect:wikidata,name:es,name:he,name:ja,name:ko,name:pl,name:tr,name:zh,type
node,29071031,Berlin,DE,33,10559,Perleberger Straße,Moabit,library,"Mo.-Fr. 11.00 - 19.30 Uhr, Sa. 10.00 - 14.00 Uhr",Bruno-Lösche-Bibliothek,Mo-Fr 10:00-19:30; Sa 10:00-14:00,DE-B707,no,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,yes,Hat eine Rampe durch die Aktion www.tausendundeinerampe.de,Q28681449,POINT (13.3475136 52.5312448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60848456,Berlin,DE,14,10369,Anton-Saefkow-Platz,,library,,Anton-Saefkow-Bibliothek,"Mo-We 13:00-19:00; Th,Fr 09:00-18:00; Sa 09:00-13:00",,,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,yes,,Q28738330,POINT (13.4708382 52.5307772),+4930902963773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89275152,Berlin,DE,30-36,10178,Breite Straße,Mitte,library,,Berliner Stadtbibliothek,Mo-Fr 10:00-21:00; Sa 10:00-19:00,DE-109,yes,,yes,,Q821763,POINT (13.4041356 52.5155636),,2022-11-03,http://www.zlb.de/,terminal,no,Hotsplots,de:Berliner Stadtbibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,203557001,Berlin,DE,4,12681,Helene-Weigel-Platz,Marzahn,library,,Stadtteilbibliothek Erich Weinert,"Mo,Tu,Th,Fr 11:00-18:00;We 09:00-13:00;Su,PH off",,,,limited,Zugang ohne Stufen,,POINT (13.538715 52.5281578),+49 30 5429251,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256922190,Berlin,DE,18,13627,Halemweg,Charlottenburg-Nord,library,WLAN frei für 30 Minuten,Stadtteilbibliothek Halemweg,,none,,,yes,,Q55153230,POINT (13.2871861 52.5375039),,,,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,257708789,Berlin,DE,13,13597,Carl-Schurz-Straße,Spandau,library,,Bezirkszentralbibliothek Spandau,Mo-Fr 10:00-20:00; Sa 10:00-15:00,,,,yes,,Q15848809,POINT (13.2013864 52.5361334),+49 30 90279 5537,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,wlan,,,de:Stadtbibliothek Spandau,Stadtbücherei Spandau,bibliothek@ba-spandau.berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263679066,Berlin,DE,52-54,12679,Marzahner Promenade,Marzahn,library,,Bezirkszentralbibliothek Mark Twain,"Mo, Tu, Th, Fr 10:00-19:30; We 14:00-19:30; Sa 10:00-14:00",DE-B2228,,https://www.berlin.de/bibliotheken-mh/,yes,Die obere Etage der Bibliothek ist über Umwege durch das Treppenhaus erreichbar.,Q28681443,POINT (13.556704 52.54722),+493054704154,,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,,,,,,,Weltacker-Club-Mitglied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264776935,,,37,10785,Potsdamer Straße,,library,,Ibero-Amerikanisches Institut,Mo-Sa 08:00-22:00,DE-204,no,https://www.iai.spk-berlin.de/,limited,,Q28737641,POINT (13.369701 52.5068092),,2022-10-03,,wlan,,,,,,,Stiftung Preußischer Kulturbesitz,"Veranstaltungsraum Símon Bolívar-Saal nicht zugänglich per Fahrstuhl, Anmeldung erforderlich, keine behindertengerechte Toilette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266540876,Berlin,DE,181,10119,Brunnenstraße,Mitte,library,,Bezirkszentralbibliothek Philipp Schaeffer,"Mo-Fr 10:00-19:30; Sa 10:00-14:00; Su,PH off",DE-B456,yes,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,yes,"Has raised platform and lower floor with steps in children's section on basement. In other words, it has been made less accessible by design.",Q28657184,POINT (13.3986959 52.5316059),,,,wlan,no,,,,,,,,+49309018-24444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266629485,Berlin,DE,24-26,12623,Alt-Mahlsdorf,Mahlsdorf,library,,Stadtteilbibliothek Mahlsdorf,"Mo 13:00-17:00, Tu,Th 13:00-19:00, We,Fr 10:00-14:00; 2023 Mar 27 off; 2023 May 19 off; 2023 Jun 14 off; 2023 Oct 02 off; 2023 Oct 18 off; 2023 Dec 27-29 off; PH off",,,,yes,,,POINT (13.6127893 52.5055546),+49 30 5676866,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
