element_type,osmid,geometry,barrier,opening_hours,access,lit,name,tourism,website,wheelchair,bicycle,foot,note,addr:city,addr:housenumber,addr:postcode,addr:street,phone,toilets:wheelchair,wheelchair:description,description,dog,fee,operator,addr:country,addr:suburb,level,source,artist_name,start_date,historic,loc_name,leisure,leaf_cycle,leaf_type,natural,wikidata,height,wikimedia_commons,image,surface,contact:website,landuse,nodes,name:etymology:wikidata,name:etymology:wikipedia,protection_title,wikipedia,alt_name,architect,architect:wikidata,architect:wikipedia,heritage,heritage:operator,heritage:website,lda:criteria,lda:inscription_date,name:he,name:ru,reconstruction_date,ref:lda,name:be,postal_code,smoothness,old_name,short_name,layer,sport,boundary,protect_class,place,name:en,opening_hours:covid19,de:strassenschluessel,historic:garden:type,historic:leisure,reg_name,name:fa,smoking,old_name:etymology:wikidata,old_name:etymology:wikipedia,short_protection_title,payment:coins,bldam:criteria,official_name,proposed:name,proposed:name:etymology:wikidata,proposed:name:start_date,source:description,building,denomination,religion,check_date:opening_hours,esperanto,name:etymology,operator:type,area,dogs,cemetery:end_date,name:ja,email,cutting,name:2017-03-12--,ref:whc,whc:criteria,whc:inscription_date,garden:type,nudism,was:landuse,building:levels,roof:shape,noname,roof:material,construction,year_of_construction,landcover,abandoned:amenity,ref:bldam,note:contact:website,website:de,whatsapp,ways,type,name:de,name:ko
node,9844946880,POINT (13.3827595 52.5462418),,,,,Liegewiese,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10733144583,POINT (13.4421722 52.4457757),,,,,Britzer Baumblüte,,http://www.britzer-baumbluete.de,,,,,Berlin,,12359,Parchimer Allee,,,,Volksfest im Frühling,,,,,,,,,,,,park,,,,,,,https://www.wollenschlaeger-berlin.de/wp-content/uploads/2020/02/BritzerBaumbl%C3%BCte-009a-1900x900.jpg;https://www.wollenschlaeger-berlin.de/wp-content/uploads/2020/02/BritzerBaumbl%C3%BCtte-010-1900x730.jpg,,https://www.wollenschlaeger-berlin.de/65-britzer-baumbluete,fairground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10959526674,POINT (13.371405 52.5184552),,24/7,,,"Ehemalige Krolloper, heute Skulpturenpark",,https://de.wikipedia.org/wiki/Krolloper,,,,,,,,Heinrich-von-Gagern-Straße,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4413796,"POLYGON ((13.31144 52.4938183, 13.3115336 52.4938125, 13.31157 52.4938159, 13.311603 52.4938266, 13.3116444 52.4938519, 13.3121278 52.4938608, 13.3125152 52.4938663, 13.312559 52.4938628, 13.3129525 52.4937455, 13.3135276 52.4935724, 13.3146217 52.4932701, 13.3146439 52.4932493, 13.3146816 52.4932118, 13.3146236 52.4922684, 13.3146234 52.4922342, 13.3144491 52.4916652, 13.3144328 52.491569, 13.3144192 52.4915152, 13.3134003 52.4912073, 13.3124549 52.4918785, 13.3121117 52.4921261, 13.3117702 52.4923737, 13.3114388 52.4926236, 13.3112551 52.4927675, 13.3108399 52.493154, 13.3105861 52.493392, 13.3106073 52.4934006, 13.310569 52.4934353, 13.3105479 52.4934267, 13.3103314 52.4936329, 13.3104135 52.493836, 13.3109383 52.4938423, 13.31144 52.4938183))",,24/7,,,Preußenpark,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,Q21777340,,Category:Preußenpark (Berlin-Wilmersdorf),https://commons.wikimedia.org/wiki/File:WilmersdorfPreu%C3%9Fenpark.jpg,,,,"[1392678556, 1392678557, 9400968027, 1392678559, 1392678572, 279152682, 1392678574, 9400968028, 1392678554, 1392678531, 1392678488, 3680820638, 279151252, 27013489, 9400968029, 27013490, 9400968030, 27013491, 27013492, 27013495, 1392678370, 1392678390, 1392678422, 27013496, 1392678469, 5132650330, 5132649292, 5132645265, 5132650331, 27013493, 1392678566, 10272416436, 1392678556]",Q161036,de:Freistaat Preußen,Geschützte Grünanlage,de:Preußenpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4440110,"POLYGON ((13.3929865 52.3988901, 13.3929823 52.3989694, 13.3932595 52.3989947, 13.3933348 52.3989987, 13.3935208 52.3990157, 13.3937114 52.3990435, 13.393863 52.3990685, 13.3939355 52.3990776, 13.394286 52.3991218, 13.3946626 52.3991627, 13.3949136 52.3991831, 13.3951731 52.3992012, 13.3954697 52.3992143, 13.3959887 52.3992439, 13.3960085 52.3992088, 13.3955264 52.399157, 13.3956066 52.3988064, 13.3956299 52.3987846, 13.3961446 52.3987665, 13.3961564 52.398641, 13.3955541 52.3986955, 13.3950761 52.3987485, 13.3943555 52.3988263, 13.3939457 52.3988606, 13.3935746 52.3988917, 13.393302 52.398904, 13.393034 52.3988993, 13.3929865 52.3988901))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,"[3740399949, 3740399991, 3740399993, 3740399995, 3740400006, 3740400014, 3740400529, 5320259895, 3740400549, 3740400560, 3740400563, 3740400570, 3740400571, 3740400579, 3740400566, 3740400557, 559488596, 3740399416, 3740399415, 3740399346, 5320259896, 3740399397, 3740399930, 5320259900, 3740399960, 3740399969, 3740399964, 3740399949]",,,Geschützte Grünanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4592869,"POLYGON ((13.3390227 52.5258677, 13.338811 52.5262696, 13.3383147 52.5263187, 13.3382977 52.52625, 13.3382112 52.5262439, 13.3381844 52.526242, 13.3379024 52.5262222, 13.3378237 52.5262167, 13.3377143 52.526209, 13.3377056 52.5262084, 13.3374174 52.5261881, 13.3373294 52.526182, 13.3371585 52.5261699, 13.3370521 52.5261625, 13.3370382 52.5261615, 13.3369542 52.5261556, 13.3368845 52.5261507, 13.3368183 52.526146, 13.3365982 52.5261306, 13.3365202 52.5261251, 13.3363047 52.5261118, 13.3360612 52.5260952, 13.3361013 52.5258886, 13.3360755 52.5258868, 13.3359504 52.5258783, 13.3359237 52.5258768, 13.3356445 52.525853, 13.3354462 52.5258792, 13.3353098 52.525454, 13.3351284 52.5248935, 13.3376551 52.5255269, 13.3379627 52.5256035, 13.3383331 52.5256959, 13.3385546 52.525751, 13.3389498 52.5258495, 13.3390227 52.5258677))",,,,,Ottopark,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,Q56479329,,,,,,,"[29040571, 29040572, 5766492879, 5766492878, 2828426395, 5766492874, 5766492872, 5766492873, 5766492758, 10042567245, 2828427506, 2828427505, 2828427509, 10042567253, 2828427510, 2828427513, 2828427514, 2828426381, 2828426369, 2828426368, 29040573, 2828160233, 29040574, 5766492777, 5766492778, 2828160234, 10042557137, 29040575, 1495463042, 29040576, 29962293, 10042567296, 10042567287, 10042557032, 10042557023, 29040571]",Q56098823,,Geschützte Grünanlage,,Ottoplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4611881,"POLYGON ((13.3773207 52.5032558, 13.3769375 52.5033765, 13.3768715 52.5033972, 13.3760087 52.5036689, 13.3759885 52.5036752, 13.3759587 52.5036846, 13.3755684 52.5038075, 13.3755149 52.5038071, 13.3753954 52.5035962, 13.3753112 52.5034492, 13.3752345 52.5033137, 13.3751615 52.5031863, 13.3751307 52.5031162, 13.3750967 52.503035, 13.3753319 52.5029428, 13.375356 52.5029333, 13.3753759 52.5029255, 13.3756646 52.5028123, 13.3759268 52.5027089, 13.3760645 52.50265, 13.376217 52.5025788, 13.3763802 52.5024884, 13.3764739 52.5024306, 13.3766788 52.5022842, 13.3767833 52.5021964, 13.3769165 52.5020676, 13.3770359 52.5021238, 13.3770538 52.5021323, 13.3770698 52.5021398, 13.3776475 52.5024118, 13.3776658 52.5024204, 13.3776795 52.5024269, 13.3782413 52.5026914, 13.3782736 52.5027066, 13.3782173 52.5027388, 13.3776561 52.5030599, 13.3776457 52.5030658, 13.37763 52.5030748, 13.3775636 52.5031128, 13.3775045 52.5031625, 13.3773982 52.5032241, 13.3773207 52.5032558))",,,,,Mendelssohn-Bartholdy-Park,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,Q1243413,,Category:Mendelssohn-Bartholdy-Park,https://commons.wikimedia.org/wiki/File:Mendelssohn-Bartholdy-Park_20150224_5.jpg,,,,"[29209071, 9796961401, 9796961400, 9796961351, 9796961402, 9796961356, 7823298105, 29209074, 7823298106, 7823298107, 7823298108, 7823298109, 7823298110, 29209072, 9796961368, 7823298111, 9796961369, 7823298128, 7823298127, 7823298126, 29209076, 7823298129, 7823298130, 161921852, 7823298131, 29209075, 9796961382, 9796961405, 9796961383, 9796961388, 9796961404, 9796961391, 9796961396, 29209079, 9796961395, 9796961308, 9796961403, 9796961313, 7823298048, 7823298049, 7823298050, 29209071]",Q46096,de:Felix Mendelssohn Bartholdy,,de:Mendelssohn-Bartholdy-Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4638994,"POLYGON ((13.3807694 52.4867775, 13.3806709 52.4867765, 13.3806498 52.4867763, 13.3792912 52.4867825, 13.3792907 52.486703, 13.3792866 52.486471, 13.3792769 52.4860395, 13.3792712 52.485799, 13.3792703 52.4856995, 13.3792699 52.485655, 13.3792648 52.4855312, 13.379263 52.4853511, 13.3792591 52.4851403, 13.3787811 52.4851473, 13.3787825 52.485194, 13.3787837 52.4852335, 13.3787862 52.4853161, 13.3787286 52.4853175, 13.378765 52.4865297, 13.3787752 52.4866769, 13.3788212 52.486659, 13.3788177 52.4867969, 13.3787755 52.486798, 13.3782656 52.4868031, 13.3781773 52.4868082, 13.3781786 52.4869981, 13.3779193 52.4870065, 13.3777444 52.4870078, 13.3777469 52.4872036, 13.3777578 52.4875879, 13.3768507 52.4875985, 13.3768911 52.4889435, 13.3768918 52.4889655, 13.3768973 52.4891497, 13.3771661 52.4893079, 13.3774509 52.4893271, 13.3775295 52.4893324, 13.3775242 52.4893585, 13.3814547 52.4896615, 13.3817297 52.4896827, 13.3822789 52.489725, 13.3823228 52.4897284, 13.3831311 52.4897907, 13.3831162 52.4896355, 13.3831061 52.4895307, 13.3830283 52.489431, 13.3829554 52.489405, 13.3829394 52.4893679, 13.382886 52.4892491, 13.382867 52.4892039, 13.3829524 52.4891426, 13.3829627 52.4890731, 13.3829386 52.4890048, 13.3829006 52.488936, 13.3828226 52.4888443, 13.3828266 52.4888079, 13.3836722 52.4884983, 13.3838423 52.4884863, 13.384779 52.4883844, 13.384494 52.4879607, 13.3843554 52.4878482, 13.3840612 52.4876691, 13.383789 52.4875436, 13.3838605 52.4874748, 13.3838855 52.4874533, 13.3839122 52.4874336, 13.3835651 52.4873221, 13.3833796 52.4872837, 13.3832248 52.4872582, 13.3830811 52.4872388, 13.3829516 52.4872265, 13.3827885 52.4872211, 13.3827421 52.4872207, 13.3825083 52.4872378, 13.3822067 52.4872926, 13.3818762 52.4873678, 13.3814509 52.4873537, 13.3814082 52.4873554, 13.3813814 52.4873564, 13.3813706 52.4873583, 13.3810101 52.4874214, 13.3807853 52.4874581, 13.3807601 52.4872823, 13.3807577 52.4871022, 13.3807571 52.4870799, 13.3807591 52.4870301, 13.3807694 52.4867775))",,,,,Viktoriapark,,,,,,,,,,,,,,"Parkanlage von 12,8 Hektar Fläche.",,,,,,,,,1821,,,park,,,,Q566495,,Category:Viktoriapark,,,,,"[29498354, 9794592031, 241490692, 29498355, 2303677409, 1978516017, 1978515999, 1978515955, 7112807256, 502190266, 1586595361, 3162905981, 29498347, 29498359, 3395046225, 9794531999, 3395046234, 3395046235, 3395046280, 9794531997, 2869991651, 2869991648, 356947369, 2408599472, 9794592547, 2869991646, 241490645, 3395047311, 3395047318, 29498357, 2204290428, 3785063990, 10624368747, 2204290431, 4032629877, 10624368746, 5212363649, 5212363648, 9794696110, 9794667214, 9794667207, 9794696066, 29498348, 2190110286, 502190281, 5353135050, 1552341481, 3163413094, 3163413062, 1552341464, 5353135049, 29498350, 5353135048, 1552370311, 1552370304, 5353135047, 1552370295, 3163973094, 29498351, 29498352, 9583023608, 9583023609, 9583023610, 29498361, 9794592106, 243337895, 5212363630, 1978273379, 9794592112, 29498363, 5212363629, 1978273329, 1978273324, 243337901, 1977636565, 241490695, 9794592109, 9794592107, 378221425, 9794592463, 1978516267, 241490694, 1978516150, 1978516063, 1978516054, 9794592424, 29498354]",Q308902,de:Victoria (Mythologie),,de:Viktoriapark,,Hermann Mächtig; Albert Brodersen,Q1388122; Q1747455,de:Hermann Mächtig,4,lda,https://denkmaldatenbank.berlin.de/daobj.php?obj_dok_nr=09046157,Gartendenkmal,1980,פארק ויקטוריה,Парк Виктория,1888..1894;1913..1916,"09046157,T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4675900,"POLYGON ((13.3540073 52.5215538, 13.3543615 52.5215043, 13.3550533 52.5214075, 13.3550469 52.5213785, 13.3552554 52.5213273, 13.3557744 52.5227689, 13.3559957 52.5233838, 13.3560309 52.5234837, 13.3560528 52.5235488, 13.3559038 52.5235537, 13.355848 52.5235608, 13.3557582 52.5235721, 13.3556961 52.52358, 13.3553503 52.5236238, 13.3552903 52.5236314, 13.3549457 52.5236751, 13.3547927 52.5236945, 13.354684 52.5233829, 13.3551754 52.5233198, 13.3551286 52.5231934, 13.3546426 52.5232569, 13.3546263 52.5232652, 13.3545818 52.5231514, 13.3546738 52.5231382, 13.3546288 52.5230162, 13.3544112 52.5230451, 13.3543526 52.5228668, 13.3540372 52.5219073, 13.3539897 52.5217626, 13.3539686 52.5216985, 13.3540073 52.5215538))",,,,,Carl-von-Ossietzky-Park,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,Q14544284,,Category:Carl-von-Ossietzky-Park (Berlin-Moabit),https://commons.wikimedia.org/wiki/File:Moabit_Carl-von-Ossietzky-Park-7.jpg,,,,"[29696427, 5410332866, 5410332882, 5410332881, 29696433, 10003934106, 29696436, 1233586624, 3758729010, 3758729011, 10003934103, 10003934104, 10003934098, 10003934101, 10003934097, 10003934094, 3758729012, 4470203880, 4470203881, 4470203882, 5410332888, 3758750192, 3758729004, 3758729003, 2272451599, 2272451601, 10205044124, 5410332846, 5410332847, 2272451476, 29696427]",Q76358,de:Carl von Ossietzky,Geschützte Grünanlage,de:Carl-von-Ossietzky-Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4685998,"POLYGON ((13.481767 52.4859887, 13.4810746 52.4859867, 13.4805261 52.4860644, 13.4804222 52.4860944, 13.4802014 52.4861631, 13.4798045 52.4863267, 13.478946 52.4868056, 13.4788699 52.4867738, 13.4788239 52.4868116, 13.4786597 52.4869948, 13.4780467 52.487769, 13.4778938 52.4880728, 13.4777136 52.4887848, 13.4770475 52.4893287, 13.4761801 52.4899424, 13.4755721 52.4902776, 13.4735962 52.4911218, 13.4729469 52.4912152, 13.4716532 52.4914445, 13.4702852 52.4917513, 13.4685073 52.4923466, 13.4670172 52.4927111, 13.4658169 52.4931572, 13.465779 52.4931694, 13.4657466 52.4931823, 13.4654486 52.4932965, 13.4651473 52.493405, 13.4651105 52.4934186, 13.4650572 52.4934383, 13.4644558 52.4936639, 13.4644167 52.4936769, 13.4643805 52.4936897, 13.4640604 52.4938282, 13.4640287 52.4938419, 13.4639922 52.4938576, 13.463542 52.4940623, 13.4635204 52.4940729, 13.4634961 52.4940837, 13.4633682 52.4941431, 13.4633515 52.4941513, 13.4633323 52.4941606, 13.463199 52.4942157, 13.4631751 52.4943467, 13.4639547 52.4949859, 13.4639761 52.4950117, 13.463983 52.4950249, 13.463984 52.4950412, 13.4639759 52.4950628, 13.4639663 52.4950788, 13.4639502 52.495095, 13.4638334 52.4951589, 13.4637759 52.4951186, 13.4637384 52.4951372, 13.4635977 52.4950345, 13.4622774 52.4938338, 13.4612835 52.4928367, 13.4610936 52.4926044, 13.4608481 52.4922472, 13.4609684 52.4922074, 13.4608989 52.4920898, 13.4607679 52.4918597, 13.460625 52.4916026, 13.4605157 52.4912662, 13.4603783 52.4906612, 13.4602762 52.4901718, 13.4606093 52.4899431, 13.4609219 52.4897319, 13.4611641 52.4895682, 13.4620053 52.4889998, 13.462101 52.4889352, 13.4633342 52.4881029, 13.463426 52.4880411, 13.4641211 52.4875734, 13.4641989 52.4875211, 13.464341 52.4874288, 13.4644952 52.4873286, 13.4646516 52.4872539, 13.4651602 52.4869117, 13.4665799 52.4858979, 13.4679006 52.4850084, 13.4688249 52.4843682, 13.4710153 52.482897, 13.4729864 52.4815498, 13.4796456 52.4846706, 13.4813447 52.4854897, 13.4816806 52.4858194, 13.4818267 52.4859587, 13.481767 52.4859887))",,,,,Treptower Park,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,Q666937,,,,,,,"[4842240194, 4842240193, 29786562, 1734664834, 5862309619, 1734664836, 29786563, 5667827680, 5862309618, 380069720, 29786564, 4842240190, 4842240184, 4190262794, 29786760, 29786759, 29786758, 29786757, 417213116, 29786756, 1551950490, 1551950491, 29786755, 3124594520, 1551950499, 5862309597, 1551950517, 3124594522, 1551950519, 1551950534, 3124594524, 1551950537, 1551950542, 3124594528, 1551950555, 1551950563, 1551950564, 1551950565, 1551950567, 1551950568, 1551950569, 282270470, 29786754, 3124595030, 7233173898, 7233173897, 261973488, 7233173895, 7233173896, 38898288, 4303162859, 3409383857, 4277697692, 261973489, 4590793967, 4590793950, 4314796571, 29786751, 9992872719, 9992872721, 9992872720, 9992872722, 9992872723, 9992872724, 9992872725, 419214317, 9992872690, 9992872691, 9992872726, 9992872704, 9992872727, 9992928847, 9992928823, 419214316, 9992928829, 419214309, 261973668, 261973672, 257375935, 419214602, 3131745418, 3131745400, 29786761, 3383826217, 3383826218, 417213046, 3383826221, 4842240194]",Q702517,de:Berlin-Alt-Treptow,,de:Treptower Park,,,,,,,,,,,Трептов-парк,,,Трэптаў-парк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
