element_type,osmid,amenity,capacity,capacity:disabled,parking_space,wheelchair,geometry,capacity:parent,capacity:women,description,maxstay,parking,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,wheelchair:description,access,access:disabled,disabled,fee,nodes,building,building:levels,covered,opening_hours,supervised,surface,lit,check_date:fee,operator,park_ride,parking:orientation,name,psv,parking:disabled,fixme,parking:street_side:of,parking:street_side:of:name,traffic_sign,markings,orientation,note,survey:date,access:conditional,check_date,maxstay:conditional,parking:condition
node,976088652,parking_space,1,1,disabled,yes,POINT (13.2587502 52.4268753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1097567329,parking_space,2,2,,yes,POINT (13.3327385 52.5068879),no,no,2 Behindertenparkplätze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1233571732,parking_space,1,,disabled,,POINT (13.3777617 52.5179286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1338462683,parking_space,,,,yes,POINT (13.1972871 52.5332595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1387268146,parking_space,9,3,,yes,POINT (13.4977286 52.509312),,,,30 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1402386175,parking_space,4,4,,limited,POINT (13.3344901 52.5079398),no,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1404031352,parking_space,2,2,disabled,yes,POINT (13.2595981 52.4298676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1653339127,parking_space,1,2,,limited,POINT (13.4219499 52.5107172),,,,,,Berlin,DE,15-16,10179,Michaelkirchstraße,Mitte,Montag - Freitag von 8 Uhr bis 18 Uhr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1905671723,parking_space,1,1,disabled,yes,POINT (13.3432905 52.5009197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2136530615,parking_space,3,,disabled,,POINT (13.4969909 52.5113138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3404923867,parking_space,,,,,POINT (13.4024639 52.4551949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3876236857,parking_space,4,4,,yes,POINT (13.52557 52.4929719),,,,,,,,,,,,4 Behinderten-Parkplätze,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4073304589,parking_space,1,,disabled,yes,POINT (13.3869263 52.5120062),,,Behindertenparkplatz,,surface,Berlin,DE,6,10117,Mohrenstraße,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4530147414,parking_space,1,1,,,POINT (13.3923212 52.5047755),,,,,surface,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7850084085,parking_space,,,disabled,,POINT (13.5343924 52.4333614),,,,,,,,,,,,,no,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7850084133,parking_space,,,disabled,,POINT (13.5335824 52.4338799),,,,,,,,,,,,,no,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8413638657,parking_space,1,,disabled,,POINT (13.5610594 52.5479257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8413638678,parking_space,1,,disabled,,POINT (13.5601997 52.5479783),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8414134610,parking_space,1,,disabled,,POINT (13.5803238 52.5525316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421891375,parking_space,2,,disabled,,POINT (13.559455 52.555461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956849,parking_space,1,,disabled,,POINT (13.5479142 52.5446253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956850,parking_space,1,,disabled,,POINT (13.5478353 52.5446041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956861,parking_space,1,,disabled,,POINT (13.5492956 52.545011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956862,parking_space,1,,disabled,,POINT (13.5493561 52.5450237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8421956908,parking_space,1,,disabled,,POINT (13.5534612 52.5460878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237399,parking_space,1,,disabled,,POINT (13.5560675 52.5391673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237400,parking_space,1,,disabled,,POINT (13.5560704 52.5391169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237401,parking_space,1,,disabled,,POINT (13.5560668 52.5390613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422237410,parking_space,1,,disabled,,POINT (13.5550767 52.5384602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392248,parking_space,1,,disabled,,POINT (13.5638409 52.5364466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392249,parking_space,1,,disabled,,POINT (13.5637592 52.536427),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392262,parking_space,1,,disabled,,POINT (13.5648345 52.538273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8422392263,parking_space,1,,disabled,,POINT (13.5647602 52.5382269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8431899646,parking_space,1,,disabled,,POINT (13.5786995 52.5499044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8483797690,parking_space,1,,disabled,,POINT (13.5692061 52.5333371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8483797691,parking_space,1,,disabled,,POINT (13.5692007 52.5332948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8525657771,parking_space,1,,disabled,,POINT (13.5572009 52.5319017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8541168485,parking_space,1,,disabled,,POINT (13.5460274 52.4054696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8542946251,parking_space,1,,disabled,,POINT (13.5733849 52.542332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8542946271,parking_space,1,,disabled,,POINT (13.573651 52.5431753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561116199,parking_space,1,,disabled,,POINT (13.5725466 52.541829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561120295,parking_space,1,,disabled,,POINT (13.5765742 52.5421033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8561437693,parking_space,1,,disabled,,POINT (13.5681081 52.5446622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566290331,parking_space,1,,disabled,,POINT (13.5771924 52.528507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566290338,parking_space,1,,disabled,,POINT (13.5771118 52.5292836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566719916,parking_space,1,,disabled,,POINT (13.5746657 52.5284352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728717,parking_space,1,,disabled,,POINT (13.5746566 52.5283933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728759,parking_space,1,,disabled,,POINT (13.5769286 52.5277349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8566728761,parking_space,1,,disabled,,POINT (13.5749739 52.5277374),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8589593126,parking_space,1,,disabled,,POINT (13.5648433 52.5414078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8589751553,parking_space,1,,disabled,,POINT (13.5486922 52.5195646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594324528,parking_space,1,,disabled,,POINT (13.5639982 52.548123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594324591,parking_space,1,,disabled,,POINT (13.5622319 52.5496752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594367487,parking_space,1,,disabled,,POINT (13.5591288 52.553782),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8594367492,parking_space,1,,disabled,,POINT (13.5598593 52.5535498),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8599903909,parking_space,1,,disabled,,POINT (13.5517486 52.5487994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8614026184,parking_space,1,,disabled,,POINT (13.5466243 52.5409743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8617975790,parking_space,1,,disabled,,POINT (13.5586216 52.5393575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8637837049,parking_space,1,,disabled,,POINT (13.5987691 52.5419369),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8637837080,parking_space,1,,disabled,,POINT (13.5975208 52.5416037),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8654000203,parking_space,1,,disabled,,POINT (13.5605997 52.4901642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8663730164,parking_space,1,,disabled,,POINT (13.5761887 52.4228409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8675822138,parking_space,1,,disabled,,POINT (13.5718457 52.4368425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8685257772,parking_space,1,,disabled,,POINT (13.5091168 52.5387546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8728726337,parking_space,1,,disabled,,POINT (13.5432314 52.5270392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8728726338,parking_space,1,,disabled,,POINT (13.5432305 52.5269781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8733506388,parking_space,1,,disabled,,POINT (13.3758657 52.5735041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8849510743,parking_space,1,,disabled,,POINT (13.566642 52.5259294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8951355551,parking_space,1,,disabled,,POINT (13.4728641 52.4967212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9081410123,parking_space,1,,disabled,,POINT (13.547956 52.5235806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9371701737,parking_space,1,,disabled,,POINT (13.585589 52.4108244),,,,,,,,,,,,,permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9387208717,parking_space,1,,disabled,,POINT (13.5860978 52.4056546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9837793944,parking_space,1,,disabled,,POINT (13.5584872 52.4367924),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9973805561,parking_space,,,disabled,,POINT (13.5712265 52.5436757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9975272104,parking_space,,,disabled,,POINT (13.5425904 52.5446871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992229146,parking_space,,,disabled,,POINT (13.5514922 52.5358912),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992229160,parking_space,,,disabled,,POINT (13.5512474 52.535954),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992531286,parking_space,,,disabled,,POINT (13.5564778 52.5485537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9992750339,parking_space,,,disabled,,POINT (13.5586585 52.5503979),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10008899600,parking_space,1,,disabled,,POINT (13.5534223 52.4692714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10223151629,parking_space,1,,disabled,,POINT (13.4845037 52.4235318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10300091020,parking_space,1,,disabled,,POINT (13.568658 52.4538711),,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10683315286,parking_space,,,disabled,,POINT (13.6332131 52.4508565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
