element_type,osmid,amenity,name,religion,wheelchair,geometry,denomination,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,operator,website,note,addr:housename,service_times,wheelchair:description,source,contact:email,description,name:ru,opening_hours,place_of_worship,start_date,name:de,name:en,check_date,level,name:fa,email,phone,fax,construction,wikidata,wikipedia,addr:inclusion,alt_name,contact:facebook,contact:fax,toilets:wheelchair,name:ar,name:ku,colour,man_made,contact:email_1,protestant,tourism,historic,church,name:bs,name:pt,short_name,contact:mobile,addr:unit,books,shop,name:tr,inscription,material,subject:wikidata,subject:wikipedia,network,internet_access,opening_hours:covid19,height,contact:deezer,contact:instagram,contact:spotify,contact:youtube,nodes,building,building:architecture,deanery,diocese,heritage,heritage:operator,heritage:website,parish,ref:lda,seamark:landmark:category,seamark:landmark:conspicuity,seamark:landmark:function,seamark:type,building:levels,roof:colour,roof:material,roof:orientation,roof:shape,ref,architect,building:colour,building:material,loc_name:de,loc_name:lb,min_height,roof:height,loc_name,tower:type,image,building:min_level,architect:wikidata,architect:wikipedia,bldam:criteria,operator:type,ref:bldam,year_of_construction,lda:criteria,name:etymology,name:etymology:wikidata,building:roof:height,building:roof:orientation,fee,name:he,name:it,name:nl,name:pl,name:uk,name:zh,alt_name:es,name:es,name:fr,name:sv,wikimedia_commons,internet_access:fee,source:building:levels,contact:tumblr,building:use,old_name,organisation,lda:inscription_date,url,fixme,construction_year,operator:description,roof:levels,opening_date,nohousenumber,toilets,toilets:access,member_of,check_date:opening_hours,heritage:description,air_conditioning,ele,addr:place,name:vi,preservation,smoking,name:af,name:be,name:cs,name:eu,name:hu,name:ko,name:no,name:ro,name:sk,official_name,subdenomination,name:ja,addr:district,date,survey:date,protect_class,building:facade:material,building:part,old_name:1957-1994,lit,noname,name:sr-Latn,description:de,name:et,reconstruction_date,layer,location,landuse,name:signed,ways,type
node,29040731,place_of_worship,Sultan Ahmed Camii,muslim,yes,POINT (13.3587758 52.5347753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29209127,place_of_worship,,christian,limited,POINT (13.390379 52.495182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,248702772,place_of_worship,Martin-Luther-Kapelle,christian,,POINT (13.2966171 52.6010205),protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,289795838,place_of_worship,St. Wilhelm,christian,,POINT (13.1954192 52.5225069),catholic,Berlin,DE,9-11,13595,Weißenburger Straße,Wilhelmstadt,+49 30 3632055,http://www.sankt-wilhelm-spandau.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292201931,place_of_worship,Stadtmission Gemeinde Friedrichshagen,christian,,POINT (13.623567 52.4475005),protestant,Berlin,DE,135,12587,Bölschestraße,Friedrichshagen,,,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-frhagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,332997622,place_of_worship,Evangelische Weihnachtskirche,christian,,POINT (13.2371169 52.5471682),protestant,Berlin,DE,54-58,13599,Haselhorster Damm,Haselhorst,,,,http://www.ev-weihnachtskirche.de,,Evangelische Weihnachtskirche,Su 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,333459517,place_of_worship,Evangelisch Freikirchliche Gemeinde Kreuzberg,christian,limited,POINT (13.3936149 52.4889329),baptist,Berlin,,22,10961,Bergmannstraße,,,,,https://www.efg-kreuzberg.de/,,,Su 11:00,"Entrance:NO, within building:limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336571772,place_of_worship,Adventgemeinde Waldfriede,christian,,POINT (13.2410362 52.4441803),seventh_day_adventist,Berlin,DE,40,14163,Argentinische Allee,Zehlendorf,,,,http://www.adventgemeinde-waldfriede.de/,,,,,Geoportal Berlin / k5_2012_sw_sued.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,355960992,place_of_worship,Raum der Stille,multifaith,no,POINT (13.3779152 52.5165081),,Berlin,DE,8,10117,Pariser Platz,Mitte,,http://www.raum-der-stille-im-brandenburger-tor.de/,,,,,,,,raum-der-stille@berlin.de,Meditationsraum,Комната тишины,"Jan Mo-Su,PH 11:00-16:00; Feb Mo-Su,PH 11:00-17:00; Mar-Oct Mo-Su,PH 11:00-18:00; Nov Mo-Su,PH 11:00-17:00; Dec Mo-Su,PH 11:00-16:00",room,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,395708753,place_of_worship,Evangelische Kirchengemeinde Martin Luther,christian,no,POINT (13.3963359 52.5645585),lutheran,Berlin,DE,11,13187,Pradelstraße,Pankow,,,,https://www.luther-nordend.de/,,Lutherhaus,,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
