element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,source,geometry,access,amenity,fee,parking,toilets:wheelchair,wheelchair,cuisine,diet:vegan,diet:vegetarian,name,opening_hours,phone,tourism,website,maxheight,note,check_date:opening_hours,shop,brand,brand:wikidata,brand:wikipedia,operator,surveillance,capacity,level,contact:website,description,office,sport,wikidata,addr:inclusion,disused:amenity,disused:parking,capacity:disabled,park_ride,check_date,operator:wikidata,height,lit,addr:place,changing_table,covered,wheelchair:description:de,contact:email,contact:fax,contact:phone,source:addr,drive_through,operator:type,ref,contact:facebook,contact:instagram,wheelchair:description,contact:youtube,atm,type,artist_name,start_date,postal_code,material,colour,wikimedia_commons,historic,nodes,architect,building,building:colour,building:levels,building:material,heritage,heritage:operator,internet_access,internet_access:fee,internet_access:password,internet_access:ssid,old_name,ref:lda,roof:colour,roof:levels,roof:shape,short_name,wikipedia,year_of_construction,fax,email,layer,toilets,addr:housename,diet:kosher,roof:height,roof:material,disused:shop,location,indoor_seating,outdoor_seating,alt_name,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:edenred_ticket,payment:girocard,old_ref,heritage:website,lda:criteria,branch,payment:mastercard,payment:visa,stroller,addr:city:fa,atm:operator,nohousenumber,dog,elevator,diet:halal,self_checkout,disused:toilets,compressed_air,fuel:diesel,fuel:octane_91,fuel:octane_95,kiosk,building:levels:underground,smoking,takeaway,drink:club-mate,organic,roof:orientation,ele,ref:vatin,name:fa,name:ru,opening_hours:covid19,service,name:de,wholesale,payment:maestro,building:use,payment:cards,fascade:material,capacity:parent,capacity:women,fuel:octane_98,opening_hours:signed,url,payment:american_express,payment:apple_pay,payment:diners_club,payment:google_pay,payment:vpay,fuel:GTL_diesel,fuel:lpg,fuel:octane_100,owner,payment:coins,payment:notes,social_facility,origin,area,name:cs,name:sk,fuel:biodiesel,fuel:cng,fuel:e85,payment:v_pay,fixme,drink:coffee,building:part,fuel:e10,self_service,noaddress,building:architecture,contact:pinterest,roof:cover:material,air_conditioning,takeaway:covid19,culture,gay,lgbtq,disused,source:addr:housenumber,disused:building,access:covid19,delivery,fuel:HGV_diesel,heritage:ref,protection_status,source:building:levels,service:vehicle:car_repair,service:vehicle:oil_change,construction_date,min_height,craft,image,recycling:scrap_metal,recycling_type,second_hand,toilets:access,addr:floor,automated,addr:neighbourhood,noname,building:min_level,fuel:LH2,club,official_name,car_wash,abandoned:amenity,facebook,instagram,mobile,whatsapp,youtube,website:menu,social_facility:for,source:name,loc_name,community_centre,building:parts,zero_waste,construction,source:geometry,name:ja,name:en,name:signed,male,ref:shop:num,safety:hand_sanitizer:covid19,operator:legal,not:brand:wikidata,opening_date,sausage,ways,note:opening_hours,source:opening_hours,name:ko,name:es,name:fr,name:nl,name:tr
way,4703544,Berlin,DE,2-4,10551,Arminiusstraße,Moabit,,"POLYGON ((13.3390726 52.5274331, 13.3390278 52.5274093, 13.3388975 52.5274211, 13.338899 52.5274283, 13.3389095 52.5274275, 13.3389118 52.5274463, 13.3385982 52.5274754, 13.3385937 52.5274558, 13.3386007 52.5274553, 13.3385999 52.5274481, 13.3385389 52.527454, 13.338483 52.5274583, 13.3384848 52.5274655, 13.3384938 52.5274648, 13.3384967 52.5274841, 13.3381846 52.5275127, 13.3381788 52.5274933, 13.3381875 52.527493, 13.3381856 52.5274852, 13.3380608 52.5274971, 13.3381558 52.5278858, 13.3382442 52.5282535, 13.3387216 52.5282086, 13.3391233 52.5281702, 13.3390963 52.5277932, 13.3390726 52.5274331))",,marketplace,,,,limited,,,,Arminiusmarkthalle,"Mo-Sa 08:00-22:00; Su,PH off",,,https://arminiusmarkthalle.com/,,,,,,,,Zunft[orte] AG,,,,,,,,Q32654564,,,,,,,,,,,,,,,,,,,business,,,,,,,,,1891,,,,,,"[1211885854, 2514807527, 1211885869, 5768996409, 5768996410, 1211885853, 1211885861, 5768996408, 5768996407, 1211885850, 3126152834, 1211885858, 5768996405, 5768996406, 1211885865, 1211885852, 5768996309, 5768996308, 29927225, 1211885860, 1211885851, 29927227, 3126152835, 29927229, 988558215, 1211885854]",Hermann Blankenstein,retail,#b38563,2,brick,4,lda,wlan,no,cryptoparty,in-berlin.de-guest,Moabiter Markthalle,09050252,#a3a9a6,0,many,Arminiushalle,de:Moabiter Markthalle,1890..1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9857335,,,,,,,,"POLYGON ((13.2931252 52.5796619, 13.29338 52.5795813, 13.2935056 52.5797331, 13.2935043 52.5797382, 13.2935357 52.5797762, 13.2935695 52.5798171, 13.2936265 52.579886, 13.2936381 52.5799, 13.2936446 52.5799014, 13.2940671 52.5804123, 13.2938105 52.5804897, 13.2934864 52.5800982, 13.2934247 52.5800236, 13.2933532 52.5799366, 13.2931252 52.5796619))",,,,,,,,,,Haus G - H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[79351805, 79351804, 8007985529, 8007985526, 2163842936, 2166792277, 2163842940, 8007985527, 8007985528, 79351802, 79351801, 8007985547, 2167006055, 8007985548, 79351805]",,retail,,9,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,10672229,Berlin,DE,,13403,Auguste-Viktoria-Allee,Reinickendorf,,"POLYGON ((13.3283659 52.5700386, 13.3283775 52.5700711, 13.3284744 52.570343, 13.3275719 52.5704617, 13.3274807 52.5702056, 13.3274169 52.5700338, 13.3273949 52.5699687, 13.328295 52.5698441, 13.328305 52.5698722, 13.3283137 52.5698966, 13.3283294 52.5699407, 13.3283659 52.5700386))",,,,,,yes,,,,Edeka,Mo-Sa 07:00-22:00,+4930 4174928 0,,https://www.edeka.de,,,,supermarket,Edeka,Q701755,en:Edeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2628379896, 124344432, 94529702, 94529699, 2628379898, 2628379894, 94529700, 94529701, 2628379889, 124344450, 2628379892, 2628379896]",,retail,,,,,,,,,,,,#BABABA,,flat,,,,+4930 4174928 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11076700,Berlin,DE,140,13405,Scharnweberstraße,Reinickendorf,,"POLYGON ((13.3275358 52.5632345, 13.3275619 52.5632674, 13.3276472 52.5633903, 13.3277784 52.5635183, 13.3278326 52.5634941, 13.3278552 52.5635145, 13.3279099 52.5634971, 13.327987 52.5634814, 13.3280803 52.5634758, 13.3281336 52.5634801, 13.3281852 52.5634842, 13.328252 52.5635006, 13.3282653 52.5635049, 13.3283064 52.5635202, 13.3283558 52.5635444, 13.3283848 52.5635294, 13.3284326 52.5635585, 13.3288821 52.563306, 13.329437 52.5629943, 13.3295639 52.5629207, 13.3295525 52.5629138, 13.3295871 52.5628943, 13.3295907 52.562897, 13.3296338 52.562875, 13.3296265 52.5628704, 13.3297053 52.5628394, 13.3297376 52.5628219, 13.3297652 52.5628049, 13.3297904 52.5627848, 13.3298081 52.5627696, 13.3298205 52.5627643, 13.3298244 52.5627669, 13.3298632 52.5627447, 13.3298593 52.5627421, 13.3298886 52.5627254, 13.3298131 52.5626746, 13.3298293 52.5626653, 13.3298311 52.5626526, 13.3298221 52.5626394, 13.329803 52.5626306, 13.3297813 52.5626292, 13.329759 52.5626394, 13.3296851 52.5625901, 13.329658 52.562606, 13.3296541 52.5626032, 13.3296117 52.5626263, 13.3296172 52.5626301, 13.3296012 52.5626394, 13.32957 52.5626487, 13.3295385 52.5626611, 13.3295185 52.5626712, 13.3294768 52.5626973, 13.3294544 52.562716, 13.32943 52.5627377, 13.3294211 52.5627349, 13.3293838 52.5627563, 13.3293894 52.56276, 13.3293544 52.5627787, 13.3292522 52.5627126, 13.3291747 52.5626236, 13.3293377 52.5625836, 13.3293131 52.5625477, 13.3292934 52.5625189, 13.3285259 52.5627043, 13.3284403 52.562564, 13.3284259 52.562541, 13.3273285 52.562605, 13.3270812 52.56262, 13.3272251 52.5628433, 13.3273687 52.563009, 13.3273873 52.5630331, 13.3272763 52.5630628, 13.3273496 52.5631667, 13.3274183 52.5632659, 13.3275358 52.5632345))",,,,,yes,yes,,,,Einkaufszentrum »Der Clou«,Mo-Sa 10:00-20:00,+49 30 4987209697,,https://www.derclouberlin.de/,,,2023-06-14,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Für die Behindertentoilette ist der Euro-Schlüssel notwendig.,,,,,,,,,,,"[98779761, 2869415447, 98779779, 98779762, 98779764, 98779765, 5156481099, 5156481098, 98779766, 6313305275, 1989950445, 98779767, 2869415452, 5156481097, 98779768, 2869415453, 2869415454, 2869415446, 6313305269, 2869415443, 5156481089, 5156481088, 5156481090, 5156481091, 5156481087, 5156481086, 5156481084, 5156481085, 5156481082, 5156481083, 5156481095, 5156481094, 5156481093, 5156481096, 98779769, 4805574832, 4805574831, 4805574827, 4805574829, 4805574828, 4805574830, 4805574833, 98779770, 5156481081, 5156481080, 5156481079, 4805574835, 5156481078, 5156481077, 5156481076, 4805574834, 5156481075, 5156481074, 4805574836, 5156481071, 5156481072, 5156481073, 564626720, 98779759, 564626715, 98779771, 3242196719, 98779772, 98779773, 427991550, 98779774, 6313305283, 98779775, 1915982743, 98779780, 98779776, 98779777, 3242196720, 98779778, 98779761]",,retail,,3,,,,,,,,,,,,flat,,,,+49 30 4952763,info@derclouberlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11249452,Berlin,DE,1,13051,Prerower Platz,Neu-Hohenschönhausen,,"POLYGON ((13.5065389 52.5640686, 13.506524 52.5640717, 13.5064753 52.564082, 13.5064407 52.5640944, 13.5058641 52.5638869, 13.5059102 52.5637916, 13.5052605 52.5635571, 13.5047998 52.5639585, 13.5049611 52.5639865, 13.5045856 52.5643119, 13.5060084 52.5649176, 13.5060548 52.5648091, 13.5065227 52.5648948, 13.5064359 52.5651014, 13.5066661 52.5651981, 13.5074946 52.5644739, 13.5068675 52.5642479, 13.5068658 52.5642409, 13.5068676 52.5642156, 13.5068638 52.5641978, 13.5068601 52.5641898, 13.5068523 52.5641727, 13.5068372 52.5641498, 13.5068096 52.5641243, 13.5067725 52.5641014, 13.5067352 52.5640851, 13.5066977 52.5640748, 13.5066641 52.5640692, 13.5066214 52.5640639, 13.5065755 52.5640644, 13.5065389 52.5640686))",,,,,yes,yes,,,,Linden Center,Mo-Sa 09:30-20:00,,,https://m.linden-center-berlin.de,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1715902552, 536784086, 5126279643, 1715902565, 99931768, 99931769, 99931770, 99931771, 1715902534, 99931772, 99931773, 99931761, 1715902589, 1715902587, 99931762, 99931763, 4695720811, 1715902579, 5126279638, 1715902577, 536784698, 5126279639, 1715902576, 5126279640, 1715902563, 1715902561, 1715902556, 5126279641, 4695720810, 5126279642, 1715902552]",,retail,,3,,,,,,,,,,,,flat,,,,,,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11249566,Berlin,DE,277,13055,Landsberger Allee,Alt-Hohenschönhausen,,"POLYGON ((13.496895 52.534593, 13.4968947 52.5345831, 13.4969769 52.5345871, 13.4969993 52.5346459, 13.4969799 52.5346459, 13.4970996 52.5349349, 13.4971929 52.5351599, 13.49718 52.5352397, 13.49715 52.5354258, 13.4972111 52.5354288, 13.4972035 52.5354954, 13.4973074 52.5355008, 13.4972813 52.5356921, 13.4974416 52.5357003, 13.4974186 52.5358468, 13.4974064 52.5359346, 13.4972603 52.5359271, 13.4972724 52.5358393, 13.4971467 52.5358329, 13.4971289 52.5359386, 13.4964203 52.5358961, 13.4964177 52.5359249, 13.496458 52.5359264, 13.4964462 52.5359902, 13.4962048 52.5359754, 13.4957413 52.535947, 13.4956648 52.5359423, 13.4957554 52.5353945, 13.4956948 52.5353949, 13.4957052 52.5353074, 13.4956786 52.5353021, 13.4956624 52.5352955, 13.4956489 52.535287, 13.4956377 52.5352776, 13.495629 52.5352621, 13.4956271 52.5352433, 13.4956327 52.5352321, 13.4956394 52.5352231, 13.4956515 52.535213, 13.4956699 52.5352038, 13.4956888 52.5351975, 13.4957237 52.5351945, 13.4957376 52.535107, 13.4958007 52.535114, 13.4958609 52.5347481, 13.4958073 52.5347355, 13.4958842 52.5345931, 13.495865 52.5345884, 13.495914 52.5345058, 13.4959352 52.5345103, 13.4960471 52.5345342, 13.4960457 52.5345407, 13.496895 52.534593))",,,,,yes,yes,,,,Allee-Center Berlin,Mo-Sa 09:30-20:00,,,,,,,mall,,,,,,,,http://allee-center.berlin,,,,,,,,,,,,,,,,,,,,+49 30 9710010,,,,,,,,,,,,,,,,,,"[99932688, 5244673836, 5244673835, 5244673834, 5244673837, 7347134648, 656400543, 10029074679, 656400544, 656400546, 656400547, 656400553, 2558533544, 2558533545, 1030067005, 2558533550, 2558533548, 2558533546, 1030067019, 1030067042, 567662913, 2558528610, 2558528611, 567662912, 7347134653, 10029210380, 99932690, 2558528581, 656399869, 656399166, 5244673833, 5244673832, 656399336, 5244673831, 656399340, 5244673830, 5244673829, 2558528577, 5244673828, 2558528576, 5244673827, 656399341, 656399343, 656399873, 2558528567, 2558528566, 2558528565, 2558528564, 99932691, 7347134652, 656399877, 656400143, 99932688]",,retail,,,,,,,,,,,,,,flat,,,,,,,yes,Allee Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11265262,,,,,,,,"POLYGON ((13.4744841 52.535953, 13.4745155 52.5359477, 13.4746691 52.5359191, 13.4751838 52.5358231, 13.4752323 52.5358141, 13.475373 52.5357872, 13.4754678 52.5357719, 13.4754592 52.5357675, 13.4755209 52.5356976, 13.4754728 52.535682, 13.4747042 52.535433, 13.4746594 52.5354185, 13.4746427 52.5354375, 13.4746261 52.5354563, 13.4743658 52.5357508, 13.4743287 52.5357382, 13.4741932 52.5358975, 13.4743105 52.5359372, 13.4743987 52.5359655, 13.4744159 52.5359465, 13.474452 52.535958, 13.4744841 52.535953))",,,,,,,,,,Hohenschönhauser Tor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1070699571, 1070699595, 8930494138, 5936568759, 1070699554, 1070699541, 100037535, 4962189539, 100037537, 5199750761, 5199750756, 100037538, 10566846696, 4962189531, 4179380310, 4179380309, 100037540, 7201124039, 4179380494, 4179380491, 4179380493, 1070699571]",,retail,,5,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11622253,Berlin,DE,122,13403,Ollenhauerstraße,Reinickendorf,,"POLYGON ((13.3289794 52.568139, 13.3292445 52.5681022, 13.3290663 52.5676205, 13.3289498 52.5673057, 13.3288402 52.5673211, 13.3288214 52.5672591, 13.328799 52.5671983, 13.3282006 52.567279, 13.3282646 52.5674461, 13.3281955 52.5674561, 13.3282114 52.5675005, 13.3282159 52.567513, 13.3281692 52.5675443, 13.3280799 52.567604, 13.3280472 52.5676259, 13.327884 52.5676483, 13.3279017 52.5676979, 13.3280999 52.5676712, 13.3281518 52.5676642, 13.3282239 52.5678596, 13.3282913 52.5678501, 13.328335 52.5679699, 13.3283804 52.5679629, 13.3284073 52.5680359, 13.3289154 52.5679685, 13.3289794 52.568139))",,,,,,yes,,,,Kaufland,Mo-Fr 07:00-24:00; Sa 07:00-23:30,+49 30417056690,,,,,,supermarket,Kaufland,Q685967,en:Kaufland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[103761655, 103761657, 6975276683, 740114512, 740114444, 1332593353, 252468389, 103761660, 3334222740, 3334222743, 8137566435, 3334222771, 10235939023, 10235939022, 3334222812, 3334222819, 3334222840, 6975276684, 3334222823, 3334222887, 3334222883, 3334222908, 3334222907, 252468398, 740114482, 103761655]",,retail,,2,,,,,,,,,,,0,flat,,,,,,,,Kaufland,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11628941,Berlin,DE,,,,Reinickendorf,,"POLYGON ((13.3260643 52.5648309, 13.3263735 52.5647583, 13.3263835 52.5647817, 13.3264527 52.5647728, 13.3264417 52.5647426, 13.3264247 52.564687, 13.3263866 52.5646345, 13.3260211 52.5647227, 13.3260643 52.5648309))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[103845274, 103845273, 5851743527, 5851743524, 3722675324, 5851743528, 103845087, 103845089, 103845274]",,retail,,4,,,,,,,,,,#BABABA,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11642008,Berlin,DE,,,,Reinickendorf,,"POLYGON ((13.3296449 52.5706565, 13.3295812 52.5704711, 13.3296799 52.5704599, 13.3296654 52.570416, 13.3299867 52.5703719, 13.3299977 52.5704066, 13.3300592 52.5703986, 13.3301284 52.5705899, 13.3300527 52.5705984, 13.3300544 52.5706063, 13.3296449 52.5706565))",,,,,,limited,,,,K+K Schuh-Center,Mo-Sa 09:00-20:00,+4930 23886794,,https://www.k-und-k-schuhcenter.de/,,,,shoes,K+K Schuh-Center,Q100272258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3153599954, 3153599929, 3153599925, 3153599932, 3153599933, 3153599950, 3153599949, 3153599951, 3153599952, 3153599953, 3153599954]",,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
