element_type,osmid,barrier,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,email,fax,name,phone,school,website,wheelchair,wikidata,wikipedia,contact:fax,contact:phone,contact:website,contact:email,note,grades,entrance,source,operator,school:de,isced:level,name:etymology:wikidata,old_name,operator:type,toilets:wheelchair,addr:inclusion,check_date,opening_hours,level,ref,name:en,wheelchair:description,short_name,source_ref,lastcheck,addr:housename,alt_name,description,name:de,check_date:opening_hours,office,capacity,fee,fixme,historic,image,name:ru,start_date,surveillance,website:ru,contact:facebook,name:sv,name:zh,denomination,religion,school:DE,healthcare,craft,height,nodes,postal_code,leisure,name:etymology:wikipedia,building,building:colour,building:material,roof:colour,roof:material,building:levels,name:signed,roof:levels,polling_station,roof:shape,official_name,layer,heritage,heritage:operator,lda:criteria,ref:lda,proposed:name,heritage:website,noname,max_age,min_age,type,url,note:de,name:ja,language:de,language:en,after_school,institution:support,landuse,name:start_date,phone:de,phone:en,institution:pedagogy,lunch,fence_type,website:operator,designation,wikimedia_commons,preschool,contact:instagram,contact:email_1,opening_hours:office,sport,name:fr,ref:AEFE,brand,language:gr,vocational,boundary,protect_class,pedagogy,loc_name,source:outline,language:it,network,network:short,name:etymology,language:pt,survey:date,operator:short,year,language:fr,temporary,old_name:1860,old_name:1942,old_name:1960,old_name:1993-2012,old_name:2,ways
node,237838613,,POINT (13.3384592 52.4799688),Berlin,DE,8,10825,Mettestraße,Schöneberg,school,sekretariat@rueckert-gymnasium-berlin.de,+49-30-902774351,Rückert-Gymnasium,+49-30-902777173,secondary,https://www.rueckert-gymnasium-berlin.de,no,Q23786636,de:Rückert-Gymnasium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256912446,,POINT (13.2880437 52.5394411),Berlin,DE,34-42,13627,Halemweg,Charlottenburg-Nord,school,Erwin-von-Witzleben-GS@t-online.de,,Erwin von Witzleben Grundschule,,,,limited,,,+49 30 902925336,+49 30 9029253 80,http://www.erwinvonwitzleben-grundschule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256913234,,POINT (13.2416342 52.521142),Berlin,DE,1,14053,Prinz-Friedrich-Karl-Weg,Westend,school,,,Sportschule im Olympiapark - Poelchau-Schule,,,,,,,+49 30 30063308,+49 30 30063300,https://www.sportschule-olympiapark.de/,kontakt@sportschule-olympiapark-poelchau.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256913872,,POINT (13.2883255 52.5376587),Berlin,DE,22,13627,Halemweg,Westend,school,post@anna-freud-osz.de,+4930 364178 20,Anna Freud Schule,+4930 364178 10,,https://www.anna-freud-osz.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268915152,,POINT (13.4307335 52.5553761),,,,,,,school,,,Klax Grundschule Langhansstraße,,,,no,,,,,,,Klax Grundschule Langhansstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268915405,,POINT (13.3814584 52.4545448),,,13-18,12105,Viktoriastraße,Tempelhof,school,,,Freie Schule in Berlin e.V.,,,https://freie-schule-in-berlin.de,,,,,,,,,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268917477,,POINT (13.4043701 52.3968526),Berlin,,18,12305,Lutherstraße,Lichtenrade,school,,,Carl-Zeiss-Oberschule,,,https://www.carl-zeiss-oberschule.de,,,,,,,,Filiale Lutherstraße 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,272808901,,POINT (13.4421727 52.497182),Berlin,DE,23a,10997,Cuvrystraße,Kreuzberg,school,,,Babylonia,,,,no,,,,+49306116089,http://www.babylonia.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,298750707,,POINT (13.199678 52.5721259),Berlin,DE,26/27,13587,Schönwalder Allee,Hakenfelde,school,,,Evangelische Schule Spandau (ESS),+49 30 35599050,,https://www.evangelisches-johannesstift.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,340239440,,POINT (13.3390601 52.4803608),Berlin,DE,8,10825,Mettestraße,Schöneberg,school,sternberg-grundschule@t-online.de,+49-30-90277-6638,Sternberg Grundschule,+49-30-90277-7156,primary,http://www.sternberg-schule.de/,no,,,,,,,,,,,Bezirksamt Tempelhof-Schöneberg,Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
