element_type,osmid,amenity,name,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,opening_hours,addr:housename,contact:email,contact:fax,contact:website,government,note,office,official_name,old_name,toilets:wheelchair,website,wikidata,wikipedia,email,fax,phone,note:de,toilets,wheelchair:description,source,alt_name,townhall:type,start_date,check_date:opening_hours,tourism,nodes,building,building:levels,roof:colour,roof:shape,roof:levels,opening_hours:signed,roof:material,heritage,heritage:operator,lda:criteria,ref:lda,building:colour,building:material,addr:place,name:prefix,baby_feeding,operator,smoking,ways,name:de,name:en,type,architect,heritage:website,architect:wikidata,ele,name:ru,wikimedia_commons
node,361001240,townhall,Bürgeramt Heerstraße,yes,POINT (13.2679424 52.5094432),Berlin,DE,12-14,14052,Heerstraße,Westend,+49 30 902917777,"Mo 08:00-16:00, Tu,Th 09:30-13:30, We,Fr 08:00-14:00, Tu,Th 14:30-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,667712670,townhall,Bürgeramt 3,yes,POINT (13.4615218 52.5155582),Berlin,DE,35/37,10247,Frankfurter Allee,Friedrichshain,+49 30 902980,,Bürgeramt 3,buergeramt@ba-fk.berlin.de,+49 30 902984690,http://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/aemter/amt-fuer-buergerdienste/buergeramt/artikel.156551.php,administrative,Büro des Bezirksbürgermeisters,government,Bezirksamt Friedrichshain-Kreuzberg von Berlin - Bürgeramt 3,Rathaus Friedrichshain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1357750757,townhall,Bundeshaus,no,POINT (13.3311587 52.4980912),Berlin,DE,216-218,10719,Bundesallee,Wilmersdorf,,,,,,,,,,,,no,http://www.bmi.bund.de,Q1006172,de:Bundeshaus (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1498303207,townhall,Bürgeramt,yes,POINT (13.5583995 52.5049609),Berlin,DE,3,12683,Elsterwerdaer Platz,Biesdorf,,Mo 07:30-15:00; Tu 10:00-18:00; We 07:30-14:00; Th 10:00-18:00; Fr 07:30-13:00,,,,,,,government,,,,https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/aemter/amt-fuer-buergerdienste/dienstleistungen/service.34020.php/standort/122271/,,,buergeramt.biesdorfcenter@ba-mh.verwalt-berlin.de,+49 30 902935515,+49 30 902935500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1776512892,townhall,Bürgeramt 2,,POINT (13.4476465 52.4984261),Berlin,DE,27a,10997,Schlesische Straße,Kreuzberg,,,,,,http://www.berlin.de/ba-friedrichshain-kreuzberg/verwaltung/org/buergeramt/buergeramt2.html,,"Standesamt, Einbürgerungsbehörde",,Bezirksamt Friedrichshain-Kreuzberg von Berlin - Bürgeramt 2,,,,,,,,,"Standesamt, Einbürgersbehörde",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1776808266,townhall,Bürgeramt Karow/Buch,yes,POINT (13.4953364 52.6326689),Berlin,,8-10,13125,Franz-Schmidt-Straße,,,Mo 07:30-16:00; Tu 9:30-18:00; We 7:30-14:00; Th 9:30-18:00; Fr 08:00-13:00,,,,,,,,,,,https://service.berlin.de/standort/150230/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1776808267,townhall,Bürgeramt Prenzlauer Berg,limited,POINT (13.428132 52.5420112),,,,,,,,Mo 08:00-15:00; Tu 08:00-18:00; We 08:00-13:00; Th 08:00-18:00; Fr 08:00-13:00,,,,,,siehe Relation für Details,,,,,,,,,,,,,der Fahrstuhl ist über den Keller im Haus 6 zu erreichen!!! und fährt in alle Etagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5740506713,townhall,Bürgeramt Lichtenrade,yes,POINT (13.3981864 52.3855262),,,,,,,,Mo 08:00-15:00; Tu 10:00-18:00; We 08:00-15:00; Th 10:00-18:00; Fr 08:00-13:00,,,,https://service.berlin.de/standort/122246/,,,,,,,,,,,,,,,,,,,,2022-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24042972,townhall,Rathaus Treptow,yes,"POLYGON ((13.4802858 52.4831525, 13.4800649 52.4830784, 13.4799246 52.4832335, 13.4800093 52.4832619, 13.4798655 52.483421, 13.4798084 52.4834019, 13.4797358 52.4834822, 13.4796948 52.4834708, 13.4796781 52.4834691, 13.4796547 52.4834716, 13.4796353 52.4834805, 13.4796237 52.4834904, 13.4796184 52.4835012, 13.4796196 52.4835122, 13.479624 52.4835221, 13.4796344 52.4835307, 13.4796787 52.4835453, 13.4796391 52.4835891, 13.4795466 52.4835581, 13.4795366 52.4835692, 13.4793842 52.4835181, 13.4793901 52.4835115, 13.4793493 52.4834979, 13.4793459 52.4835017, 13.4791586 52.4834389, 13.4790495 52.4835596, 13.4791052 52.4835783, 13.4791026 52.4835875, 13.4791026 52.4835964, 13.47911 52.4836078, 13.4791239 52.4836171, 13.4791389 52.4836226, 13.4791583 52.483624, 13.4791766 52.4836224, 13.4791926 52.4836168, 13.4792015 52.4836106, 13.4793028 52.4836445, 13.4793341 52.4836099, 13.4796503 52.483716, 13.4796384 52.4837292, 13.4796623 52.4837372, 13.4796626 52.4837472, 13.4796665 52.4837577, 13.4796774 52.4837656, 13.4796911 52.4837714, 13.4797068 52.4837741, 13.4797246 52.4837741, 13.4797383 52.4837707, 13.4797485 52.4837661, 13.47977 52.4837734, 13.4797821 52.4837601, 13.4797906 52.483763, 13.479919 52.4836209, 13.4799465 52.4836288, 13.4799644 52.4836312, 13.4799817 52.4836289, 13.479997 52.4836241, 13.4800083 52.4836161, 13.4800174 52.4836069, 13.4800183 52.4835978, 13.480015 52.4835871, 13.4800053 52.4835766, 13.4799866 52.4835692, 13.4799712 52.4835632, 13.4799748 52.4835592, 13.4799313 52.4835446, 13.4801486 52.4833043, 13.4801564 52.4833056, 13.4801658 52.4833063, 13.4801795 52.4833053, 13.4801933 52.4833013, 13.4802045 52.4832928, 13.480209 52.4832837, 13.4802065 52.483273, 13.4801989 52.4832657, 13.4801901 52.4832584, 13.4802858 52.4831525))",,,,,,,,,,,,,,,,,,,http://www.berlin.de/ba-treptow-koepenick/organisationseinheiten/zengebw/zengebw.html,,,,,+4930902977000,,,,,,,,,,"[260744522, 260744523, 260744524, 260744525, 260744526, 260744527, 4842240217, 5760735583, 5760735582, 5760735581, 5760735580, 5760735579, 5760735578, 5760735577, 5760735576, 5760735575, 5760735619, 260744528, 5760735727, 5760735726, 5760735729, 5760735728, 5760735730, 5760735731, 260744529, 260744518, 5760735617, 5760735616, 5760735615, 5760735614, 5760735613, 5760735612, 5760735611, 5760735610, 5760735609, 5760735618, 260744519, 260744520, 5760735735, 5760735734, 5760735722, 5760735608, 5760735607, 5760735606, 5760735605, 5760735604, 5760735603, 5760735602, 5760735723, 260744521, 5760735732, 5760735733, 5760735725, 5760735592, 5760735593, 5760735594, 5760735595, 5760735596, 5760735597, 5760735598, 5760735599, 5760735600, 5760735601, 5760735724, 3599133160, 3599133159, 5760735721, 5760735584, 5760735585, 5760735586, 5760735587, 5760735588, 5760735589, 5760735590, 5760735591, 5760735620, 260744522]",yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24045180,townhall,Neues Stadthaus,,"POLYGON ((13.4105133 52.5173348, 13.4106028 52.5170933, 13.4107155 52.5171102, 13.4120881 52.5173018, 13.4121862 52.5173149, 13.4121964 52.5173163, 13.4121377 52.5174662, 13.4119998 52.5174444, 13.4119246 52.5174325, 13.4119144 52.5174309, 13.4119275 52.5173997, 13.4117505 52.5173742, 13.4117599 52.5173463, 13.4115202 52.517313, 13.4115087 52.5173407, 13.4113799 52.5173229, 13.4111992 52.5172988, 13.4109679 52.5172669, 13.4108731 52.5172528, 13.4107839 52.517242, 13.4107489 52.517331, 13.4107596 52.5173347, 13.4107648 52.5173389, 13.4107685 52.5173426, 13.4107717 52.5173469, 13.41077 52.5173526, 13.410766 52.5173581, 13.4107586 52.5173622, 13.4107497 52.5173659, 13.4107326 52.5173654, 13.4105133 52.5173348))",,,,,,,,,,,,,,,,,,,,Q15836621,de:Neues Stadthaus (Berlin),,,,,,,,,,,,,"[260765933, 260765935, 539719678, 539719812, 10731405843, 260765937, 260765939, 5527777348, 5527777349, 260765941, 260765943, 3513418917, 3513418916, 3513418915, 540761091, 540761093, 5527739623, 3513418914, 2894540716, 260765945, 2882261440, 5527738616, 5527738617, 2882261441, 5527738615, 5527738618, 5527738619, 5527738620, 5527739621, 260765947, 260765933]",public,5,,,,,,,,,,,,,,,,,,,,,,,,,,
