element_type,osmid,access,barrier,name,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,contact:phone,operator,website,wheelchair,contact:email,contact:website,opening_hours,smoking,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:xing,contact:youtube,name:en,phone,wikidata,wikipedia,internet_access,internet_access:fee,not:name,old_name,operator:type,start_date,source,alt_name,name:de,short_name,short_name:en,alt_name_1,short_name:de,toilets:wheelchair,url,name:zh,addr:housename,addr:room,description,note,isced:level,image,internet_access:ssid,email,nodes,description:en,landuse,old_name:2009--2021-09-30,building,building:levels,operator:wikidata,roof:shape,type,operator:wikipedia,heritage,heritage:operator,heritage:website,roof:levels,roof:colour,denomination,religion,wikimedia_commons,building:name,ref:lda,contact:fax,name:cs,building:architecture,building:cladding,building:facade:colour,branch,ref,campus,ways,name:etymology:wikidata,lda:criteria
node,278540049,,,Berliner Hochschule für Technik - Forum Seestraße,POINT (13.3595911 52.5537197),Berlin,DE,64,13347,Seestraße,Wedding,university,+493045040,Berliner Hochschule für Technik,https://www.bht-berlin.de/,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,516359399,,,bbw Hochschule,POINT (13.3149908 52.5116111),Berlin,DE,11-13,10625,Leibnizstraße,Charlottenburg,university,,,https://www.bbw-hochschule.de/,yes,,,,,https://www.facebook.com/bbwHochschule,https://www.instagram.com/bbwhochschule/,https://www.linkedin.com/school/bbw-hochschule/,https://twitter.com/bbwhochschule,https://www.xing.com/pages/bbwhochschule,https://www.youtube.com/channel/UCTKIsljgiR_iXJwgtIrS0jw,The bbw University,+49 30 319909530,Q812777,de:Bbw Hochschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,892568035,,,Hertie School,POINT (13.3892713 52.5128521),Berlin,DE,180,10117,Friedrichstraße,Mitte,university,,Hertie-Stiftung,https://www.hertie-school.org/,yes,,,,,,,,,,,Hertie School,+49302592190,Q317156,de:Hertie School,wlan,no,Hertie School of Governance,Hertie School of Governance,private_non_profit,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425160484,,,FB Veterinärmedizin,POINT (13.2939396 52.4609534),Berlin,DE,20,14195,Koserstraße,Dahlem,university,,Freie Universität Berlin,,,,,,,,,,,,,Department of Veterinary Medicine,,,,,,,,,,,Bauteil D,FB Veterinärmedizin,Veterinärmedizin,Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425160485,,,FB Geschichts- und Kulturwissenschaften,POINT (13.2937859 52.4616094),Berlin,DE,20,14195,Koserstraße,Dahlem,university,,Freie Universität Berlin,,limited,,http://www.geschkult.fu-berlin.de/e/fmi/,,,,,,,,,Friedrich Meinecke Institute for Historical Research,,,,,,,,,,,Friedrich-Meinecke-Institut für Geschichtswissenschaften,,Geschichte,History,Bauteil A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425160486,,,FB Geschichts- und Kulturwissenschaften,POINT (13.2942022 52.4612833),Berlin,DE,20,14195,Koserstraße,Dahlem,university,,Freie Universität Berlin,,,,http://www.gsta.spk-berlin.de/,,,,,,,,,Art History Department,,,,,,,,,,,Kunsthistorisches Institut,,Kunstgeschichte,Art History,Bauteil B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1431752413,,,FU Frankreich-Zentrum,POINT (13.2891169 52.4702459),,,,,,,university,,Freie Universität Berlin,,,,,,,,,,,,,FU Center for French Studies,,,,,,,,,,,,FU Frankreich-Zentrum,,French Studies,,Frankreich-Zentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1431752415,,,FU Italien-Zentrum,POINT (13.2889954 52.4703316),,,,,,,university,,Freie Universität Berlin,,,,,,,,,,,,,FU Center for Italian Studies,,,,,,,,,,,,FU Italien-Zentrum,Italienzentrum,Italian Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1552071417,,,Paritätische Akademie Berlin gGmbH,POINT (13.392283 52.5242273),Berlin,DE,11,10117,Tucholskystraße,Mitte,university,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,http://www.akademie.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1590332395,,,Hochschule für Musik Hanns Eisler Berlin,POINT (13.4035367 52.5165709),,,,,,,university,,,https://www.hfm-berlin.de/,,,,,,,,,,,,,,Q569460,de:Hochschule für Musik „Hanns Eisler“ Berlin,,,,,,,,,,,,,,,,音樂大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1701292971,,,Code University of Applied Sciences,POINT (13.4467241 52.4938798),Berlin,DE,65,12435,Lohmühlenstraße,Alt-Treptow,university,+49 30 120 859 61,CODE Education GmbH,https://code.berlin,,hello@code.berlin,https://code.berlin,,,,,,,,,,,Q40387612,de:CODE University of Applied Sciences,,,,,,,,Code Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2175035189,,,Hochschule für Angewandte Wissenschaften Europa,POINT (13.3787343 52.5060988),Berlin,DE,3-5,10963,Dessauer Straße,Kreuzberg,university,,University of Applied Sciences Europe GmbH,,,,https://www.ue-germany.com,,,,,,,,,University of Applied Sciences Europe,,,,,,,Hochschule für Gestaltung,,,,,,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
