element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,name,name:de,name:en,opening_hours,phone,website,geometry,community_centre,community_centre:for,operator,wheelchair,barrier,check_date:opening_hours,internet_access,max_age,min_age,toilets:wheelchair,contact:phone,contact:website,note,source,fax,operator:type,opening_hours:signed,contact:email,internet_access:fee,internet_access:ssid,alt_name,contact:fax,description,brand,brand:wikidata,nodes,building,building:levels,roof:levels,roof:shape,building:use,short_name,club,check_date,ref,wikidata,wikimedia_commons,wikipedia,denomination,religion,ways,type
node,330924083,Frankfurt am Main,DE,534,60433,Eschersheimer Landstraße,community_centre,maedchentreff@fem-maedchenhaus.de,FeM Mädchenhaus Frankfurt,FeM Mädchenhaus Frankfurt,FeM Girls' House Frankfurt,Mo-Th 12:30-18:00,+49 69 53055119,http://www.fem-maedchenhaus.de/,POINT (8.6581503 50.1559169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,418698021,Frankfurt am Main,,4-6,60439,Heddernheimer Landstraße,community_centre,,Jugendladen Heddernheim,,,,,https://www.jugendsozialarbeit-evangelisch.de/einrichtungen/jugendladen-heddernheim/,POINT (8.6505306 50.1593379),youth_centre,juvenile,Evangelischen Verein für Jugendsozialarbeit in Frankfurt am Main e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,425855731,,,,,,community_centre,,Evangelisches Gemeindehaus Thomasgemeinde,,,,,,POINT (8.6464513 50.1593194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,425880118,Frankfurt am Main,,47a,60439,Heddernheimer Landstraße,community_centre,,Katholisches Gemeindezentrum St. Peter und Paul,,,,,,POINT (8.6461478 50.1600093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,767384244,,,,,,community_centre,,Internationaler Bund Nachbarschaftstreff,,,,+49 69 380312-0,,POINT (8.5936541 50.1038031),,,Internationaler Bund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1454958999,,,,,,community_centre,,Gemeindehaus Sankt Laurentius,,,,,,POINT (8.6367944 50.1904826),,,Katholische Kirchengemeinde Sankt Laurentius Kalbach,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1454959004,,,,,,community_centre,,KIJU Kinder und Jugendhaus Kalbach,,,,,,POINT (8.6374494 50.1912758),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1649025686,,,,,,community_centre,,Kinder und Jugendhaus Bornheim,,,Mo-Fr 11:30-17:00,,,POINT (8.7179545 50.1280861),,,,yes,,2023-04-21,terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1702575701,Frankfurt am Main,DE,23a,,Linkstraße,community_centre,,Kinderhaus Griesheim,,,,,,POINT (8.6085806 50.0922988),youth_centre,child,Stadt Frankfurt am Main,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1750012261,,,,,,community_centre,,Kinderhaus Nied,,,,,,POINT (8.5637646 50.0998295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1796130431,,,,,,community_centre,,Katholische Kirchengemeinde Herz-Jesu,,,"""bei Veranstaltungen""",,,POINT (8.6836396 50.1479009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1796233378,,,,,,community_centre,,Nazareth Gemeinde,,,,,,POINT (8.6850207 50.1466121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1851973842,,,,,,community_centre,,Dietrich-Bonhoeffer-Haus,,,,,,POINT (8.7514716 50.1492161),,,Evangelische Kirchengemeinde Bergen-Enkheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1911911397,,,,,,community_centre,,Saalbau Goldstein,,,,,,POINT (8.6091958 50.0824758),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1949552145,,,,,,community_centre,,Caritas Jugendhaus Goldstein,,,,,,POINT (8.60884 50.079049),,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2305468648,,,,,,community_centre,,Gemeindezentrum Sankt Bartholomäus,,,,,,POINT (8.4934597 50.0948383),,,Pfarrgemeinde Sankt Bartholomäus,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
