element_type,osmid,access,amenity,amperage,authentication:none,capacity,description,motorcar,opening_hours,operator,operator:wikidata,operator:wikipedia,socket:type2,socket:type2:output,voltage,geometry,bicycle,bus,hgv,ref,rwetempcharging_station:plug,scooter,socket:type1_cable,socket:type1_cable:current,socket:type1_cable:output,socket:type1_cable:voltage,socket:type2_cable,socket:type2_cable:output,socket:type2_cable:voltage,source,source:delivery_date,brand,brand:wikidata,brand:wikipedia,name,addr:city,addr:country,addr:postcode,addr:street,fixme,addr:housenumber,socket:type1,socket:type1:current,socket:type1:output,socket:type1:voltage,socket:type1_combo,socket:type1_combo:current,socket:type1_combo:voltage,fee,maxstay,parking:fee,payment:app,payment:cards,payment:cash,payment:membership_card,addr:floor,addr:housename,authentication:phone_call,authentication:phone_call:number,capacity:car,contact:phone,layer,level,parking,service,note:de,note,noexit,covered,socket:schuko,location,socket:chademo,socket:chademo:output,socket:type2_combo,socket:type2_combo:output,authentication:membership_card,payment:account_cards,payment:contactless,fee:conditional,socket:type2_cable:current,authentication:app,source:date,website,charge,name:de,name:en,network,socket:type2:voltage,payment,socket,maxstay:conditional,charging_station:output,nodes,building,motor_vehicle
node,269378130,customers,charging_station,32,yes,2,Ladesäule Lidl,yes,Mo-Sa 07:00-22:00,Lidl,Q151954,en:Lidl,2,22 kW,400,POINT (8.5986971 50.0960679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,938889072,yes,charging_station,32,,2,,yes,,RWE-Effizienz,,,,,400,POINT (8.6976991 50.1155784),no,no,no,BA-0246-6 / BA-0222-4,Typ 2,no,1,32 A,7 kW,200 V,1,11 kW,230 V,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1049677515,,charging_station,32,,2,,,,Innogy,Q2124721,de:Innogy,2,22 kW,400,POINT (8.6528007 50.1126942),,,,,,,,,,,,,,,,Innogy,Q2124721,de:Innogy,Innogy Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1199272149,,charging_station,32,,2,,,,RWE-Effizienz,,,,,400,POINT (8.658187 50.1235313),,,,BA-0243-7 / BA-0255-8,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,Frankfurt am Main,DE,60323,Siesmayerstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271420942,,charging_station,32,,,,,,APCOA,,,,,400,POINT (8.6521545 50.1120062),,,,BA-0258-7 / BA-0257-0,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271420956,,charging_station,32,,2,,,,RWE-Effizienz,,,,,400,POINT (8.6351833 50.1585861),,,,BA-0224-7 / BA-0256-4,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,Frankfurt am Main,DE,60439,Erich-Ollenhauer-Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271420967,,charging_station,32,,2,,,,RWE-Effizienz,,,,,400,POINT (8.6774665 50.1124033),,,,BA-0318-3 / BA-0336-7,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,,,,,please check position. An dieser Stelle ist es nicht. Duplikat von node 1382291670 ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271420987,,charging_station,32,,,,,,APCOA,,,,,400,POINT (8.6795769 50.1146667),,,,BA-0390-8 / BA-0378-2,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,Frankfurt am Main,DE,60313,Große Eschenheimer Straße,please check position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271421032,customers,charging_station,32,,1,,yes,,APCOA,,,,,400,POINT (8.6795769 50.1146506),no,no,no,BA-0235-1 / BA-0249-5,Typ 2,no,1,32 A,3.7 kW,240 V,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,Frankfurt am Main,DE,60313,Große Eschenheimer Straße,please check position,10,1,32 A,7 kW,200 V,1,125 A,1000 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271421050,,charging_station,32,,6,,,,Süwag,Q2382300,de:Süwag Energie,,,400,POINT (8.5435147 50.0964419),,,,BA-1061-7 / BA-1058-3,Typ 2,,,,,,,,,"RWE Effizienz GmbH, Dortmund",2011/01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
