element_type,osmid,amenity,brand,brand:wikidata,brand:wikipedia,name,toilets:wheelchair,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,screen,website,wheelchair:description,wikidata,wikipedia,alt_name,cinema:3D,contact:email,contact:phone,contact:website,drive_in,fixme,open_air,opening_hours:url,description,level,nodes,air_conditioning,building,email,layer,payment:cash
node,36140667,cinema,CineStar,Q321889,de:Cinestar,CineStar,yes,yes,POINT (8.589374 50.0995042),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,56419112,cinema,CineStar,Q321889,de:Cinestar,Cinestar Metropolis,yes,limited,POINT (8.6792933 50.1183153),Frankfurt am Main,40,60318,Eschenheimer Anlage,Mo-Th 17:30-20:30; Fr-Su 15:00-20:30,12,https://www.cinestar.de/kino-frankfurt-main-metropolis/,an der Kasse anmelden für barrierefreien Zugang zu den Kinos,Q1407479,de:Volksbildungsheim Frankfurt am Main,,,,,,,,,,,,,,,,,
node,56424249,cinema,Cineplex Deutschland,,,E-Kinos,,limited,POINT (8.6802648 50.1133721),,,,,,,,,Q34305166,,Ekinos,yes,info@ekinos-frankfurt.de,+49 69 28 52 05,https://www.cineplex.de/frankfurt/,no,"open every day from 12:45 and 15min before and 30min after last show, not sure how that translates to opening_hours and if open on PH",no,https://www.cineplex.de/infos/anfahrt-und-oeffnungszeiten/frankfurt/,,,,,,,,
node,155485401,cinema,,,,Orfeos Erben,,no,POINT (8.6448669 50.1160898),,,,,,,,,Q34305001,,,,,,,,,,,,,,,,,,
node,264151436,cinema,,,,Eldorado,,no,POINT (8.6853038 50.1169637),Frankfurt am Main,29,60313,Schäfergasse,,,https://www.arthouse-kinos.de/die-kinos/eldorado,,Q34305041,,,,,,,,,,,,,,,,,,
node,292417543,cinema,,,,Harmonie,no,no,POINT (8.690886 50.1034973),,54,60594,Dreieichstraße,,,,,Q34305368,,,,,,https://www.arthouse-kinos.de/die-kinos/harmonie/,,,,,Teil der Arthouse Kinos Frankfurt,,,,,,,
node,296584990,cinema,,,,Filmforum Höchst,,no,POINT (8.5451258 50.1002436),,,,,,,,,Q1980418,,,,,,,,,,,,,,,,,,
node,1745261273,cinema,,,,Kino des Deutschen Filmmuseums,,yes,POINT (8.677623 50.1049691),,,,,"Tu-Th,Sa,Su 10:00-18:00; Fr 10:00-20:00; Mo off",,https://deutsches-filminstitut.de/filmmuseum/kinoprogramm/,,,,,,,,,,,,,,,,,,,,
node,3481216519,cinema,,,,CINÉMA Kino,,yes,POINT (8.6784894 50.1126386),,7,60311,Roßmarkt,14:30-22:30,,,,Q34305120,,Cinema-Filmtheater;CINEMA KINOS,,,,https://www.arthouse-kinos.de/die-kinos/cinema/,,,,,Teil der Arthouse Kinos Frankfurt,,,,,,,
node,9949542374,cinema,,,,Freiluftkino Frankfurt,,,POINT (8.6581501 50.10898),,,,,,,https://www.freiluftkinofrankfurt.de/,,,,,,,,,,,,,,,,,,,,
node,10584621183,cinema,,,,Astor Film Lounge,,,POINT (8.6817929 50.1147361),Frankfurt am Main,106,60313,Zeil,"Mo-Sa 10:00-21:00; Su,PH 12:00-21:00",,https://frankfurt.premiumkino.de/,,,,,,,,,,,,,,5,,,,,,
way,759406434,cinema,,,,Mal Seh'n,,,"POLYGON ((8.6855317 50.1240943, 8.6855266 50.1239853, 8.6855481 50.1239848, 8.6855479 50.1239794, 8.6857402 50.1239756, 8.685771 50.123975, 8.6857728 50.124013, 8.6857764 50.1240895, 8.6857266 50.1240905, 8.6856984 50.124091, 8.6855317 50.1240943))",Frankfurt am Main,6 H,60318,Adlerflychtstraße,,1,http://malsehnkino.de,,Q34305344,,,,,,,,,,,,,"[7093460476, 7093460477, 9808443658, 9808443659, 566365557, 7093460478, 9808443657, 7093460479, 7093460480, 9808443651, 7093460476]",yes,yes,info@malsehnkino.de,1,yes
