element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,geometry,nodes,layer,building,addr:country,building:levels,check_date:opening_hours,defibrillator:location,email,fax,fee,name,opening_hours,operator,operator:wikidata,phone,subject:wikidata,toilets:wheelchair,tourism,website,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,amenity,roof:shape,source,source:1,image,description:de,architect,description,nohousenumber,start_date,building:colour,building:material,government,office,roof:colour,roof:material,roof:levels,ways,contact:email,contact:fax,contact:phone,police,type
way,28673946,Frankfurt am Main,16,60431,Stefan-Zweig-Straße,"POLYGON ((8.6557186 50.1424953, 8.6557594 50.1426078, 8.6558497 50.1425651, 8.6558942 50.1425176, 8.6561011 50.1424668, 8.6560973 50.1423828, 8.6560498 50.1422921, 8.6557404 50.1423218, 8.6557349 50.1423503, 8.655896 50.1423669, 8.6559071 50.1424132, 8.6558275 50.1424215, 8.6557186 50.1424953))","[315109196, 315109199, 2030587742, 2030587741, 315109200, 315109197, 2030587735, 2030587736, 2030587737, 2030587738, 2030587739, 2030587740, 315109196]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29040274,,,,,"POLYGON ((8.6582123 50.1559812, 8.6582964 50.1558974, 8.6582056 50.155859, 8.6581856 50.1558777, 8.6581407 50.1558574, 8.6580407 50.1559433, 8.658069 50.1559833, 8.6582123 50.1559812))","[319403383, 319403385, 319403387, 319403389, 319403391, 319403394, 319403397, 319403383]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29054054,,,,,"POLYGON ((8.6456673 50.1499922, 8.6455201 50.1500326, 8.6456062 50.1501613, 8.6457534 50.1501209, 8.6456673 50.1499922))","[319570645, 319570647, 319570648, 319570646, 319570645]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29981539,Frankfurt am Main,29,60486,Schloßstraße,"POLYGON ((8.6395384 50.1223726, 8.639466 50.1223265, 8.6395297 50.1222864, 8.6394936 50.1222627, 8.6394584 50.1222396, 8.6393939 50.1222801, 8.6393441 50.1222458, 8.6388051 50.122579, 8.6387176 50.1225216, 8.6386839 50.1225425, 8.6386562 50.1225596, 8.6384442 50.1224207, 8.6382908 50.122517, 8.6385163 50.1226648, 8.6385397 50.1226507, 8.6385505 50.1226578, 8.6385562 50.1226612, 8.6385998 50.1226351, 8.6387373 50.1227188, 8.6388656 50.122797, 8.6395384 50.1223726))","[330048272, 330048275, 330048285, 3306282856, 330048286, 330048276, 330048274, 330048279, 2725499363, 3306282855, 2725499364, 330048280, 330048282, 330048284, 2725499369, 2725499370, 2725499371, 330048281, 3306285843, 330048273, 330048272]",,civic,DE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30119021,Frankfurt am Main,25,60325,Senckenberganlage,"POLYGON ((8.6510939 50.117695, 8.6510595 50.1174645, 8.6508756 50.1174761, 8.6508755 50.1174751, 8.6507449 50.1174833, 8.6507491 50.1175111, 8.6507375 50.1175156, 8.6507264 50.1175186, 8.6507142 50.1175214, 8.6507051 50.1175225, 8.6506942 50.1175228, 8.65068 50.1175224, 8.6506672 50.1175206, 8.6506535 50.1175172, 8.650523 50.1175254, 8.6505233 50.1175277, 8.6503562 50.1175382, 8.6503546 50.1175413, 8.6503523 50.1175435, 8.6503491 50.1175454, 8.6503433 50.1175474, 8.6503364 50.1175483, 8.6503295 50.1175476, 8.6503234 50.1175456, 8.650319 50.1175429, 8.6503163 50.1175392, 8.6503159 50.1175354, 8.6503166 50.117531, 8.6503188 50.117528, 8.6503227 50.1175251, 8.650327 50.1175235, 8.6503051 50.1173802, 8.6505001 50.1173679, 8.6505048 50.1173985, 8.6508598 50.1173761, 8.6508593 50.1173729, 8.6511013 50.1173577, 8.6511017 50.1173605, 8.6513708 50.1173416, 8.6513706 50.1173397, 8.651618 50.117326, 8.6516159 50.117312, 8.6515819 50.1173141, 8.6515759 50.1173108, 8.651573 50.1172894, 8.6515776 50.1172851, 8.6517153 50.1172767, 8.6517211 50.11728, 8.651724 50.1173011, 8.6517196 50.1173053, 8.6516446 50.11731, 8.6516468 50.1173242, 8.6518821 50.1173089, 8.6518819 50.1173066, 8.6520254 50.1172974, 8.6520248 50.1172904, 8.6520332 50.1172898, 8.6520988 50.1172856, 8.6522036 50.117279, 8.6522209 50.1173898, 8.6522326 50.1173893, 8.6522377 50.1174226, 8.6522349 50.117423, 8.6522398 50.1174549, 8.6522452 50.1174547, 8.6522533 50.117503, 8.6522602 50.11755, 8.6522553 50.1175504, 8.6522589 50.1175823, 8.6522626 50.1175824, 8.6522676 50.1176157, 8.6522566 50.1176163, 8.6522739 50.1177275, 8.6521701 50.1177345, 8.6521042 50.117739, 8.6520943 50.1177397, 8.6520931 50.1177321, 8.6519508 50.1177416, 8.6519505 50.1177395, 8.6517137 50.1177546, 8.651686 50.1177564, 8.6516799 50.1177567, 8.6516803 50.1177591, 8.6516174 50.1177627, 8.651505 50.1177696, 8.6514392 50.1177742, 8.6514395 50.1177781, 8.6511064 50.1178004, 8.6511061 50.1177977, 8.6509471 50.1178079, 8.6509325 50.117706, 8.6510484 50.1176989, 8.6510493 50.1177038, 8.6510907 50.1177006, 8.6510902 50.1176952, 8.6510939 50.117695))","[331891535, 331891521, 9825792481, 9825792480, 8869660127, 8869660126, 9825792478, 9825792476, 9825792474, 9825792473, 9825792475, 9825792477, 9825792479, 9825792482, 9825792486, 9825792483, 9825792485, 9825792471, 9825792461, 9825792462, 9825792463, 9825792464, 9825792465, 9825792466, 9825792484, 9825792467, 9825792468, 9825792469, 9825792470, 9825792472, 8869660125, 8869660124, 8869660123, 8869660128, 9825792489, 9825792487, 9825792488, 331891515, 9825792431, 9825792430, 8869660151, 9825792443, 9825792440, 9825792439, 9825792438, 8869660149, 8869660150, 9825792436, 9825792437, 9825792441, 9825792442, 8869660152, 9825792434, 9825792435, 9825792432, 9825792433, 9825792445, 9825792446, 331891513, 9825792511, 9825792510, 9825792509, 9825792512, 9825792513, 9825792508, 8600513289, 9825792516, 9825792507, 9825792506, 9825792515, 9825792514, 9825792505, 331891527, 9825792345, 9825792344, 9825792503, 9825792502, 9825792501, 9825792504, 9825792400, 9825792403, 9825792500, 9825792499, 9791039423, 9791039424, 9825792497, 9825792498, 9825792496, 9825792495, 331891531, 331891533, 9825792494, 9825792492, 9825792491, 9825792493, 331891535]",,civic,DE,5,2021-04-06,yes,info@senckenberg.de,+49 69 746238,yes,Senckenberg-Museum,Mo-Tu 09:00-17:00; We 09:00-20:00; Th-Fr 09:00-17:00; Sa-Su 09:00-18:00,"Senckenberg Gesellschaft für Naturforschung, Frankfurt a. M.",Q880568,+49 69 75420,Q484591,yes,museum,https://museumfrankfurt.senckenberg.de/de/,yes,"Etwa 90 Prozent der Ausstellung mit Rollstuhl oder Gehhilfe erreichbar. Die Bereiche ""Fossilien der Grube Messel"", ""Edmuntosaurus und Flugsaurier"", ""Evolution des Menschen"" und Galerie der Ausstellung ""Meeressaurier und Fische"" sind nicht barrierefrei.",Q706441,Category:Naturmuseum Senckenberg,de:Senckenberg Naturmuseum,,,,,,,,,,,,,,,,,,,,,,,
way,33637709,Frankfurt am Main,47,60320,Kaiser-Sigmund-Straße,"POLYGON ((8.6789672 50.1389075, 8.679161 50.1388035, 8.6789164 50.1386162, 8.6787226 50.1387202, 8.6789672 50.1389075))","[384826650, 384826652, 384826653, 384826651, 384826650]",,civic,DE,,,,,,,Haus der Chöre,,,,,,,,https://www.hausderchoere.de/,,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,
way,37851098,Frankfurt am Main,68,60323,Siesmayerstraße,"POLYGON ((8.6581481 50.1245529, 8.6582324 50.1245656, 8.6582296 50.1245734, 8.6581579 50.1247694, 8.6581856 50.1247736, 8.6581516 50.1248666, 8.6580533 50.1248518, 8.6580873 50.1247588, 8.6580736 50.1247567, 8.6581481 50.1245529))","[443917113, 443917117, 6537907291, 2637685931, 2637685934, 443917118, 443917115, 2637685925, 2637685924, 443917113]",,civic,,1,,,,,,,,,,,,,,,,,,,,,skillion,Bing,https://commons.wikimedia.org/wiki/File:Kinderstra%C3%9Fenbahn3Ffm.jpg,,,,,,,,,,,,,,,,,,,
way,44524883,,,,,"POLYGON ((8.6071852 50.1382088, 8.6070233 50.1383912, 8.6066932 50.1382708, 8.6066709 50.1382627, 8.6068328 50.1380803, 8.6068865 50.1380999, 8.6071852 50.1382088))","[565584427, 565584431, 1532720354, 565584432, 565584428, 1532720317, 565584427]",,civic,,,,,,,,Trauerhalle,,,,,,,,,,,,,,funeral_hall,,,,"File:Frankfurt, Friedhof Westhausen, Trauerhalle.JPG",,,,,,,,,,,,,,,,,,
way,71936823,Frankfurt am Main,20,60313,Klingerstraße,"POLYGON ((8.6892525 50.1140117, 8.6892532 50.1137292, 8.6895363 50.113706, 8.6895358 50.1138092, 8.6893908 50.113821, 8.689391 50.1139218, 8.68939 50.1140126, 8.6892525 50.1140117))","[855103204, 855103002, 855102864, 855103370, 1596816166, 1857303131, 855102813, 855103204]",,civic,DE,,,,,,,Gerichtsgebäude F,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88018682,Frankfurt am Main,3,60435,Feuerwehrstraße,"POLYGON ((8.6898709 50.1453059, 8.6893822 50.1451914, 8.6895786 50.1448473, 8.6900672 50.1449618, 8.6898709 50.1453059))","[1023098126, 1023097774, 1023098202, 1023097973, 1023098126]",,civic,,,,,,,,,,,,,,,,,,,,,,,flat,,,,Mehrzweckhalle + Kantine,,,,,,,,,,,,,,,,,
