element_type,osmid,geometry,amenity,brothel:eros_center,name,ref,toilets:wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,level,addr:country,phone,shop,website,wheelchair,fixme,source,contact:email,contact:phone,contact:website,office,short_name,wikidata,wikipedia,building,building:levels,building:use,man_made,description,historic,power,nodes,alt_name,height,layer,note,smoking,start_date,addr:housename,building:cladding,building:facade:material,building:levels:underground,roof:shape,wikimedia_commons,building:roof,tourism,nohousenumber,brand,brand:wikidata,brand:wikipedia,email,fax,internet_access,rooms,old_name,building:part,operator,official_name,roof:levels,building:colour,roof:colour,building:material,operator:wikidata,operator:wikipedia,telecom,brothel:saunaclub,name:shs,wheelchair:description,opening_hours:signed,area,noname,emergency,toilets,compressed_air,fuel:cng,fuel:diesel,fuel:e10,fuel:lpg,fuel:octane_95,fuel:octane_98,source:geometry,automated,self_service,year_of_construction,architect,heritage,heritage:operator,internet_access:fee,name:he,seamark:landmark:conspicuity,seamark:landmark:name,seamark:type,disused:amenity,disused:name,outdoor_seating,healthcare,second_hand,roof:orientation,generator:method,generator:output:hot_water,generator:source,architect:wikidata,building:architecture,building:min_level,noaddress,check_date,disused:shop,source:outline,craft,type,ways,addr:suburb,defibrillator:location
node,7526387969,POINT (8.6479263 50.1042589),fast_food,,SnaQ Boxx,,,,,,,Mo-Fr 11:00-18:00,,,,,,,,,,,,,,,,commercial,1,foodservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4742746,"POLYGON ((8.5654572 50.0518233, 8.5647621 50.0517205, 8.5643377 50.051669, 8.5642409 50.0516696, 8.5642022 50.0516749, 8.5641666 50.0516859, 8.5641283 50.0517042, 8.5640956 50.0517277, 8.5640739 50.051755, 8.5640634 50.0517739, 8.5640567 50.0517931, 8.5640537 50.0518095, 8.5640446 50.0518303, 8.5640435 50.051851, 8.5640426 50.0518708, 8.5640429 50.051896, 8.5640606 50.051927, 8.5640782 50.0519481, 8.564107 50.0519696, 8.5641407 50.0519896, 8.5645033 50.0520811, 8.5650426 50.0522118, 8.5651783 50.0522433, 8.5659813 50.0524296, 8.5660097 50.0524362, 8.5660379 50.0524427, 8.5664178 50.0525308, 8.5668154 50.0526267, 8.5673362 50.0527279, 8.5690066 50.0530565, 8.5698785 50.0532212, 8.5707401 50.0533843, 8.5708515 50.0534053, 8.5710305 50.0534386, 8.5711038 50.0534522, 8.5714236 50.0535137, 8.571823 50.0535846, 8.5721297 50.0536304, 8.5723602 50.0536635, 8.5727363 50.0537146, 8.5727911 50.0537181, 8.5728215 50.0537181, 8.5728671 50.0537146, 8.5729102 50.0537034, 8.5729228 50.0536976, 8.572955 50.0536828, 8.5729941 50.0536622, 8.573045 50.0536231, 8.5730663 50.0535898, 8.573082 50.0535558, 8.5730964 50.0535201, 8.5731199 50.053474, 8.5731323 50.0534326, 8.5731372 50.0534014, 8.5731369 50.0533797, 8.5731259 50.0533432, 8.5731157 50.0533182, 8.5730678 50.0532841, 8.5729047 50.0532363, 8.5727932 50.0532109, 8.5726495 50.0531782, 8.572219 50.0530761, 8.5716338 50.0529511, 8.571239 50.0528774, 8.5705089 50.0527292, 8.5701413 50.0526592, 8.5700312 50.0526381, 8.5699378 50.0526206, 8.5698378 50.0526017, 8.5694906 50.0525389, 8.568556 50.0523701, 8.567706 50.0522101, 8.5676356 50.0521968, 8.56755 50.0521816, 8.5668415 50.0520554, 8.5661554 50.051933, 8.5654572 50.0518233))",,,The Squaire,,,Frankfurt am Main,,60549,,,,,,,,,,,,,,,,Q454114,de:The Squaire,commercial,11,,,,,,"[30221182, 5904384130, 1687060567, 30221304, 5904384131, 5114603756, 1896113067, 5114603755, 1896113068, 5904384132, 5114603754, 1896113069, 1650974917, 1896113070, 1650974919, 1896113075, 1896113076, 1896113077, 5114603752, 1687060578, 5114603751, 30221465, 5904384127, 5904384135, 2025533014, 5904384134, 30221532, 5114603750, 3348709363, 30221803, 5114603749, 1896113080, 5115585763, 5904383480, 653307178, 5116866565, 5114603748, 1896113083, 653307177, 5114603747, 1896113087, 5114603746, 218444675, 30221669, 9471848869, 5114603744, 3348709369, 1896113100, 5114603743, 3348709368, 5114603742, 5114603741, 2073005937, 1896113081, 3348709366, 5904384128, 1896113078, 1687060606, 5114603739, 6426792802, 3613063146, 3613063145, 3613063143, 5116866564, 784749404, 4329455465, 5114620964, 5115167927, 3919552214, 30221583, 5114603738, 9471860263, 1463944336, 9471860264, 30221568, 3613063140, 30221182]",Airrail Center Frankfurt,45 m,3,"Hat keine Hausnummer, einziges Gebäude an der Straße ‚Am Flughafen‘",outside,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11017083,"POLYGON ((8.6538973 50.1111607, 8.6539668 50.1112268, 8.6540589 50.1111867, 8.6540919 50.1112206, 8.6546397 50.1117314, 8.6544938 50.1118801, 8.6544481 50.1118611, 8.6543962 50.111837, 8.6543502 50.1118142, 8.6543228 50.1117996, 8.6542838 50.1117777, 8.6542517 50.1117576, 8.6541787 50.1117068, 8.6541458 50.11168, 8.6541082 50.1116468, 8.654078 50.1116173, 8.6540545 50.111593, 8.6540327 50.1115683, 8.6540126 50.1115457, 8.6539972 50.1115239, 8.6539813 50.1115, 8.6539673 50.111479, 8.6539556 50.1114594, 8.6539586 50.1114587, 8.6539355 50.1114145, 8.653915 50.1113688, 8.6539323 50.1113662, 8.6539246 50.111341, 8.6539152 50.1113123, 8.6539081 50.1112839, 8.6539036 50.1112589, 8.6539008 50.1112389, 8.6538984 50.111212, 8.6538976 50.1111913, 8.6538976 50.1111751, 8.6538973 50.1111607))",,,Kastor,,,Frankfurt am Main,1,60327,Platz der Einheit,,,,,,,,,,,,,,,Q471326,de:Kastor und Pollux (Frankfurt am Main),commercial,22,,,,,,"[9713337766, 1009288523, 98136093, 1401257883, 98136094, 98136096, 9885762977, 9885762976, 9885762975, 1009288598, 9885762974, 98136097, 9713337770, 9713337769, 9885762973, 9713337759, 9885762972, 9885762971, 9885762970, 9885762966, 9885762967, 9885762968, 9885762969, 9713337760, 9885762965, 9713337761, 9713337762, 9713337763, 9885762964, 9713337764, 9885762963, 9885762962, 9885762961, 9713337765, 9885762960, 9713337766]",,95,,,,1997,Kastor,glass,glass,3,flat,Category:Kastor (Forum Frankfurt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11017114,"POLYGON ((8.6548246 50.1107003, 8.6547426 50.110623, 8.65479 50.1106273, 8.6548411 50.1106336, 8.6548776 50.1106401, 8.654918 50.1106482, 8.6549604 50.1106594, 8.6549919 50.1106689, 8.6550267 50.110681, 8.6550513 50.1106906, 8.6550862 50.1107059, 8.6551163 50.1107209, 8.6551465 50.1107372, 8.6551743 50.1107544, 8.6552035 50.1107749, 8.6552313 50.1107964, 8.6552508 50.1108138, 8.6552737 50.1108352, 8.655288 50.110851, 8.6553009 50.1108667, 8.6553372 50.1109198, 8.6552857 50.1109726, 8.6553307 50.1110144, 8.6551853 50.1111626, 8.6547816 50.1107856, 8.6548017 50.1107763, 8.654754 50.110732, 8.6548246 50.1107003))",,,Pollux,,,Frankfurt am Main,2,60327,Platz der Einheit,,,,,,,,,,,,,,,Q471326,de:Kastor und Pollux (Frankfurt am Main),commercial,33,office,,,,,"[98136413, 1009288603, 98136416, 9885762988, 9885762987, 1009288593, 9885762986, 9885762985, 1009288565, 9885762984, 9885762983, 98136417, 9885762982, 9885762981, 1009288553, 9885762980, 9885762979, 1009288574, 9885762978, 1009288608, 98136418, 98136419, 98136420, 98136421, 1009288529, 1009288519, 1009288622, 98136413]",,130,,,,1997,,glass,glass,3,flat,Category:Pollux (Forum Frankfurt),flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11017234,"POLYGON ((8.6492691 50.112391, 8.6493072 50.1124055, 8.6493135 50.1124075, 8.6493321 50.1124136, 8.6493693 50.1124258, 8.6494187 50.1124469, 8.6495225 50.1124911, 8.6495351 50.1124965, 8.6495738 50.1125189, 8.6496033 50.1125359, 8.6496196 50.1125468, 8.6496366 50.1125582, 8.6496546 50.1125711, 8.6496756 50.1125863, 8.6496856 50.1125935, 8.6497228 50.1126274, 8.6497313 50.1126385, 8.649746 50.1126542, 8.6497683 50.1126884, 8.649811 50.1127566, 8.6498391 50.1128162, 8.6498696 50.1129026, 8.6498688 50.1129343, 8.6498679 50.1129916, 8.6498369 50.1130816, 8.6497627 50.1131777, 8.6497021 50.1132318, 8.6496389 50.1132752, 8.6496254 50.1132824, 8.6495717 50.1133103, 8.6494699 50.1133579, 8.6493472 50.1133935, 8.6492189 50.1134198, 8.6490501 50.1134378, 8.6488874 50.113443, 8.6487562 50.1134229, 8.6486134 50.1133836, 8.6484639 50.1133066, 8.6487194 50.1132981, 8.6489164 50.1132981, 8.6491061 50.1132876, 8.6491768 50.1132716, 8.6493296 50.1132148, 8.6494397 50.1131558, 8.6494959 50.1130993, 8.6495288 50.1130639, 8.6495554 50.113029, 8.6495814 50.1129654, 8.6495808 50.1128905, 8.6495789 50.1128582, 8.6495578 50.1128255, 8.6495396 50.1127997, 8.6495234 50.1127804, 8.6494999 50.1127476, 8.6494584 50.1127145, 8.6493034 50.1126311, 8.6492438 50.1126162, 8.6490944 50.1125902, 8.6491166 50.1125019, 8.6491077 50.1124922, 8.6491317 50.1123751, 8.6491337 50.1123674, 8.6492691 50.112391))",,,Maritim Hotel Frankfurt,,,Frankfurt am Main,3,60486,Theodor-Heuss-Allee,,,DE,,,https://www.maritim.de/de/hotels/deutschland/hotel-frankfurt/unser-hotel,yes,,,,,,,,,de:Maritim Hotelgesellschaft#Standorte,commercial,,,,,,,"[4047313102, 5325555303, 5329263276, 5329263278, 98138660, 5329263280, 5329263281, 4047313104, 5329263273, 98138661, 5329263271, 4047313107, 5329263269, 5329263268, 672383201, 98138662, 1702607322, 4047313111, 2574943754, 4047313114, 2574943756, 4047313116, 5329263253, 2574943758, 2574943761, 2574943763, 4047313122, 5325555319, 5325555309, 2574943771, 4047313124, 98138668, 4047313126, 98138669, 4047313125, 98138670, 4047313123, 98138671, 98138672, 98138674, 4047313121, 98138676, 4047313120, 98138677, 4047313119, 98138678, 4047313118, 132581472, 4047313117, 259225961, 4047313115, 259225960, 4047313113, 98138679, 4047313110, 98138680, 98138681, 98138682, 5325555240, 672383180, 5325555625, 98138659, 4047313102]",,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11017339,"POLYGON ((8.649986 50.1096704, 8.6497221 50.1107547, 8.6496649 50.1107461, 8.6495635 50.1107363, 8.6494039 50.1107214, 8.6490649 50.1106926, 8.6487521 50.1106704, 8.6484656 50.1106495, 8.6481673 50.1106225, 8.6478854 50.1105919, 8.6476176 50.1105547, 8.6473494 50.1105051, 8.647079 50.1104557, 8.6469084 50.1104361, 8.6468873 50.1104337, 8.6467903 50.1104194, 8.6467213 50.1104092, 8.6467576 50.1102485, 8.6470044 50.109338, 8.6473699 50.1093807, 8.6473869 50.1093151, 8.6476723 50.1093168, 8.6479582 50.1093276, 8.6482476 50.1093462, 8.6485322 50.1093725, 8.6488194 50.1094086, 8.6490976 50.1094546, 8.6493669 50.1095049, 8.6496365 50.1095661, 8.6496212 50.1096299, 8.649986 50.1096704))",,,Halle 3,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[98139706, 1009434775, 259224272, 1009434780, 1009434750, 1009434806, 1009434727, 1009434760, 1009434815, 1009434858, 1009434844, 1009434898, 259224266, 5326304966, 1009434864, 5326304965, 1009434749, 1009434747, 98139707, 1009434902, 1009434755, 1009434785, 1009434757, 1009434817, 1009434783, 1009434848, 1009434938, 1009434860, 1009434933, 1009434889, 98139706]",,43,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11017688,"POLYGON ((8.6276395 50.117056, 8.6277076 50.1171306, 8.6277823 50.1172171, 8.6278546 50.1172965, 8.6273715 50.1174742, 8.6266152 50.1177523, 8.626604 50.1177397, 8.6263726 50.1178248, 8.6261805 50.1176748, 8.6262951 50.1175936, 8.6264485 50.1175372, 8.6264193 50.1175046, 8.6276395 50.117056))",,,Radisson Blu,,,Frankfurt am Main,65,60486,Franklinstraße,,,,+49 69 770155-0,,http://www.radissonblu.de/hotel-frankfurt,yes,,,,,,,,Q972860,de:Radisson Blu Hotel Frankfurt,commercial,,,,,,,"[98143372, 4663653152, 4663653153, 259228020, 4551468994, 3241237899, 3241237898, 259228021, 98143373, 3241237894, 3241237891, 3241237890, 98143372]",,,,,,,,,,,,,,hotel,,Radisson Blu,Q7281341,en:Radisson Blu,info.frankfurt@radissonblu.com,+49 69 770155-10,wlan,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11526963,"POLYGON ((8.6723278 50.1125321, 8.6723741 50.112484, 8.6723993 50.1124947, 8.6724085 50.1124851, 8.6724214 50.1124682, 8.67243 50.1124475, 8.672435 50.1124253, 8.6724343 50.1124049, 8.6724297 50.1123854, 8.6724205 50.1123679, 8.6724127 50.1123548, 8.6723996 50.1123403, 8.6723852 50.1123278, 8.6723674 50.1123143, 8.6723491 50.1123041, 8.6723261 50.1122941, 8.6722993 50.1122857, 8.6722635 50.1122779, 8.6722315 50.1122746, 8.6721957 50.1122736, 8.6721513 50.1122805, 8.6721152 50.1122883, 8.6720923 50.1122984, 8.6720782 50.1123045, 8.6720587 50.1123135, 8.6720367 50.1123279, 8.6720136 50.1123485, 8.6720002 50.1123694, 8.6719911 50.1123893, 8.6719881 50.1124048, 8.671989 50.1124265, 8.671993 50.1124479, 8.6720011 50.1124656, 8.6720093 50.1124815, 8.6720241 50.1124967, 8.6720432 50.1125124, 8.672059 50.112521, 8.6720201 50.1125609, 8.6719985 50.1125515, 8.6718902 50.1126659, 8.6722266 50.1127952, 8.6722312 50.1127969, 8.6723706 50.1126475, 8.6724384 50.1125747, 8.6723278 50.1125321))",,,Main Tower,,,Frankfurt am Main,52-58,60311,Neue Mainzer Straße,,,DE,,,https://www.maintower.de/,,,,,,,,,Q321291,de:Main Tower,commercial,,,,,,,"[102747018, 864704113, 864703859, 1854476495, 864704101, 1854476490, 102747019, 864704041, 864704040, 1854476466, 864703964, 1854476454, 102747011, 864704079, 1854476438, 9833144785, 864703890, 1854476429, 864703787, 1854476434, 102747012, 864704062, 1854476445, 864703990, 102747013, 9833144786, 9833144787, 9833144788, 864703874, 864703923, 864703817, 864703848, 1854476492, 102747014, 1854476504, 864704092, 665145601, 1854476542, 9833144776, 102747015, 344489944, 9833144775, 1934334405, 344489949, 102747018]",Maintower,170,,,,1999,Main Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11527028,"POLYGON ((8.6740619 50.1107388, 8.6738607 50.1106619, 8.673754 50.1107746, 8.6736735 50.1107439, 8.6736657 50.1107526, 8.6736573 50.1107494, 8.6733659 50.1110679, 8.6733728 50.1110705, 8.6733627 50.1110815, 8.6735475 50.111151, 8.6735559 50.111142, 8.6735647 50.1111452, 8.6736768 50.1110238, 8.6737667 50.111058, 8.6737847 50.1110391, 8.6740619 50.1107388))",,,Global Tower,,,Frankfurt am Main,32-36,60311,Neue Mainzer Straße,,,,,,https://global-tower.com/,,,,,,,,,Q1247710,de:Neue Mainzer Straße 32–36,commercial,24,,,,,,"[102747674, 102747676, 102747677, 9833466993, 9833466992, 102747678, 102747679, 9833466994, 9833466995, 9833466997, 9833466996, 102747680, 102747681, 9833466998, 102747682, 102747674]",,,,,,,,,,,,Category:Neue Mainzer Straße 32-36,,,,,,,,,,,Commerzbank-Zentrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11527118,"POLYGON ((8.6669698 50.1126978, 8.6671208 50.1126751, 8.6671307 50.1126743, 8.6671435 50.112686, 8.6671202 50.1127345, 8.6671249 50.1127354, 8.6670836 50.1128193, 8.6670589 50.112823, 8.6666991 50.1128757, 8.6667015 50.1128835, 8.6665632 50.112904, 8.6665201 50.1129926, 8.6665151 50.1129916, 8.666509 50.1130031, 8.6664882 50.1130057, 8.6664111 50.1129524, 8.6664064 50.1129552, 8.6663337 50.1129043, 8.6663407 50.1128902, 8.6663457 50.1128896, 8.6664557 50.1126635, 8.6664418 50.1126605, 8.666484 50.1125698, 8.6663764 50.1124947, 8.6663828 50.1124801, 8.6665948 50.1124494, 8.6666015 50.1124546, 8.666611 50.1124611, 8.6666076 50.1124631, 8.6669019 50.1126655, 8.6669131 50.1126588, 8.6669698 50.1126978))",,,Trianon,,,Frankfurt am Main,16,60325,Mainzer Landstraße,,,DE,,,,,,,,,,,,Q195166,de:Trianon (Frankfurt am Main),commercial,45,,,,,,"[102749491, 1851267701, 1851267700, 102749500, 9860689553, 9860689552, 102749499, 102749498, 9860689562, 9860689561, 1851267714, 9860689558, 9860689557, 1851267719, 102749496, 9860689556, 9860689555, 102749495, 9860689554, 1851267713, 1851267699, 1851267698, 102749494, 1851267689, 102749493, 102749492, 9860689566, 9860689565, 1851267687, 9860689551, 9860689550, 102749491]",Deka Hochhaus,170,,,,1993,Trianon,,,,flat,"Category:Trianon, Frankfurt",,,,,,,,,,,,yes,DekaBank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
