element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,nodes,building,wheelchair,check_date:opening_hours,consulate,country,diplomatic,office,opening_hours:signed,target,building:levels,building:min_level,layer,note:building:min_level,source,ways,type
way,24021415,"POLYGON ((8.6600875 50.1029066, 8.6601313 50.1029426, 8.6602099 50.1030071, 8.6602167 50.1030127, 8.6601686 50.1030369, 8.6600982 50.1030721, 8.6600821 50.1030802, 8.6600703 50.1030705, 8.6599904 50.103005, 8.6594568 50.1025672, 8.6595915 50.1024997, 8.6596845 50.102576, 8.6600875 50.1029066))",Frankfurt am Main,,126,60327,Gutleutstraße,,"[2389908526, 7329141355, 6266703615, 260494091, 2389908555, 2389908560, 2389908561, 6266703614, 7329136063, 260494099, 260494090, 1109135307, 2389908526]",government,,,,,,,,,,,,,,,
way,24350078,"POLYGON ((8.6878632 50.1164407, 8.6878745 50.1163235, 8.6879954 50.1163284, 8.6880518 50.1157483, 8.6881415 50.1157518, 8.6882341 50.1157555, 8.6881841 50.11627, 8.6881824 50.1162877, 8.6881778 50.1163353, 8.6882902 50.1163398, 8.6885188 50.1163489, 8.688562 50.1163507, 8.6885761 50.1163512, 8.6885647 50.1164688, 8.6881037 50.1164504, 8.6880442 50.116448, 8.6879884 50.1164457, 8.6878632 50.1164407))",,,,,,Gerichtsgebäude C,"[264150780, 842540395, 842540430, 264150781, 10699514705, 264150782, 10699514247, 10699514246, 264150783, 10699514216, 1853445297, 1853445298, 264150784, 264150785, 1853445329, 3235067479, 1853445326, 264150780]",government,,,,,,,,,,,,,,,
way,29496781,"POLYGON ((8.6527129 50.1233416, 8.6527682 50.1232514, 8.6526896 50.1232316, 8.6526942 50.1232242, 8.6526096 50.1232028, 8.652605 50.1232103, 8.6525039 50.1231848, 8.6524683 50.1232428, 8.6525211 50.1232561, 8.6525014 50.1232884, 8.6527129 50.1233416))",Frankfurt am Main,DE,35,60325,Zeppelinallee,,"[360768895, 325145953, 360768898, 2515358730, 2515358725, 2515358728, 325145963, 325145965, 325145960, 2515358744, 360768895]",government,,,,,,,,,,,,,,,
way,29496782,"POLYGON ((8.6526784 50.1230272, 8.6526201 50.1231372, 8.6528421 50.1231856, 8.6529004 50.1230756, 8.6526784 50.1230272))",Frankfurt am Main,DE,33,60325,Zeppelinallee,,"[325145971, 325145973, 325145974, 325145972, 325145971]",government,,,,,,,,,,,,,,,
way,29496783,"POLYGON ((8.6529729 50.1229257, 8.6530172 50.1228308, 8.6527119 50.1227722, 8.6526788 50.1228431, 8.6527307 50.1228531, 8.6527192 50.1228775, 8.6529729 50.1229257))",Frankfurt am Main,DE,29,60325,Zeppelinallee,,"[2515358697, 325145975, 325145980, 325145981, 325145977, 2515358691, 2515358697]",government,,,,,,,,,,,,,,,
way,29496793,"POLYGON ((8.6530745 50.1226858, 8.6531231 50.1225644, 8.6528686 50.1225226, 8.6528356 50.122605, 8.6528672 50.1226102, 8.6528516 50.1226492, 8.6530745 50.1226858))",Frankfurt am Main,DE,25,60325,Zeppelinallee,,"[2515358684, 325146042, 325146046, 325146047, 325146045, 2515358677, 2515358684]",government,,,,,,,,,,,,,,,
way,30419174,"POLYGON ((8.695078 50.1495937, 8.6949501 50.1498734, 8.6946567 50.1498182, 8.694636 50.1498636, 8.6941474 50.1497718, 8.6941896 50.1496797, 8.6942365 50.1496886, 8.6943431 50.1494556, 8.695078 50.1495937))",,,,,,,"[335702435, 335702437, 1200307530, 1200307236, 335702438, 1200307776, 1200307724, 335702436, 335702435]",government,,,,,,,,,,,,,,,
way,30419175,"POLYGON ((8.6941282 50.1494665, 8.6937002 50.1493928, 8.6936383 50.1495365, 8.6934877 50.1495932, 8.6935084 50.1496348, 8.6934612 50.1497275, 8.6937735 50.1497785, 8.6938086 50.1498169, 8.6940928 50.1497181, 8.6940455 50.1496746, 8.6941282 50.1494665))",,,,,,,"[335702439, 335702440, 335702441, 335702442, 335702443, 335702444, 335702445, 335702446, 335702447, 335702448, 335702439]",government,,,,,,,,,,,,,,,
way,30419176,"POLYGON ((8.6935676 50.1502233, 8.6937279 50.1501482, 8.693363 50.1498283, 8.6933189 50.1498489, 8.6932958 50.1498287, 8.6932793 50.1498364, 8.6932362 50.1498566, 8.6932595 50.1498771, 8.693203 50.1499036, 8.6935676 50.1502233))",,,,,,,"[335702449, 335702451, 335702452, 3206631400, 3206631399, 335702454, 3206631402, 3206631406, 335702450, 335702449]",government,,,,,,,,,,,,,,,
way,30419177,"POLYGON ((8.6925492 50.1501422, 8.6924125 50.1500224, 8.6931158 50.1496931, 8.6932793 50.1498364, 8.6932362 50.1498566, 8.6930833 50.1499282, 8.6930564 50.1499047, 8.6925492 50.1501422))",,,,,,,"[335702453, 335702455, 335702456, 335702454, 3206631402, 3206631408, 3206631407, 335702453]",government,,,,,,,,,,,,,,,
