element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:fax,contact:phone,name,opening_hours,ref:isil,short_name,website,wheelchair,wheelchair:description,wikidata,wikipedia,geometry,contact:website,check_date:opening_hours,phone,toilets:wheelchair,level,alt_name,email,fax,operator,addr:country,internet_access,internet_access:fee,internet_access:operator,internet_access:ssid,source,description,ele,opening_hours:url,alt_name:de,loc_name,loc_name:de,name:de,fixme,indoor,name:en,ref,source:wheelchair,shop,max_age,nodes,building,building:levels,roof:levels,roof:shape
node,16084570,Frankfurt am Main,1,60322,Adickesallee,library,info-f@dnb.de,+49 69 15251010,+49 69 1525-0,Deutsche Nationalbibliothek,Mo-Fr 09:00-22:00; Sa 10:00-18:00; Su off; PH off; easter -1 day off; Oct 31 off; Dec 24-31 off; Jan 01-03 off,DE-101b,DNB,http://www.dnb.de/,yes,"Es gibt zwar Aufzüge und rollstuhlgerechte Toiletten, aber auf all die Ziertreppchen hätte man auch einfach verzichten können.",Q27302,de:Deutsche Nationalbibliothek,POINT (8.6832855 50.1312059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30764670,,,,,library,auskunft@ub.uni-frankfurt.de,,+49 69 798 39205,Universitätsbibliothek,Mo-Fr 10:00-18:00,,,,yes,,,,POINT (8.6530694 50.1202946),https://www.ub.uni-frankfurt.de/zentrale/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,245928101,,,,,library,,,,Stadtteilbücherei Bornheim / Kinder- und Jugendbibliothek,Tu-Fr 13:00-19:00; Sa 10:00-14:00; Mo off,,,,yes,,,,POINT (8.7046982 50.1228918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292412929,,,,,library,,,,Stadtteilbibliothek Dornbusch,"Tu,Th 13:00-19:00; We 13:00-17:00; Fr 11:00-17:00; Sa 10:00-14:00",,,,yes,,,,POINT (8.6705393 50.1396766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,294761133,Frankfurt am Main,4,60311,Hasengasse,library,,,,Städtische Zentralbibliothek,Mo-Fr 10:00-19:00; Sa 11:00-17:00,,,https://www.stadtbuecherei.frankfurt.de/,yes,barrierefreier Eingang seitlich über Vorplatz,,,POINT (8.6843298 50.1131502),,2023-01-10,+49 69 212 3 80 80,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,366639100,Frankfurt am Main,,,,library,,,,Stadtbibliothek Nordwest,"Mo,We,Fr 11:00-17:00, Tu,Th 13:00-19:00, Sa 10:00-14:00",,,,limited,,,,POINT (8.632511 50.1588255),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,700744550,Frankfurt am Main,32,60594,Hedderichstraße,library,,,,Bibliothekszentrum Sachsenhausen,Mo 11:00-17:00; Tu 13:00-19:00; We 11:00-19:00; Th 13:00-19:00; Fr 11:00-17:00; Sa 11:00-14:00,DE-277,,,yes,,,,POINT (8.6869719 50.1011719),,2021-12-04,+49 69 212 33958,,,Bücherei Sachsenhausen,sachsenhausen@stadtbuecherei.frankfurt.de,+49 69 212 33504,Stadt Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,
node,903972355,,,,,library,,,,Bücherei,"Tu 13:00-19:00; We,Th 13:00-18:00; Fr 11:00-17:00",,,,yes,,,,POINT (8.6077995 50.094807),,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1045757547,,,,,library,,,,Kath. Gemeindebücherei,,,,,yes,,,,POINT (8.6450912 50.0865032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1448634313,,,,,library,,,,Stadtteilbibliothek Schwanheim,"Tu,Th 13:00-19:00, We 11:00-17:00, Fr 13:00-17:00",,,https://www.stadtbuecherei-frankfurt.de/,no,Nur über mehrere Treppenstufen erreichbar,,,POINT (8.5816428 50.0863879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1448634931,Frankfurt am Main,65,60326,Idsteiner Straße,library,,,,Stadtteilbibliothek Gallus,"Mo 13:00-17:00; Tu 13:00-19:00; We 13:00-17:00; PH,Th-Su off",DE-277,,https://www.stadtbuecherei-frankfurt.de/,yes,,,,POINT (8.6344916 50.105438),,,+49 69 212 34744,,,Bücherei Gallus,gallus@stadtbuecherei.frankfurt.de,+49 69 212 71400,Stadt Frankfurt,DE,,,,,,,,,,,,,,,,,,,,,,,,
node,1470780004,,,,,library,bnat@ub.uni-frankfurt.de,,+49 69 79849105,Bibliothek Naturwissenschaften (BNat),Mo-Fr 08:00-20:00; Sa 10:00-16:00,,,,yes,,,,POINT (8.6282382 50.174438),https://www.ub.uni-frankfurt.de/bnat/,2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1566416712,Frankfurt am Main,91,60487,Leipziger Straße,library,,,,Infoladen,"Su 12:00-16:00, Mo 18:00-22:00",,,https://web.archive.org/www.infoladen.de/ffm/,limited,,,,POINT (8.6412664 50.1236523),,,,,,,,,,DE,wlan,no,freifunk,ffm.freifunk.net,Survey,,,,,,,,,,,,,,,,,,,
node,1579292375,,,,,library,,,,Bibliothek Städelschule,,,,,,,,,POINT (8.6746743 50.1021966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1744377498,,,,,library,,,,Fahrbibliothek,Tu 16:30-17:15,,,,no,,,,POINT (8.68862 50.1484842),,,,,,,,,,,,,,,,Die Haltestelle eines Bücherbus,,,,,,,,,,,,,,,,,,
node,2048587946,,,,,library,,,,Stadtteilbiliothek Sossenheim,,,,,no,,,,POINT (8.5662138 50.1195414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2349332560,Frankfurt am Main,4,60323,Theodor-W.-Adorno-Platz,library,bruw-info@ub.uni-frankfurt.de,,+49 69 79834965,Bibliothek Recht und Wirtschaft (BRuW),"Mo-Fr 08:00-22:00 open, Sa,Su 10:00-22:00 open; PH closed || ""erweiterte Zeiten zur Klausurenphase""",,,,yes,,,,POINT (8.6647718 50.1284847),https://www.ub.uni-frankfurt.de/bruw/,,,,,,,,,,,,,,https://www.ub.uni-frankfurt.de/bruw/,In der Prüfungsphase geänderte Öffnungszeiten und teils zugangsbeschränkt für Mitglieder der Goethe-Universität.,0;-1,http://www.ub.uni-frankfurt.de/bruw/zeiten.html,,,,,,,,,,,,,,,,
node,2349333283,,,,,library,bzg-info@ub.uni-frankfurt.de,,,Bibliothekszentrum Geisteswissenschaften (BzG),,,,,yes,,,,POINT (8.6689721 50.1258469),https://www.ub.uni-frankfurt.de/bzg/,,,,Q6_(Querbau_6),,,,,,,,,,https://www.ub.uni-frankfurt.de/bzg/,,,,,,,,,,,,,,,,,,,
node,2349334436,,,,,library,bzg-info@ub.uni-frankfurt.de,,,Bibliothekszentrum Geisteswissenschaften (BzG),,,,,yes,,,,POINT (8.6658124 50.1253586),https://www.ub.uni-frankfurt.de/bzg/,,,,Q1_(Querbau_1),,,,,,,,,,https://www.ub.uni-frankfurt.de/bzg/,,,,,,,,,,,,,,,,,,,
node,2656171084,,,,,library,,,,BiKuZ Bildungs- und Kultur-Zentrum im Friedrich-Dessauer-Gymnasium,,,,https://frankfurt.de/service-und-rathaus/verwaltung/aemter-und-institutionen/stadtbuecherei/bibliothekszentrum-hoechst,yes,,,,POINT (8.5425836 50.1043752),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3000066329,Frankfurt am Main,45,60439,Ernst-Kahn-Straße,library,,,,Bücherei St. Sebastian,,,,,,,,,POINT (8.6357861 50.1547182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3003659384,,,,,library,,,,Albert-Schweitzer-Zentrum,"Mo,Tu,We,Fr 09:00-16:00; Th 09:00-20:00",,,http://www.albert-schweitzer-zentrum.de/,,,,,POINT (8.6707604 50.123535),,,+49 69 284951,,,,info@albert-schweitzer-zentrum.de,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3107318560,Frankfurt am Main,1,60323,Grüneburgplatz,library,bsp@ub.uni-frankfurt.de,,+49 69 798 35122,Bibliothek Sozialwissenschaften und Psychologie (BSP),Mo-Fr 08:00-22:00; Sa 10:00-18:00; PH off,,,,yes,,,,POINT (8.6697346 50.1288037),https://www.ub.uni-frankfurt.de/bsp/,,,,,,,,Universitätsbibliothek Johann Christian Senckenberg,,,,,,,"Öffnungszeiten für Ausleihe + Rückgabe an der Theke, Mahngebührenzahlung und Testsammlung weichen von den allgemeinen Zeiten ab! Öffnungszeiten in den Klausurenphasen meist erweitert, um Weihnachten und Silvester nicht geöffnet. Details siehe Website.",,,,,,,,,,,,,,,,,,
node,4486634296,,,,,library,,,,Stadtteilbibliothek Niederrad,Mo 13:00-18:00; Di 13:00-18:00,,,stadtbuecherei.frankfurt.de,,,,,POINT (8.6448049 50.0860216),,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4861506574,,,,,library,sportbib@ub.uni-frankfurt.de,,+49 69 79824521,Bibliothek für Sportwissenschaften,"Mo-Fr 10:00-16:00 open ""in der Vorlesungszeit"" || unknown ""in der vorlesungsfreien Zeit geänderte Zeiten""; PH,Sa,Su closed",,,,,,,,POINT (8.6447022 50.1312641),http://www.ub.uni-frankfurt.de/bsp/sport/,,,,1,Sportbib,,,,,,,,,,Geänderte Öffnungszeiten in der vorlesungsfreien Zeit stehen auf der Website.,,http://www.ub.uni-frankfurt.de/bsp/sport/,Sportbib,Sportbibliothek,Sportbibliothek,Bibliothek für Sportwissenschaften,,,,,,,,,,,,
node,4937644421,Frankfurt am Main,2,60311,Schöne Aussicht,library,,,,Literaturhaus,,,,https://www.literaturhaus-frankfurt.de/,yes,Eingang Gebäuderückseite über Rampe/Aufzug,Q1865136,de:Literaturhaus Frankfurt,POINT (8.6931003 50.1093902),,,+49 69 7561840,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5056059567,,,,,library,,,,Bibliothek des Deutschen Architekturmuseums,"Mo,Fr,Sa,Su,PH off; Tu-Th 13:00-17:00",DE-F219,,http://www.dam-online.de/portal/de/ServiceundKontakt/Bibliothek/1838/0/0/0/1582.aspx,yes,,,,POINT (8.687049 50.1010552),,,+49 69 21230827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5891882316,,,,,library,medhb@ub.uni-frankfurt.de,,+49 69 630 15058,Medizinische Hauptbibliothek (MedHB),"Mo-Fr 08:00-21:00; Sa,Su 09:00-18:00",,,,,,,,POINT (8.6642782 50.0956283),https://www.ub.uni-frankfurt.de/medhb/,,,,,Medizinbibliothek,,,,,,,,,,,,,,,,,"is house 10 used for anything except the library? if only the library is in this house, merge this node into the building outline of house 10, please!",,,,,,,,,,,
