element_type,osmid,access,amenity,fee,name,parking,geometry,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,noexit,wheelchair,layer,maxheight,opening_hours,operator,barrier,bicycle,motor_vehicle,maxstay,lit,park_ride,ref,smoothness,surface,capacity:disabled,toilets:wheelchair,wheelchair:description,capacity,capacity:parent,capacity:women,public,note:de,covered,fixme,capacity:charging,website,description,motorcar,motorcycle,addr:city,addr:housenumber,addr:postcode,addr:street,capacity:disabled:conditional,maxweight,access:conditional,disabled,parking:condition,parking:condition:disabled:permit,supervised,addr:country,source,note,parking:orientation,operator:type,level,trailer,hgv,check_date:opening_hours,access:carsharing,contact:website,description:de,email,phone,maxspeed,name:en,wikidata,highway,charge,image,vehicle,height,nodes,building,caravan,building:levels,payment:american_express,payment:girocard,payment:maestro,payment:mastercard,payment:visa,roof:shape,area,roof:colour,access:note,member_of,fee:conditional,name:etymology:wikidata,name:etymology:wikipedia,brand,building:colour,payment:cards,payment:cash,payment:coins,roof:levels,not:operator:wikidata,parking:condition:both,parking:condition:both:residents,parking:condition:area,check_date:fee,contact:phone,loc_name,payment:credit_cards,payment:debit_cards,building:material,start_date,orientation,parking:disabled,parking_space,location,razed:leisure,razed:sport,taxi,capacity:bus,tourist_bus,capacity:hgv,fee:description,maxlength,surveillance,service,operator:wikidata,operator:wikipedia,railway,note:access,indoor,room,construction,ways,type
node,28210120,yes,parking,no,P+R unter der Autobahn,surface,POINT (8.6879544 50.1591689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,28210130,yes,parking,no,P+R unter der Autobahn,surface,POINT (8.6887209 50.1592861),Area,9.00,43449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29275898,,parking,,Nordpark,,POINT (8.6666786 50.1785233),,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30015425,,parking,,,underground,POINT (8.6626689 50.1805661),,,,yes,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30111722,yes,parking,no,,lane,POINT (8.624195 50.1480142),,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30111723,,parking,,,,POINT (8.6433527 50.1369856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30215752,private,parking,,,surface,POINT (8.6819196 50.1540994),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30312361,yes,parking,no,,surface,POINT (8.670959 50.1400483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31114185,,parking,yes,Zoo-Passage,underground,POINT (8.6959618 50.1141058),,,,,limited,-1,1.80,"Mo-Fr 00:00-01:00,06:00-24:00; Sa,Su 00:00-02:00,06:00-24:00",Parkopedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31299081,private,parking,yes,Tiefgarage der Universität,underground,POINT (8.6503662 50.1184265),,,,,no,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,32573184,,parking,,,,POINT (8.7815467 50.1425096),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,34686309,yes,parking,no,,street_side,POINT (8.7731124 50.1202202),,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,43562714,yes,parking,yes,Tiefgarage Goetheplatz,underground,POINT (8.6765888 50.1127699),Area,9.00,44402,,yes,-1,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60164147,yes,parking,no,Parkplatz Südbahn,surface,POINT (8.519457 50.0269229),,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60943130,yes,parking,no,,surface,POINT (8.6713162 50.0791175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,74966356,private,parking,,,surface,POINT (8.7690549 50.1334025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
