element_type,osmid,amenity,parking_space,geometry,capacity,parking,access,surface,nodes,ref,capacity:disabled,description,layer,level,capacity:bus,capacity:long,taxi,capacity:hgv,name
node,8563925040,parking_space,disabled,POINT (8.7310906 50.0982845),,,,,,,,,,,,,,,
node,10604308018,parking_space,disabled,POINT (8.6989346 50.1193519),1,street_side,,,,,,,,,,,,,
node,10604316216,parking_space,charging,POINT (8.6989167 50.1194458),2,street_side,yes,asphalt,,,,,,,,,,,
node,10613588171,parking_space,disabled,POINT (8.6976783 50.1190906),2,street_side,,,,,,,,,,,,,
way,237314578,parking_space,,"POLYGON ((8.6926736 50.0581891, 8.6920352 50.0581925, 8.6920359 50.0582449, 8.6926742 50.0582415, 8.6926736 50.0581891))",,surface,,,"[2452351586, 2452351592, 2452351612, 2452351611, 2452351586]",,,,,,,,,,
way,237314581,parking_space,,"POLYGON ((8.6930309 50.0581898, 8.6930316 50.0582369, 8.6937069 50.0582332, 8.6937062 50.0581862, 8.6930309 50.0581898))",,surface,,,"[2452351587, 2452351608, 2452351603, 2452351578, 2452351587]",,,,,,,,,,
way,289234888,parking_space,,"POLYGON ((8.6736325 50.0560607, 8.6736683 50.0560613, 8.6737622 50.0560699, 8.6738061 50.0560757, 8.6738556 50.0560842, 8.674728 50.0562886, 8.6755987 50.0564934, 8.675659 50.0565091, 8.6757065 50.0565225, 8.6757494 50.0565373, 8.6757845 50.0565505, 8.6758188 50.0565619, 8.6758564 50.0565728, 8.6758534 50.056578, 8.6743277 50.0562198, 8.6736325 50.0560607))",26,surface,,,"[2927813817, 2927813818, 2927813819, 2927813821, 2927813822, 2927813827, 2927813832, 2927813833, 2927813834, 2927813835, 2927813836, 2927813837, 2927813838, 2742221810, 2742221809, 2927813817]",,,,,,,,,,
way,289234889,parking_space,,"POLYGON ((8.6816828 50.0579391, 8.6816625 50.0579832, 8.6817383 50.0579942, 8.6817588 50.0579495, 8.6816828 50.0579391))",,surface,,,"[2927813847, 2927813850, 2927813851, 53872898, 2927813847]",,,,,,,,,,
way,289234890,parking_space,,"POLYGON ((8.6813247 50.0578423, 8.681294 50.0579007, 8.6813538 50.0579107, 8.6813835 50.0578552, 8.6813247 50.0578423))",,surface,,fine_gravel,"[2927813842, 2927813844, 2927813845, 2927813843, 2927813842]",,,,,,,,,,
way,289234891,parking_space,,"POLYGON ((8.6770074 50.0568752, 8.6760814 50.0566331, 8.6760792 50.056691, 8.6769794 50.0569252, 8.6770074 50.0568752))",,surface,,,"[2742221813, 2742221811, 2742221812, 2742221814, 2742221813]",,,,,,,,,,
