element_type,osmid,amenity,denomination,name,religion,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wikidata,toilets:wheelchair,addr:country,email,fax,phone,service_times,website,wikipedia,alt_name,entrance,name:en,operator,short_name,description,source,note,url,name:bs,building,contact:facebook,name:ru,tourism,level,nodes,alt_name:en,building:levels,building:material,historic,name:fr,name:zh,seamark:landmark:category,seamark:landmark:conspicuity,seamark:landmark:function,seamark:type,wikimedia_commons,architect,architect:wikidata,building:architecture,layer,start_date,name:ko,heritage,heritage:operator,old_name,contact:website,source:addr,wheelchair:description,image,opening_hours,diocese,roof:shape,architect:wikipedia,addr:housename,year_of_construction,building:colour,building:part,roof:colour,roof:levels,building:use,heritage:ref,heritage:website,contact:email,long_name,height,source:height,roof:height,ways,type,addr:street:en,alt_name:ur,name:ur
node,29909948,place_of_worship,catholic,Sancta Familia,christian,no,POINT (8.6539169 50.1430866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29910640,place_of_worship,lutheran,Bethlehemkirche,christian,,POINT (8.6529565 50.145463),Frankfurt am Main,1,60431,Fuchshohl,Q15788133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30056443,place_of_worship,catholic,Sankt Sebastian,christian,,POINT (8.6348635 50.1547366),,,,,Q16218447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30762764,place_of_worship,evangelical,Kirche des Nazareners,christian,,POINT (8.6631754 50.1471218),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30764007,place_of_worship,protestant,Dornbuschkirche,christian,yes,POINT (8.6733902 50.1404544),Frankfurt am Main,1,60320,Carl-Goerdeler-Straße,Q15906187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30764042,place_of_worship,protestant,Jakobskirche,christian,limited,POINT (8.6372798 50.1256915),,,,,Q2318920,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30764360,place_of_worship,protestant,Französisch Reformierte Kirche,christian,yes,POINT (8.6676542 50.144841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30764671,place_of_worship,protestant,Cantate Domino,christian,yes,POINT (8.6328137 50.1547779),Frankfurt am Main,20,60439,Ernst-Kahn-Straße,Q15790918,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30776411,place_of_worship,catholic,Herz Jesu,christian,,POINT (8.6829048 50.1477617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30807454,place_of_worship,protestant,Evangelisches Jugendwerk,christian,yes,POINT (8.6590303 50.1544336),Frankfurt am Main,563-565,60431,Eschersheimer Landstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
