element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:country,amenity,nodes,building,building:levels,roof:shape,roof:levels,old_name,wikipedia,source,building:colour,height,roof:colour,roof:height,note,building:material,roof:material,fixme,roof:orientation,description,email,name,operator,operator:type,phone,social_facility,social_facility:for,website,roof:direction,addr:housename,building:levels:underground,building:min_level,check_date
way,28674073,"POLYGON ((8.6527304 50.1406563, 8.652772 50.1408533, 8.6530876 50.140826, 8.653046 50.1406289, 8.6527304 50.1406563))",Frankfurt am Main,47,60431,Schönbornstraße,yes,,,"[315110090, 315110092, 315110093, 315110091, 315110090]",residential,14,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053535,"POLYGON ((8.6528923 50.1576834, 8.6529565 50.1577596, 8.6528459 50.1577978, 8.652819 50.1577658, 8.6527959 50.1577738, 8.6527586 50.1577295, 8.6528923 50.1576834))",Frankfurt am Main,4,60431,Am Brückengarten,,DE,,"[319564962, 319564964, 319564965, 335999194, 3197364986, 319564963, 319564962]",residential,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053537,"POLYGON ((8.6525798 50.1580341, 8.65264 50.1581039, 8.6527651 50.1580597, 8.652705 50.1579899, 8.6525798 50.1580341))",Frankfurt am Main,1,60431,Am Brückengarten,,DE,,"[319564970, 319564972, 319564973, 319564971, 319564970]",residential,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053538,"POLYGON ((8.6528356 50.1579466, 8.6528823 50.1580056, 8.6529864 50.1579717, 8.6529397 50.1579128, 8.6528356 50.1579466))",Frankfurt am Main,3,60431,Am Brückengarten,,DE,,"[319564974, 319564976, 319564977, 319564975, 319564974]",residential,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053539,"POLYGON ((8.6530437 50.1578733, 8.653112 50.1579506, 8.6532568 50.157898, 8.6531886 50.1578208, 8.6530437 50.1578733))",Frankfurt am Main,5,60431,Am Brückengarten,,DE,,"[319564978, 319564980, 319564981, 319564979, 319564978]",residential,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053541,"POLYGON ((8.6532831 50.1577903, 8.6533522 50.157869, 8.6534611 50.1578297, 8.653392 50.157751, 8.6532831 50.1577903))",Frankfurt am Main,7,60431,Am Brückengarten,,DE,,"[319564982, 319564984, 319564985, 319564983, 319564982]",residential,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29053997,"POLYGON ((8.6524988 50.158426, 8.6523791 50.158446, 8.6523732 50.1584315, 8.6523424 50.1584367, 8.6523267 50.1583982, 8.6523575 50.158393, 8.6523478 50.1583691, 8.6524675 50.158349, 8.6524988 50.158426))",Frankfurt am Main,2,60431,Niedwiesenstraße,,DE,,"[319570164, 319570171, 3197365020, 3197365021, 3197365018, 3197365017, 319570172, 319570165, 319570164]",residential,2,gabled,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29054000,"POLYGON ((8.652237 50.1578934, 8.6522765 50.1579793, 8.6521134 50.1580101, 8.652083 50.157944, 8.6520739 50.1579243, 8.652237 50.1578934))",Frankfurt am Main,8,60431,Niedwiesenstraße,,DE,,"[319570186, 319570188, 319570189, 319570193, 319570187, 319570186]",residential,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29073133,"POLYGON ((8.6459733 50.129579, 8.6459838 50.1294826, 8.6462798 50.1294958, 8.6462693 50.1295922, 8.6459733 50.129579))",Frankfurt am Main,33,60487,Franz-Rücker-Allee,,DE,,"[319798685, 319798688, 319798690, 319798686, 319798685]",residential,3,hipped,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29098492,"POLYGON ((8.6547222 50.1268046, 8.6545391 50.1268552, 8.6546267 50.1269854, 8.6545192 50.1270151, 8.6545289 50.1270296, 8.6545079 50.1270354, 8.6545431 50.1270877, 8.6547178 50.1270394, 8.6547057 50.1270213, 8.6548425 50.1269834, 8.6547222 50.1268046))",Frankfurt am Main,4,60487,Ditmarstraße,,DE,,"[320071440, 320071442, 320071443, 2268452807, 2268452809, 320071445, 320071446, 2268452810, 2268452808, 320071441, 320071440]",residential,,,,Villa Hauck,de:Bauwerke in Bockenheim#Villa Hauck,,,,,,,,,,,,,,,,,,,,,,,,
