element_type,osmid,amenity,geometry,wheelchair,access,wheelchair:description,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,level,email,fax,name,opening_hours,phone,shop,website,brand,nodes,brand:wikidata,brand:wikipedia,building,internet_access,short_name,toilets:wheelchair,alt_name,building:levels,roof:levels,check_date:opening_hours,cuisine,roof:shape,contact:phone,contact:website,old_name,toilets,takeaway,diet:vegan,diet:vegetarian,description,craft,disused:shop,name:ko,wikidata,changing_table,drink:club-mate,building:colour,building:levels:underground,building:material,height,roof:colour,roof:material,source,source:height,access:covid19,drive_through:covid19,opening_hours:covid19,heritage,heritage:operator,start_date,contact:facebook,contact:instagram,contact:mobile,clothes,motorcycle:clothes,motorcycle:parts,addr:suburb,building:min_level,layer,roof:height,architect,wikimedia_commons,wikipedia,noaddress,branch,contact:email,diet:halal,diet:kosher,contact:fax,healthcare,opening_hours:signed,nohousenumber,not:brand:wikidata,trade,check_date,disused:kiosk,disused:name,disused:opening_hours,outdoor_seating,reservation,smoking,note:building:levels,air_conditioning,currency:EUR,diet:gluten_free,diet:healthy,diet:lactose_free,diet:local,diet:meat,diet:mediterranean,diet:non-vegetarian,image,membership,payment:cash,payment:coins,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,ref:vatin,second_hand,stroller,cash_withdrawal,internet_access:fee,loc_name,name:de,opening_hours:url,self_checkout,breakfast,drive_through,ice_cream,indoor_seating,leisure,note,addr:housename,noname,ways,type
way,15458735,,"POLYGON ((8.6006214 50.1366769, 8.6005322 50.1366905, 8.600458 50.1367159, 8.6003961 50.1367533, 8.5997696 50.1364579, 8.5993525 50.136835, 8.6008766 50.1375276, 8.6012846 50.1371588, 8.6010823 50.1370638, 8.601695 50.1365218, 8.6015721 50.1364644, 8.6015426 50.1364858, 8.6014111 50.1364265, 8.6013816 50.1364454, 8.6012512 50.1363844, 8.6008472 50.136723, 8.6007785 50.1366956, 8.6006981 50.13668, 8.6006214 50.1366769))",yes,,"alles ebenerdig, mit behindertengerechtem WC",,Frankfurt am Main,DE,10,60488,Guerickestraße,,,,toom Baumarkt,Mo-Sa 07:00-20:00; Fr 07:00-22:00,+49 69 976835-0,doityourself,http://www.toom-baumarkt.de/markt/details/frankfurt-roedelheim,toom Baumarkt,"[8779212909, 8779212905, 8779212906, 8779212903, 153485416, 153485407, 153485408, 153485410, 153485411, 153485413, 8779212899, 8779212900, 8779212901, 8779212902, 153485414, 8779212904, 8779212907, 8779212908, 8779212909]",Q2442970,de:Toom Baumarkt,retail,wlan,toom,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23248294,,"POLYGON ((8.6993828 50.1162215, 8.6995025 50.1162232, 8.6995029 50.1162114, 8.699519 50.1162116, 8.6996505 50.1162134, 8.6996498 50.1162354, 8.6996799 50.1162358, 8.6996807 50.116214, 8.6998297 50.1162161, 8.6998293 50.1162274, 8.6999501 50.1162291, 8.6999527 50.1161522, 8.6999404 50.1161521, 8.6999453 50.1160082, 8.699972 50.1160086, 8.6999726 50.1159902, 8.6999955 50.1159905, 8.7000002 50.1158535, 8.6999771 50.1158531, 8.6999777 50.1158346, 8.6999538 50.1158342, 8.6999585 50.115694, 8.6999704 50.1156941, 8.699973 50.1156169, 8.6998533 50.1156152, 8.6998529 50.1156269, 8.6995261 50.1156224, 8.6995265 50.1156098, 8.6994057 50.1156081, 8.699403 50.1156868, 8.6994147 50.1156869, 8.6994107 50.1158077, 8.6993485 50.1158068, 8.6993466 50.1158626, 8.6992901 50.1158618, 8.6992897 50.1158718, 8.699287 50.1159535, 8.6992867 50.1159615, 8.6993429 50.1159623, 8.6993425 50.1159664, 8.6993417 50.1160081, 8.6993409 50.1160218, 8.6994031 50.1160226, 8.699399 50.1161439, 8.6993854 50.1161437, 8.6993828 50.1162215))",,,,,,,,,,,,,Zoogesellschafthaus,,,,,,"[251552000, 9815818559, 9815818560, 3716788210, 9815818557, 9815818556, 9815818555, 9815818558, 9815818554, 9815818553, 251552004, 9815818566, 9815818565, 9815818564, 9815818563, 251552005, 251552006, 251552008, 251552009, 9815818567, 9815818568, 9815818569, 9815818570, 251552010, 1069307516, 1069307514, 1069307515, 1069307517, 251552011, 9815818575, 9815818576, 251552013, 251552014, 9815818574, 9815818572, 9815818250, 9815818245, 9815818571, 9815818573, 9815818243, 9815818242, 251552015, 251552017, 9815818562, 9815818561, 251552000]",,,retail,,,,Palais,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25480076,,"POLYGON ((8.6061766 50.1283043, 8.6062318 50.1283117, 8.606474 50.1283443, 8.6067378 50.1281155, 8.6068324 50.1277734, 8.6069116 50.1275049, 8.6064597 50.1274409, 8.6061968 50.1282428, 8.6061766 50.1283043))",limited,,,,Frankfurt am Main,DE,41,60489,Lorscher Straße,,,,,Mo-Sa 08:00-20:00,,,,,"[277648836, 1683567673, 1028001871, 1028001516, 1683567645, 1028001603, 277648838, 1683567657, 277648836]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25538793,,"POLYGON ((8.6070321 50.0945707, 8.6070321 50.0947524, 8.6066974 50.0947469, 8.6066974 50.0945707, 8.6070321 50.0945707))",,,,,Frankfurt am Main,,1b,65933,Waldschulstraße,,,,,,,,,,"[278332415, 278332416, 278332417, 278332418, 278332415]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26201442,fast_food,"POLYGON ((8.5761419 50.1324824, 8.5762094 50.1324075, 8.5762821 50.1324343, 8.576335 50.1324539, 8.5762675 50.1325289, 8.5761419 50.1324824))",limited,,,,,,13,,Stuttgarter Straße,,,,Döner-Sandwich Haus,Mo-Fr 07:00-18:00; PH off,,,,,"[286895801, 286895802, 659957443, 286895803, 286895804, 286895801]",,,retail,,,,,1,,2021-03-15,turkish,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28346976,,"POLYGON ((8.6851921 50.1622333, 8.6854843 50.1623729, 8.6859523 50.1619709, 8.6857532 50.1618757, 8.6857886 50.1618453, 8.6856956 50.1618008, 8.6851921 50.1622333))",yes,,,,Frankfurt am Main,DE,60-64,60433,August-Schanz-Straße,,,,Lidl,Mo-Sa 07:00-21:00,,supermarket,,Lidl,"[311326343, 311326344, 311326346, 1262331425, 1262331426, 311326349, 311326343]",Q151954,en:Lidl,retail,,,,,1,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28346994,,"POLYGON ((8.6870777 50.1607331, 8.6874232 50.1608939, 8.6878434 50.1605232, 8.6878903 50.160545, 8.687956 50.1604871, 8.6877797 50.1604051, 8.6877208 50.1604571, 8.687548 50.1603767, 8.6873831 50.1605222, 8.6873397 50.160502, 8.6872806 50.1605542, 8.6870777 50.1607331))",yes,,,,Frankfurt am Main,DE,268,60433,Homburger Landstraße,,,,ALDI Süd,Mo-Sa 08:00-21:00,,supermarket,,ALDI Süd,"[311326883, 311326885, 1894722131, 1894722133, 311326886, 311326888, 311326890, 311326892, 1894722142, 1894722138, 6501076790, 311326883]",Q41171672,en:Aldi,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28414603,,"POLYGON ((8.6877791 50.1597423, 8.6878558 50.1597784, 8.6878694 50.1597665, 8.6879671 50.1598125, 8.688014 50.1597713, 8.6882965 50.1599042, 8.688529 50.1597003, 8.688072 50.1594853, 8.6877791 50.1597423))",,,,,Frankfurt am Main,,204,60435,Am Dachsberg,,,,,,,,,,"[312123840, 1894722113, 1894722107, 1894722115, 1894722109, 312123841, 312123843, 312123844, 312123840]",,,retail,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28425784,,"POLYGON ((8.6780103 50.1129979, 8.6779972 50.112941, 8.6779991 50.1129398, 8.6779916 50.1129331, 8.6779822 50.1129265, 8.6779704 50.1129191, 8.6779568 50.1129121, 8.6779522 50.1129145, 8.6775852 50.1127029, 8.6775669 50.1126926, 8.6774263 50.1127927, 8.6774625 50.1128138, 8.6775584 50.1128704, 8.6774799 50.112925, 8.6775973 50.1129929, 8.6776753 50.1129394, 8.6778018 50.113014, 8.6778066 50.113028, 8.6780103 50.1129979))",,,,,Frankfurt am Main,DE,10,60311,Roßmarkt,,,,,,,,,,"[312298855, 1852995519, 9834257920, 9834257918, 160309268, 9834257919, 1852995516, 1852995517, 1144707990, 312298866, 312298865, 1852995508, 9834257913, 9834257911, 9834257910, 9834257912, 9834257914, 312298867, 312298855]",,,retail,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28425789,,"POLYGON ((8.6772117 50.1128931, 8.6772093 50.112863, 8.6769424 50.1128741, 8.6769747 50.1131868, 8.6770089 50.1133112, 8.6769948 50.1133127, 8.6770448 50.1135023, 8.6773806 50.1134342, 8.6773396 50.1133084, 8.677311 50.1132271, 8.6772787 50.1132325, 8.6772513 50.1131269, 8.6772476 50.1131275, 8.6772204 50.1129861, 8.6772117 50.1128931))",,,,,,,4,60311,Goetheplatz,,,,,,,,,,"[1852995512, 1852995513, 9834257930, 9834257928, 9834257926, 9834257927, 9834257931, 312298862, 312298879, 2546693982, 2546693984, 9834257925, 9834257924, 2546693972, 1852995512]",,,retail,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
