osmid,y,x,street_count,highway,ref,geometry
162460,50.1112099,8.6926734,3,,,POINT (8.6926734 50.1112099)
162461,50.1131784,8.6930162,4,,,POINT (8.6930162 50.1131784)
162466,50.1113899,8.6882506,4,,,POINT (8.6882506 50.1113899)
162467,50.1125649,8.6881031,4,,,POINT (8.6881031 50.1125649)
162468,50.1093318,8.6924735,4,,,POINT (8.6924735 50.1093318)
162469,50.1091209,8.6926546,3,crossing,,POINT (8.6926546 50.1091209)
162506,50.1248489,8.7456279,3,,,POINT (8.7456279 50.1248489)
162527,50.123691,8.7167817,3,,,POINT (8.7167817 50.123691)
162530,50.124197,8.7150554,3,,,POINT (8.7150554 50.124197)
162531,50.1247165,8.7133254,3,,,POINT (8.7133254 50.1247165)
162533,50.1255722,8.7100471,3,,,POINT (8.7100471 50.1255722)
162535,50.1337682,8.7064419,4,traffic_signals,,POINT (8.7064419 50.1337682)
162540,50.1314515,8.7055782,4,,,POINT (8.7055782 50.1314515)
162541,50.1308235,8.7054635,3,,,POINT (8.7054635 50.1308235)
162542,50.1294986,8.7069564,3,,,POINT (8.7069564 50.1294986)
162543,50.1316235,8.6839107,4,,,POINT (8.6839107 50.1316235)
162547,50.1282049,8.6846119,2,,,POINT (8.6846119 50.1282049)
162555,50.1310813,8.6946288,3,,,POINT (8.6946288 50.1310813)
162556,50.1339143,8.6958663,3,,,POINT (8.6958663 50.1339143)
162584,50.1225419,8.6513973,5,,,POINT (8.6513973 50.1225419)
162585,50.1239204,8.6488159,4,,,POINT (8.6488159 50.1239204)
162586,50.1250955,8.646809,4,,,POINT (8.646809 50.1250955)
162588,50.1282238,8.6465341,3,,,POINT (8.6465341 50.1282238)
162590,50.1190662,8.6597896,4,,,POINT (8.6597896 50.1190662)
162595,50.1094845,8.6608191,5,,,POINT (8.6608191 50.1094845)
162639,50.1124421,8.6794918,4,,,POINT (8.6794918 50.1124421)
162640,50.1095557,8.6813572,1,,,POINT (8.6813572 50.1095557)
162641,50.1092331,8.6799632,3,,,POINT (8.6799632 50.1092331)
162642,50.1087399,8.6775151,2,,,POINT (8.6775151 50.1087399)
162643,50.109525,8.6769347,5,,,POINT (8.6769347 50.109525)
162654,50.1060664,8.6907385,1,,,POINT (8.6907385 50.1060664)
162655,50.1056312,8.692164,3,,,POINT (8.692164 50.1056312)
162656,50.1065504,8.6897538,1,,,POINT (8.6897538 50.1065504)
165143,50.1010885,8.7427075,3,,,POINT (8.7427075 50.1010885)
165147,50.1004497,8.7309369,3,,,POINT (8.7309369 50.1004497)
165154,50.1001521,8.7249675,3,,,POINT (8.7249675 50.1001521)
165167,50.1029291,8.69234,3,,,POINT (8.69234 50.1029291)
165169,50.1025197,8.6893895,4,,,POINT (8.6893895 50.1025197)
165170,50.1010451,8.685018,4,traffic_signals,,POINT (8.685018 50.1010451)
165171,50.1013595,8.6862779,3,,,POINT (8.6862779 50.1013595)
327182,50.1593477,8.7235633,4,,,POINT (8.7235633 50.1593477)
327257,50.1541672,8.7164392,3,,,POINT (8.7164392 50.1541672)
327258,50.1529103,8.7139696,3,,,POINT (8.7139696 50.1529103)
327272,50.1459266,8.7061022,3,,,POINT (8.7061022 50.1459266)
327309,50.1431632,8.7036727,4,,,POINT (8.7036727 50.1431632)
407469,50.1110016,8.5985732,4,,,POINT (8.5985732 50.1110016)
407480,50.1125687,8.6069484,4,traffic_signals,,POINT (8.6069484 50.1125687)
407504,50.1156646,8.5923375,3,motorway_junction,3,POINT (8.5923375 50.1156646)
407521,50.1168107,8.5952209,3,,,POINT (8.5952209 50.1168107)
407538,50.115718,8.5981411,3,,,POINT (8.5981411 50.115718)
407564,50.1149706,8.5955464,3,,,POINT (8.5955464 50.1149706)
407570,50.1170613,8.5975382,3,,,POINT (8.5975382 50.1170613)
407585,50.1145431,8.6049238,3,milestone,,POINT (8.6049238 50.1145431)
407586,50.114235,8.6025188,3,,,POINT (8.6025188 50.114235)
407658,50.1238857,8.5825063,4,,,POINT (8.5825063 50.1238857)
407665,50.123826,8.5746613,3,,,POINT (8.5746613 50.123826)
407667,50.1240493,8.5724553,3,traffic_signals,,POINT (8.5724553 50.1240493)
407668,50.123508,8.570891,3,,,POINT (8.570891 50.123508)
407767,50.1211126,8.5828922,3,,,POINT (8.5828922 50.1211126)
407775,50.1228598,8.5809996,3,motorway_junction,2,POINT (8.5809996 50.1228598)
410218,50.1228172,8.5975164,3,,,POINT (8.5975164 50.1228172)
410271,50.1147858,8.6046426,3,,,POINT (8.6046426 50.1147858)
410291,50.1151641,8.6122054,3,motorway_junction,4,POINT (8.6122054 50.1151641)
410302,50.1160835,8.6103506,3,,,POINT (8.6103506 50.1160835)
410304,50.1158312,8.6101553,3,,,POINT (8.6101553 50.1158312)
410324,50.1146544,8.6097874,4,crossing,,POINT (8.6097874 50.1146544)
410353,50.1124676,8.6091892,3,,,POINT (8.6091892 50.1124676)
410387,50.1142453,8.6141098,5,,,POINT (8.6141098 50.1142453)
410389,50.1142761,8.6135703,3,,,POINT (8.6135703 50.1142761)
426276,50.1165241,8.6264713,3,,,POINT (8.6264713 50.1165241)
426279,50.1164249,8.6272964,3,,,POINT (8.6272964 50.1164249)
426333,50.1134887,8.648956,3,,,POINT (8.648956 50.1134887)
426367,50.1075969,8.5997478,3,,,POINT (8.5997478 50.1075969)
426433,50.0933454,8.6163315,3,motorway_junction,20,POINT (8.6163315 50.0933454)
426439,50.0907751,8.6184247,3,,,POINT (8.6184247 50.0907751)
426466,50.0876253,8.6171882,3,,,POINT (8.6171882 50.0876253)
457412,50.0524121,8.6098301,3,,,POINT (8.6098301 50.0524121)
457428,50.0598996,8.6532214,3,,,POINT (8.6532214 50.0598996)
457644,50.0531311,8.6050647,3,,,POINT (8.6050647 50.0531311)
457659,50.0520674,8.603249,3,,,POINT (8.603249 50.0520674)
458376,50.0354099,8.5950428,3,,,POINT (8.5950428 50.0354099)
458443,50.0344738,8.5946043,3,,,POINT (8.5946043 50.0344738)
458509,50.0350485,8.5941901,3,,,POINT (8.5941901 50.0350485)
458655,50.0537425,8.6049854,3,,,POINT (8.6049854 50.0537425)
458720,50.0544017,8.6023933,3,,,POINT (8.6023933 50.0544017)
458729,50.0569047,8.6057658,3,,,POINT (8.6057658 50.0569047)
458877,50.0525625,8.6053799,3,,,POINT (8.6053799 50.0525625)
458884,50.0530185,8.5962545,3,,,POINT (8.5962545 50.0530185)
458914,50.0532233,8.6029398,3,,,POINT (8.6029398 50.0532233)
458991,50.0528801,8.5993044,3,,,POINT (8.5993044 50.0528801)
460473,50.1097,8.6020436,3,,,POINT (8.6020436 50.1097)
463085,50.1190392,8.5959543,3,motorway_junction,19,POINT (8.5959543 50.1190392)
465668,50.0471917,8.6011083,3,,,POINT (8.6011083 50.0471917)
466629,50.2084583,8.6572958,3,,,POINT (8.6572958 50.2084583)
466634,50.2039481,8.6501044,3,motorway_junction,17,POINT (8.6501044 50.2039481)
467348,50.0544465,8.604764,3,,,POINT (8.604764 50.0544465)
470993,50.1277335,8.5759238,3,motorway_junction,1,POINT (8.5759238 50.1277335)
471003,50.121086,8.5831836,3,motorway_junction,2,POINT (8.5831836 50.121086)
471013,50.1148958,8.6168968,3,motorway_junction,4,POINT (8.6168968 50.1148958)
471022,50.1158802,8.6219323,3,,,POINT (8.6219323 50.1158802)
471046,50.1233547,8.5792678,3,,,POINT (8.5792678 50.1233547)
471053,50.1235765,8.578745,4,,,POINT (8.578745 50.1235765)
471064,50.1223001,8.5818427,3,,,POINT (8.5818427 50.1223001)
471073,50.1236355,8.5797847,3,,,POINT (8.5797847 50.1236355)
471124,50.1140396,8.6016308,3,,,POINT (8.6016308 50.1140396)
471129,50.115,8.6151631,3,motorway_junction,3,POINT (8.6151631 50.115)
471138,50.1168128,8.5891637,3,,,POINT (8.5891637 50.1168128)
471229,50.1233766,8.5794093,3,,,POINT (8.5794093 50.1233766)
471246,50.1149003,8.6146987,3,,,POINT (8.6146987 50.1149003)
471276,50.1157379,8.6219411,3,motorway_junction,5,POINT (8.6219411 50.1157379)
471297,50.1157589,8.5950032,3,,,POINT (8.5950032 50.1157589)
471302,50.1302318,8.5771068,3,,,POINT (8.5771068 50.1302318)
471303,50.1142302,8.5995737,3,,,POINT (8.5995737 50.1142302)
471314,50.1244967,8.5571732,3,,,POINT (8.5571732 50.1244967)
471353,50.1152531,8.614506,3,,,POINT (8.614506 50.1152531)
471373,50.1155304,8.6103379,3,,,POINT (8.6103379 50.1155304)
471385,50.1160604,8.6116134,3,,,POINT (8.6116134 50.1160604)
471409,50.1146054,8.6024558,3,motorway_junction,3,POINT (8.6024558 50.1146054)
471445,50.1145922,8.6140488,3,,,POINT (8.6140488 50.1145922)
