element_type,osmid,barrier,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:fax,contact:phone,contact:website,isced:level,name,operator,operator:type,ref,wheelchair,alt_name,wikidata,addr:country,preschool,school:type,description,email,office,opening_hours,phone,website,grades,after_school,min_age,note,isced,nodes,name:etymology:wikidata,toilets:wheelchair,wikipedia,start_date,landuse,area,fence,name:en,religion,loc_name,short_name,wikipedia:de,addr:housename,building,building:levels,roof:levels,ref:AEFE,old_name,construction,wheelchair:description,alt,roof:shape,capacity,fee,image,name:fr,name:de,name:etymology,ways,type
node,34686315,,POINT (8.7687926 50.1196853),Frankfurt am Main,34,60386,Fachfeldstraße,school,info@schule-am-mainbogen.de,+49 69 21249110,+49 69 21248994,https://www.schule-am-mainbogen.de/,2,Schule am Mainbogen,Stadt Frankfurt am Main,public,6109,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,35790436,,POINT (8.7682432 50.120158),Frankfurt am Main,32,60386,Fachfeldstraße,school,poststelle.freiligrathschule@stadt-frankfurt.de,+49 69 21249111,+49 69 21248888,https://www.freiligrathschule-fechenheim.de/,1,Freiligrathschule,Stadt Frankfurt am Main,public,3171,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268918233,,POINT (8.6847015 50.1167151),,,,,school,,,,,,Liebfrauenschule,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277652034,,POINT (8.6973423 50.1098205),Frankfurt am Main,9-11,60314,Sonnemannstraße,school,info@erasmus-schule.eu,+49 69 907436412,+49 69 90743640,https://www.erasmus-frankfurt.de/,1;3A,Erasmus Frankfurter Stadtschule,ASB Erasmus Frankfurter Stadtschule Grundschule gGmbH,private,4381,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,573367020,,POINT (8.6747965 50.1220281),Frankfurt am Main,5-7,60322,Gervinusstraße,school,info@schule-fuer-touristik.de,+49 69 91501321,+49 69 9150130,https://www.schule-fuer-touristik.de/,3,Schule für Touristik,Schule für Touristik Weigand GmbH & Co. KG,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,679161988,,POINT (8.6884463 50.1206852),,,,,school,,+49 69 9431891080,+49 69 4033441,https://www.rotkreuzkliniken.de/pflegeschule.html,3,Pflegeschule der Rotkreuz-Schwesternschaften in Frankfurt,,,,yes,Krankenpflegeschule der Rotkreuz-Schwesternschaften in Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1133907419,,POINT (8.6568265 50.1013542),,,,,school,,,,,,BTZ Berufsbildungs- und Technologiezentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1639294792,,POINT (8.6994727 50.1099326),,,,,school,info@dr-hochs.de,+49 69 21244833,+49 69 21244822,https://www.dr-hochs.de/,,Dr. Hoch's Konservatorium,,,,,,Q466029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1761858577,,POINT (8.6788147 50.1647552),Frankfurt am Main,5,60433,Wacholderweg,school,info@aktive-schule-frankfurt.de,,+49 69 54000984,www.aktive-schule-frankfurt.de,2A,Aktive Schule Frankfurt,,private,4325,,,,DE,no,Gesamtschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1779956235,,POINT (8.6917217 50.1066715),Frankfurt am Main,1-5,60594,Frankensteiner Platz,school,info@bergiusschule.de,+49 69 21230774,+49 69 21233050,http://bergiusschule.de/,3A,Bergiusschule,,public,6251,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
