element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,website,wheelchair,toilets:wheelchair,operator,phone,contact:website,indoor,level,name:de,opening_hours:url,ref,short_name,wheelchair:description,description,start_date,addr:full,alt_name,contact:email,contact:fax,contact:phone,contact:website:de,contact:website:en,level:ref,name:en,opening_hours,source,internet_access,fax,nodes,internet_access:fee,loc_name,old_name,wikidata,wikipedia,building,access,building:levels,building:material,building:min_level,colour,height,layer,min_height,noname,roof:colour,roof:shape,fixme,site,type,operator:type,wikimedia_commons
node,604859632,POINT (8.6953988 50.1051539),Frankfurt am Main,DE,16,60594,Walther-von-Cronberg-Platz,university,Fernuniversität in Hagen - Regionalzentrum Frankfurt am Main,https://www.fernuni-hagen.de/frankfurt,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,715551481,POINT (8.6564852 50.1152862),,,,,,university,Institut für Geschichte der Arabische-Islamischen Wissenschaften,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1812368256,POINT (8.634083 50.1735161),Frankfurt am Main,,1,60438,Altenhöferallee,university,Geowissenschaften,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1812369344,POINT (8.6317162 50.1726334),,,,,,university,Chemische Institute,,limited,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2075539482,POINT (8.632218 50.1743057),Frankfurt am Main,,1,60438,Altenhöferallee,university,Physik,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2715322853,POINT (8.6279846 50.1716692),Frankfurt am Main,,13,60438,Max-von-Laue-Straße,university,Didaktik der Biowissenschaften Goethe Universität Frankfurt,,yes,yes,Goethe Universität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2717279024,POINT (8.6295895 50.1724122),Frankfurt am Main,,9,60438,Max-von-Laue-Straße,university,Institut für Molekulare Biowissenschaften,,,,Goethe Universität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3345796165,POINT (8.6304925 50.17262),Frankfurt am Main,,9,60438,Max-von-Laue-Straße,university,HRZ Service Center Riedberg,,,,,+49 69 79840029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3345796166,POINT (8.6307202 50.1727533),,,,,,university,TGM Technisches Gebäudemanagement,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3345796167,POINT (8.6302819 50.1728329),,,,,,university,TGM Werkstätten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4396207359,POINT (8.6501903 50.1170954),Frankfurt am Main,,8,60325,Robert-Mayer-Straße,university,Joint Robotics Lab / Bembelbots,,,,,,http://bembelbots.de,room,-1,Joint Robotics Lab / Bembelbots,http://www.jrl.cs.uni-frankfurt.de/web/,09a,JRL / Bembelbots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4861575393,POINT (8.6333325 50.1741992),Frankfurt am Main,,1,60438,Altenhöferallee,university,Werkstattzentrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4926584326,POINT (8.6278993 50.1716381),Frankfurt am Main,,13,60438,Max-von-Laue-Straße,university,Computerpool HRZ & BIOPOOL,,yes,yes,,,,,,,,,,Die komplette Etage bis zum Computerraum ist zum Eingang ebenerdig. Zu anderen Etagen existiert ein rollstuhlgerechter Aufzug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
