element_type,osmid,amenity,internet_access,name,opening_hours,operator,website,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,operator:type,community_centre,nodes,building,addr:country,community_centre:for,min_age,short_name,start_date,phone,toilets:wheelchair,wheelchair:description,opening_hours:signed
node,2337403160,community_centre,wlan,Eselsohr,"""Siehe Webseite/nach Vereinbarung""",Kulturverein Musikerviertel e.V.,https://eselsohr.org,no,POINT (7.7674062 49.4390749),,,,,,,,,,,,,,,,,
node,9009805171,community_centre,,BDKJ Region Nordpfalz,24/7,Katholische Jugendzentrale Kaiserslautern,,,POINT (7.773059 49.4460012),Kaiserslautern,6,67655,Klosterstraße,community,,,,,,,,,,,,
node,10795269858,community_centre,,Stiftskeller,,,,,POINT (7.7736908 49.4447227),,,,,,events_venue,,,,,,,,,,,
way,25092200,community_centre,,Theo-Barth-Halle,,,,,"POLYGON ((7.7781851 49.4805501, 7.7779683 49.4801877, 7.7782749 49.4801103, 7.7783037 49.4801584, 7.7783972 49.4801347, 7.7784798 49.4802729, 7.7785853 49.4804491, 7.7781851 49.4805501))",,,,,,village_hall,"[273097264, 273097265, 4730928157, 4730928156, 273097266, 4730928155, 273097267, 273097264]",yes,,,,,,,,,
way,95796120,community_centre,,Edith-Stein-Haus,,,,,"POLYGON ((7.7729527 49.4461066, 7.7729099 49.4462039, 7.7729041 49.4462212, 7.7730009 49.4462599, 7.7729132 49.4463591, 7.7729884 49.4463896, 7.7730642 49.4464196, 7.7731565 49.446322, 7.7731374 49.4463145, 7.773196 49.4462478, 7.7731735 49.4462396, 7.7732174 49.4461486, 7.7729527 49.4461066))",Kaiserslautern,1,67655,Engelsgasse,,,"[1110285742, 1110285701, 1110285229, 1110285717, 1110285599, 1110285453, 1110285362, 1110285167, 1110285706, 5503325362, 5503325363, 1110285401, 1110285742]",yes,DE,,,,,,,,
way,95933681,community_centre,,Jugend- und Programmzentrum,"Mo,Th,Fr 13:00-18:30; Tu,We 13:00-20:00",,http://www.juz-kl.de/,yes,"POLYGON ((7.7745636 49.4473131, 7.7742967 49.4474991, 7.7743557 49.4475322, 7.7745003 49.44741, 7.7745473 49.447432, 7.7744196 49.4475769, 7.7745119 49.4476286, 7.774751 49.4474015, 7.7745636 49.4473131))",Kaiserslautern,47,67657,Steinstraße,,youth_centre,"[1111539308, 1111539216, 1111539102, 1111539201, 1111538943, 1111539056, 1111539160, 1111538892, 1111539308]",yes,DE,child;juvenile,6,JuZ,,,,,
way,100131110,community_centre,,Stadtteilwerkstatt,,Arbeits- und sozialpädagogisches Zentrum,https://stadtteilbuero-kl.de/,,"POLYGON ((7.7575367 49.4370595, 7.7576456 49.4369806, 7.7572743 49.436764, 7.7571655 49.4368429, 7.7573817 49.4369691, 7.7573316 49.4370054, 7.757413 49.4370528, 7.757463 49.4370166, 7.7575367 49.4370595))",,,,,,,"[1157476424, 1157475913, 1157476279, 1157475737, 3629966704, 3629966705, 3629966708, 3629966706, 1157476424]",yes,,,,,2011-05-13,,,,
way,100772182,community_centre,,Mehrgenerationenhaus,,,http://www.mgh-kl.de,yes,"POLYGON ((7.7609488 49.4445556, 7.7610239 49.4442668, 7.7606442 49.4442249, 7.760575 49.4442176, 7.7605679 49.4442474, 7.7606035 49.4442513, 7.7609654 49.4442911, 7.7609438 49.4443744, 7.7605818 49.4443346, 7.7605462 49.4443307, 7.760533 49.4443816, 7.7605085 49.4444759, 7.7608873 49.4445175, 7.7608794 49.444548, 7.7609488 49.4445556))",Kaiserslautern,7,67659,Kennelstraße,,,"[1164734219, 1164734234, 1164734228, 1164734200, 1226616724, 1226617137, 1226615486, 1226614680, 1226616380, 1164734204, 1226615179, 1164734214, 1226614940, 1226615555, 1164734219]",yes,DE,,,,,+49 631 37149-0,yes,"Vom Bürgersteig ins Erdgeschoss, Fahrstuhl, Behindertentoilette",
way,102210021,community_centre,,Friedenskapelle,,Volkshochschule Kaiserslautern,http://friedenskapelle-kl.de/,,"POLYGON ((7.783793 49.4478445, 7.7838692 49.447765, 7.7839894 49.4478137, 7.7839981 49.4478047, 7.7841165 49.4478527, 7.784109 49.4478605, 7.7842224 49.4479064, 7.7841444 49.4479877, 7.7840233 49.4479387, 7.7840147 49.4479477, 7.7839024 49.4479022, 7.7839116 49.4478926, 7.783793 49.4478445))",Kaiserslautern,42,67655,Friedenstraße,,community_hall,"[1179555725, 1179555726, 1243031854, 1243030977, 1243031976, 1243031365, 1179555731, 1179555732, 1243031583, 1243031087, 1243031477, 1243030719, 1179555725]",yes,DE,,,,,,,,no
way,201234660,community_centre,,Bürgerhaus Dansenberg,,,,,"POLYGON ((7.7265742 49.4049887, 7.7265918 49.4050585, 7.7265105 49.4050671, 7.7265153 49.4050863, 7.7265368 49.4051715, 7.72678 49.4051455, 7.7267532 49.4050396, 7.7266845 49.405047, 7.7266805 49.4050312, 7.7267251 49.4050264, 7.7267118 49.404974, 7.7265742 49.4049887))",Kaiserslautern,32,67661,Dansenberger Straße,,village_hall,"[2111927984, 2111928017, 2111928023, 2252673866, 2111928054, 2111928046, 2111928003, 2111928007, 2111927995, 2111927993, 2111927981, 2111927984]",yes,DE,,,,,,,,
