element_type,osmid,access,amenity,authentication:none,bicycle,capacity,fee,motorcar,operator,parking:fee,scooter,socket:schuko,socket:type2,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity:wikipedia,brand,brand:wikidata,brand:wikipedia,name,opening_hours,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,truck,website,amperage,operator:wikidata,operator:wikipedia,authentication:membership_card,socket:chademo,socket:chademo:output,socket:type2:output,socket:type2_combo,socket:type2_combo:output,power,covered,network,name:en,name:fr,payment:account_cards,payment:app
node,3715545454,customers,charging_station,yes,yes,4,no,yes,IKEA,no,yes,4,4,POINT (7.7026893 49.4394592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4646016094,customers,charging_station,yes,yes,2,no,yes,Globus,no,yes,2,2,POINT (7.7078734 49.4407351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4908848926,,charging_station,,,8,yes,yes,"Tesla, Inc.",no,,,,POINT (7.8214192 49.4597833),Kaiserslautern,DE,10,67657,Eselsfürth,en:Tesla Supercharger,Tesla Supercharger,Q17089620,en:Tesla Supercharger,Kaiserslautern Supercharger,24/7,8,150 kW,8,150 kW,no,https://www.tesla.com/findus/location/supercharger/kaiserslauternsupercharger,,,,,,,,,,,,,,,,
node,5257979765,,charging_station,,,2,yes,yes,Innogy,no,,,2,POINT (7.7467191 49.4335901),,,,,,,Innogy,Q2124721,de:Innogy,Innogy,24/7,,,,,,,32,Q2124721,de:Innogy,,,,,,,,,,,,,
node,5257979766,,charging_station,,,2,yes,yes,ladenetz.de,yes,,,2,POINT (7.7686141 49.4468348),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,5257979770,,charging_station,,,2,yes,yes,ladenetz.de,yes,,,2,POINT (7.7748501 49.4431387),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,5257979771,,charging_station,,,2,yes,yes,ladenetz.de,yes,,,2,POINT (7.7595776 49.4406097),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,5257979772,,charging_station,,,2,yes,yes,ladenetz.de,yes,,,2,POINT (7.7703444 49.4366906),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,5257979774,,charging_station,,,2,yes,yes,,yes,,,1,POINT (7.7738939 49.4450414),,,,,,,,,,,24/7,,,,,,,,,,,1,30kW,22kW,1,30kW,,,,,,,
node,5278367068,customers,charging_station,yes,yes,2,no,yes,SWK Stadtwerke Kaiserslautern,no,yes,1,2,POINT (7.750519 49.4339221),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6211234319,,charging_station,,,2,yes,yes,ladenetz.de,no,,,2,POINT (7.7846892 49.4438321),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,6211234320,,charging_station,,,2,yes,yes,ladenetz.de,yes,,,2,POINT (7.7706245 49.4428071),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,6236896914,,charging_station,,,2,yes,yes,ladenetz.de,no,,,2,POINT (7.7657197 49.4422828),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,6256606399,,charging_station,,,2,yes,yes,ladenetz.de,no,,,2,POINT (7.7995574 49.4398031),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,22kW,,,,,,
node,6321603486,,charging_station,,,2,yes,yes,ladenetz.de,no,,,2,POINT (7.8118721 49.4539297),,,,,,,,,,,24/7,,,,,,,32,,,yes,,,,,,,,,,,,
node,7192612848,,charging_station,,,2,,yes,,,,,,POINT (7.7434185 49.457816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7884919345,yes,charging_station,,,1,,,Lidl,,,,,POINT (7.7479739 49.4232136),,,,,,,,,,,,,,,,,,,Q151954,en:Lidl,,,,,,,,,,,,,
node,9762086306,customers,charging_station,,yes,,,no,,,,,,POINT (7.6986201 49.4124691),,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,
node,9817729599,yes,charging_station,,,2,,,SWK,,,,2,POINT (7.7623129 49.4610631),,,,,,,,,,,,,,,,,,,,,,,,22kW,,,,,ladenetz.de,,,,
node,10675995367,,charging_station,,,3,,,Stadtwerke Kaiserslautern,,,,,POINT (7.8046247 49.4560953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10779602430,yes,charging_station,,,2,,,SWK,,,,2,POINT (7.7654663 49.4700702),,,,,,,,,,,,,,,,,,,,,,,,22 kW,,,,,ladenetz.de,,,,
node,10779695104,,charging_station,,,4,,,Pfalzwerke,,,,,POINT (7.7798965 49.449937),,,,,,,,,,,Mo-Sa 07:00-20:00,,,,,,,,Q2082280,,,1,150 kW,,3,150 kW,,,,,,,
node,10921778005,,charging_station,,,,,,Stadtwerke Kaiserslautern,,,,,POINT (7.688896 49.4685964),,,2,67661,Geiersberg,,,,,Ladestation,24/7,,,,,,,,,,,,,,,,,,,Charging station,Borne de charge,,
node,10947497266,yes,charging_station,,,7,yes,,SWK,,,,1,POINT (7.8165032 49.4527702),,,,,,,,,,,,,,,,,,,,,yes,,,22 kW,6,150 kW,,,Ladenetz.de,,,yes,yes
