element_type,osmid,geometry,name,wheelchair,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,addr:country,alt_name,building:levels,building:material,roof:material,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,note,website,addr:suburb,operator,smoking
way,28726223,"POLYGON ((7.6948678 49.4634351, 7.6948675 49.4634708, 7.6948673 49.4634905, 7.6949489 49.4635359, 7.6955959 49.4636998, 7.6956666 49.4635673, 7.6951323 49.4634249, 7.6954554 49.4631191, 7.6952669 49.4630315, 7.6948678 49.4634351))",Technologiepark II,,"[315845939, 6331260010, 2071282086, 2071282089, 315845940, 315845941, 315845942, 315845944, 315845949, 315845939]",Kaiserslautern,6,67661,Sauerwiesen,commercial,,,,,,,,,,,,,,,
way,61857521,"POLYGON ((7.7540301 49.4326587, 7.7538677 49.4324525, 7.7538413 49.432419, 7.7538098 49.4323789, 7.7536412 49.4321647, 7.7534822 49.4322176, 7.7534977 49.4322373, 7.7534337 49.4322586, 7.7535523 49.4324094, 7.7536164 49.432388, 7.7536509 49.4324318, 7.7536821 49.4324715, 7.7537088 49.4325054, 7.7537557 49.4325651, 7.7536916 49.4325864, 7.7538072 49.4327333, 7.7540301 49.4326587))",Innovationszentrum Westpfalz,,"[770923968, 2681230846, 2681230843, 2681230839, 770923969, 2681230834, 2681230836, 770923970, 2681230842, 2681230840, 2681230844, 2681230847, 2681230849, 2681230851, 2681230852, 770923971, 770923968]",Kaiserslautern,110,67663,Trippstadter Straße,commercial,DE,Business Innovation Center Kaiserslautern,4,glass,concrete,,,,,,,,,,
way,93134852,"POLYGON ((7.7482736 49.457674, 7.7485901 49.4576966, 7.7485828 49.4575588, 7.7482649 49.4575692, 7.7482736 49.457674))",,,"[1079715504, 1079715461, 1079715619, 1079715499, 1079715504]",Kaiserslautern,3,67659,Galappmühler Straße,commercial,DE,,,,,,,,,,,,,,
way,96813550,"POLYGON ((7.7666368 49.4438588, 7.7666332 49.4438351, 7.7665046 49.4437308, 7.7662435 49.4435191, 7.7662269 49.4435278, 7.7661336 49.4434512, 7.766057 49.4434902, 7.7660502 49.4435896, 7.7660832 49.4436133, 7.7660641 49.4437644, 7.7661196 49.4438028, 7.7660795 49.4440565, 7.7661203 49.4440903, 7.7661162 49.4441137, 7.7661908 49.4441807, 7.7663849 49.4440919, 7.7665774 49.4440028, 7.7667493 49.4441609, 7.7668743 49.4441083, 7.7668848 49.4441016, 7.7668897 49.4440944, 7.7668889 49.4440874, 7.7668852 49.4440796, 7.7666368 49.4438588))",Fackelcenter,,"[1121705696, 1121705677, 2811503249, 1121705657, 1121706323, 1121706496, 1121706131, 1121706258, 1121705830, 1121706430, 1121706051, 1121705698, 1121705487, 1121706360, 1121706009, 1121705785, 1121706000, 1121706333, 1121706174, 1121705513, 1121705762, 1121705927, 1121705726, 1121705696]",Kaiserslautern,1,67655,Richard-Wagner-Straße,commercial,DE,,,,,,,,,,,,,,
way,96936698,"POLYGON ((7.7714045 49.4429509, 7.7718279 49.4430699, 7.771784 49.4431359, 7.7717638 49.4431662, 7.7717505 49.4431863, 7.7713652 49.4430779, 7.7713271 49.4430672, 7.7714045 49.4429509))",,,"[1123353457, 1123353520, 1123353900, 1123354048, 1123353792, 2590181561, 1123353732, 1123353457]",Kaiserslautern,11,67655,Rummelstraße,commercial,DE,,7,,,,,,,,,,,,
way,102538442,"POLYGON ((7.7324733 49.4442739, 7.7324328 49.4442422, 7.7328363 49.4440235, 7.7327483 49.4439549, 7.7326918 49.4439855, 7.7325764 49.4438956, 7.732472 49.4439522, 7.7324431 49.4439298, 7.7321172 49.4441065, 7.7321659 49.4441444, 7.7321099 49.4441748, 7.7322933 49.4443177, 7.732351 49.4442875, 7.7323634 49.4442972, 7.7322456 49.444359, 7.7320554 49.4442043, 7.73181 49.4443345, 7.7319308 49.444425, 7.7322432 49.4445761, 7.7322504 49.4445705, 7.7322804 49.4445325, 7.7322885 49.4445023, 7.7322892 49.4444773, 7.7322815 49.4444504, 7.7322605 49.4444223, 7.7322356 49.4444012, 7.7324733 49.4442739))",Euler Military Sales,limited,"[1184182552, 1184182651, 1184182793, 1184182789, 1184182835, 1184182475, 1184182757, 1184182843, 1184182239, 1184182384, 1184182906, 3697651544, 3697651543, 1184182369, 1184182490, 1184182874, 1184182317, 1184182434, 1184182380, 1184182507, 1184182590, 1184182717, 1184182578, 1184182304, 1184182423, 1184182546, 1184182552]",Kaiserslautern,5,67663,Merkurstraße,commercial,DE,,,,,,,,,,,,,,
way,102538462,"POLYGON ((7.7343898 49.4442654, 7.7342357 49.4440903, 7.7331142 49.4445075, 7.7331862 49.4445893, 7.7331751 49.4445935, 7.7332063 49.4446291, 7.7332226 49.444623, 7.733257 49.4446622, 7.7337278 49.4444871, 7.7337441 49.4445055, 7.7343898 49.4442654))",,,"[1184182854, 1184182715, 1184182283, 1184182785, 3697651547, 3697651549, 1184182463, 1184182572, 1184182681, 1184182563, 1184182854]",Kaiserslautern,1,67663,Merkurstraße,commercial,,,,,,,,,,,,,,,
way,104122318,"POLYGON ((7.773386 49.4392028, 7.7733684 49.4392434, 7.773299 49.4392307, 7.7732518 49.4393395, 7.7732961 49.4393476, 7.7732837 49.4393761, 7.7732718 49.4394037, 7.7732267 49.4393954, 7.773175 49.4395147, 7.7732435 49.4395273, 7.7732243 49.4395715, 7.7735703 49.4396349, 7.7737199 49.4392897, 7.7737302 49.4392659, 7.7734512 49.4392147, 7.773386 49.4392028))",,,"[1201452972, 1201452357, 1201453141, 1201451639, 1201452196, 10982361515, 1201452842, 1201451500, 1201452041, 1201452702, 1201451620, 1201451861, 1201453156, 1201453107, 1201452817, 1201452972]",Kaiserslautern,27,67655,Lutrinastraße,commercial,DE,,3,,,,,,,,,,,,
way,114084573,"POLYGON ((7.7253907 49.4391751, 7.7254456 49.4390103, 7.7255947 49.4390313, 7.7255399 49.4391961, 7.7253907 49.4391751))",,,"[1292970928, 1292971354, 1292971224, 1292970897, 1292970928]",Kaiserslautern,4,67663,Gustav-Eiffel-Straße,commercial,DE,,,,,,,,,,,,,,
way,114084618,"POLYGON ((7.7241738 49.4408383, 7.7246427 49.4408988, 7.7247673 49.4404903, 7.7245241 49.4404589, 7.7244408 49.4407321, 7.7242151 49.440703, 7.7241738 49.4408383))",,,"[1292971114, 1292970912, 1292971311, 1292970991, 1292971043, 1292971289, 1292971114]",,,,,commercial,,,,,,,,,,,,,,,
way,252534387,"POLYGON ((7.6587776 49.4361478, 7.6586417 49.4360391, 7.6585375 49.4360941, 7.6585075 49.4360701, 7.6584584 49.4360961, 7.6586242 49.4362288, 7.6587776 49.4361478))",,,"[2585641593, 2585641568, 2585641582, 2585641576, 2585641584, 2585641609, 2585641593]",Kaiserslautern,70a,67661,Weilerbacher Straße,commercial,DE,,,,,,,,,,,,,,
way,322924194,"POLYGON ((7.6824527 49.4332848, 7.6829446 49.4333832, 7.6830058 49.4332538, 7.6825139 49.4331554, 7.6824527 49.4332848))",,,"[3297091412, 3297091414, 3297091411, 3297091408, 3297091412]",Kaiserslautern,398,67661,Pariser Straße,commercial,DE,,,,,,,,,,,,,,
way,322960523,"POLYGON ((7.6695118 49.4309782, 7.6694347 49.4310483, 7.6693221 49.4310938, 7.6691914 49.4311078, 7.6690623 49.4310883, 7.6689546 49.4310381, 7.6688846 49.4309649, 7.668863 49.4308798, 7.6688931 49.4307959, 7.6689703 49.4307258, 7.6690828 49.4306803, 7.6692136 49.4306663, 7.6693426 49.4306859, 7.6694504 49.4307361, 7.6695204 49.4308093, 7.6695419 49.4308943, 7.6695996 49.4307333, 7.6697829 49.4307611, 7.6696951 49.431006, 7.6695118 49.4309782))",,,"[3297586057, 3297586072, 3297586085, 3297586089, 3297586082, 3297586070, 3297586052, 3297586032, 3297586019, 3297585998, 3297585988, 3297585984, 3297585990, 3297586003, 3297586021, 3297586035, 3297586002, 3297586010, 3297586062, 3297586057]",Kaiserslautern,34,67661,Kaiserstraße,commercial,DE,,,,,,,,,,,,,,
way,405185090,"POLYGON ((7.7802828 49.4402673, 7.781674 49.4405461, 7.7818394 49.4402459, 7.780465 49.4399272, 7.7804152 49.44002, 7.7802828 49.4402673))",Mömax,,"[1202918956, 1202919414, 1202918859, 1202918590, 1202919729, 1202918956]",Kaiserslautern,47,67655,Fabrikstraße,commercial,,,,,,Mömax,Q56388481,hu:Mömax (nemzetközi cég),Mo-Sa 10:00-20:00,furniture,,,,,
way,676034633,"POLYGON ((7.6944759 49.4627618, 7.6946489 49.4628202, 7.6943901 49.4631801, 7.6944481 49.4632066, 7.6945162 49.4632376, 7.6947683 49.4629901, 7.6949346 49.463058, 7.6945618 49.4634224, 7.6943423 49.4633388, 7.6940951 49.4632446, 7.6944759 49.4627618))",Technologiepark I,,"[6331131468, 6331131469, 6331131470, 6331214699, 6331131471, 6331131472, 6331131473, 6331131474, 6331260008, 6331131475, 6331131468]",Kaiserslautern,2,67661,Sauerwiesen,commercial,,,,,,,,,,,,,,,
