element_type,osmid,amenity,wheelchair,geometry,air_conditioning,contact:email,contact:fax,contact:phone,contact:website,internet_access,name,opening_hours,operator,ref:isil,wikidata,level,short_name,description,wheelchair:description,toilets:wheelchair,addr:floor,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,addr:country,website
node,805361159,library,no,POINT (7.697941 49.4115241),,,,,,,,,,,,,,,,,,,,,,,,,
node,1764481728,library,,POINT (7.7534659 49.4245603),no,infbib@ub.uni-kl.de,+49 631 205 2194,+49 631 205 2807,http://www.ub.uni-kl.de/bereichsbibliotheken/infbib/,wlan,Bereichsbibliothek Informatik,Mo-Fr 08:00-19:00,Universitätsbibliothek Kaiserslautern,,,,,,,,,,,,,,,,
node,1764481729,library,yes,POINT (7.7521101 49.4249118),no,info@ub.uni-kl.de,+49 631 205 2355,+49 631 205 3856,http://www.ub.uni-kl.de,wlan,Zentralbibliothek,Mo-Fr 08:00-22:00; Sa 09:00-22:00; Su 10:00-18:00,Universitätsbibliothek Kaiserslautern,DE-386,Q28733460,,,,,,,,,,,,,,
node,1848102206,library,,POINT (7.7548458 49.4252812),,eitbib@ub.uni-kl.de,,+49 631 205-2349,http://www.ub.uni-kl.de/bereichsbibliotheken/eitbib/,,Bereichsbibliothek Elektrotechnik und Informationstechnik,Mo-Fr 08:00-18:00,Universitätsbibliothek Kaiserslautern,,,3,Bereichsbibliothek EIT,,,,,,,,,,,,
node,2367476122,library,no,POINT (7.7701552 49.480458),,,,,,,Stadtbibliothek Kaiserslautern - Stadtteilbücherei Erlenbach,Tu 16:00-18:00,Stadtbibliothek Kaiserslautern,,,,,Stadtbibliothek Kaiserslautern - Zweigstelle Erlenbach,Bücherei befindet sich im Rathausgebäude,,,,,,,,,,
node,2551189084,library,no,POINT (7.7600884 49.4266492),,arubibib@ub.uni-kl.de,+49 631 205-4560,+49 631 205-2314,http://www.ub.uni-kl.de/bereichsbibliotheken/arubibib/,,"Bereichsbibliothek Architektur, Raum-und Umweltplanung, Bauingenieurwesen",Mo-Fr 08:00-18:00,Universitätsbibliothek Kaiserslautern,,,,Bereichsbibliothek ARUBI,,,,,,,,,,,,
node,2551189085,library,yes,POINT (7.7562248 49.4250255),,biobib@ub.uni-kl.de,+49 631 205-2355,+49 631 205-2420,http://www.ub.uni-kl.de/bereichsbibliotheken/biobib/,,Bereichsbibliothek Biologie,,Universitätsbibliothek Kaiserslautern,,,,,,,yes,,,,,,,,,
node,2551189086,library,,POINT (7.7558637 49.4232326),no,chembib@ub.uni-kl.de,,+49 631 205-2914,http://www.ub.uni-kl.de/bereichsbibliotheken/chembib/,wlan,Bereichsbibliothek Chemie,Mo-Fr 08:00-18:00,Universitätsbibliothek Kaiserslautern,,,,,,,,,,,,,,,,
node,2551189087,library,limited,POINT (7.7504646 49.4240137),no,maswirbib@ub.uni-kl.de,,+49 631 205-2195,http://www.ub.uni-kl.de/bereichsbibliotheken/maswirbib/,wlan,Bereichsbibliothek Maschinenbau und Verfahrenstechnik/Wirtschaftswissenschaften,Mo-Fr 08:00-19:00,Universitätsbibliothek Kaiserslautern,,,,Bereichsbibliothek MVT/WiWi,,,,,,,,,,,,
node,2551189088,library,,POINT (7.7536345 49.4235801),,maphybib@ub.uni-kl.de,+49 631 205-3188,+49 631 205-2191,http://www.ub.uni-kl.de/bereichsbibliotheken/maphybib/,,Bereichsbibliothek Mathematik/Physik,Mo-Fr 08:00-19:00,Universitätsbibliothek Kaiserslautern,,,1,,,,no,3,,,,,,,,
way,30685125,library,yes,"POLYGON ((7.7745488 49.4437159, 7.7745984 49.4438252, 7.7746234 49.4438204, 7.7746937 49.4439754, 7.7750123 49.4439143, 7.774981 49.4438454, 7.7749652 49.4438105, 7.7749382 49.4437511, 7.7748924 49.44365, 7.7745488 49.4437159))",,,,,,,Pfalzbibliothek,Mo-Fr 09:00-16:00; Sa 10:00-14:00,,,Q2082241,,,,,,,"[339325672, 1124804951, 1124805503, 339325674, 339325675, 1124804883, 1124805636, 1124804783, 339325673, 339325672]",Kaiserslautern,17,67655,Bismarckstraße,yes,,
