element_type,osmid,name,geometry,barrier,bicycle,nodes,fee,leisure,opening_hours,website,wikidata,natural,danger,dogshit,note,wikimedia_commons,wikipedia,source,name:etymology:wikidata,ways,type
way,23610714,Japanischer Garten,"POLYGON ((7.7634944 49.4475003, 7.7636118 49.4475029, 7.7638542 49.4475065, 7.7639624 49.4475081, 7.7643427 49.4475142, 7.7645126 49.4476217, 7.7645592 49.447655, 7.7646706 49.4476664, 7.7648972 49.4476428, 7.7648999 49.447608, 7.7649649 49.4475975, 7.7649723 49.4475901, 7.7649981 49.4475849, 7.765008 49.4475829, 7.7649886 49.4474792, 7.7655867 49.4474456, 7.7657029 49.4474391, 7.7657479 49.4477074, 7.7657539 49.4477435, 7.7658463 49.4477396, 7.7660306 49.4477318, 7.7660466 49.4478043, 7.7660485 49.4478128, 7.7661397 49.4478238, 7.7661263 49.4476681, 7.7662001 49.4476398, 7.7665184 49.4476205, 7.7664817 49.4478211, 7.7664747 49.4478586, 7.7663815 49.4478495, 7.7663686 49.4479153, 7.7663487 49.4480259, 7.7663256 49.4481541, 7.7662751 49.4481491, 7.7661182 49.4481337, 7.765971 49.4481193, 7.7654891 49.448072, 7.7654893 49.4480513, 7.7652849 49.4480162, 7.7652526 49.4480322, 7.764654 49.448023, 7.7646097 49.4482773, 7.7635434 49.4481206, 7.7634535 49.4481154, 7.763487 49.4476122, 7.7634944 49.4475003))",wall,,"[255717931, 1237125071, 5110264064, 255717930, 1240870496, 5110238521, 1237124912, 1237124797, 5110209330, 5110209331, 5110209332, 5110209333, 5110238318, 1237124718, 1237125035, 5110238306, 255717928, 5110238307, 1290175682, 5110263312, 1110285403, 5110263311, 1237124853, 5110264054, 5110264055, 5110264056, 5110264057, 5110209328, 5110264058, 255717935, 5110209325, 5110238289, 255717933, 5110238276, 5110238275, 5110238278, 255717947, 5110209334, 1721713558, 1721713570, 1089480380, 1089480621, 5110209329, 255717948, 5110238524, 255717931]",yes,park,"Apr,Oct: Tu-Su 10:00-18:00; May-Sep Tu-Su 10:00-19:00",http://www.japanischergarten.de,Q876793,,,,,,,,,,
way,24477914,Volkspark,"POLYGON ((7.7890746 49.4410987, 7.7892372 49.4413036, 7.7894664 49.4415766, 7.7896785 49.441768, 7.7900153 49.4420241, 7.7901519 49.4421119, 7.7910753 49.4425836, 7.7914417 49.4427291, 7.7914964 49.4427383, 7.7915547 49.4426994, 7.7916605 49.4425743, 7.7917959 49.4424318, 7.7919272 49.4423386, 7.7920755 49.4422783, 7.7922304 49.4422277, 7.7935061 49.4419194, 7.7937678 49.4418541, 7.7938579 49.441776, 7.7940042 49.4417411, 7.7940853 49.4418791, 7.7954724 49.4415277, 7.7954879 49.4414722, 7.7955406 49.4408579, 7.7956042 49.4401166, 7.7959637 49.440079, 7.7960008 49.4401333, 7.7967841 49.4400128, 7.7968726 49.4399992, 7.7968778 49.4398178, 7.7968815 49.4397317, 7.7940484 49.4400359, 7.7917233 49.4404173, 7.7890746 49.4410987))",,,"[365505538, 2181903175, 1215823656, 2181903196, 365505548, 2181903219, 1215822915, 2181903259, 2181903262, 365505546, 1215823171, 266137683, 1215823175, 1215824027, 266137686, 365503959, 1215823418, 1215824002, 2181903195, 2181903201, 1215823619, 365503961, 3177045837, 266137689, 2183509369, 2183509374, 2183509360, 266137690, 3638868910, 365504741, 365505532, 365505534, 365505538]",,park,,,Q2532114,,,,,,,,,,
way,26644409,Davenportplatz,"POLYGON ((7.7477155 49.4253433, 7.7479582 49.425301, 7.747901 49.4251624, 7.7476584 49.4252048, 7.7477155 49.4253433))",,,"[292254129, 292254130, 292254133, 292254135, 292254129]",,park,,,,,,,,,,,,,
way,30654967,Jean-Schoen-Park,"POLYGON ((7.7565897 49.4477516, 7.7577939 49.4476978, 7.7577945 49.447634, 7.7577737 49.4474307, 7.7577334 49.4469916, 7.7565371 49.4471172, 7.7565749 49.4475737, 7.7565897 49.4477516))",,,"[339014602, 339014605, 307426545, 307426548, 339014607, 339014600, 339014598, 339014602]",,park,,,,,,,,,,,,,
way,30678026,,"POLYGON ((7.772413 49.4455105, 7.7725495 49.4455297, 7.7725406 49.4455561, 7.7726626 49.4455764, 7.7726681 49.4455626, 7.772746 49.4455756, 7.7728898 49.4456031, 7.7728959 49.4455882, 7.7730555 49.4456141, 7.7730508 49.4456288, 7.7730347 49.4456865, 7.7730068 49.4457862, 7.7729652 49.4459068, 7.7733056 49.4459737, 7.7736952 49.4454309, 7.7732576 49.4452818, 7.7731381 49.4452612, 7.7730154 49.4452523, 7.7729404 49.4452644, 7.7729613 49.4452937, 7.7724362 49.4454375, 7.772413 49.4455105))",,,"[339258241, 1829577759, 338971061, 1829577761, 1829577760, 338971063, 1829577762, 1110285213, 1829577764, 1091099038, 1110285703, 1110285681, 339258248, 339258243, 339258244, 1110285541, 1110285218, 277924201, 1829577747, 1829577753, 339258245, 339258241]",,park,,,,,,,,,,,,,
way,30749488,Stadtpark,"POLYGON ((7.7595659 49.4374197, 7.7630512 49.4388674, 7.7631049 49.4388722, 7.7631408 49.4388669, 7.7631728 49.4387854, 7.7635328 49.4378806, 7.7635521 49.4378115, 7.7635416 49.4377671, 7.7603071 49.4366754, 7.7602606 49.4366782, 7.7595659 49.4374197))",,,"[263006632, 1885028691, 797095744, 1885028689, 1885028687, 2282882683, 10831799373, 2282882680, 10831845165, 2282882679, 263006632]",,park,,,,grass,,,,,,,,,
way,47713522,Synagogenplatz,"POLYGON ((7.7747627 49.444114, 7.7749425 49.4440759, 7.7751868 49.4440954, 7.7751218 49.4443731, 7.7751064 49.4443927, 7.7750564 49.4444125, 7.7741958 49.4446137, 7.774187 49.4446408, 7.7740828 49.4446696, 7.7740771 49.4446146, 7.7739088 49.4443136, 7.7746405 49.4441717, 7.7747627 49.444114))",,,"[1124805635, 1124804885, 1124805374, 10792626379, 10795262866, 1124804633, 10792626380, 10792626377, 10792626382, 10792626381, 10792626383, 2590198363, 1124805635]",,park,,,,,,,,,,,,,
way,74202737,,"POLYGON ((7.6983775 49.4167104, 7.6986178 49.4160751, 7.6986743 49.4160378, 7.6987065 49.415977, 7.6986732 49.4159056, 7.6986103 49.4158036, 7.6983958 49.4155304, 7.6970579 49.4152402, 7.6964288 49.414978, 7.6962564 49.4152983, 7.6966433 49.4154436, 7.6968748 49.4156936, 7.6977177 49.4161432, 7.6983775 49.4167104))",,no,"[877661287, 2019759227, 2121249634, 487078143, 2121249618, 2019759222, 877661035, 877660959, 877660806, 877660830, 1810297209, 877660995, 2019759231, 877661287]",,park,7:00-20:00,,,,floods possible,no,"Regenrückhaltebecken, maximal 1.5m Wassertiefe möglich",,,,,,
way,98997876,,"POLYGON ((7.7529476 49.4468961, 7.7530125 49.4468943, 7.7530516 49.4468659, 7.7530863 49.4468151, 7.7531037 49.446752, 7.7531008 49.4467002, 7.7530935 49.446686, 7.7530632 49.4466314, 7.7530413 49.4465978, 7.7528979 49.4465671, 7.7529552 49.446454, 7.7528382 49.4464102, 7.7525826 49.4463083, 7.7524351 49.4463445, 7.7525176 49.4464871, 7.7521251 49.446583, 7.7521929 49.4467003, 7.7520867 49.4467263, 7.7521036 49.4467555, 7.7519232 49.4467996, 7.7518696 49.4468123, 7.7519101 49.4468827, 7.7519321 49.4469356, 7.7520248 49.4471286, 7.7520438 49.4471643, 7.7523714 49.4470987, 7.7525253 49.4470701, 7.7529543 49.4470035, 7.7529476 49.4468961))",,,"[1145343510, 1145343504, 1145343410, 1145343787, 1145343673, 1145343230, 1145343118, 1145343048, 1145343702, 1145343445, 1145343142, 1290176537, 1145343792, 1145343240, 1145343136, 1145343205, 1145343681, 1145343789, 1145343176, 1145343649, 1145343054, 300067129, 1145343157, 1145343568, 1145343605, 1145343490, 1145343446, 1145343545, 1145343510]",,park,,,,,,,,,,,,,
way,99702268,Philipp-Mees-Platz,"POLYGON ((7.7714082 49.4375861, 7.7714167 49.4375969, 7.7714333 49.4376039, 7.7716711 49.4376257, 7.771783 49.4376251, 7.771969 49.4376413, 7.7720351 49.4376428, 7.7720852 49.4376282, 7.7721273 49.4376068, 7.7721506 49.437575, 7.7721576 49.4375458, 7.7721543 49.4375238, 7.7721463 49.4374918, 7.7721251 49.4374509, 7.7720838 49.437417, 7.7716786 49.4371914, 7.7715416 49.4371285, 7.7715194 49.4372129, 7.7715994 49.4372215, 7.7715148 49.4375115, 7.7714348 49.4375029, 7.7714082 49.4375861))",,,"[1152738728, 2472406486, 2472406488, 2472406496, 2472406493, 1152738963, 1152738384, 2472406498, 1152739068, 1152738132, 1152738192, 1152738847, 1152739237, 1152738711, 1152739015, 1721713422, 1152738548, 1152738476, 1152739153, 1152738232, 1152738924, 1152738728]",,park,,,Q50358753,,,,,Category:Philipp-Mees-Platz,de:Philipp-Mees-Platz,,,,
