element_type,osmid,amenity,parking,geometry,access,fee,layer,name,wheelchair,toilets:wheelchair,surface,created_by,capacity,capacity:disabled,alt_name,lit,maxheight,operator,level,description,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,park_ride,nodes,designation,type,building,building:levels,roof:levels,roof:shape,brand,brand:wikidata,brand:wikipedia,building:parts,opening_hours,operator:wikidata,operator:wikipedia,capacity:parent,capacity:women,parking:condition,parking:condition:customers,fixme,hgv,supervised,cables,ref,parking:condition:private,charge,name:etymology:wikidata,parking:lane:right,capacity:long,building:part,area,building:levels:underground,operator:type,orientation,ways
node,269722770,parking,lane,POINT (7.7393979 49.4729411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,270917717,parking,underground,POINT (7.7678967 49.4445285),yes,yes,-1,Kreissparkasseparkhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274630490,parking,,POINT (7.7513198 49.4747914),permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,279381684,parking,surface,POINT (7.7482397 49.4175456),yes,no,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,307427808,parking,underground,POINT (7.760015 49.4470983),permissive,,-1,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,333672733,parking,surface,POINT (7.7809321 49.4635247),,,,,,,gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,335759593,parking,,POINT (7.7641819 49.4510948),,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,335759654,parking,,POINT (7.7634421 49.4518954),,,,,yes,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,503418136,parking,surface,POINT (7.7737689 49.4389587),,no,,Parkplatz Agentur für Arbeit,,,,,8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,568717396,parking,street_side,POINT (7.7546557 49.4473649),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,691157872,parking,surface,POINT (7.7155327 49.470194),,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,973577133,parking,surface,POINT (7.7871367 49.469367),,,,,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1121705890,parking,street_side,POINT (7.7666741 49.4437283),,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1145343434,parking,,POINT (7.7554171 49.447556),designated,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1218648230,parking,,POINT (7.7804381 49.4488426),,,,Pronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1252240061,parking,,POINT (7.7404243 49.4523041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1252240062,parking,,POINT (7.7404438 49.4517529),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1334517924,parking,,POINT (7.7820023 49.4381219),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1334517926,parking,surface,POINT (7.7654166 49.4695988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1577171846,parking,,POINT (7.7365893 49.423734),,,,,,,,,6,,,,,,,,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1728799528,parking,surface,POINT (7.7433556 49.4565796),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1736914954,parking,surface,POINT (7.7474056 49.4123278),yes,no,,,yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1966226277,parking,,POINT (7.8213514 49.379683),,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3207541325,parking,,POINT (7.7358417 49.4044689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3320725872,parking,underground,POINT (7.7596308 49.4470125),,,-1,Hochschule Tiefgarage,no,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3415549831,parking,multi-storey,POINT (7.7652074 49.4439746),customers,yes,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3415567093,parking,multi-storey,POINT (7.766787 49.445105),customers,yes,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3522517793,parking,,POINT (7.7658695 49.441526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7190553985,parking,surface,POINT (7.8048233 49.4581355),yes,no,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7190553986,parking,street_side,POINT (7.7050399 49.4472388),,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23263880,parking,surface,"POLYGON ((7.7514189 49.4256764, 7.7513141 49.4254256, 7.7514367 49.4253077, 7.7517594 49.4252487, 7.7520069 49.4253459, 7.7523573 49.4252856, 7.7523411 49.4252425, 7.7524422 49.4252255, 7.7524659 49.4252476, 7.752517 49.4252389, 7.7525743 49.4252291, 7.752643 49.4252173, 7.7526961 49.4253417, 7.7526287 49.4253527, 7.7526702 49.4254571, 7.7514189 49.4256764))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[251758421, 251758422, 1772557374, 255398285, 255398283, 1772557372, 1772557370, 3864704569, 3864704570, 4319684257, 4319684256, 251758423, 3864704575, 3864704576, 251758424, 251758421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23585041,parking,surface,"POLYGON ((7.7538679 49.4246711, 7.7538249 49.4246786, 7.7536244 49.4247136, 7.7537484 49.4250141, 7.7539919 49.4249716, 7.7538679 49.4246711))",private,,,,,,,,,,,,,Universität Kaiserslautern,,,,,,,,,,,"[1772557233, 2558598968, 255398941, 255398942, 2558598979, 1772557233]",Mitarbeiterparkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23610715,parking,surface,"POLYGON ((7.7645434 49.4465508, 7.7636029 49.4465557, 7.7636065 49.446608, 7.7636054 49.4466869, 7.7636068 49.4469891, 7.7636032 49.4470594, 7.7636124 49.4471277, 7.7636124 49.4471993, 7.7636151 49.4473113, 7.7646181 49.4473097, 7.7645434 49.4465508))",,yes,,Meuthstraße II,,,,,,,,,,,,,,,,,,,,,"[2923655800, 2923656001, 1662141388, 1662141393, 1662141423, 1662141435, 1662141439, 1662141441, 255717945, 255717944, 2923655800]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24890647,parking,,"POLYGON ((7.7672711 49.4718604, 7.7674332 49.4718227, 7.7673466 49.4716654, 7.7671845 49.4717031, 7.7672711 49.4718604))",,,,,,,,,,,,,,,,,,,,,,,,,"[270450745, 270450746, 270450747, 270450748, 270450745]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24890696,parking,,"POLYGON ((7.7681216 49.4739732, 7.7682372 49.474002, 7.768332 49.4740382, 7.7684031 49.4740708, 7.7684981 49.4739107, 7.7684718 49.4739081, 7.7683798 49.4738989, 7.7684168 49.47372, 7.7682661 49.4737065, 7.7682575 49.4737442, 7.768182 49.4737362, 7.7681216 49.4739732))",,,,,yes,,,,,,,,,,,,,,,,,,,,"[270450932, 1038169682, 270450933, 1039095565, 1039095127, 1039094835, 1039095132, 270450934, 1039095295, 270448296, 339040090, 270450932]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24894949,parking,surface,"POLYGON ((7.765345 49.4702712, 7.7653768 49.4701613, 7.7654363 49.4699426, 7.7654972 49.4699498, 7.7658371 49.4699903, 7.7657505 49.470366, 7.7653331 49.4703121, 7.765345 49.4702712))",,no,,Dorfplatz,yes,,,,,,,,,,,,,,,,,,,,"[270492041, 339627313, 270492042, 1875649908, 270492043, 270492044, 1592415077, 270492041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28537616,parking,surface,"POLYGON ((7.7502004 49.4232906, 7.7502788 49.4235077, 7.7508466 49.4235335, 7.7510457 49.423494, 7.7511284 49.4234793, 7.750981 49.4231193, 7.7501907 49.4232643, 7.7502004 49.4232906))",private,,,,,,,,,,,,,,,,,,,,,,,,"[313480479, 313480480, 4317587874, 4317587873, 4317587875, 4317587850, 1772557080, 313480479]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28834218,parking,,"POLYGON ((7.6917023 49.4667445, 7.6918458 49.466467, 7.6916056 49.4664104, 7.6913783 49.466679, 7.6917023 49.4667445))",,,,,,,,,17,,,,,,,,,,,,,,,,"[316996447, 316996450, 316996451, 316996455, 316996447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
