element_type,osmid,addr:housenumber,addr:postcode,addr:street,geometry,addr:city,amenity,operator,nodes,building,name,tourism,website,addr:country,building:levels,social_facility,internet_access,rooms,wheelchair,email,internet_access:fee,old_name,opening_hours,phone,roof:levels,roof:shape,addr:place,addr:source,addr:suburb,ways,type
way,95933675,12,67657,Salzstraße,"POLYGON ((7.7727983 49.4475284, 7.7727271 49.4476073, 7.7728497 49.4476426, 7.772874 49.4476504, 7.7729439 49.4475762, 7.7727983 49.4475284))",Kaiserslautern,,Ferienwohnungen Kallmayer,"[1111539140, 1111539374, 1111539348, 1111539017, 1111539246, 1111539140]",residential,Ferienwohnungen Kallmayer,chalet,https://www.ferienwohnungen-kl.de/,,,,,,,,,,,,,,,,,,
way,96936666,2,67655,Gerberstraße,"POLYGON ((7.7712325 49.4428005, 7.771372 49.4428392, 7.7712781 49.442982, 7.7711386 49.4429432, 7.7711632 49.4429058, 7.7712325 49.4428005))",Kaiserslautern,,,"[1123353924, 1123353763, 1123354066, 1123354026, 1123354089, 1123353924]",residential,,,,DE,2,,,,,,,,,,,,,,,,
way,97114579,20,67655,Schubertstraße,"POLYGON ((7.7737833 49.442616, 7.7737318 49.4425121, 7.7737647 49.4425052, 7.7737489 49.4424734, 7.773838 49.4424547, 7.7739053 49.4425904, 7.7737833 49.442616))",Kaiserslautern,,,"[1125022989, 1125021817, 1125022726, 1125021860, 1125022761, 1125022951, 1125022989]",residential,,,,,,,,,,,,,,,,,,,,,
way,100797588,28,67655,Rosenstraße,"POLYGON ((7.7649015 49.4424066, 7.7649508 49.4424988, 7.7650039 49.4424868, 7.7650119 49.4425017, 7.7650696 49.4424887, 7.7650607 49.4424719, 7.7651196 49.4424586, 7.7650709 49.4423667, 7.7649015 49.4424066))",Kaiserslautern,,,"[1165060907, 1165060519, 1165059735, 1165059269, 1165060649, 1165059838, 1165060157, 1165060235, 1165060907]",residential,City Hotel,hotel,http://www.cityhotel-kl.de/,,,,wlan,16,no,,,,,,,,,,,,
way,103399912,,,,"POLYGON ((7.7659219 49.4373779, 7.7658776 49.4374069, 7.7658471 49.4375131, 7.7659801 49.4375912, 7.7660261 49.4375571, 7.7661132 49.4374923, 7.7659219 49.4373779))",,,,"[1193995091, 1193995028, 1193996398, 1193996275, 1193996021, 1193995569, 1193995091]",residential,,,,,,,,,,,,,,,,,,,,,
way,103400037,7,67655,Rudolf-Breitscheid-Straße,"POLYGON ((7.7663846 49.4374285, 7.7663058 49.4374842, 7.766414 49.4375457, 7.7665192 49.4374685, 7.7663846 49.4374285))",Kaiserslautern,,,"[1193995466, 1193995106, 1193996457, 1193996297, 1193995466]",residential,Astra,hotel,,,,,yes,,,,,,,,,,,,,,
way,103400074,,,,"POLYGON ((7.7658141 49.4375786, 7.7657931 49.4376558, 7.7658726 49.4377026, 7.7659401 49.4376537, 7.7658141 49.4375786))",,,,"[1193995464, 1193995737, 1193995104, 1193996453, 1193995464]",residential,,,,,,,,,,,,,,,,,,,,,
way,103400095,17,67655,Schumannstraße,"POLYGON ((7.764537 49.4381293, 7.7645035 49.438138, 7.7644812 49.4381014, 7.7645195 49.4380939, 7.7646144 49.438104, 7.7646277 49.4380516, 7.7647521 49.438067, 7.7647832 49.4379575, 7.7642323 49.4378947, 7.7641974 49.4379055, 7.7641847 49.4379271, 7.7641933 49.4379542, 7.7642329 49.4380197, 7.7642678 49.4380237, 7.764265 49.4380382, 7.7644785 49.4383838, 7.7646146 49.4383487, 7.7645898 49.438308, 7.7646383 49.4382956, 7.764537 49.4381293))",Kaiserslautern,social_facility,,"[1193995394, 1193995011, 1193996163, 1193995305, 1193994903, 1193995971, 1193995994, 1193996486, 1193994885, 10831631433, 10831631434, 10831631435, 1193995022, 1193996177, 1193995844, 1193996085, 1193995161, 1193996417, 1193995823, 1193995394]",residential,Wohn- und Pflegeheim Kessler-Handorn,,https://www.kessler-handorn.de/,DE,,nursing_home,,,yes,,,,,,,,,,,,
way,104122323,32,67655,Lutrinastraße,"POLYGON ((7.7732595 49.4385456, 7.7731582 49.438777, 7.773322 49.4388074, 7.7734209 49.4385756, 7.7732595 49.4385456))",Kaiserslautern,,,"[1201452783, 1201453114, 1201452163, 1201453375, 1201452783]",residential,,,,,,,,,,,,,,,,,,,,,
way,104240968,18,67655,Lutzerstraße,"POLYGON ((7.7776779 49.4410625, 7.77764 49.4410625, 7.7776427 49.4410802, 7.7775769 49.4410816, 7.7775851 49.4411516, 7.777597 49.4411517, 7.7776867 49.4411522, 7.7776779 49.4410625))",Kaiserslautern,,,"[1202919522, 1202919702, 1202919862, 1202919727, 1202919679, 4501415724, 1202919789, 1202919522]",residential,,,,DE,,,,,,,,,,,,,,,,,
