element_type,osmid,amenity,name,geometry,cuisine,delivery,email,opening_hours,phone,takeaway,website,addr:postcode,indoor_seating,outdoor_seating,wheelchair,level,addr:housenumber,addr:street,alt_name,toilets:wheelchair,diet:vegan,diet:vegetarian,operator,addr:city,fast_food,addr:country,brewery,smoking,air_conditioning,payment:credit_cards,payment:debit_cards,tourism,check_date:opening_hours,opening_hours:delivery,capacity,currency:EUR,currency:USD,wheelchair:description,bar,microbrewery,source,biergarten,contact:facebook,brand,brand:wikidata,brand:wikipedia,official_name,contact:phone,description,nodes,building,wikidata,wikipedia,building:levels,fax,roof:levels,diet:halal,website:menu,addr:suburb,ref,building:part
node,276493068,restaurant,Hach Hecker,POINT (7.7882538 49.441236),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,288553862,restaurant,Blue Pizza,POINT (7.7833838 49.4443377),pizza,yes,bluepizza@mail.de,Tu-Sa 17:00-22:00; Su 16:00-22:00,+49 631 4141351,yes,https://www.bluepizza.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,288553948,restaurant,Da Michele,POINT (7.7466336 49.4255273),italian,,,"Tu-Su 11:30-14:00,17:30-23:00",+4963112926,,,67663,yes,yes,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,338976118,restaurant,21 - twentyone.,POINT (7.7675548 49.446679),,,,"PH,Su-Th 17:30-01:00, Fr,Sa 17:30-02:00",,,https://www.21-lounge.de/,,,,yes,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,365550470,restaurant,Bellini,POINT (7.7791525 49.4426646),italian,,,"Tu-Sa 11:30-14:00, 17:00-23:00; Su 11:30-14:00, 16:30-23:00",+49 631 367 943 85,,http://pizzeriabellini-kl.de/,,,,,,1,Fabrikstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,480307140,restaurant,barcode,POINT (7.7713785 49.4458047),,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,543641441,restaurant,San Marino,POINT (7.7650103 49.4388197),italian,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,543651408,restaurant,Phở Việt,POINT (7.7757919 49.4477265),vietnamese,,,"Tu-Su 11:30-15:00,17:30-22:00",+49 631 67780,,https://www.phoviet-kl.de/,,,,yes,,,,Pho Viet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,543658793,restaurant,Flammkuchen Restaurant Nora,POINT (7.7747484 49.4481623),french,,,We-Fr 18:00-22:00; Sa 17:00-22:00; Su 17:00-21:00,+49 631 98411895,,https://www.flammkuchen-restaurant-nora.de/,67657,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,543663259,restaurant,China City,POINT (7.8002261 49.4568087),chinese,,,,+49 631-3037638,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
