element_type,osmid,geometry,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,nodes,building,name,opening_hours,operator,phone,shop,website,wheelchair,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,internet_access,payment:contactless,addr:country,building:levels,opening_hours:covid19,payment:cash,roof:material,height,roof:shape,fee,parking,roof:levels,noaddress,cuisine,takeaway,currency:EUR,currency:USD,fax,indoor_seating,outdoor_seating,toilets:wheelchair,opening_hours:signed,changing_table,check_date,toilets,source,branch,organic,closed:name,closed:shop,building:colour,building:parts,wikidata,alt_name,start_date,note
way,29097488,"POLYGON ((7.8165814 49.4433762, 7.8174669 49.4433921, 7.8180958 49.4434034, 7.8180982 49.443347, 7.8187353 49.4433585, 7.8187405 49.4432361, 7.8189933 49.4432407, 7.819017 49.4426828, 7.818895 49.4426806, 7.8189028 49.4424976, 7.8184883 49.4424901, 7.8184895 49.4424638, 7.8181402 49.4424575, 7.8181393 49.4424797, 7.8177617 49.4424729, 7.8177262 49.4424722, 7.8170441 49.44246, 7.8166689 49.4424532, 7.8164217 49.4424488, 7.8164178 49.4424487, 7.8163119 49.4424468, 7.816213 49.442445, 7.816118 49.4424433, 7.8161095 49.442642, 7.8161085 49.4426668, 7.8159866 49.4426647, 7.8159844 49.4427167, 7.8159822 49.442769, 7.8161023 49.4427712, 7.8160848 49.4431809, 7.8162109 49.4431832, 7.816203 49.4433671, 7.8162155 49.4433673, 7.8162134 49.443416, 7.8162984 49.4434175, 7.8163005 49.4433692, 7.8164691 49.4433722, 7.8164711 49.4433259, 7.8165835 49.443328, 7.8165814 49.4433762))",,Kaiserslautern,234-236,67657,Mannheimer Straße,,"[320057948, 3839161890, 1234672183, 1234672172, 320057944, 1234672170, 1234672179, 320057945, 1234672181, 1234672167, 3839161693, 3839161689, 3839161687, 3839161692, 3839161691, 3839161690, 3839161688, 3839161686, 10647129600, 3839161685, 3839161684, 3842739659, 320057946, 3842739664, 3839161722, 3839161721, 3441586931, 3839161738, 3839161740, 3839161880, 3839161881, 3839161886, 3839161887, 3839161891, 3839161892, 3839161888, 3839161889, 3839161884, 3839161885, 320057948]",retail,Pfalz-Center,Mo-Sa 08:00-22:00,Metro-ECE Centermanagement,+49 631 34100704,mall,https://www.pfalzcenter.de,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30754385,"POLYGON ((7.7510851 49.4426342, 7.751092 49.4426075, 7.7510947 49.4425971, 7.7510254 49.4425895, 7.7510782 49.442386, 7.751122 49.4423908, 7.7511475 49.4423936, 7.7511827 49.4422575, 7.7511963 49.442259, 7.7512126 49.4421958, 7.7513353 49.4422093, 7.7513535 49.4421393, 7.75137 49.4421411, 7.7513868 49.4420763, 7.7514096 49.4420787, 7.7514159 49.442054, 7.7514559 49.4420583, 7.7514618 49.442035, 7.7515211 49.4420412, 7.7515266 49.4420208, 7.7516302 49.4420322, 7.751647 49.4419675, 7.7517153 49.4419755, 7.7517741 49.4419824, 7.751789 49.4419279, 7.7518266 49.4419139, 7.7518835 49.4418859, 7.7519497 49.4418601, 7.7520221 49.4418483, 7.7521381 49.4418593, 7.7520999 49.4420179, 7.7524404 49.4420539, 7.7525025 49.442094, 7.7524949 49.4421256, 7.7524619 49.4422632, 7.7526726 49.4422863, 7.7527522 49.442295, 7.7526206 49.4428025, 7.7525445 49.4427942, 7.7519171 49.4427254, 7.7514843 49.4426779, 7.7513225 49.4426602, 7.7510851 49.4426342))",,Kaiserslautern,123,67655,Pariser Straße,,"[340127938, 9193340121, 3301302839, 3301302837, 3301302828, 9193328915, 3301302829, 3301302821, 3301302822, 340127942, 340127958, 340127960, 3301302815, 3301302811, 3301302812, 3301302808, 3301302809, 3301302804, 3301302805, 3301302803, 1154354144, 3301302801, 3301302800, 1154355239, 1684446987, 1154354254, 3301302799, 1684446961, 1154354495, 1154354132, 3301302802, 3301302807, 1154355063, 3301302814, 3301302823, 9193340127, 340127948, 340127940, 9193340128, 3301302847, 3301302844, 9193340132, 340127938]",retail,Kaufland,Mo-Sa 07:00-22:00,,,supermarket,,yes,Kaufland,Q685967,en:Kaufland,2023-03-25,wlan,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30754505,"POLYGON ((7.7079531 49.4406807, 7.7080174 49.4405091, 7.7080387 49.440455, 7.708145 49.440183, 7.7084294 49.4394547, 7.7088249 49.4395196, 7.7088416 49.4394766, 7.709391 49.4395669, 7.7094066 49.4395265, 7.7093623 49.4395192, 7.7094073 49.4394036, 7.7099738 49.4394966, 7.7099426 49.4395767, 7.7100779 49.439599, 7.710071 49.4396166, 7.7102084 49.4396392, 7.7101916 49.4396823, 7.7103275 49.4397046, 7.7102449 49.4399378, 7.7104814 49.4399774, 7.710351 49.4403321, 7.7101082 49.4402922, 7.710003 49.4405631, 7.7099549 49.4406868, 7.7097882 49.4406595, 7.7097674 49.4407129, 7.7097494 49.4407593, 7.7096502 49.440743, 7.7095441 49.4407256, 7.7095641 49.4406742, 7.7095832 49.4406251, 7.7092884 49.4405767, 7.7087788 49.4407687, 7.7087612 49.4408141, 7.7085278 49.4407757, 7.708507 49.440828, 7.7084887 49.4408765, 7.7083854 49.4408596, 7.7082931 49.4408444, 7.7083096 49.4408019, 7.7083325 49.440743, 7.7079531 49.4406807))",,Kaiserslautern,57,67663,Merkurstraße,,"[340129342, 1292971119, 1292971047, 5866002285, 340129343, 1180604111, 1180604871, 1180605433, 1180604518, 1180605467, 1180603975, 1180604471, 1180604231, 1180604695, 1180604802, 340129345, 1180605306, 1180604714, 1180605166, 340129348, 1180605340, 1180604444, 5866001880, 1180605011, 1180604815, 1180604675, 1180605506, 1827468937, 1180605137, 1180604980, 1180604373, 1180604002, 1180604144, 1180604617, 1180604558, 1180604622, 1180605043, 1827468941, 1180604895, 1180604528, 1180604023, 340129342]",retail,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,61857519,"POLYGON ((7.753655 49.4332806, 7.7530303 49.4334886, 7.7531999 49.4337041, 7.7530858 49.4337421, 7.7531851 49.4338683, 7.7532992 49.4338303, 7.7539239 49.4336224, 7.753655 49.4332806))",,Kaiserslautern,6,67663,Carl-Euler-Straße,,"[770923954, 770923955, 1147134273, 1147132320, 770923956, 3286092437, 1147133843, 770923954]",retail,Wasgau,Mo-Sa 08:00-21:00,,,supermarket,,yes,Wasgau,Q2536857,de:Wasgau Produktions & Handels AG,,,yes,DE,2,same,yes,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,67522094,"POLYGON ((7.7847538 49.440244, 7.7850073 49.4403142, 7.7850283 49.4402822, 7.7851072 49.440304, 7.7853574 49.4399218, 7.7851633 49.4398681, 7.7851899 49.4398276, 7.7850514 49.4397893, 7.7849171 49.4399946, 7.7847538 49.440244))",,Kaiserslautern,58,67655,Barbarossastraße,,"[815229740, 1202918751, 1202918744, 815229808, 815229966, 1202918582, 1202919492, 815229688, 815230010, 815229740]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,67522095,"POLYGON ((7.7841318 49.4400181, 7.784463 49.4400985, 7.7847046 49.4396781, 7.7843731 49.4395975, 7.7843368 49.4396605, 7.7842067 49.439887, 7.7841075 49.4398629, 7.78408 49.4399108, 7.7841796 49.439935, 7.7841318 49.4400181))",,Kaiserslautern,56,67655,Barbarossastraße,,"[815229836, 815229896, 815229968, 815229834, 1202919314, 1202919832, 1202919017, 1202919519, 1202919712, 815229836]",retail,Werksverkauf Sutter,,,,butcher,https://fleischwaren-sutter.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93856163,"POLYGON ((7.8073376 49.4559453, 7.8077632 49.4563617, 7.8083748 49.456098, 7.8084238 49.456144, 7.8085037 49.4561155, 7.8085977 49.4560998, 7.8086755 49.4561033, 7.8087588 49.4561155, 7.8088354 49.4561418, 7.8088938 49.4561765, 7.8089441 49.4562167, 7.809024 49.456177, 7.8091213 49.4562691, 7.8097562 49.4560167, 7.8092827 49.4555205, 7.8089781 49.455228, 7.8073376 49.4559453))",,Kaiserslautern,21,67657,Europaallee,,"[1090881459, 748078820, 1090881510, 1090881461, 1090881512, 1090881513, 1090881517, 1090881520, 1090881524, 1090881543, 1090881544, 1090881545, 1090881546, 1090881547, 1090889873, 1090881548, 1090881459]",retail,Möbel Martin,,,,furniture,,yes,Möbel Martin,Q15836030,de:Möbel Martin,,,,,,,,,15 m,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93866170,"POLYGON ((7.7728179 49.4470077, 7.7728497 49.4469754, 7.7725213 49.446839, 7.7724546 49.4468113, 7.7724751 49.4467899, 7.7725621 49.4467018, 7.7725385 49.446692, 7.7724678 49.4466626, 7.7723098 49.446597, 7.7722241 49.4466838, 7.771948 49.4469651, 7.772768 49.4473058, 7.7729412 49.4471296, 7.7729905 49.4470794, 7.7728574 49.4470241, 7.7728179 49.4470077))",yes,Kaiserslautern,,67657,Seminargasse,parking,"[1091098945, 1091099129, 9040254736, 1091099063, 1111539517, 1091099022, 1111539575, 1111539396, 1091098984, 1111539149, 1091098924, 1091099059, 3661953820, 1091099097, 1111539271, 1091098945]",retail,Altstadparkhaus,24/7,,,,,,,,,,,,DE,3,,,,,,yes,multi-storey,0,,,,,,,,,,,,,,,,,,,,,,,,
way,96050369,"POLYGON ((7.7681149 49.445081, 7.7683077 49.4451123, 7.7683588 49.4449983, 7.7682409 49.4449741, 7.7682559 49.4449479, 7.7682098 49.4449359, 7.7681929 49.4449631, 7.7681747 49.4449893, 7.7681149 49.445081))",,Kaiserslautern,21,67655,Fruchthallstraße,,"[1112875859, 1112875669, 1112875550, 1112875634, 1112875197, 1112875892, 1112875922, 1112875571, 1112875859]",retail,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96050418,"POLYGON ((7.7717039 49.4443956, 7.7716404 49.4444326, 7.7716699 49.444454, 7.7716943 49.4444716, 7.7717577 49.4444344, 7.7717039 49.4443956))",,,,,,fast_food,"[1112875523, 1112875233, 1112875832, 1112875886, 1112875706, 1112875523]",retail,Riga-Haus,,,,,,,,,,,,,,1,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
