u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,name,service,junction,access,width,tunnel,area
350577,315040981,0,"[326049768, 326049769, 28956303, 480797241, 480797244]",True,"['2', '3']",B 270,trunk,100,False,446.03499999999997,yes,"LINESTRING (7.7035645 49.4503825, 7.7033767 49.4513575, 7.7030497 49.4529741, 7.7030018 49.4532127, 7.7029736 49.4533645, 7.7027885 49.4543619)",,,,,,,
350598,1180605035,0,4446768,True,1,,primary_link,50,False,21.844,,"LINESTRING (7.7086944 49.4373851, 7.7086203 49.4372437, 7.7085902 49.4372009)",,,,,,,
350598,2058727692,0,"[768312323, 49286009, 25450515]",False,"['4', '3']",B 270,primary,50,"[False, True]",57.71000000000001,yes,"LINESTRING (7.7086944 49.4373851, 7.7085836 49.4376372, 7.7085027 49.4378256, 7.7084783 49.4378847)",,,,,,,
350598,335718400,0,"[1168515384, 175152786]",False,"['4', '3']",B 270,primary,50,True,125.578,,"LINESTRING (7.7086944 49.4373851, 7.7087662 49.4372224, 7.7088275 49.4370489, 7.7088933 49.436847, 7.7090215 49.4362774)",,,,,,,
350603,2058727607,0,32129793,True,1,,primary_link,50,False,94.343,,"LINESTRING (7.708477 49.4377316, 7.7083283 49.4377199, 7.7074592 49.4375617, 7.7073532 49.4375508, 7.7072914 49.4375518, 7.7072084 49.4375565)",,,,,,,
350603,2058727607,1,195427230,True,,,service,,False,94.87700000000001,,"LINESTRING (7.708477 49.4377316, 7.7083398 49.437743, 7.7082624 49.4377486, 7.7082179 49.4377471, 7.7074823 49.4376143, 7.7072084 49.4375565)",,,,,,,
350603,2516128945,0,195427222,True,1,L 395,secondary,50,False,106.244,,"LINESTRING (7.708477 49.4377316, 7.7082624 49.4376787, 7.7070679 49.4374627)",Pariser Straße,,,,,,
350614,350615,0,96336872,True,2,B 37,primary,50,False,182.439,,"LINESTRING (7.7160533 49.4385905, 7.7183963 49.4379817)",Pariser Straße,,,,,,
350614,27304761,0,709246675,True,1,,residential,50,False,10.612,,"LINESTRING (7.7160533 49.4385905, 7.7160729 49.4386234, 7.7160783 49.4386443, 7.7160803 49.4386618, 7.7160739 49.4386828)",Arizona Boulevard,,,,,,
350615,318390308,0,26522789,False,,,residential,30,False,10.152,,"LINESTRING (7.7183963 49.4379817, 7.7184487 49.4380664)",Homburger Straße,,,,,,
350615,370275891,0,26522789,False,,,residential,30,True,11.395,,"LINESTRING (7.7183963 49.4379817, 7.7183713 49.4379371, 7.7183424 49.4378854)",Homburger Straße,,,,,,
350615,350619,0,96336872,True,2,B 37,primary,50,False,492.65200000000004,,"LINESTRING (7.7183963 49.4379817, 7.7184916 49.437956, 7.7187027 49.4378992, 7.7190146 49.4378177, 7.7197584 49.4376246, 7.7199909 49.4375666, 7.7203578 49.4374916, 7.7207765 49.4374607, 7.7211513 49.4374666, 7.7233246 49.4376889, 7.7248025 49.4378436, 7.7250175 49.4378661)",Pariser Straße,,,,,,
350619,318390303,0,26522667,False,,,residential,30,False,10.369,,"LINESTRING (7.7250175 49.4378661, 7.724996 49.4379583)",Am Belzappel,,,,,,
350619,290703193,0,26522667,False,,,residential,30,True,21.664,,"LINESTRING (7.7250175 49.4378661, 7.7250281 49.4378237, 7.725038 49.437784, 7.7250656 49.4376738)",Am Belzappel,,,,,,
350619,350620,0,96336872,True,2,B 37,primary,50,False,321.783,,"LINESTRING (7.7250175 49.4378661, 7.7251455 49.4378795, 7.7254961 49.4379161, 7.7256943 49.4379371, 7.7294115 49.4383248)",Pariser Straße,,,,,,
