osmid,y,x,street_count,ref,highway,geometry
350577,49.4503825,7.7035645,3,,,POINT (7.7035645 49.4503825)
350598,49.4373851,7.7086944,4,,,POINT (7.7086944 49.4373851)
350603,49.4377316,7.708477,4,,,POINT (7.708477 49.4377316)
350614,49.4385905,7.7160533,4,,,POINT (7.7160533 49.4385905)
350615,49.4379817,7.7183963,4,,,POINT (7.7183963 49.4379817)
350619,49.4378661,7.7250175,4,,,POINT (7.7250175 49.4378661)
350620,49.4383248,7.7294115,3,,,POINT (7.7294115 49.4383248)
350625,49.4392393,7.7379531,3,,,POINT (7.7379531 49.4392393)
350626,49.4393416,7.7384608,5,,,POINT (7.7384608 49.4393416)
350627,49.4387455,7.738952,3,,,POINT (7.738952 49.4387455)
350637,49.4323124,7.7387912,3,,,POINT (7.7387912 49.4323124)
350640,49.4309536,7.7388953,3,,,POINT (7.7388953 49.4309536)
350644,49.4401409,7.7413625,3,,,POINT (7.7413625 49.4401409)
350645,49.4402878,7.741859,3,,,POINT (7.741859 49.4402878)
350647,49.4285515,7.7395589,3,,,POINT (7.7395589 49.4285515)
350660,49.4275232,7.743639,3,,,POINT (7.743639 49.4275232)
350687,49.4284322,7.750996,3,,,POINT (7.750996 49.4284322)
350707,49.4365274,7.7634761,3,,,POINT (7.7634761 49.4365274)
350714,49.4372091,7.7669362,3,,,POINT (7.7669362 49.4372091)
350716,49.4393602,7.7641114,4,,,POINT (7.7641114 49.4393602)
350718,49.4399821,7.7654102,3,,,POINT (7.7654102 49.4399821)
350719,49.4405894,7.765219,4,,,POINT (7.765219 49.4405894)
350721,49.4414088,7.7649937,4,,,POINT (7.7649937 49.4414088)
350725,49.4474714,7.7700998,5,,,POINT (7.7700998 49.4474714)
350727,49.445838,7.7707967,6,,,POINT (7.7707967 49.445838)
350730,49.4454841,7.7668915,3,,,POINT (7.7668915 49.4454841)
350731,49.4453507,7.7665009,3,,,POINT (7.7665009 49.4453507)
350736,49.4472238,7.768575,4,,,POINT (7.768575 49.4472238)
350739,49.4465099,7.7689218,3,,,POINT (7.7689218 49.4465099)
350744,49.4472564,7.7669263,4,,,POINT (7.7669263 49.4472564)
350746,49.4472739,7.7665999,3,,,POINT (7.7665999 49.4472739)
350748,49.4473856,7.7623289,3,,,POINT (7.7623289 49.4473856)
350752,49.4477908,7.757841,3,,,POINT (7.757841 49.4477908)
350777,49.4454367,7.749467,4,,,POINT (7.749467 49.4454367)
351059,49.4701121,7.6997837,3,,,POINT (7.6997837 49.4701121)
351069,49.4795987,7.684474,3,,,POINT (7.684474 49.4795987)
500442,49.457966,7.8490883,3,,,POINT (7.8490883 49.457966)
500446,49.4566382,7.8449118,3,,,POINT (7.8449118 49.4566382)
500464,49.4528316,7.8212761,3,,,POINT (7.8212761 49.4528316)
500470,49.4564363,7.8106736,3,16a,motorway_junction,POINT (7.8106736 49.4564363)
500480,49.4617652,7.7959386,3,,,POINT (7.7959386 49.4617652)
500559,49.442253,7.6572778,3,14,motorway_junction,POINT (7.6572778 49.442253)
500560,49.4417448,7.6546581,3,,,POINT (7.6546581 49.4417448)
501159,49.441573,7.706794,3,,,POINT (7.706794 49.441573)
501164,49.4419552,7.705191,3,,,POINT (7.705191 49.4419552)
501172,49.4410429,7.7056884,3,,,POINT (7.7056884 49.4410429)
501177,49.4421674,7.70611,3,,,POINT (7.70611 49.4421674)
501182,49.4443244,7.7047883,3,,,POINT (7.7047883 49.4443244)
501185,49.4462105,7.7043939,3,,,POINT (7.7043939 49.4462105)
501196,49.4481048,7.7077493,3,,,POINT (7.7077493 49.4481048)
501265,49.4574363,7.8080341,3,,,POINT (7.8080341 49.4574363)
502360,49.4562098,7.8441081,3,,,POINT (7.8441081 49.4562098)
502362,49.4570883,7.8468126,3,,,POINT (7.8468126 49.4570883)
502371,49.4617313,7.79511,3,16a,motorway_junction,POINT (7.79511 49.4617313)
8024540,49.4623317,7.8102509,3,15,motorway_junction,POINT (7.8102509 49.4623317)
8032933,49.4456525,7.7043459,3,,,POINT (7.7043459 49.4456525)
8032937,49.4437046,7.7048058,3,,,POINT (7.7048058 49.4437046)
8032946,49.4419071,7.7085714,3,,,POINT (7.7085714 49.4419071)
8032949,49.4413614,7.7100955,3,,,POINT (7.7100955 49.4413614)
8032952,49.4413275,7.7113055,3,,,POINT (7.7113055 49.4413275)
8032957,49.441856,7.714619,3,,,POINT (7.714619 49.441856)
8032965,49.44275,7.7244444,3,,,POINT (7.7244444 49.44275)
8032967,49.443082,7.7270436,3,,,POINT (7.7270436 49.443082)
8032972,49.4436432,7.7304461,3,,,POINT (7.7304461 49.4436432)
8032974,49.4447174,7.7322188,3,,,POINT (7.7322188 49.4447174)
8032978,49.4446321,7.7340793,3,,,POINT (7.7340793 49.4446321)
8032981,49.4441607,7.7353166,3,,,POINT (7.7353166 49.4441607)
8032985,49.4436733,7.7362234,3,,,POINT (7.7362234 49.4436733)
8032989,49.4421979,7.7373667,3,,,POINT (7.7373667 49.4421979)
8032995,49.4415486,7.7393056,3,,,POINT (7.7393056 49.4415486)
8032997,49.4418225,7.7417318,3,,,POINT (7.7417318 49.4418225)
8032999,49.441985,7.7432017,3,,,POINT (7.7432017 49.441985)
8033006,49.4421107,7.7444547,4,,,POINT (7.7444547 49.4421107)
8033007,49.4422446,7.745586,3,,,POINT (7.745586 49.4422446)
8033009,49.4424685,7.7476785,4,,,POINT (7.7476785 49.4424685)
8033010,49.4426506,7.7493676,3,,,POINT (7.7493676 49.4426506)
8033012,49.4429156,7.7516735,3,,,POINT (7.7516735 49.4429156)
8033017,49.4423164,7.7564264,3,,traffic_signals,POINT (7.7564264 49.4423164)
8033038,49.4420616,7.7622171,3,,,POINT (7.7622171 49.4420616)
8033051,49.4455223,7.7700859,3,,,POINT (7.7700859 49.4455223)
8033053,49.4455525,7.7702546,3,,,POINT (7.7702546 49.4455525)
8033060,49.4445252,7.7748867,3,,,POINT (7.7748867 49.4445252)
8033077,49.4444553,7.784413,4,,,POINT (7.784413 49.4444553)
8033078,49.4445544,7.7844031,4,,,POINT (7.7844031 49.4445544)
8033081,49.4460465,7.7841008,3,,,POINT (7.7841008 49.4460465)
8033082,49.446672,7.783812,3,,,POINT (7.783812 49.446672)
8033084,49.4481107,7.7826589,3,,,POINT (7.7826589 49.4481107)
8033086,49.4488161,7.7817261,3,,,POINT (7.7817261 49.4488161)
8033088,49.4492255,7.7810669,3,,,POINT (7.7810669 49.4492255)
8033095,49.4495735,7.780387,4,,,POINT (7.780387 49.4495735)
8033104,49.4522494,7.7871453,4,,,POINT (7.7871453 49.4522494)
8033120,49.457839,7.8020737,4,,,POINT (7.8020737 49.457839)
8033121,49.4582569,7.8031594,3,,,POINT (7.8031594 49.4582569)
8033124,49.4595697,7.8065324,3,,,POINT (7.8065324 49.4595697)
8033133,49.462159,7.8089092,3,,,POINT (7.8089092 49.462159)
10381742,49.4442453,7.7637902,3,,,POINT (7.7637902 49.4442453)
10381750,49.4404299,7.7417654,3,,,POINT (7.7417654 49.4404299)
10381751,49.4402981,7.7412652,3,,,POINT (7.7412652 49.4402981)
17053650,49.4608228,7.8044133,3,,,POINT (7.8044133 49.4608228)
17053653,49.4573827,7.8047179,3,,,POINT (7.8047179 49.4573827)
17053666,49.4562452,7.7978917,4,,,POINT (7.7978917 49.4562452)
17053667,49.4400212,7.7113202,3,,,POINT (7.7113202 49.4400212)
17053676,49.4412754,7.7109103,5,,,POINT (7.7109103 49.4412754)
17053678,49.4467861,7.7057936,3,,,POINT (7.7057936 49.4467861)
17053679,49.4408244,7.7110577,3,,,POINT (7.7110577 49.4408244)
17053697,49.4563301,7.7977976,4,,,POINT (7.7977976 49.4563301)
17053726,49.4579983,7.8039448,3,,,POINT (7.8039448 49.4579983)
17053730,49.4590701,7.8049574,3,,,POINT (7.8049574 49.4590701)
17053736,49.4413311,7.7104488,3,,,POINT (7.7104488 49.4413311)
17053752,49.4570917,7.7967431,3,,,POINT (7.7967431 49.4570917)
17053753,49.4467754,7.7053533,3,,,POINT (7.7053533 49.4467754)
17053754,49.4584923,7.8034432,3,,,POINT (7.8034432 49.4584923)
17053777,49.4468714,7.7053611,3,,,POINT (7.7053611 49.4468714)
17053791,49.4420931,7.7071555,4,,,POINT (7.7071555 49.4420931)
17053794,49.4466774,7.7056491,3,,,POINT (7.7056491 49.4466774)
17053801,49.4568899,7.7973545,3,,,POINT (7.7973545 49.4568899)
17053806,49.4604132,7.8013025,3,,,POINT (7.8013025 49.4604132)
17053808,49.4575853,7.8044477,3,,,POINT (7.8044477 49.4575853)
17053843,49.4577652,7.8042868,3,,,POINT (7.8042868 49.4577652)
17053854,49.4576516,7.8045487,3,,,POINT (7.8045487 49.4576516)
20630330,49.4525565,7.8232944,3,16b,motorway_junction,POINT (7.8232944 49.4525565)
27304730,49.448956,7.703849,3,,,POINT (7.703849 49.448956)
27304743,49.4482401,7.7054447,3,,,POINT (7.7054447 49.4482401)
27304752,49.4380952,7.7104806,3,,,POINT (7.7104806 49.4380952)
27304757,49.4373113,7.7064292,3,,,POINT (7.7064292 49.4373113)
27304761,49.4386828,7.7160739,4,,,POINT (7.7160739 49.4386828)
27304772,49.4377809,7.7233057,3,,,POINT (7.7233057 49.4377809)
27304780,49.4394497,7.7383979,3,,,POINT (7.7383979 49.4394497)
27304790,49.4415128,7.7443161,5,,,POINT (7.7443161 49.4415128)
27304811,49.44211,7.7446702,5,,,POINT (7.7446702 49.44211)
27304813,49.4429883,7.7449441,3,,,POINT (7.7449441 49.4429883)
27304911,49.4523561,7.7870511,3,,,POINT (7.7870511 49.4523561)
27304942,49.4594736,7.8038447,3,,,POINT (7.8038447 49.4594736)
27304967,49.4304132,7.6688346,3,,,POINT (7.6688346 49.4304132)
27304969,49.4295798,7.6642742,3,,,POINT (7.6642742 49.4295798)
27304972,49.4293,7.6627425,3,,,POINT (7.6627425 49.4293)
27304974,49.4291626,7.6620054,3,,,POINT (7.6620054 49.4291626)
27304977,49.4299637,7.6616423,3,,,POINT (7.6616423 49.4299637)
27305738,49.4285614,7.6587962,3,,,POINT (7.6587962 49.4285614)
27306998,49.4261678,7.7494591,4,,,POINT (7.7494591 49.4261678)
35351750,49.4402646,7.6491943,3,14,motorway_junction,POINT (7.6491943 49.4402646)
35351751,49.4409512,7.6517914,3,,,POINT (7.6517914 49.4409512)
35351759,49.4403229,7.6529237,4,,,POINT (7.6529237 49.4403229)
49498867,49.443549,7.8198655,4,,,POINT (7.8198655 49.443549)
