element_type,osmid,barrier,geometry,amenity,name,website,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,contact:email,contact:fax,contact:phone,operator,religion,opening_hours,nodes,building:levels,building:part,roof:levels,roof:shape,wikidata,wikipedia,phone,old_name,wheelchair:description,short_name,toilets:wheelchair,fax,landuse,addr:country,building,contact:website,isced:level,addr:suburb,email,grades,ways,type
node,6807593601,,POINT (7.8028706 49.4576836),school,Prof. König und Leiser Schulen,http://www.koenigleiserschulen.de,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6808451077,,POINT (7.6894564 49.4666505),school,Paul-Gerhardt-Schule,http://www.pgs-kl.de,,Kaiserslautern,14,67661,Finkenstraße,info@pgs-kl.de,+49 6301-7997760,+49 6301-7997759,Trägerschaft des Christlichen Schulvereins Kaiserslautern e.V.,christian,,,,,,,,,,,,,,,,,,,,,,,,
node,10689392012,,POINT (7.7729834 49.4473739),school,IQ+ Privates Lehrinstitut,https://www.nachhilfe-iqplus.de/,,,,,,,,,Helga Kuntz,,Mo-Fr 13:00-19:00,,,,,,,,,,,,,,,,,,,,,,,
way,30657225,,"POLYGON ((7.7653578 49.4707075, 7.765295 49.4706996, 7.7651738 49.4706845, 7.7652718 49.4703454, 7.7654575 49.4703679, 7.7654451 49.4704112, 7.7654361 49.470443, 7.7654123 49.4705235, 7.7653578 49.4707075))",school,Grundschule Morlautern,,,Kaiserslautern,44,67659,Otterberger Straße,,,,,,,"[339041152, 10556333187, 1771324834, 339041155, 339041153, 1038169366, 1038169918, 10556966214, 339041152]",2,yes,0.25,gabled,,,,,,,,,,,,,,,,,,
way,103144845,,"POLYGON ((7.763421 49.4414017, 7.7634537 49.4414086, 7.7636426 49.441452, 7.7641649 49.4415635, 7.7642193 49.4414691, 7.764258 49.4414016, 7.7642031 49.4413862, 7.7642769 49.4412611, 7.7643282 49.4412743, 7.7643566 49.441226, 7.76386 49.4410659, 7.7637856 49.4410416, 7.7637834 49.4410294, 7.7636111 49.4409689, 7.763421 49.4414017))",school,Röhmschule,http://www.schulen-kl.de/roehmschule/,no,,,,,,,,,,,"[1190960098, 1190957073, 1190960005, 1190956947, 1190960178, 1190957699, 1190957140, 1190958090, 1190957345, 1190959752, 10814971234, 10814971235, 10814971232, 1190957024, 1190960098]",,,,,Q2179425,de:Röhmschule,,,,,,,,,,,,,,,,
way,103521277,fence,"POLYGON ((7.7482274 49.4379631, 7.7495303 49.4382251, 7.7497539 49.4382908, 7.7499373 49.4383615, 7.7500793 49.4384441, 7.7505303 49.4387418, 7.7507778 49.4389209, 7.7511174 49.4391944, 7.7510869 49.4393176, 7.7511213 49.4393525, 7.7511836 49.4393726, 7.7512699 49.4393726, 7.7510959 49.4395395, 7.7510303 49.4396273, 7.7509929 49.4396585, 7.7509044 49.4395919, 7.7508178 49.4395356, 7.7477839 49.4385723, 7.7479736 49.4383388, 7.7482274 49.4379631))",school,Hohenstaufen-Gymnasium,https://www.hsg-kl.de/,,,,,,,,,,,,"[1195277892, 1211835667, 1195277668, 1207161158, 1195277120, 1195276925, 1195277148, 1195278941, 1195278590, 1195277489, 1195277290, 1195276879, 4966866900, 1195276687, 1195277236, 1195277637, 1195277478, 1195277018, 1211836638, 1195277892]",,,,,,,+49 631 370233,,,,,,,,,,,,,,,
way,104122114,,"POLYGON ((7.7735116 49.4397702, 7.7735703 49.4396349, 7.7737199 49.4392897, 7.7745238 49.439435, 7.774529 49.4394225, 7.7745806 49.4392905, 7.7751472 49.4394005, 7.7752332 49.4395375, 7.7751953 49.4395971, 7.7751038 49.4397977, 7.7750166 49.4397809, 7.7749102 49.4397617, 7.7749262 49.4397288, 7.7746596 49.4396772, 7.7744942 49.4400396, 7.7740425 49.4399559, 7.7740749 49.4398718, 7.7735116 49.4397702))",school,Paul-Münch-Schule,,,,,,,,,,,,,"[1201452302, 1201451861, 1201453156, 1201451767, 1201452770, 1201452446, 1201451825, 1201453593, 1201452133, 10867020970, 10867020968, 10867020966, 10867020965, 10867020964, 1201451317, 1201452675, 1201452017, 1201452302]",,,,,,,,,,,,,,,,,,,,,,
way,104241052,,"POLYGON ((7.7764546 49.4403957, 7.7766148 49.4404138, 7.7772073 49.4404879, 7.7776629 49.4404602, 7.7776821 49.4403754, 7.7778351 49.4403936, 7.7779643 49.440409, 7.778091 49.4399652, 7.7766734 49.4396992, 7.7764546 49.4403957))",school,Lina-Pfaff-Realschule Plus,http://lina-pfaff.de,,Kaiserslautern,75,67655,Friedrichstraße,,,,,,,"[1202919352, 1202918815, 1202919710, 1202918694, 1202918643, 1202919427, 1202919647, 1202919130, 1202919637, 1202919352]",,,,,,,,,,,,,,,,,,,,,,
way,105580969,,"POLYGON ((7.7642544 49.4440878, 7.7624214 49.4435658, 7.7625947 49.4431755, 7.7643931 49.4433882, 7.7642544 49.4440878))",school,St.-Franziskus-Gymnasium und -Realschule,http://www.st-franziskus.region-kl.de,yes,,,,,,,,,,,"[1215824059, 1215824038, 1215823416, 1215824277, 1215824059]",,,,,,,,,,,,,,,,,,,,,,
way,105580993,,"POLYGON ((7.7668215 49.4464227, 7.766402 49.4464006, 7.7660583 49.4465458, 7.7646531 49.4466181, 7.7645779 49.4460787, 7.7653939 49.4458766, 7.7665953 49.4455774, 7.7667657 49.4459089, 7.7668046 49.446075, 7.7668215 49.4464227))",school,Burggymnasium,https://burg-kl.de/,limited,,,,,,,,,,,"[1215823963, 1215822920, 1215823667, 1215824055, 1215823474, 1215824335, 1215823727, 1215823124, 1290176378, 1215823963]",,,,,Q21040590,,+49 631 371630,Höhere Weibliche Bildungsanstalt,"Schulbibliothek, Kunstsäle und Testlabors nicht mit Rollstuhl erreichbar",,,,,,,,,,,,,
