element_type,osmid,amenity,community_centre,name,geometry,opening_hours,phone,website,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,toilets:wheelchair,wheelchair,check_date,operator,check_date:opening_hours,club,name:en,opening_hours:signed,addr:place,nodes,alt_name,name:etymology:wikidata,wikidata,wikipedia,building,community_centre:for,wheelchair:description,short_name,denomination,operator:type,survey:date,religion,roof:colour,roof:shape,fax,internet_access,internet_access:fee,smoking,social_facility,social_facility:for,description,contact:phone
node,378251195,community_centre,cultural_centre,Kulturhalle,POINT (8.2261972 49.9576551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4581750308,community_centre,,Stadtteiltreff Gonsenheim,POINT (8.2085626 50.0082238),Mo-Th 14:00-17:00,+49 6131 687501,http://www.stadtteiltreff-gonsenheim.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4794842223,community_centre,,Römerquellen-Treff,POINT (8.1764964 49.9957688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5141243660,community_centre,,Stadtteilbüro,POINT (8.2555171 50.0123736),"""nach Vereinbarung unter +49 6131 12 41 15""",+49 6131 60 29 840,https://www.soziale-stadt-mainz.de/,Mainz,DE,35,55118,Sömmerringstraße,silke.maurer@stadt.mainz.de,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5247961442,community_centre,,Jugendzentrum Lionhof,POINT (8.1460624 49.9724933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5658590294,community_centre,meeting_room,Tagungshaus Maria Frieden,POINT (8.2764568 49.9973955),,,https://www.bks-mainz.de/tagungshaus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6662682216,community_centre,club_home,SV 1919 Gonsenheim,POINT (8.2008769 50.0067582),,,https://sv-gonsenheim.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6771470296,community_centre,,Quartiersräume,POINT (8.2545427 50.0093222),"""Quartiersräumen sind nach Vereinbarung vergeben""",,,Mainz,,2,55118,Scheffelstraße,,,,2023-06-04,Landeshauptstadt Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6782489250,community_centre,,F.G. Meenzer Herzjer e.V.,POINT (8.2519204 50.0145572),Sa 18:00-22:00,,http://www.meenzerherzjer.de/,Mainz,,19,55118,Moselstraße,meenzerherzjer@yahoo.de,,,,,2023-06-03,carnival,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8819938217,community_centre,,"Freikirche der Siebenten-Tags-Adventisten, Adventgemeinde Mainz",POINT (8.2792381 49.9910168),Sa 10:00-12:00,,https://mainz.adventist.eu/,,,,55131,,kontakt@adventgemeinde-mainz.de,,,,,,,Seventh-day Adventist Church,,,,,,,,,,,,,,,,,,,,,,,,,
node,9366300842,community_centre,,"Fanfarenzug ""Die Lerchen"" e.V.",POINT (8.253479 50.0008829),,,,Mainz,,1,55122,Johann-Maria-Kertell-Platz,,,,,,,carnival,,no,,,,,,,,,,,,,,,,,,,,,,,,
