element_type,osmid,amenity,authentication,authentication:debit_card,authentication:membership_card,authentication:money_card,authentication:nfc,authentication:none,capacity,capacity:car,motorcar,name,operator,payment:none,geometry,access:conditional,amperage,bicycle,capacity:cars,fee,opening_hours,payment,scooter,socket:schuko,socket:type2,source,truck,voltage,payment:notes,authentication:app,parking:fee,payment:paypal,payment:token,ref,socket:type2:output,operator:wikidata,operator:wikipedia,payment:cash,payment:credit_cards,socket:chademo,socket:chademo:output,socket:type2_combo,socket:type2_combo:output,access,description,payment:mastercard,payment:visa,contact:website,network,payment:cards,brand,brand:wikidata,brand:wikipedia,survey:date,socket:device:USB-A,ref:EU:EVSE,level,covered,check_date:capacity
node,2212059621,charging_station,no,no,no,no,no,no,10,2,yes,Stromtankstelle,Stadtwerke Mainz / Daimler,yes,POINT (8.2341633 49.9658393),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2621567385,charging_station,"""in-person @ the reception desk""",,,,,,,,yes,Stromtankstelle (Parkplatz Möbel Martin),Möbel Martin,,POINT (8.2544201 49.9480417),"permissive @ ""if available""",63;16,yes,3,no,Mo-Fr 10:00-20:00; Sa 09:30-20:00,no,yes,3,3,local_survey,no,400;230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2689516588,charging_station,,,ChargeNow,,,,2,2,yes,,ChargeNow,,POINT (8.28167 49.9724913),,32,no,,,,interval,no,,2,,no,400,free of charge within opening hours (simply ask staff for their corporate membership card…)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2769150772,charging_station,,,ChargeNow,,,,2,2,yes,,,,POINT (8.2820265 49.9725911),,32,no,,,,interval,no,,2,,no,400,free of charge within opening hours (simply ask staff for their corporate membership card…)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5074002866,charging_station,,,yes,,yes,,2,,,,Mainzer Stadtwerke / innogy,,POINT (8.2770257 49.9996772),,32A,,,yes,,,,,2,,,400,,yes,no,yes,yes,BB-9583-5,22kw,,,,,,,,,,,,,,,,,,,,,,,,
node,5074011547,charging_station,,,yes,,yes,,2,,,,Mainzer Stadtwerke / innogy,,POINT (8.2765661 49.9963527),,32A,,,yes,,,,,2,,,400,,yes,no,yes,yes,,22kw,,,,,,,,,,,,,,,,,,,,,,,,
node,5395984623,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2658793 50.0029093),,,,,,,,,,,,,,,,,,,,,Q15848847,de:Mainzer Stadtwerke,,,,,,,,,,,,,,,,,,,,,,
node,5804900251,charging_station,,,,,,,2,,,,Allego,,POINT (8.2288589 49.9686162),,,,,,,yes,,,1,,,,,,no,,,,43 kW,Q75560554,,no,no,1,50 kW,1,50 kW,,,,,,,,,,,,,,,,
node,6153407746,charging_station,,,yes,,yes,,2,,,,Mainzer Stadtwerke / innogy,,POINT (8.27639 49.998866),,32A,,,yes,,,,,2,,,400,,yes,no,yes,yes,,22kw,,,,,,,,,,,,,,,,,,,,,,,,
node,6182222716,charging_station,,,yes,,,,2,,yes,,UrStromMobil,,POINT (8.2500554 50.0016686),,,no,,,,,,,2,,,,,,,,,,,,,,,,,,,private,"Dies ist eine nicht-öffentliche Ladesäule für die exklusive Nutzung durch UrStromMobil, e-Carsharing in Bürgerhand.",,,,,,,,,,,,,,
node,6337306618,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2612146 50.0028675),,,,,,24/7,,,,,,,,,,,,,BC-9945-9 / BC-9944-2,,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,,,,,,,,,,,,
node,6337418614,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2638989 50.0063556),,,,,,24/7,,,,,,,,,,,,,,,Q15848847,de:Mainzer Stadtwerke,,,,,,,,,,,,,,,,,,,,,,
node,6380860657,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2469861 49.9995961),,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6398598680,charging_station,,,,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.280421 49.9599838),,,,,,24/7,,,,,,,,,,,,,BC-9925-2/BC-9924-6,,Q15848847,de:Mainzer Stadtwerke,,,,,,,,,yes,yes,,,,,,,,,,,,
node,6445100682,charging_station,,,yes,,,,2,,yes,,Mainzer Stadtwerke,,POINT (8.2524064 50.0096216),,,,,yes,24/7,,,,2,,,,,no,,yes,,DE*ISE*E0004787;DE*ISE*E0004788,22 kW,Q15848847,de:Mainzer Stadtwerke,no,,,,,,,,yes,yes,https://www.mainzerenergie.de/de/Privatkunden/Elektromobilitaet/oeffentliche-Ladeinfrastruktur/,,,,,,,,,,,
