element_type,osmid,geometry,wheelchair,nodes,building,building:levels,layer,name,ref,roof:levels,roof:material,roof:shape,addr:city,addr:housenumber,addr:postcode,addr:street,start_date,source:geometry,nohousenumber,addr:country,ways,building:colour,type
way,23660418,"POLYGON ((8.2731909 49.9936333, 8.273308 49.9935498, 8.2739657 49.9939309, 8.2738485 49.9940144, 8.2731909 49.9936333))",yes,"[267037520, 530678311, 256344376, 256344379, 267037520]",civic,2,1,Bau B,B,2,slate,hipped,,,,,,,,,,,
way,23660419,"POLYGON ((8.2742185 49.9926006, 8.2744437 49.992443, 8.274909 49.9927179, 8.2749798 49.9926683, 8.2751276 49.9927556, 8.2750583 49.9928041, 8.2755368 49.9930868, 8.2753156 49.9932416, 8.2750771 49.9931007, 8.2751138 49.9930751, 8.2744915 49.9927075, 8.2744494 49.992737, 8.2742185 49.9926006))",yes,"[256344382, 256344387, 5409849232, 5409849234, 5409849235, 5409849233, 256344384, 256344389, 5409849230, 5409849231, 5409849229, 5409849228, 256344382]",civic,2,1,Bau C,C,2,slate,hipped,,,,,,,,,,,
way,23660420,"POLYGON ((8.2732556 49.9933982, 8.2739103 49.9929272, 8.2741412 49.9930599, 8.2740048 49.993158, 8.2739287 49.9931144, 8.2737368 49.9932524, 8.2735296 49.9934015, 8.2735913 49.993437, 8.2734723 49.9935227, 8.2734005 49.9934814, 8.2732556 49.9933982))",yes,"[267037524, 267037523, 5409849244, 722281505, 722281508, 1671672824, 722281510, 722281511, 256344397, 999913786, 267037524]",civic,3,1,Bau E,E,1,slate,hipped,,,,,,,,,,,
way,23660421,"POLYGON ((8.271857 49.9933, 8.27245 49.9930245, 8.2727143 49.9932597, 8.2725898 49.9933176, 8.2724142 49.9931613, 8.27207 49.9933212, 8.272233 49.9934661, 8.2721087 49.9935239, 8.271857 49.9933))",,"[256344410, 256344407, 256344403, 256344413, 256344420, 256344418, 256344415, 256344405, 256344410]",civic,,1,Bau F / Franz Adam Landvogt-Haus,,,,,Mainz,1 F,55131,Zitadelle,,,,,,,
way,24163934,"POLYGON ((8.2568916 49.9988311, 8.2568513 49.9988504, 8.2568307 49.998829, 8.2566869 49.9988682, 8.256731 49.9989057, 8.2566985 49.9989235, 8.2568539 49.9990647, 8.2568913 49.9990975, 8.2569448 49.9991395, 8.2570737 49.9992266, 8.2571288 49.9992609, 8.2572439 49.999185, 8.2571907 49.9991517, 8.2571385 49.9991158, 8.2571838 49.999089, 8.2568916 49.9988311))",,"[261732432, 8766147821, 8766147820, 8766147819, 8766147818, 261732433, 2123886668, 4161979301, 8766147822, 4568215622, 261732434, 255329989, 4568215623, 4568205911, 2123886669, 261732432]",civic,6,,,,0,,flat,,,,,2008,,,,,,
way,24334416,"POLYGON ((8.2738409 49.9926007, 8.2738122 49.9926214, 8.2738621 49.9926499, 8.273912 49.9926784, 8.2743907 49.9923322, 8.2743541 49.9923113, 8.274291 49.9922752, 8.2740551 49.9924458, 8.2738409 49.9926007))",yes,"[263985219, 6466230217, 5409849237, 263985220, 263985221, 5409849236, 263985222, 5409849238, 263985219]",civic,1,1,Bau D,D,1.5,slate,mansard,,,,,,HiRes aerial imagery,,,,,
way,24379762,"POLYGON ((8.2695123 50.0065805, 8.2696606 50.006655, 8.2702895 50.0061439, 8.2701357 50.0060663, 8.2695123 50.0065805))",,"[5426099267, 5426099268, 5426139073, 4729079055, 5426099267]",civic,1,,,,,,,,,,,,,,,,,
way,155183078,"POLYGON ((8.2341771 49.9855215, 8.2341289 49.9854922, 8.2341079 49.9855065, 8.2340078 49.9854457, 8.2340737 49.9854009, 8.2340918 49.9854119, 8.2341953 49.9853414, 8.2343255 49.9854205, 8.2341771 49.9855215))",,"[1676015095, 1676015093, 1676015094, 1676015091, 1676015087, 1676015088, 1676015085, 1676015089, 1676015095]",civic,1,,,,,,,,,,,,,,,,,
way,238732219,"POLYGON ((8.2514816 50.0110348, 8.2515955 50.0111336, 8.251179 50.0113319, 8.2511243 50.0112845, 8.2510926 50.0112996, 8.2508404 50.0110808, 8.2509795 50.0110146, 8.2511808 50.0111893, 8.2513959 50.0110869, 8.2513716 50.0110658, 8.2513751 50.0110366, 8.2513961 50.0110231, 8.2514601 50.0110291, 8.2514816 50.0110348))",,"[2465279303, 2465279308, 2465279312, 2465279310, 2465279311, 2465279300, 2465279298, 2465279309, 2465279307, 2465279306, 2465279304, 2465279301, 2465279302, 2465279303]",civic,4,,,,1,,,Mainz,5,55118,Moltkestraße,,,,,,,
way,238732232,"POLYGON ((8.2527027 50.0110287, 8.2528779 50.0109481, 8.2527457 50.0108294, 8.2525704 50.01091, 8.2527027 50.0110287))",,"[2465279299, 2465279295, 2465279290, 2465279294, 2465279299]",civic,,,,,,,,,,,,,,yes,,,,
way,240363925,"POLYGON ((8.2427788 49.9825836, 8.2430188 49.9826454, 8.2430736 49.9825574, 8.2428337 49.9824955, 8.2427788 49.9825836))",,"[2481078707, 2481078719, 7187562258, 2481078695, 2481078707]",civic,,,,,,,,Mainz,13,55128,Dantestraße,,,,DE,,,
way,563621452,"POLYGON ((8.2748284 49.993755, 8.2748947 49.993708, 8.2748486 49.9936811, 8.2751814 49.9934451, 8.2752242 49.9934143, 8.2752637 49.9933859, 8.2754963 49.9935196, 8.2753951 49.9935924, 8.2753608 49.9936174, 8.2752947 49.9936653, 8.275216 49.9937216, 8.2751863 49.9937426, 8.2750822 49.9938164, 8.2750153 49.9938639, 8.2748284 49.993755))",,"[5431172689, 5431172688, 263985084, 5046399270, 6466230224, 5409849257, 5409849226, 5409849225, 325235720, 5046399269, 4131576271, 5409849223, 5409849224, 5431172690, 5431172689]",civic,3,,Bau A / Kommandantenbau,A,2,,hipped,,,,,1696,,,,,,
relation,8040865,"POLYGON ((8.2697742 50.0062291, 8.2700731 50.0059893, 8.2696996 50.0057969, 8.2694007 50.0060367, 8.2697742 50.0062291), (8.2697183 50.0059266, 8.2698735 50.006005, 8.2697511 50.0061051, 8.2695959 50.0060268, 8.2697183 50.0059266))",,"[[[5426139072, 5426139081, 4729079056, 5426102387, 5426139072], [5426139082, 5426139083, 5426139084, 5426139085, 5426139082]]]",civic,2,,,,,,,,,,,,,,,"[562959847, 562959848]",white,multipolygon
