element_type,osmid,geometry,amenity,wheelchair,brand,brand:wikidata,brand:wikipedia,check_date,name,operator,ref,website,fee,source,layer,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,shop,note,check_date:opening_hours,opening_hours,addr:suburb,level,survey:date,nodes,building,building:levels,roof:levels,roof:shape,unimainz:buildingId,phone,short_name,wikidata,wikimedia_commons,wikipedia,opening_hours:signed,toilets,smoking,building:material,height,branch,roof:colour,email,alt_name,company,office,leisure,not:brand:wikidata,description,official_name,source:geometry,healthcare,healthcare:speciality,opening_hours:covid19,toilets:wheelchair,cuisine,takeaway,contact:phone,contact:website,url,nohousenumber,gambling,building:colour,craft,source:position,note:de,start_date,addr:housename,second_hand,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:inspection,noaddress,outdoor_seating,diet:vegan,diet:vegetarian,roof:material,source_date,atm,source:date,social_facility:for,trade,delivery,drive_through,fax,disused:amenity,cafe,fuel:diesel,fuel:octane_95,fuel:octane_98,contact:fax,fixme,housename,seasonal,commercial,location,construction,opening_date,roof:type,ways,type
way,23578481,"POLYGON ((8.2569886 49.9996242, 8.2570881 49.9996786, 8.2570559 49.9996995, 8.2571452 49.9997567, 8.2571574 49.9997488, 8.2573751 49.9998901, 8.2574112 49.9999135, 8.2576171 49.9998081, 8.2576857 49.9998582, 8.2577105 49.9998743, 8.2577544 49.9998512, 8.2578963 49.9997878, 8.2580831 49.9997026, 8.2580203 49.9996625, 8.258059 49.9996374, 8.2572735 49.9991585, 8.2572439 49.999185, 8.2571288 49.9992609, 8.2571057 49.9992721, 8.2573128 49.9994022, 8.2572938 49.9994199, 8.2569886 49.9996242))",,yes,,,,,,,,,,,,,,,,,,,,,,,,"[255329984, 1836665479, 1836665482, 1836665488, 1836665486, 4161552592, 255329985, 263676589, 255329986, 1836665494, 255329987, 4161566997, 1836665483, 1836665477, 255329988, 4568205910, 255329989, 261732434, 8766147823, 255329991, 664302793, 255329984]",commercial,6,0,flat,9183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23578482,"POLYGON ((8.2565931 50.0014831, 8.2569609 50.0016246, 8.2573889 50.0011652, 8.2575917 50.0012432, 8.2578061 50.0010131, 8.2575247 50.0009048, 8.2575848 50.0008403, 8.2575012 50.0008081, 8.2572959 50.0007291, 8.2569114 50.0011419, 8.2568323 50.0011114, 8.2567245 50.001227, 8.2568034 50.0012574, 8.2565931 50.0014831))",,,,,,,Postbetriebshof,,,,,,,,,,,,,,,,,,,"[255329993, 255329994, 255329995, 255329996, 255329997, 255329998, 255329999, 4381972749, 4381972748, 5800557796, 5800557797, 5800557798, 5800557795, 255329993]",commercial,3,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23597782,"POLYGON ((8.2361366 50.0228773, 8.2355252 50.0223857, 8.2352709 50.0221811, 8.2344873 50.0225833, 8.2349086 50.0229221, 8.2347035 50.0230274, 8.2351479 50.0233848, 8.2361366 50.0228773))",,,,,,,,,,,,,,Mainz,DE,179,55120,Rheinallee,,,,,,,,"[255556357, 4406982723, 255556359, 255556360, 255556361, 255556362, 255556363, 255556357]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23645721,"POLYGON ((8.2750966 50.0024139, 8.2751416 50.0024282, 8.276099 50.002708, 8.2761631 50.0026196, 8.2763546 50.0023481, 8.2767143 50.0018377, 8.2767251 50.001822, 8.2767171 50.0018192, 8.2767379 50.0017938, 8.2768174 50.001693, 8.2767293 50.0016663, 8.2766745 50.0017296, 8.27663 50.0017182, 8.2766497 50.0016883, 8.2764172 50.00162, 8.276222 50.0015626, 8.2760553 50.0015136, 8.2758663 50.0014581, 8.2758515 50.0014776, 8.2758238 50.001516, 8.2757982 50.0015583, 8.27569 50.0017052, 8.2756435 50.0016928, 8.2755025 50.0018932, 8.27547 50.001884, 8.2750966 50.0024139))",conference_centre,yes,,,,,Rheingoldhalle,,,https://www.mainz-congress.com/locations/rheingoldhalle/,,,1,Mainz,,66,55116,Rheinstraße,,,,,,,,"[256169389, 1462340004, 256169390, 1462340007, 2546187924, 1968423210, 1671133422, 1671133389, 1462339996, 1671133372, 256169218, 1671133384, 1671133380, 1671133366, 263027978, 1968423209, 263027865, 256169392, 1671133357, 4440400372, 10577183827, 1671133375, 1671133369, 1671133430, 1671133426, 256169389]",commercial,3,,,,+49 6131 2420,RGH,Q2147676,Category:Rheingoldhalle Mainz,de:Rheingoldhalle (Mainz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24094183,"POLYGON ((8.2474571 50.0014681, 8.2481607 50.0015095, 8.2482554 50.0010131, 8.2480404 50.0009989, 8.2480631 50.0008598, 8.2480963 50.0006569, 8.2483111 50.0006709, 8.2483667 50.000271, 8.2476409 50.0002266, 8.2476244 50.0004139, 8.2476117 50.0004747, 8.2475602 50.0005796, 8.2475001 50.0006678, 8.2474574 50.0007727, 8.247461 50.0008885, 8.2474781 50.0010099, 8.2475047 50.0011145, 8.2474571 50.0014681))",,yes,,,,2022-04-14,King-Park-Center,,,,,,,,,,,,mall,,,,,,,"[261237527, 261237529, 261237530, 261237531, 9526622821, 261237532, 261237533, 261237536, 261237537, 261237539, 261237540, 261237541, 261237543, 261237544, 261237545, 261237546, 261237547, 261237527]",commercial,5,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24159159,"POLYGON ((8.2403468 49.9677051, 8.2407422 49.9679928, 8.2413762 49.9676324, 8.2409808 49.9673447, 8.2403468 49.9677051))",,,,,,,,,,,,yahoo sat,,Mainz,DE,15,55128,Am Schleifweg,,,,,,,,"[155446811, 155446814, 155446821, 155446826, 155446811]",commercial,2,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24317231,"POLYGON ((8.2663791 50.0026906, 8.2662499 50.0025628, 8.2662322 50.0025705, 8.2661537 50.0026048, 8.2661283 50.0025798, 8.2660828 50.0025989, 8.265998 50.0025132, 8.2658669 50.0023806, 8.2657048 50.0022129, 8.2652708 50.0023736, 8.2658108 50.002924, 8.2663791 50.0026906))",,,,,,,Mainzer Volksbank,,,,,Bing,,,,,,,,,,,,,,"[263676095, 263676096, 4518749743, 4518749744, 263676097, 4518749745, 4518749739, 1290777170, 263676098, 263676099, 263676100, 263676095]",commercial,4,1,quadruple_saltbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24348997,"POLYGON ((8.2822838 49.9932718, 8.2821248 49.9934492, 8.2820104 49.9935768, 8.2819025 49.993689, 8.2817985 49.9937972, 8.2816759 49.993922, 8.2814829 49.9941185, 8.2814339 49.9941648, 8.2812742 49.9943158, 8.2808789 49.9946777, 8.2807262 49.9948292, 8.2807664 49.9949035, 8.2808129 49.9949865, 8.2810278 49.9947907, 8.2811082 49.9948232, 8.2811874 49.9948614, 8.2809953 49.9950604, 8.2809424 49.9951152, 8.2811707 49.9952122, 8.2818588 49.9945231, 8.2817576 49.9944491, 8.281591 49.9944172, 8.2814599 49.9943623, 8.2815248 49.9942979, 8.2818646 49.994412, 8.2819694 49.994309, 8.2816527 49.9941738, 8.281767 49.9940578, 8.2821093 49.9941697, 8.28221 49.9940705, 8.2818827 49.993937, 8.282001 49.9938209, 8.2823465 49.9939277, 8.2824421 49.9938244, 8.282117 49.9936938, 8.2822254 49.9935781, 8.2825759 49.9936807, 8.2826702 49.9935759, 8.2823992 49.9934772, 8.2825124 49.9933509, 8.2827739 49.9934241, 8.2827007 49.9935105, 8.2827997 49.9935476, 8.2829668 49.9933524, 8.282573 49.9932134, 8.2825826 49.9932009, 8.2824884 49.9931705, 8.2824662 49.9931958, 8.2824591 49.9931926, 8.2824522 49.9931895, 8.2824657 49.9931715, 8.2824197 49.9931568, 8.2823955 49.9931507, 8.2822838 49.9932718))",,,,,,,,,,,,,,Mainz,,2,55116,Rheinstraße,,,,,,,,"[1619248566, 2572601063, 264138764, 2572601064, 1156153027, 4295221665, 264138766, 2572601066, 264138767, 697205564, 264138651, 5351764716, 264138652, 1400997896, 2572601037, 1400997854, 5830719283, 1400997863, 1400997890, 1400997864, 5829608938, 1619248571, 1400997869, 264138653, 264138654, 264138655, 264138745, 264138746, 264138747, 264138748, 264138749, 264138750, 264138751, 264138752, 264138753, 264138754, 264138755, 264138756, 264138757, 264138758, 1619248567, 1619248569, 264138759, 264138760, 1619248565, 1619248564, 1619248560, 1619248563, 2572601061, 1619248562, 1619248561, 1619248558, 264138761, 1619248566]",commercial,4.7,,flat,,,,,,,,,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24349034,"POLYGON ((8.2825697 49.9929286, 8.2831413 49.9931309, 8.2832786 49.992996, 8.282864 49.9928498, 8.2829251 49.9927579, 8.2836612 49.9926827, 8.283776 49.9925371, 8.2828092 49.9926223, 8.2825697 49.9929286))",,,,,,,,,,,,,,Mainz,,2a,55116,Rheinstraße,,,,,,,,"[264139001, 264139002, 264139003, 264139004, 264139005, 264139006, 264139007, 264139008, 264139001]",commercial,5,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29495330,"POLYGON ((8.2759775 49.9943654, 8.2759335 49.9943627, 8.2758736 49.9943694, 8.2758359 49.9943887, 8.275809 49.994413, 8.2757954 49.9944515, 8.2758058 49.994487, 8.2758359 49.9945143, 8.2758914 49.9945359, 8.2759335 49.9945403, 8.275964 49.9945381, 8.2760074 49.9945222, 8.2760409 49.9945691, 8.2760334 49.9945827, 8.2760201 49.994574, 8.2760043 49.9945875, 8.2762941 49.994674, 8.2771639 49.9941375, 8.2768587 49.9940739, 8.2765501 49.9940132, 8.2759775 49.9943654))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1615818241, 1615818240, 1615818244, 1615818263, 1615818265, 1615818266, 1615818267, 1615818270, 1615818293, 1615818295, 1615818294, 1615818288, 1615818297, 1615818298, 325130418, 325130420, 325130414, 325130415, 325130416, 325130417, 1615818241]",commercial,5,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35573535,"POLYGON ((8.2458694 49.9956787, 8.245948 49.995609, 8.2459924 49.995631, 8.2460827 49.9955539, 8.2462001 49.9956107, 8.2461098 49.9956878, 8.2464469 49.9958481, 8.2465541 49.9958997, 8.2464687 49.9959722, 8.2464552 49.9959844, 8.2464154 49.9959652, 8.246345 49.9959313, 8.24636 49.9959183, 8.2458694 49.9956787))",,,,,,,,,,,,,,Mainz,DE,1,55128,Jakob-Welder-Weg,,,,,,,,"[5837121436, 5837121437, 5436852521, 5436852526, 5436852525, 5436852524, 5436852320, 416858519, 5436852319, 416858520, 5148468412, 2790458851, 2790458849, 5837121436]",commercial,1,1,hipped,1211,,,,,,,,,stone,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37640331,"POLYGON ((8.2347203 50.015025, 8.2342094 50.0145272, 8.2341861 50.0145222, 8.2341631 50.0145288, 8.2341332 50.0145508, 8.2339514 50.0146805, 8.2340588 50.0147629, 8.2345193 50.0151296, 8.2346143 50.0150802, 8.2346421 50.0150657, 8.2347203 50.015025))",,,,,,,,,,,,,,Mainz,,17-19,55120,Hauptstraße,,,,,,,,"[441265510, 8919641690, 1695183203, 2035842918, 2035842919, 441265512, 1881093005, 441265513, 8919721600, 8919721605, 441265510]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
