element_type,osmid,amenity,name,opening_hours,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,internet_access,website,operator,operator:website,phone,survey:date,nodes,building:levels,building,check_date:opening_hours,description,email,height,internet_access:fee,loc_name,roof:material,roof:shape,wikidata,construction_year,ref:isil,roof:colour,roof:levels,wikipedia,addr:country,ways,alt_name,short_name,type,unimainz:buildingId,wheelchair:description,toilets:wheelchair
node,1735091776,library,Bereichsbibliothek Theologie,Mo-Fr 08:00-22:00;Sa-Su 10:00-22:00,yes,POINT (8.2439021 49.9952772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3009687347,library,Bereichsbibliothek Georg Forster-Gebäude,"Mo-Fr 08:00-24:00, Sa-Su",yes,POINT (8.2408269 49.9948572),Mainz,12,55128,Jakob-Welder-Weg,2023-05-05,wlan,https://www.ub.uni-mainz.de/de/standorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3381691071,library,Bereichsbibliothek ReWi,"Mo-Sa 08:00-22:00, Su 10:00-22:00",,POINT (8.242578 49.993901),,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3840707728,library,"Bereichsbibliothek Mathematik, Informatik und Naturwissenschaften",Mo-Fr 08:00-22:00; Sa-Su 10:00-18:00,yes,POINT (8.2324837 49.9913114),,,,,,,https://www.ub.uni-mainz.de/bereichsbibliothek-physik-mathematik-chemie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5335502435,library,Bücherei,"Su 10:30-12:30; Tu,Fr 15:30-17:30",,POINT (8.312284 49.962402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7172750368,library,Bibliotheken der Stadt Mainz - Stadtteilbücherei Gonsenheim,"Mo-Th 15:00-18:30; Tu,Sa 10:00-12:30",,POINT (8.2087767 50.0019594),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7215719707,library,Bereichsbibliothek Katholische und Evangelische Theologie,Mo-Fr 10:00-20:00,yes,POINT (8.2564759 50.0004673),,,,,,,https://www.ub.uni-mainz.de/de/standorte#theologie,Johannes Gutenberg Universität,https://www.ub.uni-mainz.de/de/theologie-religionswissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7796801230,library,Schulbibliothek,,,POINT (8.2654412 50.0075954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7799426227,library,Bücherei DAV Sektion Mainz,"We,Th 18:00-19:30",,POINT (8.2267031 50.0193754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8712285017,library,Bibliotheken der Stadt Mainz - Stadtteilbücherei Mainz-Weisenau,"Tu,Fr 15:00-18:30",,POINT (8.3034734 49.9826605),Mainz,5,55130,Tanzplatz,,terminal,http://www.bibliothek.mainz.de/rubrik4/stadtteilbuechereien.php,Stadt Mainz,,+49 6131 833083,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,
