element_type,osmid,geometry,natural,barrier,name,wheelchair,access,opening_hours,operator,website,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,operator:type,nodes,source,source:position,name:etymology:wikidata,name:etymology:wikipedia,wikidata,wikipedia,landuse,dog,lit,surface,leaf_type,place,note,loc_name,start_date,fixme,ways,type
node,9852869244,POINT (8.2164232 50.0186997),,,Am Roten Berg,,,,Stadt Mainz,,park,,,,,,,,,,,,,,,,,,,,,,,,
node,10839574669,POINT (8.2227332 50.0135951),,,Mombacher TV - Tennisanlage,,,,Mombacher TV,https://www.mtv-tennisabteilung.de/,park,Mainz,1a,55120,Auf der Langen Lein,community,,,,,,,,,,,,,,,,,,,
way,4514821,"POLYGON ((8.2641708 49.9940019, 8.2642343 49.9937642, 8.2644672 49.9937632, 8.264694 49.9933066, 8.2652218 49.9933668, 8.2654753 49.9930952, 8.2659505 49.9931879, 8.2660694 49.9929576, 8.2660739 49.9928889, 8.2660863 49.9928093, 8.2660747 49.9927339, 8.2660387 49.992695, 8.2660073 49.9926575, 8.2645888 49.9923021, 8.2645255 49.9922939, 8.2643477 49.9922822, 8.2617352 49.9935301, 8.2616639 49.9936, 8.2612665 49.993795, 8.2608302 49.9940105, 8.2606907 49.9941518, 8.2607095 49.9943381, 8.2607796 49.994647, 8.2611426 49.9952856, 8.2613758 49.9952292, 8.2616455 49.9951672, 8.2616683 49.9951606, 8.2616938 49.9946907, 8.2626755 49.9947191, 8.2628029 49.9946355, 8.2630702 49.9946663, 8.2631368 49.9946732, 8.2631994 49.9942573, 8.2632544 49.9939106, 8.2634726 49.9939326, 8.2641708 49.9940019))",,,,,,,,,park,,,,,,"[5417199800, 27630471, 2490674196, 27630467, 27630466, 5334521678, 5334521679, 5417225415, 4728576524, 5370019935, 5370019936, 5370019938, 27630463, 5370019940, 5370019939, 27630459, 4728576601, 5370019942, 5334571107, 27630435, 2490674192, 27630443, 27630447, 27630492, 3597296834, 3597296833, 27630490, 27630482, 27630478, 2490674202, 5417199801, 5411673290, 5411686786, 5411686787, 5411686788, 5417199800]",yahoo sat,,,,,,,,,,,,,,,,,
way,23575709,"POLYGON ((8.2556089 50.0109726, 8.2549949 50.0112577, 8.2537678 50.0102676, 8.2548895 50.0096537, 8.2549987 50.0095939, 8.2552733 50.0098091, 8.2554735 50.0097166, 8.255693 50.0096123, 8.2559827 50.0098334, 8.2560666 50.0098234, 8.2561908 50.0099438, 8.2559408 50.0101275, 8.2559156 50.0101416, 8.2559584 50.0103148, 8.2559542 50.0104233, 8.2559091 50.0106037, 8.2557674 50.010811, 8.2556089 50.0109726))",,,Goetheplatz,,,,,,park,Mainz,,55118,Goetheplatz,,"[255307492, 2421199337, 255307484, 7858836345, 255307485, 255307486, 255307487, 255307488, 5863484972, 2421199339, 2421199338, 5635023124, 2421199347, 255307489, 2421199336, 255307490, 255307491, 255307492]",,,,,,,,,,,,,,,,,,
way,23578507,"POLYGON ((8.2510899 50.0129213, 8.2520543 50.0124731, 8.2514478 50.0119189, 8.2513492 50.0119675, 8.2510998 50.0119852, 8.2509234 50.0120314, 8.2507611 50.0121024, 8.2504902 50.0118622, 8.2500893 50.0120479, 8.2510899 50.0129213))",,,Valenciaplatz,,,,,,park,,,,,,"[255330109, 255330110, 255330111, 5863262122, 5863262121, 5863262120, 255330112, 255330113, 255330114, 255330109]",,,,,,,,,,,,,,,,,,
way,23583060,"POLYGON ((8.2620003 50.0023413, 8.2618872 50.0023863, 8.2618675 50.0023657, 8.2614956 50.0025138, 8.2615178 50.0025369, 8.261401 50.0025834, 8.2613544 50.0026022, 8.2615215 50.0027799, 8.2615708 50.0028323, 8.2618059 50.0030637, 8.2619343 50.0031762, 8.262119 50.0032905, 8.262286 50.003386, 8.2623197 50.0033717, 8.2623492 50.0033592, 8.2624024 50.0033367, 8.2626281 50.0032411, 8.2626898 50.003215, 8.2627238 50.0032006, 8.2627398 50.0031938, 8.2626366 50.002967, 8.2625635 50.002843, 8.2622349 50.0024975, 8.2620645 50.0023137, 8.2620003 50.0023413))",,,,,,,,,park,,,,,,"[249332244, 249332243, 249332240, 249332239, 249332238, 249332237, 255380175, 1783958043, 1224439045, 1413508520, 1783663075, 1224439018, 1565061812, 1783958065, 1783958064, 1783958053, 1783958047, 1783958045, 1783958044, 1565061810, 1413508513, 1413508474, 1783958036, 255380173, 249332244]",,HiRes aerial imagery,,,,,,,,,,,,,,,,
way,23658221,"POLYGON ((8.2691236 49.9961765, 8.2692506 49.9962705, 8.2693525 49.9963521, 8.269507 49.9962977, 8.2696042 49.9962522, 8.2696948 49.9962112, 8.2697687 49.9961778, 8.2697909 49.9961395, 8.2696563 49.9960702, 8.2695179 49.9959738, 8.2693736 49.9961234, 8.2691236 49.9961765))",,,Willigisplatz,,,,,,park,,,,,,"[256325685, 4002490413, 256325686, 4002490412, 3087400294, 10967541719, 8317656826, 5356302120, 264522702, 264522701, 3087400293, 256325685]",,,Q77564,de:Willigis,Q15061914,de:Willigisplatz,,,,,,,,,,,,
way,23660131,"POLYGON ((8.270249 49.9911615, 8.2700304 49.9907755, 8.2730266 49.989872, 8.2731124 49.9898638, 8.2733983 49.9902301, 8.270249 49.9911615))",,,,,,,,,park,,,,,,"[256342325, 256342326, 1293129909, 256342327, 256342328, 256342325]",,,,,,,,,,,,,,,,,,
way,24164127,"POLYGON ((8.2652926 50.0058528, 8.265242 50.0058773, 8.2650822 50.0059547, 8.2650045 50.0059923, 8.2649599 50.0060139, 8.2653513 50.0064247, 8.2653859 50.0064814, 8.2654218 50.0065597, 8.2654831 50.0067056, 8.2655551 50.0068585, 8.2655909 50.0069232, 8.2656016 50.0069425, 8.2657347 50.0071252, 8.2658167 50.0072117, 8.2658772 50.0071879, 8.266576 50.0069126, 8.2666311 50.0068908, 8.2665349 50.0067958, 8.2663462 50.0066421, 8.2662943 50.006605, 8.2662763 50.0065922, 8.2661961 50.0065382, 8.26604 50.0064534, 8.2659115 50.0063902, 8.2658742 50.0063718, 8.2657869 50.0063303, 8.2657113 50.0062761, 8.2652926 50.0058528))",,,,,,,,,park,,,,,,"[261733627, 1883676836, 1883676838, 1883676840, 261733628, 261733629, 1883676895, 1883676923, 1883676943, 1883676967, 1883676973, 936583946, 261733630, 1883676981, 5330001551, 5330001568, 1883676976, 261733631, 261733632, 1883676929, 1883676927, 1883676918, 1883676885, 1883676873, 1883676871, 1883676864, 261733633, 261733627]",,HiRes aerial imagery,,,,,,,,,,,,,,,,
way,24164273,"POLYGON ((8.2593921 50.0058587, 8.2604431 50.0054493, 8.2602752 50.0052712, 8.2592241 50.0056806, 8.2593921 50.0058587))",,,Gartenfeldplatz,,,,,,park,,,,,,"[261735124, 261735125, 261735126, 261735127, 261735124]",,,,,Q1494644,de:Gartenfeldplatz,,,,,,,,,,,,
