element_type,osmid,amenity,capacity,geometry,nodes,parking,access,capacity:disabled,capacity:parent,capacity:women,fee,parking_space,smoothness,surface
node,4392718678,parking_space,10,POINT (8.2673846 49.9815518),,,,,,,,,,
way,256841913,parking_space,4,"POLYGON ((8.2688654 49.9568647, 8.2688934 49.9566151, 8.2689446 49.9566175, 8.2689153 49.956868, 8.2688654 49.9568647))","[2624714481, 2624714466, 2624714468, 2624714483, 2624714481]",surface,,,,,,,,
way,256841914,parking_space,10,"POLYGON ((8.2689177 49.9565699, 8.2689458 49.9563203, 8.2690276 49.9563227, 8.2690146 49.9564583, 8.2690035 49.9565749, 8.2689177 49.9565699))","[2624714453, 2624714431, 2624714433, 9516069465, 2624714460, 2624714453]",surface,,,,,,,,
way,256841917,parking_space,10,"POLYGON ((8.2696793 49.9556295, 8.269347 49.9554267, 8.2694314 49.9553695, 8.2697637 49.9555723, 8.2696793 49.9556295))","[2624714429, 2624714421, 2624714419, 2624714423, 2624714429]",surface,,,,,,,,
way,256841918,parking_space,10,"POLYGON ((8.2688271 49.9571538, 8.2688551 49.9569041, 8.2689369 49.9569066, 8.2689128 49.9571587, 8.2688271 49.9571538))","[2624714495, 2624714486, 2624714488, 2624714497, 2624714495]",surface,,,,,,,,
way,407658260,parking_space,1,"POLYGON ((8.2559233 49.995765, 8.2559062 49.9957226, 8.2558771 49.9957324, 8.2558907 49.9957726, 8.2559233 49.995765))","[8829417817, 4096890973, 8829417818, 8829413115, 8829417817]",street_side,yes,no,no,no,no,,,
way,798956129,parking_space,1,"POLYGON ((8.2325571 49.9950678, 8.2325898 49.9950751, 8.232612 49.9950342, 8.2325793 49.9950269, 8.2325571 49.9950678))","[7472238940, 7472238937, 7472238936, 7472238935, 7472238940]",,,,,,,,,
way,798956130,parking_space,1,"POLYGON ((8.2325243 49.9950604, 8.2325571 49.9950678, 8.2325793 49.9950269, 8.2325465 49.9950195, 8.2325243 49.9950604))","[7472238939, 7472238940, 7472238935, 7472238934, 7472238939]",,,,,,,,,
way,798956131,parking_space,1,"POLYGON ((8.2325898 49.9950751, 8.2326224 49.9950825, 8.2326447 49.9950416, 8.232612 49.9950342, 8.2325898 49.9950751))","[7472238937, 7472238959, 7472238958, 7472238936, 7472238937]",,,,,,,,,
way,798956132,parking_space,1,"POLYGON ((8.2325349 49.9951087, 8.2325675 49.995116, 8.2325898 49.9950751, 8.2325571 49.9950678, 8.2325349 49.9951087))","[7472238941, 7472238938, 7472238937, 7472238940, 7472238941]",,,,,,,,,
