element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,denomination,name,phone,religion,service_times,website,wheelchair,geometry,created_by,building,wikidata,wikipedia,alt_name,start_date,source,note,addr:housename,baby_feeding,email,old_name,toilets:wheelchair,level,description,inscription,memorial,opening_hours,nodes,building:architecture,deanery,diocese,heritage,heritage:operator,historic,name:de,name:es,year_of_construction,building:colour,building:levels,height,roof:colour,roof:levels,roof:material,roof:shape,image,architect,architect:wikidata,building:material,fixme,parish,source:heritage,wikimedia_commons,name:fr,short_name,wheelchair:description,roof:orientation,name:en,contact:phone,contact:website,loc_name,roof:height,building:architect,operator,addr:suburb,designation,url,fax,language:it,source_date,air_conditioning,alt_name_1,alt_name_2,name:it,name:pl,internet_access,landuse,name:tr,name:ar,operator:website,name:etymology:wikidata,denomination:de,name:mk,place_of_worship:type,ways,name:ro,type
node,210523935,Mainz,DE,43,55124,Kurt-Schumacher-Straße,place_of_worship,protestant,Freie evengelische Gemeinde Mainz,+49 6131 44926,christian,"Su 09:30,11:15",http://www.feg-mainz.de/,yes,POINT (8.2132718 50.0056337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261742426,,,,,,place_of_worship,,Friedhofskapelle,,christian,,,yes,POINT (8.2020601 50.008589),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,289241840,,,,,,place_of_worship,,Käsbrot-Heiligenhäuschen,,christian,,,,POINT (8.1609038 50.0001889),Potlatch 0.10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,310998506,,,,,,place_of_worship,protestant,Gemeindehaus Frankenhöhe,,christian,,https://www.ekg-hechtsheim.de/,,POINT (8.2872648 49.9667537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,571413108,,,,,,place_of_worship,roman_catholic,Marienkapelle,,christian,,,,POINT (8.2755134 49.9978079),,chapel,Q100724684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,571413109,,,,,,place_of_worship,roman_catholic,St. Bernhard-Kapelle,,christian,,,,POINT (8.2756207 49.997701),,chapel,Q100724682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,735675249,,,,,,place_of_worship,,St. Franziskus,,christian,,,,POINT (8.1868222 49.960878),,,Q2318243,de:St. Franziskus (Mainz-Lerchenberg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1764595857,,,,,,place_of_worship,roman_catholic,St. Anselm Kapelle,,christian,,,,POINT (8.2761784 49.9972292),,,Q100724686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1881079140,Mainz,DE,17-19,55120,Hauptstraße,place_of_worship,pentecostal,Equippers Mainz,+49 6131 9452910,christian,,https://www.mainz.equippers.de/,limited,POINT (8.2339318 50.0150308),,,,,,,,,Gebäude 6329,room,info@mainz.equippers.de,die Basis e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2154486336,,,4,55116,Am Kronberger Hof,place_of_worship,protestant,Mainzer Stadtmission,,christian,,,no,POINT (8.26895 50.0003605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3151527145,Mainz,,1,55122,Am Gonsenheimer Spieß,place_of_worship,protestant,Evangelische Studierendengemeinde (ESG),,christian,,http://www.esg-mainz.de,yes,POINT (8.2449227 49.9973114),,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4564116700,,,,,,place_of_worship,,,,multifaith,,,yes,POINT (8.2013062 50.0215927),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5327912919,,,2,,Bahnhofstraße,place_of_worship,baptist,Freie Baptisten-Gemeinde,,christian,Su 10:30,,no,POINT (8.2627536 50.0008198),,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5340671221,,,,,,place_of_worship,roman_catholic,Katholische Kapelle St. Rochus,,christian,,,,POINT (8.2597074 49.9924926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6146177993,Mainz,,17a,55129,Friedrich-Koenig-Straße,place_of_worship,,Islamischer Kulturverein Mainz e.V.,,muslim,,,,POINT (8.2681242 49.9683941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6146189213,Mainz,,2,55116,Bilhildisstraße,place_of_worship,,IIS-Mainz Moschee,,muslim,,,no,POINT (8.2629437 49.9994007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6743522167,,,,,,place_of_worship,,Trauerort,,multifaith,,,,POINT (8.2779264 49.9960572),,,,,,,,,,,,,,,Ein Trauerort für alle Menschen.,"FÜR ALLE, DIE NICHT AN DIE GRÄBER IHRER ANGEHÖRIGEN UND FREUNDE GEHEN KÖNNEN. FÜR ZUWANDERER, GEFLÜCHTETE UND MENSCHEN IN DER FREMDE. FÜR MENSCHEN ALLER SPRACHEN, KULTUREN UND RELIGIONEN.",stone,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10287980517,,,,,,place_of_worship,,,,christian,,,,POINT (8.2812644 49.9585607),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10834376914,Mainz,,9,55130,Mönchstraße,place_of_worship,,Jehovas Zeugen Königreichssaal,,christian,,,,POINT (8.3043515 49.9822275),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23585374,Mainz,,151-153,55122,Am Fort Gonsenheim,place_of_worship,protestant,Auferstehungsgemeinde,,christian,,,yes,"POLYGON ((8.2476263 50.0047769, 8.2472399 50.0045222, 8.247368 50.0044409, 8.2473875 50.0044247, 8.2474345 50.0043949, 8.2475378 50.0043193, 8.2475934 50.0043476, 8.2476135 50.0043606, 8.2479365 50.0045834, 8.2476263 50.0047769))",,church,Q15106942,,,,,,,,,,,,,,,,"[255402989, 255402992, 1833312491, 1833312391, 1833312440, 255402991, 1833312502, 1833312511, 255402990, 255402989]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23658405,Mainz,DE,,55116,,place_of_worship,roman_catholic,St. Stephan,,christian,,https://st-stephan-mainz.bistummainz.de,limited,"POLYGON ((8.2690353 49.9959146, 8.269029 49.995923, 8.2690412 49.9959239, 8.2690435 49.9959163, 8.2691021 49.995917, 8.269109 49.9959263, 8.2691185 49.9959239, 8.2691107 49.9959142, 8.2691523 49.9958898, 8.2691667 49.9958942, 8.2691705 49.9958885, 8.2691557 49.9958842, 8.2691583 49.9958469, 8.2691716 49.9958424, 8.2691687 49.9958371, 8.2691526 49.995841, 8.2691136 49.9958126, 8.2691503 49.9957901, 8.2691569 49.9957942, 8.2691615 49.9957905, 8.269156 49.9957864, 8.2691976 49.9957617, 8.2692054 49.9957667, 8.2692115 49.995764, 8.2692195 49.9957686, 8.2692536 49.9957686, 8.2692764 49.9957536, 8.269277 49.9957298, 8.2692599 49.9957194, 8.2693096 49.9956888, 8.2693203 49.9956853, 8.2693454 49.995669, 8.2693511 49.9956623, 8.2693664 49.9956521, 8.2693797 49.995661, 8.2694213 49.9956614, 8.2694498 49.9956426, 8.2694501 49.995617, 8.2694363 49.9956079, 8.2694543 49.9955959, 8.2693628 49.9955351, 8.2691136 49.9956927, 8.2690363 49.9956424, 8.2690363 49.9956333, 8.2690215 49.9956332, 8.2690218 49.9956424, 8.2690048 49.9956528, 8.2689464 49.9956134, 8.2689622 49.9956045, 8.2689512 49.9955973, 8.2689365 49.9956065, 8.2688791 49.9955701, 8.2688976 49.9955594, 8.268888 49.9955526, 8.2688826 49.9955561, 8.2688709 49.9955636, 8.2688052 49.9955202, 8.2688229 49.9955097, 8.2688121 49.9955025, 8.2687945 49.9955132, 8.2687515 49.9954856, 8.2687701 49.9954739, 8.2687403 49.995454, 8.2687227 49.9954658, 8.268705 49.9954547, 8.2686935 49.9954618, 8.2687132 49.9954737, 8.2686639 49.9955026, 8.2686425 49.9954886, 8.2686648 49.9954755, 8.2686584 49.9954713, 8.2686768 49.9954589, 8.268687 49.9954597, 8.2686874 49.9954547, 8.2686789 49.9954542, 8.2686333 49.9954223, 8.2686417 49.9954175, 8.2686362 49.9954129, 8.2686276 49.9954181, 8.2685813 49.9953874, 8.2685815 49.9953796, 8.2685729 49.9953796, 8.2685727 49.9953882, 8.268535 49.9954107, 8.2685333 49.9954014, 8.2685189 49.9954021, 8.2685176 49.9954185, 8.2684727 49.9954462, 8.2684595 49.9954381, 8.2684527 49.9954427, 8.2684658 49.9954509, 8.2684207 49.9954799, 8.2683956 49.9954786, 8.268395 49.9954875, 8.2684195 49.9954881, 8.2684629 49.9955181, 8.2684501 49.9955256, 8.2684572 49.995531, 8.2684672 49.9955252, 8.2685079 49.9955531, 8.268486 49.9955667, 8.2685207 49.99559, 8.2684748 49.9956172, 8.2684562 49.9956055, 8.268445 49.995613, 8.2684617 49.995624, 8.2684447 49.9956357, 8.2684786 49.9956577, 8.2684948 49.9956467, 8.2685331 49.9956711, 8.2685158 49.9956822, 8.268527 49.9956895, 8.2685448 49.9956787, 8.2685776 49.9957, 8.2686103 49.9957212, 8.2685927 49.9957318, 8.2686027 49.9957385, 8.2686199 49.9957275, 8.268677 49.9957638, 8.268666 49.9957713, 8.2686756 49.9957775, 8.268687 49.9957699, 8.2687435 49.9958063, 8.2687274 49.9958185, 8.2687091 49.9958183, 8.2687086 49.9958269, 8.2687266 49.9958271, 8.2688301 49.995896, 8.2688301 49.9959087, 8.2688431 49.9959088, 8.2688439 49.9958966, 8.2689346 49.9958451, 8.268988 49.9958805, 8.2689765 49.9958877, 8.2689832 49.9958926, 8.2689954 49.9958854, 8.2690353 49.9959146))",,church,Q661125,de:St. Stephan (Mainz),,,,,,,,,,,,,,,"[256326630, 2129665138, 2129665140, 2129665132, 2129665133, 2129665143, 2129665141, 2129665131, 2129665110, 2129665114, 2129665109, 2129665102, 2129665076, 2129665070, 2129665058, 2129665066, 2129665050, 2129665045, 2129665048, 2129665047, 2129665043, 2129665006, 2129665024, 2129665009, 2129665027, 2129665030, 2129665004, 2129664998, 2129664993, 2129664983, 2129664980, 2129664969, 2129664965, 2129664956, 2129664963, 2129664964, 2129664954, 2129664947, 2129664943, 256326631, 722260280, 2129664988, 2129664953, 2129664951, 2129664950, 2129664952, 2129664958, 722260288, 722260278, 722260285, 256326632, 2129664929, 2129664924, 2129664918, 2129664920, 2129664925, 2129664909, 2129664898, 2129664894, 256326633, 2129664886, 2129664882, 2129664868, 2129664879, 2129664871, 2129664878, 722260225, 722260284, 2129664890, 2129664884, 2129664881, 2129664874, 2129664875, 2129664870, 2129664869, 2129664856, 2129664850, 2129664847, 2129664852, 256326634, 2129664837, 2129664836, 2129664839, 2129664846, 2129664843, 2129664844, 2129664853, 2129664861, 2129664859, 2129664860, 2129664865, 256326637, 2129664885, 2129664887, 2129664889, 2129664904, 2129664911, 2129664912, 2129664910, 256326654, 2129664926, 2129664931, 2129664948, 2129664938, 2129664945, 2129664949, 256326670, 2129664959, 2129664955, 2129664972, 2129664978, 2129664984, 2129664973, 6473188826, 2129664994, 2129665000, 2129665002, 2129664996, 2129665007, 2129665037, 2129665039, 2129665033, 2129665049, 2129665053, 2129665052, 2129665055, 2129665057, 2129665115, 2129665125, 2129665127, 2129665117, 2129665078, 2129665090, 2129665108, 2129665112, 2129665106, 256326630]",gothic,Dekanat Mainz-Stadt,Bistum Mainz,4,gdke,church,St. Stephan,Iglesia de San Esteban,1267 - 1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24066335,Mainz,DE,21a,55122,Canisiusstraße,place_of_worship,,Islamisches Kulturzentrum der Bosniaken,,muslim,,,,"POLYGON ((8.2163169 50.0067202, 8.2165536 50.006773, 8.2168636 50.0061991, 8.2166268 50.0061463, 8.2163169 50.0067202))",,apartments,,,,,,,,,,,,,,,,,"[261084406, 261084407, 261084408, 261084409, 261084406]",,,,,,,,,,#F5F7B0,3,18,grey,2,slate,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24071526,,,,,,place_of_worship,roman_catholic,St. Petrus Canisius,,christian,So 10:00-11:00,,yes,"POLYGON ((8.2216487 50.0042583, 8.2216684 50.0043233, 8.2216932 50.0043649, 8.2217619 50.00442, 8.2218306 50.0044586, 8.2219084 50.004481, 8.221991 50.0044977, 8.2220619 50.0044302, 8.222105 50.0044387, 8.222171 50.0044454, 8.2222613 50.0044484, 8.2222625 50.0041961, 8.2221432 50.0041135, 8.2217529 50.0040934, 8.2217448 50.0041499, 8.2217602 50.0042208, 8.2216487 50.0042583))",,church,Q2322871,de:St. Petrus Canisius (Mainz-Gonsenheim),,,,,,,,,yes,,,,,,"[261119919, 261119921, 261119922, 261119924, 261119925, 261119927, 261119928, 2171801904, 2171801905, 2171801906, 2171801907, 2171801885, 2171801874, 2171801869, 2171801876, 2171801891, 261119919]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24071833,Mainz,DE,7,55122,Karlsbader Straße,place_of_worship,baptist,Kreuzkirche,,christian,,http://www.baptisten-mainz.de,,"POLYGON ((8.2262595 50.0068478, 8.2261304 50.0068424, 8.2261158 50.0068286, 8.2261031 50.0068211, 8.2260768 50.0068161, 8.2260495 50.0068204, 8.2260349 50.0068267, 8.2260164 50.0068376, 8.2259049 50.006833, 8.225897 50.0069111, 8.2259196 50.0069078, 8.2259788 50.0069145, 8.2259597 50.0071029, 8.2261541 50.0071111, 8.2261732 50.0069234, 8.2262515 50.0069267, 8.2262595 50.0068478))",,yes,,,,,,,,,,,,,,,,,"[261121610, 2059884852, 2059884848, 2059884839, 2059884835, 2059884837, 2059884846, 2059884850, 261121611, 261121612, 1142403617, 261121613, 261121614, 261121615, 261121616, 261121617, 261121610]",,,,,,,,,,,,,,,,,http://commons.wikimedia.org/wiki/File:Kreuzkirche_Mainz_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24089859,Mainz,DE,1,55122,Rheingauwall,place_of_worship,,Yunus-Emre-Moschee,,muslim,,,,"POLYGON ((8.2430074 50.0120948, 8.2431142 50.0121503, 8.2430855 50.0121732, 8.2432326 50.0122497, 8.2433542 50.0121527, 8.2432788 50.0121135, 8.2434213 50.0119998, 8.2432427 50.0119069, 8.2430074 50.0120948))",,yes,,,,,,,,,,,,,,,,,"[261215493, 1696725011, 1696725016, 261215494, 1696725014, 1696725006, 261215495, 261215497, 261215493]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24164140,Mainz,DE,,55116,Kaiserstraße,place_of_worship,protestant,Christuskirche,,christian,,http://christuskirche-mainz.de/,yes,"POLYGON ((8.2664637 50.0071113, 8.2663395 50.0071609, 8.2662153 50.0072105, 8.2662034 50.0072135, 8.2661897 50.0072185, 8.266179 50.0072261, 8.2661732 50.0072348, 8.2661718 50.0072443, 8.2661751 50.0072536, 8.2661828 50.0072618, 8.266194 50.007268, 8.2662077 50.0072716, 8.2662224 50.0072724, 8.2662378 50.0072699, 8.2662509 50.0072642, 8.2662598 50.0072566, 8.2663499 50.0073497, 8.2662462 50.0073912, 8.2664031 50.0075534, 8.2665068 50.007512, 8.2665795 50.0075872, 8.2668279 50.007488, 8.2667552 50.0074128, 8.2668546 50.0073731, 8.2666977 50.0072108, 8.2665983 50.0072505, 8.2665093 50.0071584, 8.266526 50.0071555, 8.2665393 50.0071498, 8.2665489 50.0071416, 8.2665537 50.0071318, 8.266553 50.0071215, 8.266547 50.007112, 8.2665364 50.0071043, 8.2665224 50.0070993, 8.2665066 50.0070976, 8.2664909 50.0070995, 8.266477 50.0071046, 8.2664637 50.0071113))",,church,Q319281,de:Christuskirche (Mainz),,1903,,,,,,,yes,,,,,,"[261733746, 936583932, 261733747, 5812249461, 5812249460, 5812249459, 5812249458, 5812249457, 5812249456, 5812249455, 5812249472, 5812249471, 5812249470, 5812249469, 5812249468, 5812249467, 261733748, 261733749, 261733750, 261733751, 261733752, 261733753, 261733754, 261733755, 261733756, 261733757, 5812249454, 5812249487, 5812249486, 5812249485, 5812249484, 5812249483, 5812249482, 5812249481, 5812249480, 5812249479, 5812249478, 5812249477, 261733746]",neo-renaissance,Dekanat Mainz,Evangelische Kirche in Hessen und Nassau,4,gdke,,,,,,27,80,,,copper,,,Eduard Kreyßig,Q1113424,sandstone,Höhen und äquivalente Etagenanzahl geschätzt,Evangelische Christuskirchengemeinde Mainz,http://www.denkmallisten.gdke-rlp.de/Mainz.pdf,Category:Christuskirche (Mainz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24164259,Mainz,DE,1,55118,Bonifaziusplatz,place_of_worship,roman_catholic,St. Bonifaz,,christian,,http://www.dominikaner-mainz.de/pfarrei/pfarrei.html,yes,"POLYGON ((8.2606601 50.0037346, 8.2608121 50.0036738, 8.2609175 50.0036316, 8.2607429 50.0034513, 8.2607016 50.0034087, 8.2607474 50.0033904, 8.2606733 50.0033136, 8.2605614 50.0033582, 8.2605314 50.0033269, 8.2604079 50.0033776, 8.2604362 50.0034061, 8.2603242 50.0034511, 8.2603923 50.0035214, 8.2604365 50.0035037, 8.2606601 50.0037346))",,church,Q14540881,de:St. Bonifaz (Mainz),,1954-06-21,Bing;website,Baubeginn 1952.,,,,,,,,,,,"[261734964, 1227931509, 261734965, 2319254988, 261734966, 261734967, 261734968, 1224495015, 1224495034, 1224495067, 1224495069, 261734969, 1224495060, 261734970, 261734964]",,Dekanat Mainz-Stadt,Bistum Mainz,,,,,,,,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/d7/Mainz_Pfarrkirche_St._Bonifaz_20100624.jpg,Hugo Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24278168,,,,,,place_of_worship,roman_catholic,St. Johannes Evangelist,,christian,"jeden 2. So, 10:00-11:00",,yes,"POLYGON ((8.2343883 49.9989047, 8.2344102 49.9989962, 8.2344304 49.9990811, 8.2345411 49.999133, 8.2345306 49.9991422, 8.2345217 49.99915, 8.2346763 49.9992207, 8.2347136 49.9991886, 8.2347756 49.9991311, 8.2347364 49.9991082, 8.234837 49.9990236, 8.234829 49.9989993, 8.2348618 49.9989782, 8.2348836 49.9989611, 8.2348851 49.9989481, 8.2348826 49.998935, 8.2348524 49.9989202, 8.234758 49.9988979, 8.2347291 49.9988898, 8.2347186 49.9988869, 8.2347337 49.9988855, 8.2347563 49.9988763, 8.2347547 49.9988611, 8.2346667 49.9988197, 8.2345628 49.9987699, 8.2345043 49.9988169, 8.2345003 49.9988248, 8.2344963 49.9988328, 8.2344719 49.9988284, 8.2343883 49.9989047))",,church,Q1737188,,,,,,,,,,,,,,,,"[262871399, 6438021646, 262871400, 6438017280, 6438021645, 6438017281, 262871401, 2157788470, 6438021600, 6438021599, 262871402, 6438017282, 6438017283, 6438017284, 6438021585, 262871403, 6438021586, 6438021589, 6438021592, 6438021588, 262871406, 6438021587, 262871407, 1671982759, 1671982732, 262871412, 6438021647, 6438021591, 6438021590, 262871399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
