element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,operator,postal_code,ref,website,description,heritage,historic,start_date,building,nodes,building:levels,roof:levels,source,height,roof:shape,end,unimainz:buildingId,name,building:colour,roof:material,source:height,note:3D,roof:colour,image,wikidata,wikipedia,building:material,source:housenumber,source:address,source:position,note,roof:height,construction,roof:direction,roof:orientation,fixme,social_facility,social_facility:for,source_date,source:geometry,phone,survey:date,tourism,building:flats,description:de,nohousenumber,building:architecture,heritage:operator,name:signed,noaddress,ways,type
way,29506027,"POLYGON ((8.2752269 49.9953591, 8.2752081 49.995213, 8.2754742 49.9951901, 8.275785 49.9949343, 8.2759216 49.9950039, 8.2755108 49.9953392, 8.2752269 49.9953591))",,,17,,Holzhofstraße,,,,,,,,,,,residential,"[325235477, 325235478, 325235479, 1297621047, 325235482, 325235483, 325235477]",8,0,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31825798,"POLYGON ((8.2424645 49.914248, 8.2426749 49.914294, 8.2425739 49.9144855, 8.2423635 49.9144395, 8.2424645 49.914248))",Mainz,DE,9,,Großgewann,,,,,,,,,,,residential,"[356322684, 356322685, 356322686, 356322687, 356322684]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39162659,"POLYGON ((8.2494459 50.0016367, 8.2491289 50.0016185, 8.2491457 50.0014968, 8.2494627 50.001515, 8.2494459 50.0016367))",Mainz,DE,4,55122,John-F.-Kennedy-Straße,,,,,,,,,,,residential,"[469106704, 3718469175, 3718469172, 469106703, 469106704]",4,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39162660,"POLYGON ((8.2496369 50.0004766, 8.2493163 50.000455, 8.249335 50.00034, 8.2496556 50.0003617, 8.2496369 50.0004766))",Mainz,DE,3,55122,Fritz-Bockius-Straße,,,,,,,,,,,residential,"[469106706, 3718522951, 3718522950, 469106705, 469106706]",4,,,13,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39162667,"POLYGON ((8.2512074 50.0016382, 8.2509008 50.0016206, 8.2508854 50.0017198, 8.2511919 50.0017375, 8.2512074 50.0016382))",Mainz,DE,6b,55122,John-F.-Kennedy-Straße,,,,,,,,,,,residential,"[469106733, 3718469174, 3718469177, 469106736, 469106733]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40069755,"POLYGON ((8.2859701 49.9714018, 8.2859793 49.9712957, 8.2857575 49.9712878, 8.2857484 49.9713939, 8.2859701 49.9714018))",Mainz,DE,6,55130,Jakob-Laubach-Straße,,,,,,,,,,,residential,"[482215873, 482215875, 482215876, 482215877, 482215873]",2,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078351,"POLYGON ((8.2313138 49.9769752, 8.2313804 49.9768866, 8.2314372 49.9769043, 8.2314907 49.9768332, 8.2316293 49.9768763, 8.2315093 49.9770359, 8.2313138 49.9769752))",Mainz,DE,41,55128,Am Heckerpfad,,,,,,,,,,,residential,"[482267145, 482267147, 1169042972, 1169042947, 482267149, 482267151, 482267145]",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078530,"POLYGON ((8.2370491 49.9775306, 8.2372215 49.9774418, 8.23729 49.9774968, 8.2372757 49.9775042, 8.2373215 49.9775409, 8.2371634 49.9776224, 8.2370491 49.9775306))",Mainz,DE,121b,55128,Essenheimer Straße,,,,,,,,,,,residential,"[482267499, 9032054622, 9032054623, 9032054621, 482267501, 482267502, 482267499]",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078540,"POLYGON ((8.2358098 49.975934, 8.2357445 49.9758778, 8.2357698 49.9757716, 8.2358809 49.9757182, 8.2359993 49.9758201, 8.2359297 49.9758536, 8.2359467 49.9758682, 8.2358098 49.975934))",,,,,,,,,,,,,,,,residential,"[482267547, 482267548, 1122518411, 482267549, 6745364435, 482267550, 6745364434, 482267547]",2,1,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40135902,"POLYGON ((8.2376872 49.9941611, 8.2373876 49.9941016, 8.2373434 49.9941936, 8.237643 49.9942531, 8.2376872 49.9941611))",Mainz,DE,1,55128,Johann-Friedrich-von-Pfeiffer-Weg,,,,,,,,,,,residential,"[483060858, 483060863, 483060864, 483060866, 483060858]",2,1,,,gabled,2023,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
