element_type,osmid,addr:postcode,amenity,cuisine,name,opening_hours,phone,website,geometry,addr:city,addr:country,addr:housenumber,addr:street,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,email,indoor_seating,operator,outdoor_seating,smoking,takeaway,wheelchair,fax,url,contact:email,contact:fax,contact:phone,toilets:wheelchair,access:covid19,description:covid19,drive_through:covid19,opening_hours:covid19,takeaway:covid19,check_date:opening_hours,opening_hours:signed,description,wheelchair:description,source,created_by,delivery:covid19,reservation,note,survey:date,check_date,payment:credit_cards,payment:maestro,payment:mastercard,payment:visa,delivery,diet:dairy_free,diet:egg_free,diet:lactose_free,diet:pescetarian,level,tourism,alt_name,diet:gluten_free,changing_table,website:menu,short_name,internet_access,air_conditioning,payment:debit_cards,name:de,phone:mobile,survey_date,toilets,internet_access:fee,payment:cash,opening_days,opening_season,designation,check_date:diet:vegetarian,contact:website,addr:suburb,old_name,diet:halal,check_date:website,disused:website,note:website,addr:housename,capacity,contact:facebook,shop,opening_hours:kitchen,name:en,contact:instagram,name:ja,name:ko,changing_table:location,kids_area,start_date,cash_withdrawal:foreign_cards,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,toilets:access,contact:mobile,diet:meat,fast_food,lunch,lunch:menu:choices,lunch:menu:course:drink,lunch:menu:course:main,lunch:menu:course:soup,lunch:menu:delivery,lunch:menu:price,lunch:menu:takeaway,lunch:saladbar,self_service,bar,nodes,building,building:levels,indoor,room,layer,note:editor,building:colour,building:material,building:use,roof:shape
node,158750000,55128,restaurant,pizza,Popeye,"Tu-Sa 11:30-14:00, 17:30-22:30; Su 17:00-22:30",+49 6131 71794,http://pizzeria-popeye.de,POINT (8.2382689 49.9690587),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,208520377,55116,restaurant,burger,Hans im Glück,Mo-Sa 11:30-00:00; Su 12:00-00:00,+49 6131 6356245,http://gutenbergplatz.hansimglueck-burgergrill.de/,POINT (8.2715296 49.998581),Mainz,DE,6,Gutenbergplatz,Hans im Glück,Q22569868,de:Hans im Glück (Restaurantkette),yes,yes,gutenbergplatz@hansimglueck-burgergrill.de,yes,HANS IM GLÜCK Franchise GmbH,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261152400,55122,restaurant,german;greek,Olympia,Mo-Su 11:30-24:00,+49 6131 41587,http://www.olympia-mainz.de,POINT (8.2279731 50.0106124),Mainz,DE,23,Karlsbader Straße,,,,,,,,,,,,,+49 6131 677607,http://www.tsvschott.de/vereinsgaststaette.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261178711,55124,restaurant,german,Gasthaus Zum Bürgerhof,Mo-Fr 11:00-22:30,,https://www.buergerhof-gonsenheim.de/,POINT (8.2071 50.0020736),,,,,,,,,,,,Ralf Hagner,yes,,,yes,,,info@buergerhof-gonsenheim.de,+49 6131 45590,+49 6131 45090,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,261673775,55124,restaurant,international,Gonsenheimer Hof,"Mo-Fr 11:30-14:30, 17:30-23:00; Sa 18:00-23:00; Su 11:30-14:30, 17:30-22:00",+49 6131 42163,http://www.gonsenheimer-hof.de,POINT (8.2179991 50.0011475),Mainz,DE,132,Mainzer Straße,,,,,,,,,,,,limited,+49 6131 467204,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263028282,55116,restaurant,burger,Burgerheart,,,https://mainz.burgerheart.com/,POINT (8.2768379 50.0017535),Mainz,DE,3,Jockel-Fuchs-Platz,,,,,,mainz@burgerheart.com,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263030033,,restaurant,chinese;thai;vietnamese,Mai Anh,"Tu-Sa 11:30-14:30, Tu-Su 17:30-23:00",+49 6131 43171,http://www.mainzentdecken.de/restaurants-mainz-und-umgebung/restaurant-mai-anh-mainz/,POINT (8.2142806 50.0040519),,,,,,,,,,,,,,,,no,,,,,,no,yes,Eintritt mit Abstand. Bestellung vor Ort möglich zur Mitnahme nach Hause. Keine Einweggabeln.,no,same,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263681666,55118,restaurant,italian,Trattoria am Kaisertor,"11:30-14:30,17:30-23:00",+49 6131 3808052,http://www.trattoria-mainz.de/,POINT (8.2682715 50.0095082),Mainz,DE,2-4,Rheinallee,,,,,,info@trattoria-mainz.de,,,,,,no,,,,,,,,,,,,2023-04-26,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263685152,55116,restaurant,,Zum grünen Kakadu,"Mo-Fr 12:00+; Sa,Su 10:00+",+49 6131 2851281,https://www.zumgruenenkakadu-mainz.de/,POINT (8.2707827 49.99909),Mainz,DE,3-5,Gutenbergplatz,,,,,,,,,yes,no,,yes,,,,,,yes,,,,,,,,"Das Gebäude wurde vom Theater Mainz übernommen Ab 1.1.2021 wird dort die Gaststätte ""Grüner Kakadu"" eröffnet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264154450,55116,restaurant,,Citrus,"Tu-Th 17:00-24:00; Fr,Sa 17:00-02:00",+49 6131 216715,http://www.citrus-mainz.de,POINT (8.281081 49.9951015),Mainz,DE,2,Rheinstraße,,,,yes,yes,info@citrus-mainz.de,yes,Hans Jürgen Kern;Claudio Falanga,yes,,,yes,+49 6131 504345,,,,,yes,,,,,,,,Californian Bar & Restaurant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
