element_type,osmid,geometry,layer,wheelchair,access,amenity,fee,maxheight,name,parking,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,operator,survey:date,nodes,building,building:levels,opening_hours,shop,toilets,building:material,height,roof:levels,roof:material,roof:shape,start_date,wikidata,wikimedia_commons,wikipedia,addr:suburb,brand,brand:wikidata,brand:wikipedia,source,website,roof:colour,toilets:wheelchair,alt_name,cuisine,diet:vegan,diet:vegetarian,email,indoor_seating,opening_hours:covid19,outdoor_seating,phone,building:colour,roof:orientation,source:maxheight,addr:housename,building:min_level,check_date:opening_hours,max_level,min_level,landuse,not:brand:wikidata,payment:cash,payment:credit_cards,payment:maestro,payment:mastercard,payment:visa,disused:shop,source:geometry,branch,disused,short_name,check_date,dispensing,fax,self_service,url,club,description,sport,payment:apple_pay,payment:debit_cards,payment:google_pay,wheelchair:description,source_date,roof:height,access:covid19,delivery:covid19,takeaway:covid19,smoking,old_name,wholesale,fixme,indoor,level,note:editor,fuel:lpg,nohousenumber,delivery,takeaway,company,office,ref:vatin,service:bicycle:bicycle,service:bicycle:ebike,service:bicycle:parts,service:bicycle:pump,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:second_hand,service:bicycle:service,service:bicycle:tools,stroller,ways,type,building:use
way,23529426,"POLYGON ((8.2271079 49.968642, 8.2264424 49.9681872, 8.2264992 49.9681528, 8.2262756 49.968, 8.2267444 49.9677161, 8.2268657 49.967799, 8.2270603 49.9676812, 8.2269692 49.967619, 8.2271395 49.9675159, 8.2270441 49.9674507, 8.2276018 49.967113, 8.2277757 49.9672319, 8.2280166 49.9670861, 8.2278451 49.9669689, 8.2287129 49.9664435, 8.2287882 49.966495, 8.2289559 49.9663935, 8.2290439 49.9664536, 8.2292403 49.9663347, 8.2293194 49.9663888, 8.2295003 49.9662793, 8.2302099 49.9667642, 8.2298397 49.9669883, 8.2297761 49.9670268, 8.229706 49.9670692, 8.2295889 49.9671401, 8.2295206 49.9671766, 8.2294693 49.967208, 8.2294004 49.9672502, 8.2292369 49.9673504, 8.229082 49.967447, 8.2289532 49.9675249, 8.2289403 49.9675328, 8.2285378 49.9677786, 8.2284679 49.9678187, 8.2284144 49.9678511, 8.2281094 49.9680358, 8.2279311 49.9681437, 8.2278818 49.9681735, 8.2278375 49.9682003, 8.2271079 49.968642))",,yes,,,,,Gutenberg-Center,,Mainz,DE,1,55128,Haifa-Allee,,,,"[254799680, 254799681, 4437670092, 4437670091, 1586182196, 4437670089, 1303462690, 1303462666, 1303462677, 1303462686, 1303462703, 1303462679, 1303462709, 1303462691, 1303462659, 1303462672, 1303462664, 1586182260, 1303462707, 1586182186, 254799685, 254799687, 8741937990, 4437669987, 4437669986, 8741937987, 8825315055, 8741937985, 8741937983, 8741937982, 8741937972, 8741937969, 8741937971, 8741937989, 4437670090, 8741937988, 8825315048, 8741938000, 8741938004, 8741937999, 254799680]",retail,2,Mo-Sa 07:00-21:30,mall,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23655731,"POLYGON ((8.2706238 49.9995545, 8.2707453 49.9993864, 8.2707262 49.9993807, 8.2708146 49.9992583, 8.2709678 49.999304, 8.2710216 49.9992275, 8.2710042 49.9992219, 8.2710599 49.9991487, 8.2710967 49.99916, 8.2711271 49.9991191, 8.2711918 49.999139, 8.2711964 49.9991342, 8.2712078 49.9991331, 8.2712471 49.9991346, 8.2712881 49.999139, 8.2713288 49.9991446, 8.2713646 49.9991542, 8.271395 49.9991666, 8.2714292 49.9991817, 8.2714558 49.9991982, 8.2714769 49.9992129, 8.2714858 49.9992199, 8.2714846 49.9992266, 8.2715493 49.9992445, 8.2715222 49.9992851, 8.2715584 49.9992978, 8.2715066 49.9993715, 8.2714895 49.9993662, 8.2714378 49.9994443, 8.2716088 49.9994954, 8.2715232 49.9996139, 8.271501 49.9996073, 8.2713766 49.9997794, 8.2706238 49.9995545))",,,,,,,Staatstheater,,Mainz,DE,7,55116,Gutenbergplatz,,,,"[256308002, 1671343469, 1671343468, 256307592, 1671343447, 1671343414, 256308007, 256308010, 1671343378, 1671343364, 1671343370, 1671343369, 1671343368, 256308013, 1671343371, 1671343374, 256308015, 1671343379, 1671343387, 1671343398, 6549268030, 1671343407, 256308018, 1671343420, 1671343436, 1671343443, 1671343465, 1671343464, 256308021, 256308024, 5426219031, 1885925156, 256308027, 256308002]",retail,3,,,,sandstone,18,3,concrete,quadruple_saltbox,1831,Q317908,Category:Staatstheater Mainz,de:Staatstheater Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23740483,"POLYGON ((8.2364849 49.9668619, 8.2365632 49.9657597, 8.2365987 49.9657162, 8.2369769 49.965837, 8.2369447 49.9658802, 8.237312 49.9660022, 8.2372901 49.9663355, 8.237278 49.9665155, 8.2373745 49.9665168, 8.238161 49.9665482, 8.2381275 49.9669214, 8.2364849 49.9668619))",,,,,,,HORNBACH,,Mainz,DE,5,55128,Am Schleifweg,,,,"[257106317, 257106320, 4548992355, 4548992357, 4548992356, 257106322, 757527925, 257106326, 254800400, 261687013, 257106331, 257106317]",retail,2,Mo-Sa 07:00-20:00,doityourself,,,,0,,flat,,,,,Bretzenheim,HORNBACH,Q685926,en:Hornbach (retailer),Bing,https://www.hornbach.de/mein-markt/baumarkt-mainz-bretzenheim/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23740484,"POLYGON ((8.2376446 49.9683428, 8.2377165 49.9680341, 8.2377554 49.9680378, 8.2379296 49.9680546, 8.2382824 49.9680886, 8.2382251 49.9683348, 8.2382912 49.9683412, 8.2382766 49.9684036, 8.2376446 49.9683428))",,yes,,,,,,,Mainz,,2,55128,Am Schleifweg,,,,"[155446721, 1544832734, 780233817, 1139735031, 1139734914, 1544832737, 1544832739, 1139735085, 155446721]",retail,1,,,,,,1,,,,,,,Bretzenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24027751,"POLYGON ((8.2171675 50.0100579, 8.217543 50.010131, 8.2176427 50.0099195, 8.2177602 50.0099424, 8.2178086 50.0098396, 8.2176969 50.0098178, 8.2177629 50.0096777, 8.2174365 50.0096142, 8.2173516 50.0097943, 8.2172967 50.0097836, 8.2171838 50.0100233, 8.2171675 50.0100579))",,limited,,,,,,,Mainz,,9,55122,Bürgermeister-Alexander-Straße,,,,"[260572157, 260572158, 2046609399, 2046609407, 2046609390, 2046609385, 260572159, 260572160, 2046609381, 2046609380, 1559282179, 260572157]",retail,,,,,,6,,,,,,,,,,,,,,grey,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24027806,"POLYGON ((8.2168205 50.0097499, 8.2169387 50.0095142, 8.216231 50.0093754, 8.2161933 50.0094723, 8.216231 50.0095252, 8.2163047 50.0095054, 8.2164418 50.0096761, 8.2167421 50.0097341, 8.2168205 50.0097499))",,,,,,,,,Mainz,DE,1,55122,Bürgermeister-Alexander-Straße,,,,"[260572677, 260572678, 260572679, 260572680, 2046609352, 260572681, 260572682, 1559282175, 260572677]",retail,2,,,,,6,,,,,,,,Gonsenheim,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24092422,"POLYGON ((8.2483923 50.00492, 8.2485032 50.0049924, 8.2484195 50.0050453, 8.2485299 50.0051174, 8.2487587 50.0049727, 8.248863 50.0049066, 8.2487676 50.0048444, 8.248708 50.0048054, 8.2486417 50.0047622, 8.2483923 50.00492))",,yes,,restaurant,,,Da Arnaldo,,Mainz,DE,56,55122,Wallstraße,,,,"[1462353991, 1462353996, 1462353999, 261227876, 1462365800, 261227879, 1462365794, 1462365791, 261227881, 1462353991]",retail,1,"Mo-Sa 11:30-14:00,17:30-23:00,Su 11:30-14:00",,,,,,,,,,,,,,,,,https://www.trattoria-da-arnaldo-mainz.de/,,,Trattoria Da Arnaldo,italian,no,yes,info@trattoria-da-arnaldo-mainz.de,yes,off,yes,+49 6131 320526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24159168,"POLYGON ((8.2356605 49.9689492, 8.2355764 49.9688584, 8.2355809 49.9688278, 8.2356879 49.9688366, 8.2357169 49.9687195, 8.2359695 49.9687442, 8.2359792 49.9687039, 8.2364545 49.9687534, 8.2364083 49.9689368, 8.2363862 49.9690247, 8.2356605 49.9689492))",,yes,,,,,,,Mainz,,1,55128,Drechslerweg,,,,"[261687074, 257106356, 1413925224, 7034554881, 1413925216, 257106357, 1413925212, 257106359, 1413925226, 261687072, 261687074]",retail,1,,,,,,,,,,,,,Bretzenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24318037,"POLYGON ((8.2705799 50.0018603, 8.2705433 50.0018978, 8.2709447 50.0020199, 8.2712076 50.001677, 8.2711423 50.0016552, 8.271011 50.0016117, 8.2709234 50.0015842, 8.2707311 50.0015301, 8.2705981 50.001478, 8.270509 50.0015404, 8.2704594 50.0015752, 8.2703958 50.001645, 8.2703797 50.0016813, 8.2705166 50.0018407, 8.2705369 50.001847, 8.2705799 50.0018603))",,yes,yes,parking,yes,1.8,Parkhaus Galeria Kaufhof,multi-storey,,,,,,,,,"[1173067423, 1884050354, 263682812, 263682813, 1885925242, 2451401366, 2451401413, 2451401393, 1885925241, 2452218125, 2451401398, 2452218126, 1884050342, 5424621862, 9405042691, 1173067423]",retail,7,24/7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24318085,"POLYGON ((8.2705402 50.0010813, 8.2705487 50.001101, 8.2704843 50.0011119, 8.2705278 50.0011938, 8.270554 50.0012433, 8.270589 50.0013092, 8.2705643 50.0013185, 8.2706024 50.0013618, 8.270647 50.0014002, 8.2706989 50.0014266, 8.2707808 50.0014579, 8.2709725 50.001513, 8.2711524 50.0015686, 8.2712576 50.0015791, 8.2714454 50.0009468, 8.2713364 50.0008881, 8.2713284 50.0008838, 8.2713125 50.0008878, 8.2713038 50.0008898, 8.2709029 50.0009905, 8.2707272 50.0010345, 8.2705402 50.0010813))",,yes,,,,,Galeria Kaufhof,,Mainz,,41-45,55116,Schusterstraße,Behinderten-WC im 1.OG,,,"[263683001, 3025817182, 1156300209, 3025817181, 2452218107, 263683002, 1156300234, 1884050329, 1884050330, 263683003, 263682814, 2451401390, 1156300210, 263683004, 263683005, 10289255936, 263683006, 10289259924, 10289259925, 3025817183, 2452218068, 263683001]",retail,4,Mo-Sa 10:00-20:00,department_store,yes,,,0,,flat,,,,,,Galeria Kaufhof,Q322598,en:Galeria Kaufhof,,https://www.galeria.de/,,yes,,,,,,,,,+49 6131 2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
