u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,tunnel,service,junction,width,access,est_width
162818,2059081614,0,10490190,True,3,A 60,motorway,100,False,641.523,"LINESTRING (8.1770744 49.9999682, 8.1761348 49.999933, 8.175043 49.999899, 8.1741546 49.9998912, 8.1734978 49.9999039, 8.1733815 49.9999112, 8.1728305 49.9999457, 8.1721786 50.0000054, 8.1715134 50.0000847, 8.1704093 50.0002272, 8.169786 50.0003278, 8.1691562 50.000444, 8.1687051 50.0005347, 8.1682392 50.0006393)",,,,,,,,
506675,73817370,0,9885292,True,1,,motorway_link,60,False,289.015,"LINESTRING (8.254407 49.9674196, 8.2548285 49.9674586, 8.2549448 49.9674656, 8.2550615 49.9674607, 8.2551756 49.9674442, 8.2552842 49.9674165, 8.2553847 49.9673781, 8.2554747 49.9673301, 8.2555519 49.9672736, 8.2556143 49.9672101, 8.2556606 49.967141, 8.2556895 49.9670681, 8.2557003 49.9669933, 8.2556928 49.9669182, 8.2556671 49.9668449, 8.2556218 49.9667638, 8.2548117 49.9656148)",,,,,,,,
506675,1613721725,0,"[200830906, 28906618, 200830907]",True,3,A 60,motorway,100,False,315.302,"LINESTRING (8.254407 49.9674196, 8.2558143 49.9678454, 8.2561456 49.9679465, 8.2583996 49.9686218)",yes,,,,,,,
506852,506942,0,"[27545058, 8590971, 177689007]",True,1,B 9,motorway_link,,False,268.85799999999995,"LINESTRING (8.3153523 49.9715694, 8.3149603 49.9715189, 8.3147792 49.9714976, 8.314644 49.9714857, 8.3145246 49.9714807, 8.314378 49.9714808, 8.3142444 49.9714872, 8.3141539 49.9714968, 8.3140111 49.9715141, 8.3139092 49.9715318, 8.3138132 49.9715489, 8.3136441 49.9716, 8.3134767 49.9716646, 8.3131722 49.9717957, 8.3129107 49.9719216, 8.3127324 49.9720217, 8.3126324 49.9720963, 8.3125412 49.9721739, 8.3124836 49.972246, 8.3124494 49.9723063, 8.3123572 49.9725265)",yes,,,,,,,
506852,59749929,0,"[8590962, 31476627, 175442572, 177688990]",True,3,A 60,motorway,100,False,205.121,"LINESTRING (8.3153523 49.9715694, 8.3147816 49.9713772, 8.3141312 49.9711674, 8.3139169 49.9711097, 8.3133345 49.9709505, 8.3127441 49.970807)",yes,,,,,,,
506855,55055414,0,7742860,True,1,B 9,motorway_link,,False,375.45599999999985,"LINESTRING (8.3091045 49.9702672, 8.3087532 49.9703289, 8.3086681 49.9703552, 8.3086051 49.9703802, 8.3085508 49.9704061, 8.3085052 49.9704355, 8.3084656 49.9704704, 8.3084388 49.9704993, 8.3084147 49.9705351, 8.3083966 49.9705696, 8.3083858 49.9706054, 8.3083791 49.9706377, 8.3083785 49.9706679, 8.3083811 49.9707016, 8.3083899 49.9707352, 8.3084019 49.9707658, 8.3084187 49.9707973, 8.3084583 49.9708378, 8.3084971 49.9708723, 8.3085421 49.9709043, 8.3085897 49.9709306, 8.30864 49.9709513, 8.3086943 49.9709694, 8.3087647 49.9709866, 8.3088861 49.9710086, 8.3106215 49.9712926, 8.3109896 49.9713528, 8.3110908 49.9713619, 8.3111659 49.9713644, 8.3112296 49.9713644, 8.3112853 49.9713597, 8.3113577 49.9713511, 8.3114234 49.9713373, 8.3114845 49.9713161, 8.3115502 49.9712872, 8.3116139 49.9712536, 8.3116682 49.9712169, 8.3117279 49.9711712, 8.3117855 49.9711203, 8.3119322 49.9709642)",,,,,,,,
506855,662232,0,177688983,True,3,A 60,motorway,100,False,148.33,"LINESTRING (8.3091045 49.9702672, 8.3086969 49.9702393, 8.3081889 49.9702144, 8.3076355 49.9702013, 8.3070347 49.9701966)",,,,,,,,
506868,252038978,0,"[319791768, 319791769, 218669664]",True,4,A 60,motorway,80,False,690.876,"LINESTRING (8.2859032 49.9748015, 8.2853616 49.9748231, 8.2844364 49.9748464, 8.2834797 49.9748455, 8.2827405 49.9748266, 8.2821823 49.9748103, 8.2816718 49.9747803, 8.2807519 49.9747164, 8.2800314 49.9746484, 8.2793894 49.9745769, 8.2785967 49.9744653, 8.2780426 49.9743745, 8.2774605 49.9742781, 8.276796 49.974147, 8.2763757 49.9740632)",,,,,,,,
506878,506889,0,"[4847448, 264594503]",True,"['1', '3']",,motorway_link,,False,176.42000000000002,"LINESTRING (8.2925495 49.9737873, 8.2912666 49.9742441, 8.2903935 49.9745584)",,,,,,,,
506878,506868,0,"[26201297, 26201298, 23285765]",True,3,A 60,motorway,100,False,490.057,"LINESTRING (8.2925495 49.9737873, 8.2919308 49.9739365, 8.2911863 49.9740988, 8.2905931 49.9742175, 8.2898429 49.9743519, 8.2894448 49.97442, 8.2886329 49.9745368, 8.2880455 49.974611, 8.2875261 49.9746703, 8.2868374 49.974731, 8.2867546 49.9747383, 8.2859032 49.9748015)",yes,,,,,,,
506879,1840595159,0,"[242370640, 163136483]",True,"['1', '2']",L 419,trunk,100,False,212.797,"LINESTRING (8.1942765 49.9870693, 8.1934193 49.9869228, 8.1922834 49.986739, 8.1918959 49.9866645, 8.191411 49.9865555)",,Kurmainzstraße,,,,,,
506879,2412976,0,"[689756232, 142915437]",True,1,,motorway_link,"['40', '100']",False,275.048,"LINESTRING (8.1942765 49.9870693, 8.1938943 49.9870707, 8.1937025 49.9870804, 8.1934877 49.9871031, 8.1933134 49.9871325, 8.1931302 49.9871964, 8.1929716 49.9872841, 8.1928479 49.9873795, 8.1928009 49.9874327, 8.1927709 49.987472, 8.1927416 49.9875307, 8.192724 49.9875896, 8.1927211 49.9876473, 8.192731 49.9877074, 8.1927446 49.9877572, 8.1927717 49.9878143, 8.1928085 49.9878642, 8.1928618 49.9879119, 8.1929329 49.9879579, 8.1930236 49.987999, 8.193128 49.9880334, 8.1932286 49.9880551, 8.1933484 49.9880657, 8.1934819 49.9880631, 8.1936197 49.9880491, 8.1937874 49.9880199, 8.1941365 49.9879301)",,,,,,,,
506889,6606613992,0,89810573,True,1,,motorway_link,,False,44.451,"LINESTRING (8.2903935 49.9745584, 8.2901392 49.9746339, 8.2899645 49.9746716, 8.2899114 49.9746789, 8.2898115 49.9746948)",,,,,,,,
506889,6606613996,0,176935039,True,2,,motorway_link,,False,61.440999999999995,"LINESTRING (8.2903935 49.9745584, 8.2902765 49.9746141, 8.2901649 49.9746637, 8.2901103 49.9746912, 8.2900593 49.9747179, 8.290011 49.9747496, 8.2899699 49.9747807, 8.2899383 49.9748133, 8.2899031 49.9748564, 8.2898739 49.974895, 8.2898514 49.9749275, 8.2898315 49.974959)",,,,,,,,
506907,6247116856,0,667220167,True,2,,motorway_link,,False,35.287,"LINESTRING (8.2704207 49.9742454, 8.2704753 49.974173, 8.2705161 49.9741227, 8.2705471 49.9740934, 8.2705827 49.9740669, 8.2706237 49.9740356, 8.27066 49.9740182, 8.2706875 49.974008, 8.2707144 49.9739996)",,,,,,,,
506907,1869148164,0,"[667220168, 667220170, 949314862]",True,2,L 425,secondary,50,False,55.242000000000004,"LINESTRING (8.2704207 49.9742454, 8.2704608 49.9741094, 8.2704865 49.9740299, 8.2706108 49.9737645)",,Geschwister-Scholl-Straße,,,,,,
506910,506911,0,187794142,True,2,,motorway_link,,False,32.631,"LINESTRING (8.2713155 49.9740471, 8.2717518 49.974133)",,,,,,,,
506911,286892480,0,"[176089064, 60795290]",True,1,,motorway_link,,False,207.396,"LINESTRING (8.2717518 49.974133, 8.2720133 49.9741455, 8.2721783 49.9741394, 8.2722928 49.9741338, 8.27243 49.9741184, 8.2725369 49.9740912, 8.2726613 49.9740506, 8.2727977 49.9739745, 8.2729003 49.9738983, 8.2729842 49.9737793, 8.2730219 49.9736621, 8.2730259 49.9735627, 8.2730065 49.9734756, 8.2729628 49.9733911, 8.272887 49.9732982, 8.2727842 49.9732004, 8.2726568 49.973102, 8.2724651 49.9729873)",,,yes,,,,,
506911,1431073680,0,"[176383032, 60795287, 822462095]",True,1,,motorway_link,40,False,422.8179999999999,"LINESTRING (8.2717518 49.974133, 8.2722498 49.974229, 8.2724053 49.9742549, 8.2726057 49.974271, 8.2728006 49.9742531, 8.272994 49.9741976, 8.2731391 49.9741266, 8.273257 49.974032, 8.2733586 49.9739181, 8.2734243 49.9738228, 8.2734448 49.9737911, 8.2739145 49.9730997, 8.2740257 49.972911, 8.2740588 49.9728212, 8.2740491 49.972729, 8.2739976 49.9726428, 8.2739088 49.9725702, 8.2737907 49.9725177, 8.2736537 49.97249, 8.2735101 49.9724895, 8.2733727 49.9725163, 8.2732536 49.9725679, 8.2731636 49.9726399, 8.2731107 49.9727258, 8.2730995 49.9728179, 8.2731311 49.972908, 8.2732026 49.9729881, 8.2734364 49.9731409)",,,yes,,,,,
506927,506928,0,176383030,True,2,,motorway_link,,False,41.199,"LINESTRING (8.2712266 49.9741772, 8.2711147 49.9741699, 8.2710309 49.9741739, 8.2709078 49.9741994, 8.27069 49.9742787)",,,,,,,,
