osmid,y,x,street_count,ref,highway,geometry
162818,49.9999682,8.1770744,3,,,POINT (8.1770744 49.9999682)
506675,49.9674196,8.254407,3,22a,motorway_junction,POINT (8.254407 49.9674196)
506852,49.9715694,8.3153523,3,24,motorway_junction,POINT (8.3153523 49.9715694)
506855,49.9702672,8.3091045,3,24,motorway_junction,POINT (8.3091045 49.9702672)
506868,49.9748015,8.2859032,3,,,POINT (8.2859032 49.9748015)
506878,49.9737873,8.2925495,3,23,motorway_junction,POINT (8.2925495 49.9737873)
506879,49.9870693,8.1942765,3,,,POINT (8.1942765 49.9870693)
506889,49.9745584,8.2903935,3,,,POINT (8.2903935 49.9745584)
506907,49.9742454,8.2704207,3,,,POINT (8.2704207 49.9742454)
506910,49.9740471,8.2713155,3,,,POINT (8.2713155 49.9740471)
506911,49.974133,8.2717518,3,,,POINT (8.2717518 49.974133)
506927,49.9741772,8.2712266,3,,,POINT (8.2712266 49.9741772)
506928,49.9742787,8.27069,3,,,POINT (8.27069 49.9742787)
506934,49.9736005,8.2927583,3,,,POINT (8.2927583 49.9736005)
506942,49.9725265,8.3123572,3,,,POINT (8.3123572 49.9725265)
523176,49.976068,8.3127601,3,,,POINT (8.3127601 49.976068)
529356,49.9722543,8.2750568,3,,,POINT (8.2750568 49.9722543)
529398,49.9893639,8.2661565,4,,traffic_signals,POINT (8.2661565 49.9893639)
529420,49.9718994,8.24803,3,,,POINT (8.24803 49.9718994)
529430,49.9946578,8.2806291,3,,traffic_signals,POINT (8.2806291 49.9946578)
529440,49.9733445,8.2801806,3,,,POINT (8.2801806 49.9733445)
529443,49.9734081,8.281284,4,,traffic_signals,POINT (8.281284 49.9734081)
529447,49.9924173,8.2782631,3,,,POINT (8.2782631 49.9924173)
529452,49.9923712,8.2813637,3,,,POINT (8.2813637 49.9923712)
529463,49.9975621,8.2519724,3,,,POINT (8.2519724 49.9975621)
529465,49.9961407,8.2434598,3,,,POINT (8.2434598 49.9961407)
529472,49.9928272,8.2277101,3,,,POINT (8.2277101 49.9928272)
529475,49.9915506,8.2201712,3,,,POINT (8.2201712 49.9915506)
529477,49.9915827,8.219143,4,,,POINT (8.219143 49.9915827)
529478,49.9914657,8.2186199,4,,,POINT (8.2186199 49.9914657)
529479,49.9911914,8.2179787,3,,,POINT (8.2179787 49.9911914)
529487,49.9889178,8.2009413,3,,,POINT (8.2009413 49.9889178)
529503,49.9905172,8.2785825,4,,traffic_signals,POINT (8.2785825 49.9905172)
529570,49.9958465,8.2720854,4,,traffic_signals,POINT (8.2720854 49.9958465)
529571,49.996331,8.2712861,3,,,POINT (8.2712861 49.996331)
529572,49.9979271,8.2697993,2,,,POINT (8.2697993 49.9979271)
529583,49.9983036,8.2621338,3,,,POINT (8.2621338 49.9983036)
529592,49.9968737,8.2710771,4,,,POINT (8.2710771 49.9968737)
529593,49.9973678,8.2708827,4,,traffic_signals,POINT (8.2708827 49.9973678)
529604,49.9982601,8.267455,3,,,POINT (8.267455 49.9982601)
529605,49.9977097,8.267896,2,,,POINT (8.267896 49.9977097)
529621,49.9675986,8.2818267,3,,,POINT (8.2818267 49.9675986)
529624,49.9948514,8.2709204,3,,,POINT (8.2709204 49.9948514)
529626,49.9951639,8.2703645,3,,,POINT (8.2703645 49.9951639)
529654,49.9978231,8.2627533,3,,,POINT (8.2627533 49.9978231)
529659,49.9838759,8.3031617,3,,,POINT (8.3031617 49.9838759)
529662,49.9855605,8.2997402,3,,,POINT (8.2997402 49.9855605)
529688,49.9710552,8.281607,3,,traffic_signals,POINT (8.281607 49.9710552)
529691,49.9757619,8.2809668,4,,traffic_signals,POINT (8.2809668 49.9757619)
529730,49.9930291,8.2665214,3,,,POINT (8.2665214 49.9930291)
529736,49.9947317,8.267617,3,,,POINT (8.267617 49.9947317)
529740,49.9956636,8.2677304,3,,,POINT (8.2677304 49.9956636)
529743,49.9893565,8.2663808,4,,traffic_signals,POINT (8.2663808 49.9893565)
529750,49.9964393,8.2618009,3,,,POINT (8.2618009 49.9964393)
529752,49.9967701,8.2623937,3,,,POINT (8.2623937 49.9967701)
529761,49.9977394,8.2560554,3,,,POINT (8.2560554 49.9977394)
529817,50.0002068,8.2620199,4,,,POINT (8.2620199 50.0002068)
529818,49.9863824,8.2658621,4,,,POINT (8.2658621 49.9863824)
529840,49.9995973,8.2581987,3,,,POINT (8.2581987 49.9995973)
529843,49.9980368,8.2563619,4,,,POINT (8.2563619 49.9980368)
529847,49.9901983,8.2579394,3,,,POINT (8.2579394 49.9901983)
529850,49.9906965,8.2594397,3,,,POINT (8.2594397 49.9906965)
529854,49.9914479,8.2617025,4,,traffic_signals,POINT (8.2617025 49.9914479)
529964,49.9871391,8.2664235,3,,,POINT (8.2664235 49.9871391)
529966,49.9864845,8.2658158,3,,traffic_signals,POINT (8.2658158 49.9864845)
529983,49.991708,8.2517248,4,,,POINT (8.2517248 49.991708)
530015,49.9974921,8.2661154,4,,,POINT (8.2661154 49.9974921)
530022,49.9881948,8.2538521,3,,,POINT (8.2538521 49.9881948)
530034,49.9904532,8.2565968,3,,,POINT (8.2565968 49.9904532)
530081,50.0008891,8.2647804,4,,traffic_signals,POINT (8.2647804 50.0008891)
530086,49.999818,8.2670179,3,,mini_roundabout,POINT (8.2670179 49.999818)
530091,49.9989263,8.2686142,3,,,POINT (8.2686142 49.9989263)
530092,50.000192,8.266374,3,,mini_roundabout,POINT (8.266374 50.000192)
530102,49.9863623,8.2794019,3,,,POINT (8.2794019 49.9863623)
530105,49.9880271,8.279182,4,,traffic_signals,POINT (8.279182 49.9880271)
530107,49.9895163,8.2791439,3,,,POINT (8.2791439 49.9895163)
530139,49.9948183,8.2763603,3,,traffic_signals,POINT (8.2763603 49.9948183)
662232,49.9701966,8.3070347,3,,,POINT (8.3070347 49.9701966)
662471,49.9650704,8.24545,3,21,motorway_junction,POINT (8.24545 49.9650704)
662528,49.9660312,8.2272684,3,20,motorway_junction,POINT (8.2272684 49.9660312)
662538,49.9668843,8.2248193,3,,,POINT (8.2248193 49.9668843)
662662,49.9872916,8.1957596,3,,,POINT (8.1957596 49.9872916)
662673,49.989502,8.1916762,3,,,POINT (8.1916762 49.989502)
662742,50.002579,8.1852724,3,,,POINT (8.1852724 50.002579)
663092,49.9822123,8.2992395,3,,,POINT (8.2992395 49.9822123)
663126,49.981495,8.2990834,4,,,POINT (8.2990834 49.981495)
663139,49.9819205,8.298436,3,,,POINT (8.298436 49.9819205)
663162,49.9826108,8.297407,3,,,POINT (8.297407 49.9826108)
663182,49.9831638,8.299517,4,,,POINT (8.299517 49.9831638)
663212,49.9829205,8.3026757,3,,,POINT (8.3026757 49.9829205)
663215,49.983,8.3029656,3,,,POINT (8.3029656 49.983)
