element_type,osmid,geometry,barrier,amenity,check_date:opening_hours,education,name,office,opening_hours:signed,website,wikidata,wikipedia,addr:city,addr:postcode,addr:street,alt_name,operator,addr:housenumber,isced:level,operator:type,ref,school:de,building,wheelchair,nodes,Gesamtschule,addr:country,phone,building:levels,roof:levels,roof:shape,url,email,fax,opening_hours,description,fixme,note,school,denomination,religion,toilets:wheelchair,name:etymology:wikidata,addr:suburb,school:DE,type,loc_name,old_name,short_name,landuse,start_date,designation,source,addr:housename,level,school:type,ways
node,356925159,POINT (8.2570668 49.999069),,school,2023-05-03,music,Peter-Cornelius-Konservatorium,educational_institution,no,http://www.peter-cornelius-konservatorium.de,Q2073392,de:Peter-Cornelius-Konservatorium der Stadt Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6569398540,POINT (8.2603755 49.9931358),,school,,,MTAL-Schule,,,http://www.unimedizin-mainz.de/mtal/uebersicht.html,,,Mainz,55131,Augustusplatz,Lehranstalt für medizinisch-technische Laboratoriumsassistenten,Universitätsmedizin der Johannes Gutenberg-Universität Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7618632446,POINT (8.2701693 49.9960363),,school,,,Bischöfliche Willigis Realschule Plus,,,,,,Mainz,55116,Willigisplatz,,Bistum Mainz,2,2,private,40101,Realschule Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7620575078,POINT (8.2696359 49.9973163),,school,,,Maria-Ward-Schule,,,,,,Mainz,55116,Ballplatz,,,3,3B,,60389,Berufsbildende Schule,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8179960191,POINT (8.2243737 50.0030295),,school,,,Peter-Jordan-Schule,,,http://www.peter-jordan-schule-mainz.de,,,Mainz,55122,Gleisbergweg,,Stadt Mainz,48,1;2,public,30245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9603217727,POINT (8.2411671 50.0063349),,school,,,Berufsbildende Schule III,,,,,,Mainz,55122,Ludwigsburger Straße,,,8,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9911480432,POINT (8.2701942 50.0039276),,school,,,Anne-Frank-Schule Standort Petersplatz,,,https://www.afr-mainz.de/,,,Mainz,55116,Petersplatz,,Stadt Mainz,2,2,public,40008,Realschule Plus,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21635394,"POLYGON ((8.2677096 49.9777661, 8.2676614 49.9779647, 8.2676555 49.9779924, 8.2672805 49.9779535, 8.2663664 49.977846, 8.2663501 49.9778313, 8.2664718 49.9775511, 8.2664041 49.9774759, 8.2668417 49.976882, 8.2674554 49.9770004, 8.268323 49.9771129, 8.2696261 49.9772045, 8.2696133 49.9774514, 8.2693719 49.9775796, 8.2693317 49.9777342, 8.2688628 49.9776838, 8.2685577 49.9776484, 8.2685234 49.9778554, 8.2677096 49.9777661))",,school,,,IGS Anna Seghers,,,,,,Mainz,55131,Geschwister-Scholl-Straße,,Stadt Mainz,7,2;3,public,70185,Gesamtschule,,,"[233007474, 5801361943, 233007482, 427431124, 427431120, 233007500, 233007507, 233007516, 233007651, 233007529, 233007538, 427431117, 427432744, 241786403, 4405687418, 4405687417, 4405687416, 233007648, 233007474]",integriert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23256286,"POLYGON ((8.1749224 49.9951503, 8.1749816 49.9949187, 8.1749674 49.9948906, 8.1749279 49.994884, 8.174942 49.9948492, 8.174898 49.9948292, 8.1748062 49.9948149, 8.1747756 49.9947124, 8.174707 49.9946931, 8.1745332 49.9947181, 8.174501 49.9947513, 8.1745088 49.9947777, 8.1745309 49.9948524, 8.1743905 49.9950095, 8.1741814 49.9950912, 8.1741734 49.9951054, 8.1742063 49.995162, 8.1742402 49.9951755, 8.1742561 49.995203, 8.1743578 49.9951787, 8.174401 49.9951684, 8.1744916 49.9951467, 8.1745261 49.9951385, 8.1745536 49.9951861, 8.1745916 49.99519, 8.1746758 49.995159, 8.1748981 49.9951759, 8.1749224 49.9951503))",,school,,,Freie Waldorfschule Mainz,,,,Q56249664,,Mainz,55126,Merkurweg,,Waldorfschulverein Mainz e.V.,2,1;2,private,79005,Freie Waldorfschule,school,,"[251673083, 2595907824, 2595907814, 2595907808, 251673087, 2595907794, 251673090, 251673096, 2595907764, 9028903000, 251673099, 269712848, 251673101, 251673103, 251673106, 2595907874, 2595907878, 9028902999, 2595907887, 251673108, 2595907886, 251673245, 2595907876, 2595907883, 251673109, 251673110, 2595907879, 251673083]",,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23575809,"POLYGON ((8.2556423 50.0089751, 8.254898 50.0084049, 8.2539836 50.0088633, 8.2538812 50.009056, 8.2536677 50.009178, 8.2542277 50.0096222, 8.2546287 50.0094218, 8.2548545 50.009309, 8.2549573 50.0093838, 8.2556423 50.0089751))",,school,,,Goetheschule,,,https://www.goethe-grundschule-mainz.de/,,,Mainz,55118,Scheffelstraße,,Stadt Mainz,2,1,public,11379,Grundschule,,,"[255308362, 255308359, 2421861791, 2421861788, 255308360, 255308361, 7858836346, 2421861792, 2421861789, 255308362]",,,+49 6131 612026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
