element_type,osmid,amenity,name,wheelchair,geometry,opening_hours,website,addr:city,addr:housenumber,addr:postcode,addr:street,note,email,fax,phone,check_date:opening_hours,internet_access,operator,nodes,addr:country,architect,architect:wikidata,building:architecture,building:levels,building:part,image,wikidata,wikimedia_commons,wikipedia,year_of_construction,building,ways,start_date,type
node,1250000610,townhall,Katholisches Pfarrzentrum,yes,POINT (8.311631 49.9623496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1797811392,townhall,"Stadtverwaltung Mainz, Ortsverwaltung-Mainz-Hechtsheim",limited,POINT (8.2803482 49.9597236),Tu-Fr 07:30-12:00; Tu 15:00-18:00; Mo off,http://www.mainz.de/WGAPublisher/online/html/default/mkuz-5xmhaj.de.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1797811400,townhall,Stadtverwaltung Mainz,yes,POINT (8.2440247 49.9132581),Mo-Fr 08:00-12:00; Tu 17:30-19:00,http://www.mainz.de/index.php,Mainz,17,55129,Römerstraße,Export von Daten aus mobilemenschen.de,,,,,,,,,,,,,,,,,,,,,,
node,1797811404,townhall,"Stadtverwaltung Mainz, Ortsverwaltung Mainz-Weisenau",yes,POINT (8.3036398 49.9825555),Mo-We 08:30-13:00; Th 14:00-18:00; Fr 08:30-12:00,http://www.mainz.de/WGAPublisher/online/html/default/mkuz-5xmher.de.html,,,,,Export von Daten aus mobilemenschen.de,,,,,,,,,,,,,,,,,,,,,,
node,1797811405,townhall,Ortsverwaltung Mainz-Laubenheim,yes,POINT (8.3122723 49.9625103),"Mo,We-Fr 08:30-11:30, Mo 16:00-17:45; Tu off",http://www.mz-laubenheim.de/mz-laubenheim/oeffentliches/ortsverwaltung/,,,,,,ortsverwaltung.laubenheim@stadt.mainz.de,+49 6131 882630,+49 6131 86115,,,,,,,,,,,,,,,,,,,
node,1837594892,townhall,Ortsverwaltung Lerchenberg,,POINT (8.1939606 49.959216),"Mo-Th 08:00-11:30, Tu 16:00-18:00; PH closed",,,,,,,ortsverwaltung.lerchenberg@stadt.mainz.de,+49 6131 78-322,+49 6131 78-171,,,,,,,,,,,,,,,,,,,
node,3388904634,townhall,Ortsverwaltung Mainz-Neustadt,yes,POINT (8.2568723 50.0080468),"Mo-We 08:00-12:00, Th 14:00-17:00, Fr 08:00-12:00, Th 08:00-12:00",http://www.mainz.de/WGAPublisher/online/html/default/mkuz-5xmfqp,Mainz,47,55118,Leibnizstraße,,,,+49 6131 604147,2023-06-04,wlan,Landeshauptstadt Mainz,,,,,,,,,,,,,,,,
node,7433132100,townhall,Ortsverwaltung Mainz-Gonsenheim,yes,POINT (8.2095168 49.9992435),"Mo-We 08:00-12:00; Th 08:00-12:00,14:00-18:00; Fr 07:00-11:00",http://www.mainz.de/vv/oe/ortsverwaltungen/gonsenheim.php,Mainz,1,55124,Pfarrstraße,,ortsverwaltung.gonsenheim@stadt.mainz.de,+49 6131 466165,+49 6131 44651,,,,,,,,,,,,,,,,,,,
way,132921903,townhall,Rathaus,,"POLYGON ((8.2772657 50.0009321, 8.277436 50.0009953, 8.2771341 50.0013399, 8.276945 50.0012701, 8.2769804 50.0012225, 8.2769675 50.0011986, 8.2768897 50.0011758, 8.276926 50.0011264, 8.2769117 50.0011039, 8.2768356 50.0010803, 8.2768703 50.0010316, 8.2768581 50.001009, 8.2767811 50.0009864, 8.2767899 50.0009716, 8.2767676 50.0009665, 8.2767547 50.0009402, 8.2767379 50.0009149, 8.2767488 50.0008981, 8.2767242 50.0008917, 8.2767582 50.0008398, 8.2767459 50.0008194, 8.2766687 50.0007964, 8.2767037 50.000745, 8.2766918 50.0007247, 8.2766177 50.0007019, 8.2766497 50.0006519, 8.2766361 50.0006305, 8.2765597 50.0006082, 8.2766638 50.0004618, 8.2773751 50.0006706, 8.2772893 50.0007855, 8.2769252 50.0006776, 8.2768765 50.0007473, 8.2770434 50.0010318, 8.2771456 50.0010698, 8.2772657 50.0009321))",,,Mainz,1,55116,Jockel-Fuchs-Platz,,,,,,,Mainz,"[1156192824, 1154466934, 256169516, 256169510, 1156192776, 1154466920, 1154466886, 1154466897, 1154466875, 1154466894, 1154466892, 1154466890, 1154466900, 1156192793, 1156192799, 1447348873, 1154466896, 1156192796, 1156192838, 1154466912, 1154466918, 1154466937, 1154466907, 1154466939, 1154466914, 1154466915, 1154466873, 256169512, 256169513, 1154466916, 1154466933, 1156192816, 1156192827, 1156192839, 1156192806, 1156192824]",DE,Arne Jacobsen;Otto Weitling,Q273572;Q2040935,modern,7,yes,https://de.wikipedia.org/wiki/Datei:Rathaus_Mainz_Jockel-Fuchs-Platz.jpg,Q1885748,Category:Rathaus Mainz,de:Mainzer Rathaus,1970 - 1974,,,,
way,207503788,townhall,"Stadtverwaltung Mainz, Orstverwaltung Mainz-Drais",yes,"POLYGON ((8.1914032 49.9763688, 8.1915832 49.9763523, 8.1915491 49.9761987, 8.1913691 49.9762152, 8.1914032 49.9763688))","Mo,Th 08:00-12:00; Tu 08:00-12:00,16:00-18:00",,Mainz,11,55127,Daniel-Brendel-Straße,,,,,,,,"[2177561693, 2177561695, 2177561696, 2177561694, 2177561693]",,,,,,,,,,,,public,,,
