element_type,osmid,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,denomination,name,opening_hours,religion,wheelchair,geometry,addr:city,addr:country,image,operator,phone,toilets:wheelchair,website,wheelchair:description,club,contact:email,contact:fax,contact:phone,contact:website,description,source,email,community_centre,community_centre:for,operator:type,barrier,description:de,internet_access,lgbtq,air_conditioning,check_date,gay,gay:men,gay:transgender,gay:women,level,max_age,min_age,owner,short_name,toilets,toilets:access,toilets:unisex,check_date:opening_hours,name:it,note,access,sport,addr:room,cuisine,outdoor_seating,smoking,changing_table,changing_table:fee,children,disused:contact:website,opening_hours:signed,provides,wikidata,wikipedia,name:de,name:en,name:es,fixme,office,lgbtq:women,capacity,url,name:ru,mobile,tourism,contact:mobile,old_name,check_date:currency:XBT,contact:twitter,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,nodes,building,official_name,building:levels,roof:shape,height,roof:colour,fax,operator:wikidata,start_date,historic,building:colour,building:architecture,heritage,heritage:operator,heritage:ref,roof:orientation,contact:email_1,name_1,emergency,community_center:for,operator:short,addr:housename,wikimedia_commons,roof:levels,roof:height,opening_hours:office,brewery,layer,landuse,place,building:levels:underground,dogs,est_height,opening_date,ways,type
node,329117976,32,80333,Karlstraße,KHG TUM,community_centre,catholic,Katholische Hochschulgemeinde an der TU München,Mo-Fr 09:00-19:00,christian,yes,POINT (11.5647167 48.1437264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,606537008,9,80797,Rosa-Aschenbrenner-Bogen,,community_centre,,Ackermannbogen e.V.,,,yes,POINT (11.5585448 48.1648541),München,DE,,Ackermannbogen e.V.,,,,,yes,info@ackermannbogen-ev.de,+49 89 3074 9636,+49 89 3074 9634,https://ackermannbogen-ev.de/,Nachbarschafts Treff,survey by BenE München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,606545913,,,,,community_centre,,BewohnerTreff EKS 15,,,,POINT (11.5552564 48.1652034),,,,Ackermannbogen e.V.,,,https://ackermannbogen-ev.de/gemeinschaftsraeume/eks-15/,,,,,,,,,nachbarschaftsboerse@ackermannbogen-ev.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,606547910,,,,,community_centre,,Gemeinschaftsraum Olymp,,,limited,POINT (11.5548918 48.1662549),,,,Ackermannbogen e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,618197837,22,80336,Paul-Heyse-Straße,,community_centre,,Kreisjugendring München-Stadt,,,,POINT (11.5555961 48.1364903),München,DE,,Kreisjugendring München-Stadt (KJR),,,https://www.kjr-m.de/,,,,,,,"Im Kreisjugendring München-Stadt sind über 70 Jugendorganisationen und Verbänden  zusammengeschlossen. Er ist Träger von über 50 Einrichtungen der offenen Kinder und Jugendarbeit. Er ist eine Gliederung des Bayerischen Jugendrings, K.d.ö.R.",,,social_centre,juvenile,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,884824443,14,80469,Müllerstraße,,community_centre,,SuB e.V. Schwules Kommunikations- und Kulturzentrum,Mo-Th 19:00-23:00; Sa 20:00-24:00; Fr 19:00-00:00; Su 19:00-23:00,,yes,POINT (11.5734489 48.1325626),München,DE,,Christian Schultze,,yes,,,,beratung@subonline.org,,+49 89 260 250 70,https://subonline.org/,,,,,lgbtq,,,Schwules Kommunikations- und Kulturzentrum München e.V.,wlan,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,886654606,11,80331,Blumenstraße,,community_centre,,diversity Jugendzentrum,,,no,POINT (11.5734035 48.1331694),München,DE,,LesBiSchwule und Trans* Jugendorganisation München,,no,https://diversity-muenchen.de/de/,,,info@diversity-muenchen.de,+49 89 55266987,+49 89 55266986,,,,,,lgbtq,community,,,,primary,no,2021-10-30,yes,yes,yes,yes,1,27,14,diversity München e.V.,diversity,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1148216558,,,,,community_centre,,Jugendhaus Schwabing,,,,POINT (11.5798016 48.1771328),,,,,,,,,,,,,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1349896833,,,,,community_centre,,Pfarrsaal St. Johann Baptist,,,,POINT (11.5998793 48.1339001),,,,,,,https://www.pfarrverband-haidhausen.de/index.php?id=23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1680077922,,,,,community_centre,,Mädchen an den Ball,,,,POINT (11.5409829 48.1591586),,,,,,,,,,,,,,,,,youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1719688142,10,80807,Lilly-Reich-Straße,,community_centre,,Nachbarschaftstreff,Mo 15:00-18:00; Tu 10:00-13:00,,,POINT (11.5903589 48.1795054),München,DE,,,+49 89 52031977,,https://www.nt-parkstadtschwabing.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1741354256,65b,81476,Forstenrieder Allee,,community_centre,,treff und tee,"Mo,We 09:00-12:00; Fr 09:00-11:00",,,POINT (11.4981975 48.0938634),München,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1915897276,16,80797,Theo-Prosel-Weg,,community_centre,,CVJM Jugendzentrum Schwabing-West,,,no,POINT (11.5596265 48.1600064),,,,,,,,,,,,,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2260486688,,,,,community_centre,,Italienisches Kulturinstitut,,,,POINT (11.5532556 48.1284028),,,,Società Dante Alighieri,,,https://jiz-muenchen.de/de/adressen/italienisches-kulturinstitut-muenchen-77303876/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Istituto Italiano di Cultura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2518356304,,,,,community_centre,,Ignatiushaus (Jesuiten),,,,POINT (11.5899542 48.1585506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3205475161,25,80939,Werner-Heisenberg-Allee,,community_centre,,Rollwagerl-SHOP in der Allianz Arena,,,yes,POINT (11.6234525 48.2184684),München,,,,+49 89 5234388,yes,https://rollwagerl.de/service/shop/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3360336095,26,80331,Sonnenstraße,,community_centre,,ISARPOST Eventlocation,,,no,POINT (11.5650226 48.1350322),München,DE,,,+49 89 1499037880,,https://isarpost-eventlocation.de/,,,,,,,,,info@isarpost-eventlocation.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3425210763,121,80797,Heßstraße,,community_centre,,FC Anadolu Bayern,,,yes,POINT (11.5539933 48.1567006),München,,,FC Anadolu Bayern,,,http://www.fc-anadolu.com/,,sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basketball;soccer;darts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
