element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,401301237,charging_station,2,yes,ladenetz.de,24/7,Stadt München,yes,ladenetz.de,DESWME010101,POINT (11.5739817 48.1589335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1271358134,charging_station,,,,,,,,BA-0410-1; BA-0411-8,POINT (11.689693 48.1330014),München,DE,5,81829,Willy-Brandt-Platz,32,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1475946405,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5375666 48.1532363),,,,,,,2,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1895124498,charging_station,2,,,,EnBW Energie Baden-Württemberg AG,,,,POINT (11.5280605 48.1333465),,,,,,,,,,,,,,,,,,Q644304,de:EnBW Energie Baden-Württemberg,,Zugänglichkeit klären,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2409259910,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME018301,POINT (11.5752086 48.1554176),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2413225221,charging_station,1,,,,Stadtwerke München,,,,POINT (11.5577649 48.1446564),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2415163823,charging_station,1,,,,Stadtwerke München,,,,POINT (11.5549218 48.1560591),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2427086060,charging_station,2,,,,,,,,POINT (11.5531457 48.187571),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2590211683,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,,POINT (11.5656563 48.1750617),,,,,,,,,,,,,,,Stadtwerke München,,SWM,Q882871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2610743040,charging_station,2,,,24/7,Stadtwerke München,,,,POINT (11.5728826 48.1857331),,,,,,,2,,,,,,,yes,Stadtwerke München,,SWM,Q882871,de:Stadtwerke München,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2617872045,charging_station,1,,,,McDonalds,,,,POINT (11.5050421 48.088328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2647411854,charging_station,1,,,,BMWi/ChargeNow,,,,POINT (11.5738285 48.1890971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2703924735,charging_station,2,,,,BMWi/ChargeNow,,,,POINT (11.5703479 48.1893184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2787301365,charging_station,2,,,,Stadtwerke München,,,,POINT (11.556843 48.1594532),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2888806085,charging_station,,,,,,,,,POINT (11.5581572 48.1859274),,,,,,,1,,,,yes,,,yes,Combined Charging System,,,,,,,,,private,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2888806086,charging_station,1,,,24/7,BMW,,,,POINT (11.5575196 48.1768818),,,,,,,,,,,yes,,,,CCS BMW Welt,,,Q26678,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3112416816,charging_station,,no,,Mo-Fr 08:00-12:00; Th 14:00-17:30; PH off,Landratsamt München,,,,POINT (11.5828928 48.1243573),,,,,,,2,,,,yes,,,yes,,2,,,,,,,,customers,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3188452709,charging_station,,,,,Elements,,,Ladestation 1,POINT (11.6020003 48.1175025),,,,,,,1,,,,,,,,,1,,,,,,,,customers,,,,1,1,1st floor of parking garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3246201117,charging_station,,yes,,,E.ON,,,,POINT (11.5622937 48.1414091),,,,,,,2,,,,,,,,Parkhaus Elisenhof,2,,Q270223,de:E.ON,,Details about payment and charging power,,,,,,,,-2,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3280313045,charging_station,3,no,,,PASING ARCADEN,,,,POINT (11.4618438 48.1486728),,,,,,,,,,,,Gegen 1 oder 2 EUR Pfand absperrbare Boxen mit integrierter Steckdose,,,,3,,,,,,,,,,,,,,,,yes,free,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303767959,charging_station,2,,,,Stadtwerke München,,,,POINT (11.6104886 48.1284088),,,,,,,2,,,,rfid,,,,,2,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,16a,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3639585533,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5170383 48.1334286),München,,5,80686,Hans-Thonauer-Straße,,2,,,230;400,yes,,,,,2,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291621,charging_station,,,,,Stadtwerke München,,,,POINT (11.532941 48.171967),München,DE,2,80992,Emmy-Noether-Straße,,,,,,,,,,"SWM Ladestationen für Elektroautos, Stadtwerke München GmbH",,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,+49 8923612030,https://www.swm.de/elektromobilitaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4092742886,charging_station,6,no,,,ALDI Süd,,,BB-4170-9; BB-4086-6; BB-4143-3,POINT (11.5880307 48.2017365),,,,,,,1,,,,,,,yes,,3,,Q41171672,hu:Aldi Süd,,,,,,,1,,,,,,yes,,,,22kW,,,1,20kW,20kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4119415207,charging_station,,,,,Rewe,,,Ladestation 6,POINT (11.6019723 48.1174985),,,,,,,1,,,,,,,,,1,,,,,,,,customers,,,,,0,groung floor of parking garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
