element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,cinema:3D,name,opening_hours,phone,website,wheelchair,wikidata,geometry,contact:phone,contact:website,toilets:wheelchair,contact:email,contact:fax,wheelchair:description,brand,brand:wikidata,brand:wikipedia,alt_name,level,loc_name,screen,short_name,source,description,opening_hours:url,check_date:opening_hours,email,opening_hours:signed,wikipedia,operator,charge,contact:facebook,contact:instagram,fee,indoor,location,start_date,contact:twitter,gay,gay:men,lgbtq,min_age,opening_hours:covid19,payment:cash,payment:contactless,payment:debit_cards,payment:maestro,payment:mastercard,payment:visa,shop,temporary:amenity,fixme,mapillary,wikimedia_commons,building,nodes,payment:credit_cards,payment:girocard
node,78402190,München,DE,2,80337,Goetheplatz,cinema,yes,Royal Filmpalast,"Mo-Su,PH 11:00-18:00+",+49 89 533957,https://www.royal-muenchen.de/,no,Q50843566,POINT (11.5579533 48.1301415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,125087548,München,,5,80335,Karlsplatz,cinema,,Gloria Palast,15:00-20:00,,,yes,Q34380797,POINT (11.5664942 48.1396565),+49 89 120220120,https://www.gloria-palast.de/gp,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,211874136,,,,,,cinema,,Neues Rottmann,,,https://neuesrottmann.de/,limited,Q50843564,POINT (11.5602178 48.148541),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246919524,München,,31,80335,Nymphenburger Straße,cinema,yes,CINEMA Filmtheater,,,https://cinema-muenchen.com/de/,yes,Q29878919,POINT (11.5531612 48.1482688),+49-89-555255,,no,info@cinema-muenchen.com,+49-89-594599,WC etwas eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,251873298,,,,,,cinema,,CinemaxX,"Mo-Fr 13:30-22:30; PH,Sa,Su 11:30-23:30",+49 1805 24636299,https://www.cinemaxx.de/,yes,Q50877290,POINT (11.5821754 48.1341613),,,yes,,,,Cinemaxx,Q881860,de:CinemaxX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,259759735,München,DE,46,81669,Rosenheimer Straße,cinema,yes,Rio Filmpalast,,,https://www.riopalast.de,limited,Q50843565,POINT (11.5930332 48.1286376),,,,,,,,,,Rio Palast,0,Rio Kino,2,Rio,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,270952421,München,DE,3,,Nadistraße,cinema,,forum 2,,,https://www.kultur-forum2.de/,yes,,POINT (11.5516469 48.1814608),,,,,,,,,,,,,,,,,https://www.kultur-forum2.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,274372610,München,DE,9,80469,Fraunhoferstraße,cinema,,Werkstattkino,,+49 89 2607250,http://werkstattkino.de/,no,Q50843572,POINT (11.5728635 48.1308878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277309657,München,DE,32,80333,Theatinerstraße,cinema,,Theatiner Filmkunst,,+49 89223183,https://theatiner-film.de/,no,Q50843569,POINT (11.5768427 48.1409896),,,,,,,,,,,,,,,,,,2023-01-26,kirchner@theatiner-film.de,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,310668323,München,,12,81925,Rosenkavalierplatz,cinema,,Cadillac & Veranda,"""Geöffnet bei Filmvorführungen""",,,no,,POINT (11.6197878 48.1510573),+49 89 912000,https://cadillac.movieplace.de/,,cadillac@movieplace.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,338175108,München,DE,1a,80803,Herzogstraße,cinema,,ABC Kino,"Mo,We 15:00-20:30; Tu,Th 15:45-20:30; Fr 14:45-20:30; Sa,Su 15:15-20:30",,https://www.abckino.de/,yes,Q34380689,POINT (11.5855249 48.1617883),,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,339219410,München,DE,16,80687,Agricolastraße,cinema,yes,Neues Rex,,,https://neuesrex.de/,no,Q50843563,POINT (11.4923884 48.1413999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,341284210,,,11,,Sendlinger-Tor-Platz,cinema,,Filmtheater Sendlinger Tor,,+49 89 554636,https://www.filmtheatersendlingertor.de/,limited,Q34380782,POINT (11.566994 48.1340175),,,no,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,342930150,,,,,,cinema,,Filmmuseum München,,+49 89 233 22348,https://www.muenchner-stadtmuseum.de/,yes,Q1415141,POINT (11.572818 48.1348779),,,yes,,,"Zugang vom St. Jakobs-Platz (Großsteinpflaster), Lift vorhanden. 4 Behindertenparkplätze Sendlinger Straße 3. Barrierefreies WC vorhanden. 4 Rollstuhlplätze im Kino. Induktionsleitung, an der Kasse die Anlage einschalten lassen.",,,,,,,,,,,,,,,de:Filmmuseum München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369666364,München,,29,80799,Neureutherstraße,cinema,,Isabella,,,https://studio-isabella.com/,limited,Q50843567,POINT (11.5701884 48.155334),+49-89-2718844,,no,,,1 Stufe,,,,,,,,,,,,,2010@isabella.li,,,Louis Anschütz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,370745201,München,DE,78,80802,Leopoldstraße,cinema,yes,Leopold Kinos 1+2+3,"Mo-Fr 14:15-20:45; Sa,Su 13:45-20:45",,https://www.kino-zeit.de/kinoprogramm/muenchen/leopold-kino-muenchen,yes,,POINT (11.5866785 48.1607017),,,yes,,,Lift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,388387288,München,DE,12,80331,Sonnenstraße,cinema,,City Kino,,+49 89 591983,https://www.city-kinos.de/,limited,Q34380732,POINT (11.5633306 48.1369083),,,no,,,"Kino 1+3 stufenlos, Kino 2 nicht zugänglich - WC eng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,388387658,München,DE,12,80331,Sonnenstraße,cinema,,Atelier,"Mo-Fr 16:30-24:00; Sa 00:00-01:00,14:30-01:00, Su 14:30-24:00",+49 89 591918,https://www.city-kinos.de/,limited,Q34380717,POINT (11.5636997 48.1369012),,,no,,,"Kino 1 stufenlos, Kino 2 eine Stufe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,605008113,München,DE,7,80469,Hans-Sachs-Straße,cinema,,Neues Arena,,+49 89 2603265,https://www.arena-kino.de/,limited,Q34380812,POINT (11.5701561 48.1299346),,,no,,,"1 Stufe am Eingang 10cm, Ausgang durch Eingang",,,,,,,,,,,,2022-10-08,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
