element_type,osmid,geometry,description,name,operator,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,tourism,nodes,building,building:levels,roof:shape,contact:website,layer,leisure,name:en,roof:colour,sport,start_date,wikidata,old_name,amenity,architect,check_date:opening_hours,opening_hours,phone,toilets:wheelchair,website,wheelchair:description,3dr:h1,3dr:type,height,note,roof:levels,source,alt_name,community_centre:for,addr:housename,building:colour,nohousenumber,max_age,min_age,operator:wikidata,contact:email,contact:fax,contact:phone,emergency_service,ref:thw,thw:lv,thw:rb,roof:height,wikimedia_commons,wikipedia,noaddress,email,fax,social_facility,capacity,preschool,building:levels:underground,dogs,internet_access,ways,ref:isil,short_name,type,wheelchair:website
way,8039955,"POLYGON ((11.6292657 48.101928, 11.6289144 48.1018889, 11.6289207 48.1018636, 11.628879 48.101859, 11.6288998 48.1017757, 11.6289411 48.1017803, 11.6289501 48.1017443, 11.6294451 48.1017993, 11.6294738 48.1016843, 11.6297297 48.1017128, 11.6297554 48.1016097, 11.6299226 48.1016282, 11.6298775 48.101809, 11.6302609 48.1018516, 11.6302554 48.1018735, 11.6302968 48.1018781, 11.630276 48.1019615, 11.6302309 48.1019565, 11.6302188 48.1020047, 11.6299744 48.1019776, 11.6299523 48.1019751, 11.6299431 48.1020119, 11.6298148 48.1019976, 11.6298165 48.1019909, 11.6296609 48.1019736, 11.6296642 48.1019604, 11.6295022 48.1019424, 11.6294384 48.1021981, 11.6293691 48.1021904, 11.6293606 48.1022246, 11.6293553 48.1022458, 11.629325 48.1022424, 11.6293087 48.1022406, 11.6293228 48.1021838, 11.6292836 48.1021795, 11.6293178 48.102042, 11.6292395 48.1020333, 11.6292657 48.101928))",,,,,,,,,,,"[60115173, 60115156, 8438660849, 8438660850, 8438660851, 8438660852, 60115157, 2345065157, 2345065154, 60115158, 60115159, 60115160, 60115161, 2345065159, 60115162, 2345065162, 2345065168, 2345065167, 60115163, 2345065171, 2345065169, 2345065170, 8438660845, 8438660846, 8438660847, 8438660848, 60115168, 60115169, 832552161, 2345065182, 832552134, 939408895, 832552119, 832552099, 60115170, 60115171, 60115172, 60115173]",civic,4,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15805057,"POLYGON ((11.5576718 48.1748894, 11.5576676 48.1746078, 11.5567424 48.1746154, 11.5566219 48.1746147, 11.5566238 48.1747389, 11.5567132 48.1747383, 11.5567233 48.1754139, 11.5568097 48.1754134, 11.5568051 48.1751029, 11.5568582 48.1751025, 11.5568634 48.1754534, 11.5576801 48.175448, 11.5576757 48.1751542, 11.5576718 48.1748894))",,Olympia-Eissportzentrum,,,München,DE,21,80809,Spiridon-Louis-Ring,,"[1061455620, 158726745, 9604985702, 1323609998, 1323610079, 1323610026, 1323610053, 1323609989, 1323610098, 1323609971, 158726742, 158726744, 1061455622, 1061455620]",civic,,,https://www.olympiapark.de/de/der-olympiapark/parkuebersicht/olympia-eissportzentrum,1,sports_centre,Olympic Ice Sports Center,#CCCCCC,ice_skating;ice_hockey,1967,Q1594638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,16576973,"POLYGON ((11.5006972 48.1639136, 11.5006727 48.1639162, 11.500655 48.1639181, 11.5006284 48.1639209, 11.5006008 48.1639238, 11.5005721 48.1639268, 11.5005459 48.1639296, 11.5005274 48.1639315, 11.5005027 48.1639341, 11.5005248 48.1640274, 11.5004862 48.1640314, 11.500505 48.1641108, 11.5005062 48.1641156, 11.5005082 48.1641243, 11.5005112 48.1641369, 11.5004431 48.1641441, 11.5004587 48.1642102, 11.5001166 48.1642462, 11.5000763 48.1640761, 11.4998482 48.1641001, 11.499895 48.1642978, 11.4999553 48.1642914, 11.4999619 48.1643193, 11.4999815 48.1644022, 11.4999998 48.1644003, 11.5003426 48.1643642, 11.5003457 48.1643776, 11.5003769 48.1643743, 11.500501 48.1643612, 11.5004942 48.1643325, 11.500625 48.1643187, 11.5006473 48.1643164, 11.5007021 48.1643106, 11.5007465 48.1643059, 11.5007813 48.1643023, 11.5008903 48.1642908, 11.5008972 48.1643198, 11.5010498 48.1643037, 11.5010464 48.1642893, 11.5012672 48.1642661, 11.5012732 48.1642912, 11.5014711 48.1642703, 11.5014668 48.1642523, 11.5013856 48.163909, 11.5011301 48.1639359, 11.5011771 48.1641347, 11.5008747 48.1641666, 11.5008591 48.1641006, 11.5007913 48.1641077, 11.5007876 48.164092, 11.5007857 48.164084, 11.5007843 48.1640779, 11.500766 48.1640006, 11.500719 48.1640056, 11.5006972 48.1639136))",,Botanisches Institut,Freistaat Bayern,,München,DE,67,80638,Menzinger Straße,attraction,"[911911203, 911911911, 911911481, 911911145, 911911508, 911911735, 911912061, 911911388, 911911861, 171115931, 911911358, 1888791868, 911911774, 1888791858, 171115932, 171115933, 171115935, 171115936, 171115937, 171115938, 911911958, 911911241, 1888852800, 171115911, 6466421801, 911911656, 911912008, 1888852862, 171115913, 171115914, 4352637953, 4352637955, 1895329820, 4352637954, 4352637951, 171115915, 171115916, 911911303, 911911816, 911911188, 911911690, 171115918, 6478192401, 171115919, 171115920, 171115924, 171115925, 171115927, 171115928, 1888791853, 911911440, 1888791863, 911912087, 171115930, 911911203]",civic,,hipped,,,,Botanical Institute,,,,,Botanische Staatsanstalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24902910,"POLYGON ((11.6439768 48.1088232, 11.6439766 48.1089404, 11.6444053 48.1089407, 11.6444055 48.1088235, 11.644207 48.1088234, 11.6439768 48.1088232))",,,,,,,,,,,"[270576391, 270576393, 270576395, 270576397, 4308322017, 270576391]",civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27276688,"POLYGON ((11.561953 48.1606851, 11.5622126 48.1606435, 11.5621788 48.1605498, 11.5621361 48.1604315, 11.5620953 48.1603184, 11.5618357 48.1603601, 11.5618969 48.1605296, 11.561953 48.1606851))",,Stadtarchiv München,,limited,München,,68,80797,Winzererstraße,,"[299411836, 299411948, 4951421480, 4951421735, 299411838, 299411949, 2598290380, 299411836]",civic,4,,,,,,brown,,,Q2326571,,library,Hans Grässel,2022-03-24,"Mo,Tu,Th 09:00-18:00; We 09:00-12:00",+49 89 233 0308,no,https://stadt.muenchen.de/infos/stadtarchivmuenchen,Für Rollstuhlfahrer nur nach telefonischer Anmeldung und Begleitung über den rückwärtigen Eingang und Aufzug betretbar. Der Weg zum Hintereingang ist relativ steil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27426963,"POLYGON ((11.4135437 48.1575594, 11.4137364 48.1576242, 11.4138383 48.1574894, 11.4136456 48.1574246, 11.4135437 48.1575594))",,Freiwillige Feuerwehr München e.V. Bereich West I,,,,,,,,,"[301114174, 301114175, 301114176, 301114177, 301114174]",civic,,3dr,,,,,,,,,,fire_station,,,,,,,,3,2.0,12,Experimental 3dr tagging! Building/roof heights are most likely NOT exact!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27883266,"POLYGON ((11.5945945 48.1256677, 11.5945902 48.1256743, 11.5945584 48.1256639, 11.5944308 48.1256285, 11.5944213 48.1256247, 11.5944918 48.1255155, 11.5945642 48.1254078, 11.5947331 48.1254573, 11.594672 48.12555, 11.5945945 48.1256677))",,,,,München,DE,9,81669,Sankt-Wolfgangs-Platz,,"[306130860, 3190094413, 3190094412, 3190094411, 306130863, 3190094403, 306130865, 306130867, 1347500188, 306130860]",civic,3,gabled,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32374361,"POLYGON ((11.524738 48.0982186, 11.526101 48.0983451, 11.5261348 48.0981823, 11.5247719 48.0980558, 11.524757 48.0981276, 11.524738 48.0982186))",,,,,,,,,,,"[364338930, 364338934, 364338938, 364338939, 7723626902, 364338930]",civic,1,flat,,,,,#555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40667029,"POLYGON ((11.6363477 48.1098828, 11.6363467 48.1096783, 11.6363463 48.1096103, 11.636346 48.1095427, 11.63692 48.1095377, 11.6369218 48.1096532, 11.6369237 48.1097697, 11.6369254 48.1098776, 11.636775 48.1098791, 11.6365613 48.1098812, 11.6363477 48.1098828))",,,,,,,,,,,"[493925924, 2892588177, 2892588174, 493925925, 493925926, 2892588179, 2892588173, 493925927, 2892588175, 2137534967, 493925924]",civic,,,,,,,,,,,,,,,,,,,,,,,,,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43762507,"POLYGON ((11.5574698 48.1866732, 11.5573525 48.1866632, 11.5572398 48.1866535, 11.5571432 48.1871551, 11.5573753 48.187175, 11.5573936 48.1870795, 11.5578834 48.1871215, 11.5578965 48.1870534, 11.5579049 48.1870098, 11.557909 48.1869885, 11.5574172 48.1869463, 11.5574698 48.1866732))",,,,,München,DE,28,80809,Moosacher Straße,,"[554202458, 9810926664, 554202475, 554202491, 554202499, 554202513, 554202516, 2483443364, 554202518, 7267102621, 554202520, 554202458]",civic,2,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
