element_type,osmid,man_made,surveillance:type,surveillance:zone,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,source,email,opening_hours,access,amenity,name,contact:email,contact:fax,contact:phone,contact:website,fee,operator,parking,capacity,addr:housename,ref,level,alt_name,phone,short_name,wikidata,wikipedia,layer,disused:shop,building,name:de,name:en,addr:suburb,check_date,surveillance,tourism,note,drive_through,nodes,building:levels,building:material,roof:shape,old_name,roof:colour,roof:levels,branch,brand,brand:wikidata,brand:wikipedia,leisure,building:colour,office,capacity:disabled,wheelchair:description,height,shop,website,cuisine,takeaway,smoking,check_date:opening_hours,gambling,description,historic,start_date,recycling_type,fixme,roof:type,noaddress,club,sport,sport:league,official_name,roof:angle,building:part,fax,craft,lastcheck,opening_hours:office,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,image,brothel:eros_center,drink:club-mate,wheelchair:entrance_width,wheelchair:step_height,roof:height,railway,roof:material,source:height,wikimedia_commons,breakfast,internet_access,internet_access:fee,service_times,stars,opening_hours:url,healthcare,healthcare:speciality,nohousenumber,asb,note:de,onkz,operator:wikidata,operator:wikipedia,telecom,biergarten,brewery,diet:vegetarian,outdoor_seating,reservation,toilets:wheelchair,self_checkout,diet:halal,diet:kosher,diet:vegan,compressed_air,repair,sale,coffee,opening_hours:signed,indoor_seating,operator:type,note:building_type,subject:wikidata,subject:wikipedia,roof,building:architect,construction_date,roof:orientation,automated,self_service,min_height,min_level,air_conditioning,description:de,service,payment:cash,material,shooting,power,frequency,location,building:min_level,corridor,organic,delivery,name:es,name:ru,name:zh,rooms,beer_garden,building:use,note2,opening_hours:phone,contact:facebook,building:levels:underground,roof:direction,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,second_hand,ways,type,int_name
node,2438042556,,,,POINT (11.5580294 48.1186334),München,DE,2,,Schäftlarnstraße,,,,,,,Blumengroßmarkthalle München-Thalkirchen,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727015,,,,POINT (11.5533807 48.119332),,,,,,,,,,,,Halle 1,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727016,,,,POINT (11.5535564 48.1195227),,,,,,,,,,,,Halle 2,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727017,,,,POINT (11.5537576 48.1197071),,,,,,,,,,,,Halle 3,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2580727018,,,,POINT (11.5539574 48.1198969),,,,,,,,,,,,Halle 4,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4592493,,,,"POLYGON ((11.4145431 48.1410747, 11.4144948 48.1412431, 11.4142639 48.141211, 11.4142541 48.1412522, 11.4142145 48.1412459, 11.4140165 48.1412145, 11.4140547 48.1411075, 11.4140869 48.1410173, 11.4143221 48.1410469, 11.4145431 48.1410747))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[28380598, 28380595, 299021080, 28380602, 4709664768, 2036320483, 4680442841, 28380600, 4709664765, 28380598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5049471,,,,"POLYGON ((11.570644 48.1943579, 11.5708424 48.1943644, 11.5710642 48.1943701, 11.5707734 48.1941688, 11.5705495 48.1940003, 11.5705433 48.1941356, 11.5705369 48.1942753, 11.570644 48.1943579))",,,,,,,,,,,,FIZ Haupteingang 14.6,,,,,,,,,,,,,,,,,1,,commercial,,,,,,,,,"[33848227, 33848224, 28204596, 2140789598, 28204598, 33848240, 33848238, 33848227]",2,glass,skillion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,5216717,,,,"POLYGON ((11.5885075 48.1875162, 11.5885725 48.1875177, 11.5888911 48.1875252, 11.5890082 48.1875279, 11.5890285 48.1871446, 11.5887054 48.187137, 11.5885277 48.1871328, 11.5885075 48.1875162))",München,,160,80807,Frankfurter Ring,,,,,,,P+Z Engineering,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[36681576, 3664767078, 3664767079, 36681577, 36681574, 3664767083, 36681575, 36681576]",5,,flat,Fernwärme Siemens-Areal,grey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,8010598,,,,"POLYGON ((11.5923352 48.1952588, 11.592337 48.1951774, 11.5916849 48.195171, 11.5905002 48.1951594, 11.590488 48.1957131, 11.5909726 48.1957179, 11.5916485 48.1957245, 11.5916458 48.1958481, 11.5918151 48.1958498, 11.5918179 48.1957241, 11.5923248 48.195729, 11.5923352 48.1952588))",München,DE,10,80939,Helene-Wessel-Bogen,,Yahoo / YWMS,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[549316316, 549316310, 59937298, 59937295, 59937296, 9344235399, 59937297, 549316327, 549316330, 549316325, 9344279919, 549316316]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9725652,,,,"POLYGON ((11.5902388 48.1882192, 11.5903161 48.1882194, 11.5903166 48.1881276, 11.5891697 48.1881246, 11.5891685 48.1883176, 11.589736 48.188319, 11.5897366 48.1882032, 11.5902389 48.1882045, 11.5902388 48.1882192))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[8289327271, 1597814167, 76907517, 76907518, 76907521, 8289327272, 76907523, 1597814168, 8289327271]",2,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
