element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,wheelchair,amenity,operator,nodes,architect,architect:wikidata,building,building:levels,height,heritage,heritage:operator,heritage:ref,name,name:en,opening_hours,roof:shape,start_date,wikidata,wikipedia,building:colour,building:material,roof:colour,roof:height,roof:material,addr:housename,old_name,ref,emergency,operator:short,operator:wikidata,website,historic,wikimedia_commons,contact:email,contact:fax,contact:phone,contact:website,emergency_service,ref:thw,thw:lv,note,government,office,phone,consulate,contact:facebook,country,diplomatic,name:hu,ref:BLfD,source:start_date,building:part,min_height,roof:angle,description,ways,type
way,25299234,"POLYGON ((11.462447 48.1473902, 11.4628434 48.1473836, 11.4628285 48.1469904, 11.4626992 48.1469925, 11.4626291 48.1469937, 11.4626302 48.1470237, 11.4626996 48.1470226, 11.4627074 48.1472299, 11.4626349 48.1472312, 11.4625639 48.1472324, 11.4625608 48.1471528, 11.4625594 48.1471139, 11.4625158 48.1471146, 11.4625173 48.1471531, 11.462438 48.1471544, 11.462447 48.1473902))",,,,,,,yes,townhall,,"[275563127, 275563129, 275563130, 6481488064, 275563131, 6481488067, 6481488066, 275563132, 2133119829, 275563134, 6481488065, 4411906204, 4411906205, 4411906203, 275563138, 275563127]",,,government,3,,,,,Bürgerzentrum Pasinger Rathaus (Neubau),,"Mo,We,Fr 07:30-13:00, Tu,Th 08:30-13:00, Tu 14:00-18:00",flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27909458,"POLYGON ((11.5912264 48.1420782, 11.590746 48.1421766, 11.5906759 48.1420226, 11.5904616 48.142066, 11.5905333 48.1422234, 11.5903352 48.1422636, 11.5902314 48.1422846, 11.5900538 48.1423206, 11.5899831 48.1421653, 11.5897668 48.1422091, 11.5898368 48.1423629, 11.5893584 48.1424598, 11.5894217 48.1425989, 11.5898689 48.1425099, 11.5903967 48.1424015, 11.5907184 48.1423361, 11.5912923 48.142223, 11.5912587 48.1421491, 11.5912264 48.1420782))",München,,28,80538,Prinzregentenstraße,,,,,"[306367712, 306367714, 306367715, 306367717, 306367718, 28096326, 310289648, 306367720, 306367721, 306367723, 306367724, 306367693, 306367695, 1846939781, 4027838947, 1822796027, 306367696, 1846939774, 306367712]",,,government,,19,,,,"Bayerisches Staatsministerium für Wirtschaft, Landesentwicklung und Energie",,,hipped,,,,#d2c4a8,plaster,maroon,8,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30491357,"POLYGON ((11.6160658 48.1586718, 11.6160101 48.158606, 11.6160283 48.1585992, 11.6160039 48.1585703, 11.615984 48.1585778, 11.6159358 48.1585209, 11.6157926 48.1585748, 11.6159208 48.1587264, 11.6160658 48.1586718))",,,,,,Bing,,,,"[336480747, 1529952300, 1529952298, 1529952302, 1529952295, 336480753, 336480759, 336480764, 336480747]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30721515,"POLYGON ((11.6093726 48.1517165, 11.609498 48.1516479, 11.6094824 48.1516352, 11.6095946 48.1515738, 11.609525 48.1515172, 11.6094051 48.1515828, 11.6092965 48.1514945, 11.609327 48.1514778, 11.6091888 48.1513654, 11.6090406 48.1514465, 11.6090868 48.151484, 11.6093726 48.1517165))",,,,,,,,,,"[339773279, 1496848660, 1496848659, 339773285, 339773289, 339773294, 1496848657, 1496848658, 339773297, 339773300, 6173170489, 339773279]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561837,"POLYGON ((11.5434073 48.1685498, 11.5438644 48.1682799, 11.5434751 48.1679866, 11.543018 48.1682565, 11.5434073 48.1685498))",,,,,,,,,,"[366224563, 366224565, 366224566, 366224568, 366224563]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561849,"POLYGON ((11.5408556 48.1683683, 11.5409414 48.1683226, 11.5408899 48.1682768, 11.5412332 48.1680764, 11.541362 48.1681623, 11.5414134 48.1681336, 11.5416795 48.1683226, 11.541628 48.1683626, 11.5417482 48.1684428, 11.5415508 48.1685744, 11.5408556 48.1683683))",,,,,,,,,,"[366224956, 366224959, 366224963, 366224966, 366224968, 366224970, 366224971, 366224973, 366224974, 366224975, 366224956]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561857,"POLYGON ((11.540282 48.1679726, 11.5403676 48.1680525, 11.5404155 48.1680285, 11.5406324 48.1681909, 11.5407011 48.1681508, 11.5407869 48.1682195, 11.5411045 48.1680421, 11.5408212 48.1678131, 11.5407011 48.1678131, 11.5405637 48.1678245, 11.540282 48.1679726))",,,,,,,,,,"[366225339, 2090525404, 2090525403, 366225342, 366225345, 366225347, 366225351, 366225353, 366225355, 366225359, 366225339]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561921,"POLYGON ((11.5400964 48.1668495, 11.5404383 48.1671134, 11.5410015 48.1675388, 11.5410524 48.1675089, 11.5411078 48.1675508, 11.5412038 48.1674943, 11.5412721 48.1675459, 11.5416634 48.1673155, 11.5415789 48.1672516, 11.541543 48.1672246, 11.5411626 48.1674485, 11.5408032 48.1671769, 11.5411782 48.1669561, 11.5410574 48.1668649, 11.5406692 48.1670934, 11.5402201 48.1667432, 11.5401118 48.1667846, 11.5400964 48.1668495))",,,,,,,,,,"[366225844, 1479183725, 366225847, 6048526908, 6048526907, 6048526906, 1479183730, 366225848, 1046424310, 366225849, 366225851, 366225852, 366225854, 366225855, 366225857, 366225858, 10743680210, 366225844]",,,government,,,,,,,,,,,,,,,,,,Gebäude 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561923,"POLYGON ((11.5418512 48.1684428, 11.5419885 48.1683111, 11.5419542 48.1682653, 11.5422803 48.168105, 11.5423919 48.1681966, 11.5424778 48.168168, 11.5427009 48.1683455, 11.5426494 48.1683912, 11.5427867 48.1685057, 11.5424949 48.168666, 11.5418512 48.1684428))",,,,,,,,,,"[366226018, 366226021, 366226022, 366226024, 366226025, 366226027, 366226029, 366226030, 366226032, 366226033, 366226018]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32561949,"POLYGON ((11.5422393 48.1676921, 11.5424996 48.1678869, 11.5426484 48.1678051, 11.5427652 48.1679033, 11.5431451 48.167676, 11.5430233 48.1675955, 11.5427915 48.1677352, 11.5427309 48.16768, 11.5425826 48.1676696, 11.5424938 48.1677184, 11.5423596 48.167623, 11.5422393 48.1676921))",,,,,,,,,,"[366226392, 366226394, 366226396, 366226400, 366226403, 366226407, 366226410, 366226411, 366226414, 366226416, 366226418, 366226392]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
