element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:website,internet_access,internet_access:fee,name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,wheelchair,geometry,check_date:opening_hours,ref:isil,access,email,opening_hours:covid19,phone,website,contact:email,contact:fax,contact:phone,toilets:wheelchair,wheelchair:website,alt_name,check_date,level,wikidata,internet_access:ssid,short_name,wheelchair:description,source,wikipedia,image,wikimedia_commons,name:en,air_conditioning,building,description,start_date,topic,language:de,language:en,name:etymology:wikidata,official_name,service:copy,service:scan,fax,wheelchair:description:de,name:de,name:fr,opening_hours:url,indoor,name:ru,nodes,architect,building:levels,roof:colour,roof:shape,building:material,est_height,roof:height,roof:material,note,room,fence,ways,type
node,198200532,München,DE,61a,80992,Pelkovenstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-moosach,wlan,no,Münchner Stadtbibliothek Moosach,"Mo,Tu,Th,Fr 10:00-19:00; We 14:00-19:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5290142 48.1817693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,238059668,München,DE,8,81369,Albert-Roßhaupter-Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-sendling,wlan,no,Münchner Stadtbibliothek Sendling,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5379376 48.1170783),2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283031237,,,,,,library,https://www.ub.uni-muenchen.de/index.html,,,Universitätsbibliothek der LMU München,,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,limited,POINT (11.5805338 48.149703),,DE-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283161403,München,DE,16,81925,Rosenkavalierplatz,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-bogenhausen,wlan,no,Münchner Stadtbibliothek Bogenhausen,"Mo,Tu,Th,Fr 10:00-19:00; We 14:00-19:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.619826 48.1516994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,291424303,München,DE,241,81827,Wasserburger Landstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-waldtrudering/,wlan,no,Münchner Stadtbibliothek Waldtrudering,Tu-Fr 10:00-19:00; Sa 10:00-15:00; PH off,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.7065929 48.1122188),,,customers,stb.waldtrudering.kult@muenchen.de,open,+49 89 4306372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,296937529,München,DE,5,80538,Sankt-Anna-Platz,library,,,,Pfarrbücherei Sankt Anna,Mo 16:30-18:30;Th 16:00-18:00,,,,,no,POINT (11.5878069 48.1402732),,,,,,+49 89 21021717,https://www.erzbistum-muenchen.de/pfarrei/st-anna-muenchen/cont/64344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301219550,München,DE,43,81671,Führichstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-ramersdorf,wlan,no,Münchner Stadtbibliothek Ramersdorf,Sa 10:00-15:00; Tu-Fr 10:00-19:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.6146721 48.1176662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,301895714,München,DE,4,81673,Schlüsselbergstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-berg-am-laim,wlan,no,Münchner Stadtbibliothek Berg am Laim,Tu-Fr 10:00-19:00; Sa-Su 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.6221657 48.129588),,,,,,,,stb.bergamlaim.kult@muenchen.de,+49 89 432293,+49 89 4311238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,305506462,München,DE,1,80336,Beethovenplatz,library,,,,Medizinische Lesehalle,Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00; PH off,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,limited,POINT (11.5581371 48.133499),,,,ml@ub.uni-muenchen.de,,+49 89 2180-73920,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0700/index.html,,,,yes,http://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#med-lesehalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,307528348,München,DE,28,80337,Kapuzinerstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-isarvorstadt,wlan,no,Münchner Stadtbibliothek Isarvorstadt,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.559648 48.125497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,309292496,München,DE,4,80933,Blodigstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-hasenbergl,wlan,no,Münchner Stadtbibliothek Hasenbergl,"Mo,Tu,Th,Fr 10:00-19:00; We 14:00-19:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,,POINT (11.5572469 48.2134119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,322657408,München,DE,20,81539,Deisenhofener Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-giesing,wlan,no,Münchner Stadtbibliothek Giesing,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.582225 48.1142365),,,,,,,,,,,yes,,,,,,Stadtbibliothek-Muenchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,329571612,München,DE,340,80809,Schleißheimer Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-milbertshofen,wlan,no,Münchner Stadtbibliothek Milbertshofen,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5669535 48.1829878),2021-10-25,,,,,+49 89 189378590,,,,,,,,2023-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,348051346,München,DE,2a,81737,Charles-de-Gaulle-Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-neuperlach,wlan,no,Münchner Stadtbibliothek Neuperlach,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.6441307 48.1018265),,,,,,,,,,+49 89 189368-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,401334286,,,,,,library,,,,Bücherbus,Tu 12:00-13:30; PH off,Landeshauptstadt München,,,,no,POINT (11.6100403 48.0918396),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,441272363,,,,,,library,,,,Bibliothek der Hochschule München,"""I'm den Semesterferien abweichende Zeiten. Kernzeit dann 09-22.""",,,,,yes,POINT (11.5525138 48.1537985),,none,,,,,https://www.bib.hm.edu/diebibliothek/zentralbibliothek/uebersichtzentralbibliothek/index.de.html,,,,,,,,,Q15792706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,442006817,München,DE,62,80335,Lothstraße,library,,,,Bayerische Blindenhörbücherei e.V.,,,,,,,POINT (11.5551211 48.1547343),,,,,,,https://www.bbh-ev.org/portal/,,,,,,,,,,,BBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,445388076,München,DE,15,81247,Seldweg,library,,,,Internationale Jugendbibliothek,Mo-Fr 14:00-18:00,,,,,,POINT (11.4571439 48.1633994),,,,,,,https://www.ijb.de/home,,,,,,,,,Q575153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,671896561,München,DE,90,81375,Guardinistraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-hadern,wlan,no,Münchner Stadtbibliothek Hadern,"Mo,Tu,Th,Fr 10:00-19:00; We 14:00-19:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.490761 48.1185988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,924222834,,,,,,library,,,,Sankt-Laurentius-Bibliothek,,,,,,no,POINT (11.5317605 48.1657055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,999743176,München,DE,13,80802,Leopoldstraße,library,,wlan,,Zentrale Lehrbuchsammlung,Mo-Fr 08:00-20:00,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.5833287 48.1561216),2023-02-25,,,,,,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0050/index.html,,,,,,Studentenbibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1004038721,München,DE,16,80801,Hohenzollernstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-schwabing,wlan,no,Münchner Stadtbibliothek Schwabing,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5836112 48.1597445),,,,,,,,,,+49 89 4521 3630,,,,,,,,,Zugang über Lift im Innenhof. Rollstuhlgerechtes WC vorhanden.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1237345504,München,,21,80333,Arcisstraße,library,https://www.ub.tum.de/,wlan,,TUM Universitätsbibliothek (Stammgelände),"Mo-Fr 08:00-22:00; Sa,Su 09:00-22:00",,,,,yes,POINT (11.5677668 48.1488833),,DE-91,,,,,,,,,,,,,,Q1612500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1240840104,München,DE,62,80992,Georg-Brauchle-Ring,library,,,,TUM Universitätsbibliothek (Sportwissenschaft),,,,,,,POINT (11.5347493 48.1774203),,DE-91,,,,,,,,,,,,,,,,,,http://www.ub.tum.de/teilbibliothek-sportwissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1240890644,München,DE,3,81675,Nigerstraße,library,,,,TUM Universitätsbibliothek (Medizin),,,,,,,POINT (11.606363 48.1383404),,DE-91,,,,,,,,,,,,,,,,,,professional_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1527285726,,,,,,library,,,,Bibliothek Augusto Roa Bastos,,,,,,limited,POINT (11.5806455 48.1406416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1567305499,München,DE,92,80798,Augustenstraße,library,https://www.muenchner-stadtbibliothek.de/,wlan,no,Münchner Stadtbibliothek Maxvorstadt,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5648447 48.151772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1741354331,München,DE,4,81476,Berner Straße,library,https://www.muenchner-stadtbibliothek.de/,wlan,no,Münchner Stadtbibliothek Fürstenried,Tu-Fr 8:00-22:00; Sa 10:00-15:00; PH off,Münchner Stadtbibliothek,public,Q1518519,,yes,POINT (11.4945663 48.0958408),,,,,,,,stb.fuerstenried.kult@muenchen.de,,+49 89 233 294 60,yes,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Stadtbibliothek_F%C3%BCrstenried_S%C3%BCdansicht.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1896420872,,,,,,library,,,,Bibliothek und Archiv des Deutschen Alpenvereins,Tu 12:00-19:00,Deutscher Alpenverein,,,,no,POINT (11.5889986 48.1351704),2023-04-14,,,,,,https://www.alpenverein.de/Kultur/Bibliothek-Archiv/,,,,,,,,,Q28733496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2203029604,München,DE,53,80686,Fürstenrieder Straße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-laim,wlan,no,Münchner Stadtbibliothek Laim,Tu-Fr 10:00-19:00; Sa 10:00-15:00,Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5034358 48.1364024),,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2385165424,,,,,,library,,wlan,,Bibliothek des Deutschen Museums,Mo-Su 09:00-17:00,Deutsches Museum München,,,,limited,POINT (11.5839868 48.130368),2022-12-11,DE-210,,,,,https://www.deutsches-museum.de/forschung/bibliothek,,,,yes,,,,,Q856506,,,,,de:Bibliothek des Deutschen Museums,,Category:Bibliothek des Deutschen Museums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2547288685,München,DE,83a,80799,Amalienstraße,library,https://www.lyrik-kabinett.de/,,,Stiftung Lyrik Kabinett,,,,,,,POINT (11.5784492 48.1513693),,,,,,,,info@lyrik-kabinett.de,,,,,,,,Q1878943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2723224400,,,7,,Fellererplatz,library,,,,Kath. Öffentliche Bücherei im Pfarrzentrum,We 15:00-18:00; Su 10:00-12:00,Pfarrei St. Johann Baptist,religious,,,,POINT (11.5171169 48.0777089),,,,,,+49 89 7498450,https://www.pfarrverband-solln.de/st-johann-baptist/buecherei.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2969428784,München,,5-13,81377,Butenandtstraße,library,,,,Fachbibliothek Chemie und Pharmazie,"Mo-Fr 08:00-22:00; Sa 09:00-18:00; Su,PH off",Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.4670297 48.1136955),,,,,,+49 89 2180-77060,https://www.cup.uni-muenchen.de/de/fakultaet/zentrale-bereiche/bibliothek/,,,,yes,https://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#cup,,,,,,,,,,,,Campus Library Chemistry and Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3212361602,München,DE,3,80333,Karolinenplatz,library,,,,Amerikahaus-Bibliothek,Mo-Fr 14:00-18:00,,,,,,POINT (11.5681141 48.1444069),,,,,,+49 89 55253720,https://www.amerikahaus.de/recherchezentrum/recherchieren-im-amerikahaus,,,,,,,,,Q28738700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3273877854,München,,2,81545,Sanatoriumsplatz,library,,wlan,no,Krankenhausbibliothek Harlaching,We-Fr 12:30-15:30,Münchner Stadtbibliothek,public,Q1518519,,yes,POINT (11.5570912 48.0855008),,,,,,+49 89 6210 2244,,,,,,,,,0,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3316985672,München,DE,20c,80339,Schießstättstraße,library,https://www.muenchner-stadtbibliothek.de/stadtbibliothek-westend,wlan,no,Münchner Stadtbibliothek Westend,"Mo,Tu,Th,Fr 10:00-19:00; We 14:00-19:00",Münchner Stadtbibliothek,public,Q1518519,de:Münchner Stadtbibliothek,yes,POINT (11.5448796 48.1364498),,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3890520783,München,DE,21,80686,Hansastraße,library,,,,ADAC-Bibliothek,,,,,,,POINT (11.52882 48.132825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929292586,München,DE,29,80337,Waltherstraße,library,https://oekom-verein.de/zukunftssalon/,wlan,no,oekom e.V. - Münchner Zukunftssalon,,oekom e.V. - Verein für ökologische Kommunikation,,,,,POINT (11.5592115 48.1285441),,,,,,,,bibliothek@oekom-verein.de,+49 89 76758956,+49 89 54418411,,,,,2,,,,,,,,,,,,Der Münchner Zukunftssalon ist ein vom oekom e.V. betreuter Veranstaltungsraum mit einer umfangreichen Umweltbibliothek.,2003,environment,,,,,,,,,,,,,,,,,,,,,,,,,,,
