element_type,osmid,barrier,geometry,created_by,highway,access,note,bicycle,name,opening_hours,wheelchair,source,alt_name,old_name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,description,check_date,operator,leisure,wikidata,wikimedia_commons,historic,natural,nodes,landuse,wikipedia,image,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,website,dogs,leaf_type,naturism,nudism,sport,surface,contact:website,layer,dog,name:etymology:wikidata,alcohol,openfire,area,architect:landscape,start_date,protection_title,name:ru,name:zh,heritage,heritage:operator,heritage:ref,name:de,opening_hours:covid19,name:es,garden:style,name:ar,name:bar,name:fr,name:it,opening_date,landcover,loc_name,operator:type,fee,fence_type,height,garden:type,ways,type,short_name,email,fax,phone,BLfD:criteria,ref:BLfD
node,5141107389,,POINT (11.5650277 48.1193807),,,,,,Rosengarten,,,,,,,,,,,Verschiedene Rosenarten,,,park,Q95918084,Category:Rosengarten an der Sachsenstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6521903324,,POINT (11.546202 48.1681542),,,,,,Gemeinschaftsgarten o'pflanzt is!,,,,,,,,,,,,,o'pflanzt is! e.V.,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9127973599,,POINT (11.5024794 48.0920549),,,,,,Hühnerberg,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10315621109,,POINT (11.4997925 48.1393943),,,,,,Laimer Anger,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3618206,,"POLYGON ((11.6462425 48.1231187, 11.6458384 48.1232661, 11.6462826 48.1238008, 11.6468294 48.1244919, 11.6468506 48.1245601, 11.6468181 48.1247583, 11.6472189 48.1247923, 11.6472747 48.1245985, 11.6472828 48.124452, 11.6472288 48.1243249, 11.6467015 48.1236829, 11.6462425 48.1231187))",,,,,,,,,,,,,,,,,,,,park,,,,,"[17902884, 17902883, 17902885, 17902886, 1860509328, 17902888, 17902889, 17902890, 1860509326, 17902891, 1860509320, 17902884]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3618801,,"POLYGON ((11.6511576 48.1191158, 11.6517667 48.1189617, 11.6517308 48.1189083, 11.6517893 48.1188857, 11.6517078 48.1187182, 11.6522847 48.1185161, 11.6528384 48.1183279, 11.653685 48.1180585, 11.6536664 48.1180337, 11.653742 48.1180077, 11.6537635 48.1180329, 11.6538143 48.1180096, 11.6536475 48.1178128, 11.650919 48.1187586, 11.6511576 48.1191158))",,,,,,,,,,,,,,,,,,,,park,,,,,"[17908441, 17908443, 1860509199, 1860509198, 17908442, 1860509191, 17908447, 3799181031, 3799181027, 3799181021, 3799181026, 17908446, 17908445, 17908440, 17908441]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3618802,,"POLYGON ((11.6518426 48.1190306, 11.6510424 48.1192262, 11.6498967 48.1195486, 11.6500786 48.1197952, 11.6501849 48.1197536, 11.6502359 48.119738, 11.6507066 48.1195925, 11.650781 48.1195911, 11.6519511 48.1191742, 11.6518426 48.1190306))",,,,,,,,,,,,,,,,,,,,park,,,,,"[17908453, 1747857606, 17908448, 17908449, 4891402391, 4891402390, 4891402389, 4891402392, 17908454, 17908453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3661718,,"POLYGON ((11.7037036 48.1036883, 11.7035159 48.1038965, 11.7022873 48.105129, 11.7016251 48.1058497, 11.701629 48.1059008, 11.7024466 48.1062577, 11.702486 48.1062375, 11.7031914 48.1054969, 11.7038968 48.104707, 11.7045048 48.1040465, 11.7044983 48.103991, 11.7037654 48.1036735, 11.7037036 48.1036883))",,,,,,Heuluss,,,,,,,,,,,,,,park,,,,,"[18154841, 6881498103, 664665404, 18154838, 6881498102, 18154839, 6881498097, 6881498100, 6881498099, 18154840, 6881498111, 6881498112, 18154841]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3661746,,"POLYGON ((11.7037976 48.1035676, 11.7038083 48.1035893, 11.7045741 48.103927, 11.7046327 48.1039135, 11.70468 48.1038902, 11.705073 48.103464, 11.7055746 48.1028838, 11.7061081 48.1023473, 11.7061123 48.102297, 11.7057213 48.1021463, 11.7052795 48.1019737, 11.7052032 48.1019928, 11.7048182 48.1023902, 11.7045262 48.1027108, 11.7039826 48.1033225, 11.7037976 48.1035676))",,,,,,Heuluss,,,,,,,,,,,,,,park,,,,,"[18154941, 6881498113, 6881498114, 18154942, 6881498104, 6881498105, 1020775187, 18154943, 6881498110, 6284137583, 6881498109, 18154944, 6881498108, 266553498, 6881498106, 18154941]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,3689513,,"POLYGON ((11.6458356 48.1209346, 11.6464682 48.120796, 11.6468705 48.1207004, 11.6474423 48.1205511, 11.6481682 48.1203523, 11.6484264 48.1202797, 11.6498883 48.119864, 11.6496505 48.1195478, 11.6476059 48.1201449, 11.6455852 48.120642, 11.6456387 48.12071, 11.6457002 48.1206943, 11.6457617 48.1207825, 11.6457273 48.120797, 11.6458356 48.1209346))",,,,,,,,,,,,,,,,,,,,park,,,,,"[18288530, 18288531, 1860509256, 1860509252, 18288532, 1860509244, 18288528, 18288527, 1860509236, 18288529, 1860509258, 1860509255, 1860509261, 1860509263, 18288530]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
