element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
node,495073049,permissive,parking_space,POINT (11.5724854 48.1863017),,,,,,,,,,,,,,,,,,,,,,,,
node,5741873407,,parking_space,POINT (11.5792307 48.1784164),disabled,,,,,,,,,,,,,,,,,,,,,,,
node,7875632293,,parking_space,POINT (11.5071486 48.1195477),disabled,2,,,,,,,,,,,,,,,,,,,,,,
node,9130143476,,parking_space,POINT (11.5679891 48.1453678),private,1,,,,,,,,,,,,,,,,,,,,,,
node,10246970193,,parking_space,POINT (11.6125896 48.1270826),private,,,,,,,,,,,,,,,,,,,,,,,
way,142041819,,parking_space,"POLYGON ((11.5251096 48.1512803, 11.5251733 48.1512866, 11.5251543 48.1513708, 11.5250907 48.1513639, 11.5251096 48.1512803))",,4,"[1554645147, 1554645153, 1554645290, 1554645252, 1554645147]",street_side,perpendicular,,,,,,,,,,,,,,,,,,,
way,175791398,,parking_space,"POLYGON ((11.5254202 48.2180245, 11.5255742 48.2180234, 11.5255728 48.2179354, 11.5255032 48.2179359, 11.5255029 48.2179162, 11.5254184 48.2179168, 11.5254202 48.2180245))",,,"[1863457041, 1863457040, 1863457038, 1863457039, 1863457027, 1863457029, 1863457041]",,,,,,,,,,,,,,,,,,,,,
way,206004816,,parking_space,"POLYGON ((11.5871127 48.1923556, 11.5868372 48.1923535, 11.5868393 48.1922645, 11.5871148 48.1922665, 11.5871127 48.1923556))",,16,"[2160051067, 2160051065, 2160051045, 2160051046, 2160051067]",,,,,,,,,,,,,,,,,,,,,
way,206004817,,parking_space,"POLYGON ((11.5871109 48.1924555, 11.5868348 48.1924529, 11.5868358 48.1924062, 11.5871119 48.1924088, 11.5871109 48.1924555))",,8,"[2160051093, 2160051092, 2160051079, 2160051080, 2160051093]",,,,,,,,,,,,,,,,,,,,,
way,206004818,,parking_space,"POLYGON ((11.5871317 48.1914037, 11.58713 48.1914893, 11.5868588 48.191487, 11.5868605 48.1914014, 11.5871317 48.1914037))",,14,"[2160050729, 2160050740, 2160050738, 2160050727, 2160050729]",,,,,,,,,,,,,,,,,,,,,
way,206004819,,parking_space,"POLYGON ((11.587134 48.1913023, 11.5871325 48.1913501, 11.5868902 48.1913468, 11.5868917 48.191299, 11.587134 48.1913023))",,6,"[2160050711, 2160050720, 2160050719, 2160050707, 2160050711]",,,,,,,,,,,,,,,,,,,,,
way,206004820,,parking_space,"POLYGON ((11.5871288 48.1915492, 11.5871271 48.1916347, 11.5868552 48.1916323, 11.5868569 48.1915468, 11.5871288 48.1915492))",,14,"[2160050751, 2160050763, 2160050760, 2160050749, 2160050751]",,,,,,,,,,,,,,,,,,,,,
way,206004821,,parking_space,"POLYGON ((11.5861732 48.1924026, 11.5866323 48.1924046, 11.5866318 48.1924508, 11.5861728 48.1924488, 11.5861732 48.1924026))",,13,"[2160051075, 2160051077, 2160051090, 2160051088, 2160051075]",,,,,,,,,,,,,,,,,,,,,
