element_type,osmid,geometry,addr:country,amenity,name,religion,toilets:wheelchair,wheelchair,wikidata,wikipedia,denomination,service_times,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,wikimedia_commons,website,image,opening_hours,note,contact:website,phone,start_date,deanery,diocese,parish,addr:suburb,building,heritage,heritage:operator,ref:BLfD,alt_name,name:de,name:tr,fixme,email,level,opening_hours:covid19,polling_station,name:ar,operator,source,artwork_type,description,tourism,height,historic,fax,name:ro,name:en,contact:email,contact:phone,lastcheck,wheelchair:description,name:pt,short_name,contact:facebook,artist_name,name:bs,air_conditioning,inscription,internet_access,service_times:url,source_ref,baby_feeding,name:hr,nodes,building:architecture,building:colour,heritage:ref,name:es,name:zh,architect,architect:wikidata,building:levels,building:part,roof:shape,layer,roof:colour,url,scouts:group,scouts:organisation,scouts:website,BLfD:criteria,loc_name,roof:levels,name:ja,name:pl,name:ru,official_name,roof:material,type,roof:height,building:material,contact:fax,operator:type,capacity,old_name,source:height,maxheight,colour,addr:housename,place_of_worship,club,est_height,building:shape,building:year,name:bar,name:el,official_name:de,official_name:ru,official_name:es,designation,indoor,ways
node,221616058,POINT (11.6341621 48.210438),DE,place_of_worship,Islamisches Zentrum München,muslim,no,limited,Q1454557,de:Freimann-Moschee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268696269,POINT (11.65766 48.1523543),,place_of_worship,St. Philippus und Jakobus,christian,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271227304,POINT (11.6543261 48.1074963),,place_of_worship,St. Monika,christian,,yes,Q98650263,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283161404,POINT (11.6258324 48.1498243),,place_of_worship,St. Rita,christian,,yes,Q2323019,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,305693106,POINT (11.5462681 48.2036585),,place_of_worship,Jesus der Weg,christian,,limited,,,,Su 10:30-11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,308964768,POINT (11.6267109 48.1303057),,place_of_worship,International Pentecostal Christian Church,christian,,,,,pentecostal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312385391,POINT (11.5865136 48.1599318),,place_of_worship,Scientology Kirche,scientologist,,no,,,,,,,,,2022-11-15,File:Scientology München.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315969658,POINT (11.542588 48.1481887),,place_of_worship,Buddha-Haus München,buddhist,,no,,,,,,4,,Klarastraße,,,https://buddhahaus-muenchen.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,330815556,POINT (11.5634295 48.1873999),,place_of_worship,Alte St.-Georgs-Kirche,christian,,,Q18287069,de:Alte St.-Georgs-Kirche (Milbertshofen),roman_catholic,,,,,,,"Category:St. Georg (Milbertshofen, alt)",,https://commons.wikimedia.org/wiki/File:Alte_St._Georgs-Kirche_Milbertshofen.jpg,Su 11:15-12:00; PH 11:15-12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,331359830,POINT (11.6157373 48.1301332),,place_of_worship,Eyup Sultan Camii Moschee,muslim,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
